fac_ui_no,fac_ui_yes,num_age,num_reprate,num_disrate,num_tenure,num_logwage,time,event
0.0,1.0,30.0,0.52,0.13,6.0,5.28827,13,1
0.0,1.0,36.0,0.204,0.051,1.0,6.76734,21,1
0.0,1.0,26.0,0.448,0.112,3.0,5.97889,3,1
0.0,1.0,43.0,0.187,0.047,9.0,6.85435,11,0
0.0,1.0,35.0,0.52,0.13,2.0,5.28827,7,1
0.0,1.0,31.0,0.52,0.13,1.0,5.28827,5,0
0.0,1.0,26.0,0.52,0.13,2.0,5.75574,7,0
0.0,1.0,49.0,0.224,0.056,21.0,6.67203,15,0
1.0,0.0,39.0,0.52,0.13,0.0,5.06259,2,1
1.0,0.0,39.0,0.498,0.124,14.0,5.87493,2,1
0.0,1.0,38.0,0.32,0.08,10.0,6.31536,14,1
1.0,0.0,38.0,0.373,0.093,10.0,6.16121,1,1
1.0,0.0,20.0,0.52,0.13,0.0,4.7362,1,1
1.0,0.0,26.0,0.52,0.13,2.0,5.46806,5,0
0.0,1.0,44.0,0.52,0.13,8.0,5.64897,7,0
0.0,1.0,52.0,0.52,0.13,7.0,5.15906,5,0
0.0,1.0,30.0,0.52,0.13,10.0,5.64897,5,1
1.0,0.0,47.0,0.52,0.13,0.0,4.77912,2,1
1.0,0.0,30.0,0.52,0.13,1.0,5.28827,15,1
1.0,0.0,45.0,0.52,0.13,7.0,5.53339,2,1
1.0,0.0,37.0,0.52,0.13,4.0,5.62402,1,1
0.0,1.0,47.0,0.224,0.056,12.0,6.67203,5,0
0.0,1.0,27.0,0.498,0.124,2.0,5.87493,2,1
1.0,0.0,42.0,0.52,0.13,0.0,5.62402,1,1
1.0,0.0,44.0,0.112,0.028,3.0,7.36455,7,1
0.0,1.0,31.0,0.32,0.08,11.0,6.31536,5,0
1.0,0.0,29.0,0.52,0.13,2.0,5.75574,6,0
1.0,0.0,29.0,0.509,0.127,8.0,5.8522,3,1
1.0,0.0,33.0,0.448,0.112,2.0,5.97889,2,0
1.0,0.0,43.0,0.448,0.112,2.0,5.97889,7,1
0.0,1.0,27.0,0.385,0.096,1.0,6.13123,5,1
1.0,0.0,34.0,0.52,0.13,2.0,5.53339,1,1
0.0,1.0,29.0,0.448,0.112,5.0,5.97889,4,0
1.0,0.0,22.0,0.52,0.13,2.0,5.46806,1,1
0.0,1.0,46.0,0.492,0.123,3.0,5.88332,19,0
0.0,1.0,26.0,0.52,0.13,2.0,5.75574,5,1
1.0,0.0,29.0,0.498,0.124,5.0,5.87493,1,1
0.0,1.0,48.0,0.52,0.13,3.0,5.56452,13,0
0.0,1.0,42.0,0.52,0.13,2.0,5.66296,7,1
1.0,0.0,52.0,0.52,0.13,2.0,5.46806,1,1
0.0,1.0,23.0,0.52,0.13,3.0,4.91265,6,1
0.0,1.0,50.0,0.201,0.05,2.0,6.78106,7,1
1.0,0.0,30.0,0.52,0.13,0.0,5.28827,2,1
0.0,1.0,27.0,0.52,0.13,1.0,5.46806,27,0
1.0,0.0,48.0,0.52,0.13,3.0,5.81711,4,1
1.0,0.0,22.0,0.52,0.13,1.0,5.53339,5,1
1.0,0.0,21.0,0.52,0.13,1.0,4.89784,2,1
1.0,0.0,26.0,0.52,0.13,1.0,5.75574,1,1
0.0,1.0,24.0,0.52,0.13,1.0,5.51745,4,1
1.0,0.0,38.0,0.52,0.13,0.0,4.83628,9,0
1.0,0.0,20.0,0.52,0.208,0.0,5.46806,3,0
0.0,1.0,36.0,0.52,0.208,0.0,5.62402,14,0
0.0,1.0,30.0,0.166,0.067,5.0,7.23201,9,0
0.0,1.0,20.0,0.52,0.208,1.0,5.75574,5,1
0.0,1.0,47.0,0.52,0.208,7.0,5.97889,15,1
1.0,0.0,41.0,0.52,0.208,1.0,5.46806,20,0
0.0,1.0,41.0,0.52,0.208,5.0,5.18178,3,1
0.0,1.0,46.0,0.153,0.061,14.0,7.31389,4,0
1.0,0.0,54.0,0.189,0.076,23.0,7.1025,1,1
0.0,1.0,32.0,0.52,0.208,13.0,5.81711,7,0
0.0,1.0,44.0,0.52,0.208,0.0,5.75574,10,0
0.0,1.0,47.0,0.52,0.208,0.0,5.75574,10,0
0.0,1.0,34.0,0.52,0.208,5.0,5.97889,13,1
1.0,0.0,34.0,0.52,0.208,3.0,5.75574,11,1
1.0,0.0,21.0,0.52,0.208,1.0,5.28827,21,0
0.0,1.0,58.0,0.52,0.208,28.0,5.8522,3,1
0.0,1.0,49.0,0.323,0.129,5.0,6.56667,2,1
0.0,1.0,49.0,0.52,0.208,2.0,5.66296,1,1
1.0,0.0,25.0,0.52,0.208,1.0,5.70378,1,1
0.0,1.0,29.0,0.485,0.194,11.0,6.16121,14,1
0.0,1.0,56.0,0.291,0.116,3.0,6.67203,14,0
0.0,1.0,27.0,0.52,0.208,3.0,5.46806,7,1
0.0,1.0,51.0,0.52,0.208,0.0,5.53339,4,0
1.0,0.0,24.0,0.52,0.208,3.0,5.93754,16,0
1.0,0.0,22.0,0.52,0.208,0.0,5.28827,4,0
0.0,1.0,24.0,0.485,0.194,0.0,6.16121,5,0
1.0,0.0,36.0,0.52,0.208,1.0,5.46806,7,0
0.0,1.0,37.0,0.466,0.186,2.0,6.20254,3,1
0.0,1.0,30.0,0.52,0.208,2.0,5.53339,7,0
1.0,0.0,36.0,0.52,0.208,1.0,4.77912,7,0
0.0,1.0,29.0,0.52,0.208,5.0,5.46806,3,0
0.0,1.0,38.0,0.52,0.208,17.0,5.69036,2,1
0.0,1.0,37.0,0.425,0.17,5.0,6.29342,12,1
0.0,1.0,20.0,0.52,0.208,1.0,5.28827,5,0
1.0,0.0,25.0,0.52,0.208,1.0,5.18178,4,1
0.0,1.0,23.0,0.52,0.208,4.0,5.64897,13,1
0.0,1.0,21.0,0.52,0.208,3.0,5.87493,2,1
0.0,1.0,25.0,0.52,0.208,3.0,5.39816,6,0
0.0,1.0,25.0,0.415,0.208,8.0,5.97126,7,1
1.0,0.0,44.0,0.229,0.114,12.0,6.56667,2,1
0.0,1.0,34.0,0.468,0.234,2.0,5.8522,5,0
0.0,1.0,55.0,0.317,0.158,1.0,6.24222,5,1
0.0,1.0,33.0,0.468,0.234,14.0,5.8522,4,0
0.0,1.0,58.0,0.49,0.245,6.0,5.20401,15,0
1.0,0.0,34.0,0.49,0.245,0.0,5.75574,5,1
0.0,1.0,21.0,0.49,0.245,0.0,5.75574,3,1
0.0,1.0,56.0,0.404,0.202,20.0,5.99894,4,0
