fac_heduc_12-15,fac_heduc_16+,fac_heduc_<12,fac_heblack_No,fac_heblack_Yes,fac_mixed_No,fac_mixed_Yes,time,event
1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.546,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,34.943,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,17.532,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.418,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,48.033,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,16.706,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,24.999,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,24.999,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.869,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.732,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.2105,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,15.444,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.085,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,17.333,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,16.331,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,35.335,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,19.1865,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,22.697,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,50.776,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,30.738,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,33.024,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,36.668,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,27.992,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.2525,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.67,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.5975,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.791,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.475,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,35.959,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,13.136,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.717,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.717,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,26.278,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.331,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.893,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,15.743,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,48.356,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,39.332,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,61.525,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,12.999,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,14.817,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,33.755,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,56.999,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.606,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.606,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,16.999,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,42.015,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,37.837,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,18.018,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,13.667,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.584,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.502,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,35.932,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.864,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.8015,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,14.3495,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,57.506,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.915,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.162,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,41.971,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,12.991,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,18.3355,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,18.809,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.864,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,17.2895,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,32.167,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,18.338,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,23.469,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,34.762,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.4325,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,19.081,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.247,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,28.151,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,15.9975,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.789,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.789,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,17.999,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,27.009,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,9.002,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,35.001,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,35.001,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,16.605,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,44.841,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,11.671,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,20.504,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.913,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,22.404,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,31.485,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.4965,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,24.0,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,33.851,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,14.576,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,52.663,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,22.719,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.5805,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,43.751,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,42.062,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,29.07,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,29.07,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,56.052,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,17.081,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.168,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.001,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.919,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,10.456,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,26.971,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,53.84,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,11.581,1
0.0,1.0,0.0,0.0,1.0,1.0,0.0,22.976,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,17.084,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.775,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.565,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.977,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.246,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.257,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,49.002,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0015,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.003,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,41.199,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,47.546,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,21.467,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,21.002,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,21.467,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,24.832,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,41.999,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.972,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,14.867,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.1675,1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,21.498,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,13.421,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,15.849,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.336,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.668,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,34.004,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,31.997,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,9.5825,1
