fac_sex_female,fac_sex_male,fac_ses_lower,fac_ses_upper,fac_immigrant_no,fac_immigrant_yes,num_birthdate,fac_parish,time,event
0.0,1.0,1.0,0.0,0.0,1.0,1821.35,1.0,3.539000000000001,0
1.0,0.0,1.0,0.0,0.0,1.0,1796.219,1.0,15.141999999999996,1
1.0,0.0,1.0,0.0,0.0,1.0,1813.547,1.0,20.776,1
1.0,0.0,1.0,0.0,1.0,0.0,1791.151,1.0,7.676000000000002,0
1.0,0.0,1.0,0.0,1.0,0.0,1807.296,1.0,9.534999999999997,0
1.0,0.0,1.0,0.0,0.0,1.0,1801.673,1.0,18.15600000000001,1
0.0,1.0,1.0,0.0,1.0,0.0,1820.728,1.0,3.265000000000001,0
0.0,1.0,1.0,0.0,0.0,1.0,1792.783,1.0,3.283999999999999,1
0.0,1.0,1.0,0.0,0.0,1.0,1807.452,1.0,15.884,1
1.0,0.0,1.0,0.0,0.0,1.0,1797.988,1.0,16.22,1
1.0,0.0,0.0,1.0,0.0,1.0,1799.513,1.0,4.768000000000001,1
0.0,1.0,1.0,0.0,0.0,1.0,1781.311,1.0,26.422,1
1.0,0.0,1.0,0.0,0.0,1.0,1785.268,1.0,8.975999999999999,1
0.0,1.0,1.0,0.0,0.0,1.0,1783.682,1.0,30.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1781.123,1.0,30.0,0
0.0,1.0,1.0,0.0,1.0,0.0,1800.126,1.0,30.0,0
1.0,0.0,0.0,1.0,0.0,1.0,1819.592,1.0,1.2719999999999985,0
1.0,0.0,1.0,0.0,0.0,1.0,1781.251,1.0,8.970999999999997,1
0.0,1.0,1.0,0.0,0.0,1.0,1807.88,1.0,8.951,0
0.0,1.0,1.0,0.0,0.0,1.0,1816.728,1.0,20.316000000000003,1
0.0,1.0,1.0,0.0,0.0,1.0,1816.86,1.0,7.133000000000003,0
1.0,0.0,1.0,0.0,0.0,1.0,1814.839,1.0,18.465000000000003,1
0.0,1.0,1.0,0.0,1.0,0.0,1800.036,1.0,22.723,1
0.0,1.0,1.0,0.0,0.0,1.0,1804.931,1.0,25.042,1
1.0,0.0,1.0,0.0,0.0,1.0,1801.06,1.0,9.127000000000002,1
1.0,0.0,1.0,0.0,0.0,1.0,1839.71,1.0,5.121000000000002,0
0.0,1.0,1.0,0.0,0.0,1.0,1802.253,1.0,17.962000000000003,1
1.0,0.0,1.0,0.0,1.0,0.0,1801.484,1.0,21.704,1
0.0,1.0,1.0,0.0,1.0,0.0,1808.838,1.0,23.514,1
1.0,0.0,1.0,0.0,0.0,1.0,1800.942,1.0,23.944000000000003,1
1.0,0.0,1.0,0.0,0.0,1.0,1816.632,1.0,7.360999999999997,0
1.0,0.0,1.0,0.0,1.0,0.0,1803.22,1.0,30.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1813.969,1.0,23.424000000000007,1
0.0,1.0,1.0,0.0,1.0,0.0,1798.155,1.0,21.097,1
0.0,1.0,1.0,0.0,0.0,1.0,1822.251,1.0,4.051000000000002,1
0.0,1.0,1.0,0.0,1.0,0.0,1799.885,1.0,30.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1779.745,1.0,29.379000000000005,1
1.0,0.0,1.0,0.0,0.0,1.0,1812.843,1.0,20.883,0
0.0,1.0,1.0,0.0,0.0,1.0,1816.378,1.0,19.714,1
1.0,0.0,1.0,0.0,1.0,0.0,1797.273,1.0,0.5519999999999996,0
0.0,1.0,1.0,0.0,1.0,0.0,1801.043,1.0,30.0,0
1.0,0.0,1.0,0.0,1.0,0.0,1798.486,1.0,12.987000000000002,1
1.0,0.0,0.0,1.0,1.0,0.0,1798.034,1.0,6.679000000000002,1
0.0,1.0,1.0,0.0,0.0,1.0,1787.546,1.0,18.349999999999994,1
1.0,0.0,1.0,0.0,0.0,1.0,1798.998,1.0,25.03100000000001,1
0.0,1.0,0.0,1.0,0.0,1.0,1810.053,1.0,13.939999999999998,0
1.0,0.0,1.0,0.0,0.0,1.0,1825.446,1.0,9.880000000000004,1
0.0,1.0,1.0,0.0,0.0,1.0,1793.117,1.0,15.647999999999996,1
1.0,0.0,1.0,0.0,0.0,1.0,1815.154,1.0,22.575000000000003,1
0.0,1.0,1.0,0.0,0.0,1.0,1824.164,1.0,5.911999999999999,1
1.0,0.0,1.0,0.0,1.0,0.0,1807.414,1.0,1.4140000000000017,1
1.0,0.0,1.0,0.0,1.0,0.0,1810.346,1.0,14.986000000000004,1
1.0,0.0,1.0,0.0,0.0,1.0,1820.635,1.0,6.170000000000002,1
0.0,1.0,1.0,0.0,1.0,0.0,1810.374,1.0,8.497,0
1.0,0.0,1.0,0.0,0.0,1.0,1816.868,1.0,2.003,0
1.0,0.0,0.0,1.0,0.0,1.0,1807.326,1.0,5.058,1
0.0,1.0,1.0,0.0,0.0,1.0,1785.492,1.0,11.771,1
1.0,0.0,1.0,0.0,0.0,1.0,1791.617,1.0,7.475999999999999,1
1.0,0.0,0.0,1.0,1.0,0.0,1823.291,1.0,0.7019999999999982,0
0.0,1.0,1.0,0.0,0.0,1.0,1814.946,1.0,5.832999999999998,0
1.0,0.0,1.0,0.0,0.0,1.0,1822.902,1.0,13.531999999999996,1
0.0,1.0,1.0,0.0,0.0,1.0,1780.107,1.0,29.072000000000003,1
1.0,0.0,1.0,0.0,0.0,1.0,1785.142,1.0,8.997999999999998,1
0.0,1.0,1.0,0.0,0.0,1.0,1818.177,1.0,18.898,1
0.0,1.0,1.0,0.0,0.0,1.0,1818.278,1.0,4.533000000000001,0
1.0,0.0,1.0,0.0,0.0,1.0,1819.02,1.0,3.790999999999997,0
1.0,0.0,1.0,0.0,1.0,0.0,1782.899,1.0,27.477999999999994,1
1.0,0.0,1.0,0.0,0.0,1.0,1789.41,1.0,5.591999999999999,1
0.0,1.0,1.0,0.0,0.0,1.0,1821.971,1.0,4.783999999999999,1
0.0,1.0,1.0,0.0,1.0,0.0,1785.739,1.0,11.970999999999997,1
0.0,1.0,0.0,1.0,0.0,1.0,1789.648,1.0,2.1779999999999973,0
1.0,0.0,0.0,1.0,0.0,1.0,1787.926,1.0,3.899999999999999,0
0.0,1.0,1.0,0.0,1.0,0.0,1795.231,1.0,15.558000000000009,1
1.0,0.0,1.0,0.0,1.0,0.0,1835.869,1.0,5.408999999999999,1
1.0,0.0,1.0,0.0,0.0,1.0,1788.361,1.0,24.949,1
0.0,1.0,0.0,1.0,0.0,1.0,1809.09,1.0,14.266000000000004,1
0.0,1.0,1.0,0.0,0.0,1.0,1815.795,1.0,27.087000000000003,1
1.0,0.0,1.0,0.0,0.0,1.0,1815.277,1.0,19.651,1
0.0,1.0,1.0,0.0,0.0,1.0,1821.791,1.0,2.203000000000003,0
1.0,0.0,0.0,1.0,0.0,1.0,1809.708,1.0,24.352000000000004,1
0.0,1.0,1.0,0.0,1.0,0.0,1813.843,1.0,26.972,1
0.0,1.0,1.0,0.0,0.0,1.0,1810.305,1.0,13.688000000000002,0
1.0,0.0,1.0,0.0,1.0,0.0,1814.346,1.0,12.415,1
1.0,0.0,1.0,0.0,1.0,0.0,1781.164,1.0,16.680000000000007,1
0.0,1.0,1.0,0.0,0.0,1.0,1820.427,1.0,16.527,1
0.0,1.0,1.0,0.0,1.0,0.0,1810.341,1.0,3.4650000000000034,0
1.0,0.0,1.0,0.0,0.0,1.0,1796.104,1.0,23.949,1
0.0,1.0,1.0,0.0,0.0,1.0,1822.434,1.0,4.146000000000001,1
