,used,exhausted,rounds
2259,1,1,[-1]
292,1,1,[-1]
537,1,1,[-1]
802,1,1,[-1]
254,1,1,[-1]
744,1,1,[-1]
2268,1,1,[-1]
1616,1,1,[-1]
2188,1,1,[-1]
1037,1,1,[-1]
1856,1,1,[-1]
1686,1,1,[-1]
501,1,1,[-1]
1761,1,1,[-1]
148,1,1,[-1]
183,1,1,[-1]
1153,1,1,[-1]
1705,1,1,[-1]
1190,1,1,[-1]
2114,1,1,[-1]
669,1,1,[-1]
60,1,1,[-1]
466,1,1,[-1]
89,1,1,[-1]
899,1,1,[-1]
2129,1,1,[-1]
817,1,1,[-1]
353,1,1,[-1]
2049,1,1,[-1]
1678,1,1,[-1]
524,1,1,[-1]
2015,1,1,[-1]
1298,1,1,[-1]
1795,1,1,[-1]
1800,1,1,[-1]
1680,1,1,[-1]
1303,1,1,[-1]
87,1,1,[-1]
1548,1,1,[-1]
953,1,1,[-1]
316,1,1,[-1]
1231,1,1,[-1]
8,1,1,[-1]
374,1,1,[-1]
652,1,1,[-1]
2243,1,1,[-1]
912,1,1,[-1]
2032,1,1,[-1]
2107,1,1,[-1]
1951,1,1,[-1]
1044,1,1,[-1]
1438,1,1,[-1]
318,1,1,[-1]
91,1,1,[-1]
1462,1,1,[-1]
1630,1,1,[-1]
38,1,1,[-1]
1347,1,1,[-1]
2148,1,1,[-1]
931,1,1,[-1]
572,1,1,[-1]
2218,1,1,[-1]
79,1,1,[-1]
1822,1,1,[-1]
2046,1,1,[-1]
825,1,1,[-1]
645,1,1,[-1]
751,1,1,[-1]
775,1,1,[-1]
1666,1,1,[-1]
597,1,1,[-1]
1989,1,1,[-1]
1334,1,1,[-1]
1968,1,1,[-1]
633,1,1,[-1]
1858,1,1,[-1]
1814,1,1,[-1]
527,1,1,[-1]
1647,1,1,[-1]
1961,1,1,[-1]
850,1,1,[-1]
444,1,1,[-1]
956,1,1,[-1]
2058,1,1,[-1]
3,1,1,[-1]
589,1,1,[-1]
1164,1,1,[-1]
1846,1,1,[-1]
1524,1,1,[-1]
978,1,1,[-1]
986,1,1,[-1]
1284,1,1,[-1]
1557,1,1,[-1]
398,1,1,[-1]
2140,1,1,[-1]
629,1,1,[-1]
517,1,1,[-1]
638,1,1,[-1]
717,1,1,[-1]
1939,1,1,[-1]
2247,1,1,[-1]
446,1,1,[-1]
1144,1,1,[-1]
869,1,1,[-1]
1528,1,1,[-1]
1090,1,1,[-1]
1059,1,1,[-1]
452,1,1,[-1]
637,1,1,[-1]
295,1,1,[-1]
547,1,1,[-1]
1065,1,1,[-1]
1009,1,1,[-1]
1777,1,1,[-1]
1142,1,1,[-1]
1424,1,1,[-1]
895,1,1,[-1]
730,1,1,[-1]
1073,1,1,[-1]
190,1,1,[-1]
236,1,1,[-1]
928,1,1,[-1]
1607,1,1,[-1]
72,1,1,[-1]
1549,1,1,[-1]
1957,1,1,[-1]
616,1,1,[-1]
964,1,1,[-1]
2100,1,1,[-1]
495,1,1,[-1]
251,1,1,[-1]
1867,1,1,[-1]
1564,1,1,[-1]
246,1,1,[-1]
296,1,1,[-1]
81,1,1,[-1]
2113,1,1,[-1]
1253,1,1,[-1]
1622,1,1,[-1]
973,1,1,[-1]
1996,1,1,[-1]
1188,1,1,[-1]
1790,1,1,[-1]
199,1,1,[-1]
1110,1,1,[-1]
335,1,1,[-1]
1849,1,1,[-1]
107,1,1,[-1]
670,1,1,[-1]
1297,1,1,[-1]
1796,1,1,[-1]
2230,1,1,[-1]
1064,1,1,[-1]
2126,1,1,[-1]
2057,1,1,[-1]
2256,1,1,[-1]
877,1,1,[-1]
979,1,1,[-1]
1215,1,1,[-1]
2060,1,1,[-1]
798,1,1,[-1]
1062,1,1,[-1]
918,1,1,[-1]
1965,1,1,[-1]
2250,1,1,[-1]
835,1,1,[-1]
154,1,1,[-1]
264,1,1,[-1]
857,1,1,[-1]
361,1,1,[-1]
1974,1,1,[-1]
1537,1,1,[-1]
1312,1,1,[-1]
35,1,1,[-1]
2079,1,1,[-1]
1485,1,1,[-1]
2024,1,1,[-1]
761,1,1,[-1]
1600,1,1,[-1]
710,1,1,[-1]
514,1,1,[-1]
1430,1,1,[-1]
281,1,1,[-1]
1533,1,1,[-1]
2130,1,1,[-1]
767,1,1,[-1]
1789,1,1,[-1]
1851,1,1,[-1]
1850,1,1,[-1]
1852,1,1,[-1]
2183,1,1,[-1]
1383,1,1,[-1]
1281,1,1,[-1]
1626,1,1,[-1]
1049,1,1,[-1]
1681,1,1,[-1]
1277,1,1,[-1]
1425,1,1,[-1]
323,1,1,[-1]
140,1,1,[-1]
1214,1,1,[-1]
1619,1,1,[-1]
833,1,1,[-1]
598,1,1,[-1]
238,1,1,[-1]
694,1,1,[-1]
1917,1,1,[-1]
1956,1,1,[-1]
1272,1,1,[-1]
1864,1,1,[-1]
1151,1,1,[-1]
420,1,1,[-1]
2189,1,1,[-1]
1257,1,1,[-1]
1364,1,1,[-1]
1184,1,1,[-1]
300,1,1,[-1]
206,1,1,[-1]
1332,1,1,[-1]
2228,1,1,[-1]
2185,1,1,[-1]
1656,1,1,[-1]
754,1,1,[-1]
1967,1,1,[-1]
1519,1,1,[-1]
555,1,1,[-1]
453,1,1,[-1]
2245,0,0,[]
1331,0,0,[]
1964,0,0,[]
373,0,0,[]
785,0,0,[]
177,0,0,[]
2115,0,0,[]
1437,0,0,[]
564,0,0,[]
39,0,0,[]
2070,0,0,[]
651,0,0,[]
1014,0,0,[]
676,0,0,[]
330,0,0,[]
567,0,0,[]
2199,0,0,[]
290,0,0,[]
2089,0,0,[]
325,0,0,[]
70,0,0,[]
1652,0,0,[]
711,0,0,[]
293,0,0,[]
2119,0,0,[]
1502,0,0,[]
1884,0,0,[]
2042,0,0,[]
45,0,0,[]
2253,0,0,[]
1893,0,0,[]
628,0,0,[]
93,0,0,[]
779,0,0,[]
1815,0,0,[]
5,0,0,[]
457,0,0,[]
468,0,0,[]
609,0,0,[]
981,0,0,[]
211,0,0,[]
1444,2,1,"[117, 118]"
1562,2,1,"[119, 120]"
1467,2,1,"[121, 122]"
302,2,1,"[123, 124]"
786,2,1,"[125, 126]"
1522,2,1,"[127, 128]"
2240,2,1,"[129, 130]"
961,2,1,"[131, 132]"
30,2,1,"[133, 134]"
1922,2,1,"[135, 136]"
706,2,1,"[137, 138]"
451,2,1,"[139, 140]"
1509,2,1,"[141, 142]"
646,1,0,[143]
2174,0,0,[]
1529,0,0,[]
805,0,0,[]
783,0,0,[]
2264,0,0,[]
791,0,0,[]
1418,0,0,[]
1338,0,0,[]
1015,0,0,[]
291,0,0,[]
376,0,0,[]
191,0,0,[]
812,0,0,[]
1025,0,0,[]
1386,0,0,[]
972,0,0,[]
1089,0,0,[]
115,0,0,[]
1510,0,0,[]
387,0,0,[]
2182,0,0,[]
474,0,0,[]
1149,0,0,[]
570,0,0,[]
612,0,0,[]
733,0,0,[]
1721,0,0,[]
306,1,1,[1]
1198,1,1,[2]
1624,1,1,[3]
242,1,1,[4]
1225,1,1,[5]
10,1,1,[6]
346,1,1,[7]
126,1,1,[8]
208,1,1,[9]
1362,1,1,[10]
2260,1,1,[11]
55,1,1,[12]
859,1,1,[13]
1977,1,1,[14]
1508,1,1,[15]
966,1,1,[16]
2160,1,1,[17]
425,1,1,[18]
838,1,1,[19]
322,1,1,[20]
2202,1,1,[21]
279,1,1,[22]
1554,1,1,[23]
655,1,1,[24]
257,1,1,[25]
644,1,1,[26]
693,1,1,[27]
1739,1,1,[28]
780,1,1,[29]
454,1,1,[30]
1873,1,1,[31]
582,1,1,[32]
314,1,1,[33]
913,1,1,[34]
1762,1,1,[35]
992,1,1,[36]
1440,1,1,[37]
1202,1,1,[38]
1737,1,1,[39]
909,1,1,[40]
25,1,1,[41]
1122,1,1,[42]
1126,1,1,[43]
1702,1,1,[44]
56,1,1,[45]
2080,1,1,[46]
244,1,1,[47]
650,1,1,[48]
494,1,1,[49]
1117,1,1,[50]
1311,1,1,[51]
533,1,1,[52]
1875,1,1,[53]
1671,1,1,[54]
258,1,1,[55]
1244,1,1,[56]
170,1,1,[57]
1660,1,1,[58]
1308,1,1,[59]
169,1,1,[60]
904,1,1,[61]
490,1,1,[62]
1596,1,1,[63]
1010,1,1,[64]
1289,1,1,[65]
1676,1,1,[66]
