,used,exhausted,rounds
345,1.0,1.0,[0]
262,1.0,1.0,[0]
400,1.0,1.0,[0]
521,1.0,1.0,[0]
261,1.0,1.0,[0]
545,1.0,1.0,[0]
389,1.0,1.0,[0]
39,1.0,1.0,[0]
271,1.0,1.0,[0]
316,1.0,1.0,[0]
494,1.0,1.0,[0]
168,1.0,1.0,[0]
359,1.0,1.0,[0]
361,1.0,1.0,[0]
212,1.0,1.0,[0]
96,1.0,1.0,[0]
429,1.0,1.0,[0]
276,1.0,1.0,[0]
218,1.0,1.0,[0]
115,1.0,1.0,[0]
478,1.0,1.0,[0]
513,1.0,1.0,[0]
16,1.0,1.0,[0]
180,1.0,1.0,[0]
163,1.0,1.0,[0]
309,1.0,1.0,[0]
162,1.0,1.0,[0]
282,1.0,1.0,[155]
179,1.0,1.0,[187]
196,1.0,1.0,[107]
216,1.0,1.0,[13]
31,3.0,1.0,"[13, 26, 31]"
434,2.0,1.0,"[11, 17]"
66,1.0,1.0,[85]
211,1.0,1.0,[21]
112,2.0,1.0,"[145, 148]"
175,3.0,1.0,"[6, 8, 9]"
517,1.0,1.0,[137]
338,1.0,1.0,[36]
390,6.0,1.0,"[29, 33, 34, 61, 62, 63]"
223,1.0,1.0,[92]
278,2.0,1.0,"[188, 194]"
493,1.0,1.0,[137]
84,4.0,1.0,"[43, 74, 80, 83]"
386,2.0,1.0,"[153, 162]"
395,1.0,1.0,[5]
328,2.0,1.0,"[193, 200]"
170,1.0,1.0,[134]
69,4.0,1.0,"[136, 167, 168, 169]"
421,1.0,1.0,[92]
285,1.0,1.0,[88]
383,2.0,1.0,"[144, 147]"
496,1.0,1.0,[22]
236,2.0,1.0,"[89, 115]"
189,4.0,1.0,"[168, 172, 174, 176]"
243,3.0,1.0,"[113, 126, 139]"
343,2.0,1.0,"[67, 90]"
461,1.0,1.0,[42]
83,2.0,1.0,"[20, 23]"
495,6.0,1.0,"[197, 198, 199, 200, 201, 202]"
30,6.0,1.0,"[25, 36, 52, 53, 54, 55]"
532,4.0,1.0,"[129, 133, 137, 142]"
339,2.0,1.0,"[33, 117]"
402,1.0,1.0,[72]
209,2.0,1.0,"[11, 13]"
126,1.0,1.0,[61]
413,4.0,1.0,"[164, 169, 170, 172]"
222,1.0,1.0,[54]
476,2.0,1.0,"[87, 98]"
272,2.0,1.0,"[88, 166]"
308,1.0,1.0,[154]
43,1.0,1.0,[30]
18,2.0,1.0,"[108, 110]"
12,1.0,1.0,[42]
291,2.0,1.0,"[9, 14]"
90,3.0,1.0,"[4, 28, 29]"
358,1.0,1.0,[65]
518,1.0,1.0,[197]
332,1.0,1.0,[17]
317,2.0,1.0,"[187, 188]"
231,1.0,1.0,[83]
38,5.0,1.0,"[151, 158, 161, 171, 172]"
322,1.0,1.0,[62]
267,1.0,1.0,[74]
296,2.0,1.0,"[129, 134]"
101,1.0,1.0,[44]
489,1.0,1.0,[139]
164,1.0,1.0,[45]
172,4.0,1.0,"[112, 122, 149, 159]"
252,1.0,1.0,[170]
538,1.0,1.0,[68]
411,1.0,1.0,[63]
242,4.0,1.0,"[57, 65, 68, 70]"
44,1.0,1.0,[113]
334,1.0,1.0,[87]
336,1.0,1.0,[84]
221,3.0,1.0,"[178, 186, 192]"
353,1.0,1.0,[96]
137,1.0,1.0,[5]
303,1.0,1.0,[200]
130,2.0,1.0,"[135, 158]"
466,4.0,1.0,"[73, 125, 126, 127]"
3,1.0,1.0,[80]
