,used,exhausted,rounds
345,1.0,1.0,[0]
262,1.0,1.0,[0]
400,1.0,1.0,[0]
521,1.0,1.0,[0]
261,1.0,1.0,[0]
545,1.0,1.0,[0]
389,1.0,1.0,[0]
39,1.0,1.0,[0]
271,1.0,1.0,[0]
316,1.0,1.0,[0]
494,1.0,1.0,[0]
168,1.0,1.0,[0]
359,1.0,1.0,[0]
361,1.0,1.0,[0]
212,1.0,1.0,[0]
96,1.0,1.0,[0]
429,1.0,1.0,[0]
276,1.0,1.0,[0]
218,1.0,1.0,[0]
115,1.0,1.0,[0]
478,1.0,1.0,[0]
513,1.0,1.0,[0]
16,1.0,1.0,[0]
180,1.0,1.0,[0]
163,1.0,1.0,[0]
309,1.0,1.0,[0]
162,1.0,1.0,[0]
282,1.0,1.0,[196]
179,1.0,1.0,[191]
196,1.0,1.0,[182]
216,1.0,1.0,[183]
31,3.0,1.0,"[184, 185, 186]"
434,2.0,1.0,"[162, 163]"
66,1.0,1.0,[164]
211,1.0,1.0,[165]
112,2.0,1.0,"[166, 167]"
175,3.0,1.0,"[168, 169, 170]"
517,1.0,1.0,[114]
338,1.0,1.0,[115]
390,6.0,1.0,"[116, 117, 118, 119, 120, 121]"
223,1.0,1.0,[122]
278,2.0,1.0,"[123, 124]"
493,1.0,1.0,[125]
84,4.0,1.0,"[126, 127, 128, 129]"
386,2.0,1.0,"[130, 131]"
395,1.0,1.0,[132]
328,2.0,1.0,"[133, 134]"
170,1.0,1.0,[29]
69,4.0,1.0,"[30, 31, 32, 33]"
421,1.0,1.0,[34]
285,1.0,1.0,[35]
383,2.0,1.0,"[36, 37]"
496,1.0,1.0,[38]
236,2.0,1.0,"[39, 40]"
189,4.0,1.0,"[41, 42, 43, 44]"
243,3.0,1.0,"[45, 46, 47]"
343,2.0,1.0,"[48, 49]"
461,1.0,1.0,[50]
83,2.0,1.0,"[51, 52]"
495,6.0,1.0,"[53, 54, 55, 56, 57, 58]"
30,6.0,1.0,"[59, 60, 61, 62, 63, 64]"
532,4.0,1.0,"[65, 66, 67, 68]"
339,2.0,1.0,"[69, 70]"
402,1.0,1.0,[71]
209,2.0,1.0,"[72, 73]"
126,1.0,1.0,[74]
413,4.0,1.0,"[75, 76, 77, 78]"
222,1.0,1.0,[79]
476,2.0,1.0,"[1, 2]"
272,2.0,1.0,"[3, 4]"
308,1.0,1.0,[5]
43,1.0,1.0,[6]
18,2.0,1.0,"[7, 8]"
12,1.0,1.0,[80]
291,2.0,1.0,"[81, 82]"
90,3.0,1.0,"[83, 84, 85]"
358,1.0,1.0,[86]
518,1.0,1.0,[87]
332,1.0,1.0,[88]
317,2.0,1.0,"[89, 90]"
231,1.0,1.0,[91]
38,5.0,1.0,"[92, 93, 94, 95, 96]"
322,1.0,1.0,[97]
267,1.0,1.0,[98]
296,2.0,1.0,"[99, 100]"
101,1.0,1.0,[101]
489,1.0,1.0,[102]
164,1.0,1.0,[103]
172,4.0,1.0,"[135, 136, 137, 138]"
252,1.0,1.0,[139]
538,1.0,1.0,[140]
411,1.0,1.0,[141]
242,4.0,1.0,"[142, 143, 144, 145]"
44,1.0,1.0,[146]
334,1.0,1.0,[147]
336,1.0,1.0,[148]
221,3.0,1.0,"[149, 150, 151]"
353,1.0,1.0,[152]
137,1.0,1.0,[153]
303,1.0,1.0,[154]
130,2.0,1.0,"[155, 171]"
466,4.0,1.0,"[172, 173, 174, 175]"
3,1.0,1.0,[176]
