,used,exhausted,rounds
541,1.0,1.0,[0]
304,1.0,1.0,[0]
270,1.0,1.0,[0]
533,1.0,1.0,[0]
373,1.0,1.0,[0]
329,1.0,1.0,[0]
155,1.0,1.0,[0]
202,1.0,1.0,[0]
478,1.0,1.0,[0]
353,1.0,1.0,[0]
335,1.0,1.0,[0]
334,1.0,1.0,[0]
33,1.0,1.0,[0]
342,1.0,1.0,[0]
72,1.0,1.0,[0]
179,1.0,1.0,[0]
272,1.0,1.0,[0]
51,1.0,1.0,[0]
316,1.0,1.0,[0]
548,1.0,1.0,[0]
151,1.0,1.0,[0]
340,1.0,1.0,[0]
71,1.0,1.0,[0]
322,1.0,1.0,[0]
127,1.0,1.0,[0]
341,1.0,1.0,[0]
96,1.0,1.0,[0]
467,1.0,1.0,[62]
345,1.0,1.0,[71]
363,1.0,1.0,[80]
417,1.0,1.0,[126]
44,3.0,1.0,"[63, 97, 101]"
551,2.0,1.0,"[18, 105]"
356,1.0,1.0,[34]
159,1.0,1.0,[152]
474,2.0,1.0,"[181, 195]"
526,3.0,1.0,"[102, 178, 183]"
379,1.0,1.0,[89]
480,1.0,1.0,[31]
78,6.0,1.0,"[75, 97, 98, 99, 100, 102]"
210,1.0,1.0,[23]
366,2.0,1.0,"[4, 16]"
312,1.0,1.0,[9]
101,4.0,1.0,"[137, 189, 190, 191]"
355,2.0,1.0,"[161, 169]"
198,1.0,1.0,[192]
436,2.0,1.0,"[67, 68]"
446,1.0,1.0,[10]
134,4.0,1.0,"[84, 168, 169, 170]"
529,1.0,1.0,[77]
106,1.0,1.0,[53]
175,2.0,1.0,"[151, 153]"
31,1.0,1.0,[37]
209,2.0,1.0,"[173, 175]"
426,4.0,1.0,"[75, 101, 114, 115]"
178,3.0,1.0,"[55, 151, 154]"
180,2.0,1.0,"[185, 197]"
19,1.0,1.0,[100]
447,2.0,1.0,"[9, 10]"
154,6.0,1.0,"[8, 66, 75, 76, 77, 78]"
291,6.0,1.0,"[27, 32, 35, 36, 48, 49]"
486,4.0,1.0,"[82, 85, 86, 88]"
278,2.0,1.0,"[144, 180]"
381,1.0,1.0,[148]
314,2.0,1.0,"[9, 155]"
317,1.0,1.0,[102]
305,4.0,1.0,"[52, 79, 117, 119]"
11,1.0,1.0,[96]
76,2.0,1.0,"[135, 161]"
53,2.0,1.0,"[19, 52]"
268,1.0,1.0,[108]
62,1.0,1.0,[124]
84,2.0,1.0,"[125, 127]"
502,1.0,1.0,[53]
95,2.0,1.0,"[148, 158]"
142,3.0,1.0,"[28, 78, 79]"
68,1.0,1.0,[186]
289,1.0,1.0,[110]
230,1.0,1.0,[69]
7,2.0,1.0,"[20, 23]"
297,1.0,1.0,[160]
425,5.0,1.0,"[103, 135, 140, 142, 143]"
231,1.0,1.0,[71]
469,1.0,1.0,[39]
311,2.0,1.0,"[5, 76]"
509,1.0,1.0,[86]
421,1.0,1.0,[10]
328,1.0,1.0,[196]
219,4.0,1.0,"[5, 21, 22, 23]"
398,1.0,1.0,[178]
246,1.0,1.0,[3]
207,1.0,1.0,[136]
313,4.0,1.0,"[27, 199, 200, 201]"
320,1.0,1.0,[28]
451,1.0,1.0,[114]
190,1.0,1.0,[15]
319,3.0,1.0,"[141, 146, 151]"
105,1.0,1.0,[25]
213,1.0,1.0,[58]
537,1.0,1.0,[93]
406,2.0,1.0,"[64, 89]"
450,4.0,1.0,"[128, 139, 141, 142]"
327,1.0,1.0,[129]
75,1.0,1.0,[179]
410,2.0,1.0,"[147, 154]"
18,1.0,1.0,[19]
396,2.0,1.0,"[37, 69]"
477,1.0,1.0,[187]
384,2.0,1.0,"[92, 191]"
132,1.0,1.0,[47]
394,1.0,1.0,[29]
128,7.0,1.0,"[48, 51, 59, 69, 73, 74, 75]"
295,1.0,1.0,[183]
493,2.0,1.0,"[40, 66]"
103,1.0,1.0,[72]
183,1.0,1.0,[162]
553,1.0,1.0,[179]
507,4.0,1.0,"[9, 12, 16, 17]"
362,1.0,1.0,[46]
418,3.0,1.0,"[9, 11, 13]"
258,2.0,1.0,"[137, 176]"
32,2.0,1.0,"[164, 175]"
521,1.0,1.0,[35]
141,1.0,1.0,[144]
527,4.0,1.0,"[155, 174, 183, 195]"
253,3.0,1.0,"[32, 94, 110]"
147,1.0,1.0,[134]
431,3.0,1.0,"[80, 104, 106]"
370,3.0,1.0,"[162, 182, 184]"
255,4.0,1.0,"[33, 122, 124, 125]"
28,1.0,1.0,[102]
221,1.0,1.0,[41]
515,1.0,1.0,[120]
107,1.0,1.0,[152]
530,2.0,1.0,"[87, 94]"
112,2.0,1.0,"[168, 169]"
92,1.0,1.0,[70]
133,1.0,1.0,[83]
149,1.0,1.0,[35]
216,2.0,1.0,"[33, 165]"
534,1.0,1.0,[115]
420,1.0,1.0,[94]
192,1.0,1.0,[147]
264,3.0,1.0,"[28, 31, 39]"
489,2.0,1.0,"[88, 91]"
1,1.0,1.0,[109]
94,5.0,1.0,"[16, 77, 112, 113, 114]"
371,1.0,1.0,[148]
378,2.0,1.0,"[129, 135]"
46,1.0,1.0,[176]
435,2.0,1.0,"[24, 40]"
204,4.0,1.0,"[2, 20, 43, 74]"
543,3.0,1.0,"[18, 50, 60]"
14,1.0,1.0,[27]
408,3.0,1.0,"[141, 181, 182]"
321,1.0,1.0,[177]
294,1.0,1.0,[26]
3,3.0,1.0,"[37, 39, 72]"
126,1.0,1.0,[24]
466,2.0,1.0,"[105, 137]"
86,3.0,1.0,"[129, 182, 187]"
187,2.0,1.0,"[56, 57]"
276,2.0,1.0,"[34, 168]"
61,1.0,1.0,[54]
536,1.0,1.0,[140]
430,3.0,1.0,"[32, 95, 96]"
244,3.0,1.0,"[162, 173, 174]"
288,1.0,1.0,[56]
235,1.0,1.0,[23]
403,1.0,1.0,[13]
442,2.0,1.0,"[82, 106]"
184,1.0,1.0,[150]
438,2.0,1.0,"[18, 33]"
50,3.0,1.0,"[87, 115, 119]"
237,1.0,1.0,[11]
307,1.0,1.0,[173]
419,1.0,1.0,[198]
139,1.0,1.0,[142]
162,1.0,1.0,[81]
432,1.0,1.0,[21]
257,1.0,1.0,[57]
462,3.0,1.0,"[20, 41, 117]"
404,5.0,1.0,"[5, 88, 92, 112, 119]"
13,1.0,1.0,[34]
448,1.0,1.0,[8]
377,3.0,1.0,"[188, 192, 193]"
424,2.0,1.0,"[84, 85]"
273,1.0,1.0,[3]
292,1.0,1.0,[45]
463,1.0,1.0,[30]
413,2.0,1.0,"[152, 157]"
119,1.0,1.0,[149]
473,1.0,1.0,[126]
229,2.0,1.0,"[5, 68]"
191,1.0,1.0,[99]
405,1.0,1.0,[5]
228,4.0,1.0,"[15, 21, 88, 89]"
397,1.0,1.0,[73]
512,1.0,1.0,[104]
91,1.0,1.0,[179]
158,2.0,1.0,"[165, 172]"
310,5.0,1.0,"[28, 89, 90, 91, 93]"
214,1.0,1.0,[159]
8,2.0,1.0,"[73, 79]"
212,1.0,1.0,[42]
301,1.0,1.0,[128]
525,1.0,1.0,[1]
287,3.0,1.0,"[44, 98, 99]"
392,2.0,1.0,"[158, 161]"
383,1.0,1.0,[95]
538,3.0,1.0,"[6, 11, 60]"
540,2.0,1.0,"[85, 93]"
195,2.0,1.0,"[6, 46]"
315,1.0,1.0,[101]
181,2.0,1.0,"[197, 198]"
523,2.0,1.0,"[166, 167]"
485,1.0,1.0,[83]
460,3.0,1.0,"[98, 102, 106]"
457,1.0,1.0,[140]
4,1.0,1.0,[65]
277,1.0,1.0,[8]
452,2.0,1.0,"[192, 194]"
280,3.0,1.0,"[22, 24, 141]"
90,2.0,1.0,"[53, 101]"
285,1.0,1.0,[37]
9,1.0,1.0,[61]
