,used,exhausted,rounds
541,1.0,1.0,[0]
304,1.0,1.0,[0]
270,1.0,1.0,[0]
533,1.0,1.0,[0]
373,1.0,1.0,[0]
329,1.0,1.0,[0]
155,1.0,1.0,[0]
202,1.0,1.0,[0]
478,1.0,1.0,[0]
353,1.0,1.0,[0]
335,1.0,1.0,[0]
334,1.0,1.0,[0]
33,1.0,1.0,[0]
342,1.0,1.0,[0]
72,1.0,1.0,[0]
179,1.0,1.0,[0]
272,1.0,1.0,[0]
51,1.0,1.0,[0]
316,1.0,1.0,[0]
548,1.0,1.0,[0]
151,1.0,1.0,[0]
340,1.0,1.0,[0]
71,1.0,1.0,[0]
322,1.0,1.0,[0]
127,1.0,1.0,[0]
341,1.0,1.0,[0]
96,1.0,1.0,[0]
467,1.0,1.0,[200]
345,1.0,1.0,[170]
363,1.0,1.0,[68]
417,1.0,1.0,[111]
44,3.0,1.0,"[86, 87, 88]"
551,2.0,1.0,"[88, 89]"
356,1.0,1.0,[13]
159,1.0,1.0,[115]
474,2.0,1.0,"[177, 195]"
526,3.0,1.0,"[74, 123, 126]"
379,1.0,1.0,[111]
480,1.0,1.0,[16]
78,6.0,1.0,"[48, 106, 112, 115, 125, 128]"
210,1.0,1.0,[14]
366,2.0,1.0,"[5, 63]"
312,1.0,1.0,[3]
101,4.0,1.0,"[115, 147, 155, 167]"
355,2.0,1.0,"[127, 152]"
198,1.0,1.0,[166]
436,2.0,1.0,"[132, 133]"
446,1.0,1.0,[16]
134,4.0,1.0,"[101, 110, 116, 120]"
529,1.0,1.0,[111]
106,1.0,1.0,[61]
175,2.0,1.0,"[117, 135]"
31,1.0,1.0,[4]
209,2.0,1.0,"[168, 172]"
426,4.0,1.0,"[73, 83, 84, 85]"
178,3.0,1.0,"[119, 120, 121]"
180,2.0,1.0,"[172, 181]"
19,1.0,1.0,[78]
447,2.0,1.0,"[9, 11]"
154,6.0,1.0,"[15, 23, 39, 40, 41, 42]"
291,6.0,1.0,"[31, 32, 33, 34, 35, 36]"
486,4.0,1.0,"[36, 67, 68, 69]"
278,2.0,1.0,"[160, 189]"
381,1.0,1.0,[137]
314,2.0,1.0,"[105, 133]"
317,1.0,1.0,[87]
305,4.0,1.0,"[57, 98, 100, 101]"
11,1.0,1.0,[54]
76,2.0,1.0,"[121, 128]"
53,2.0,1.0,"[14, 48]"
268,1.0,1.0,[110]
62,1.0,1.0,[150]
84,2.0,1.0,"[86, 143]"
502,1.0,1.0,[32]
95,2.0,1.0,"[103, 144]"
142,3.0,1.0,"[8, 62, 63]"
68,1.0,1.0,[180]
289,1.0,1.0,[98]
230,1.0,1.0,[75]
7,2.0,1.0,"[20, 21]"
297,1.0,1.0,[133]
425,5.0,1.0,"[75, 95, 96, 102, 113]"
231,1.0,1.0,[155]
469,1.0,1.0,[50]
311,2.0,1.0,"[23, 47]"
509,1.0,1.0,[121]
421,1.0,1.0,[54]
328,1.0,1.0,[190]
219,4.0,1.0,"[10, 13, 18, 19]"
398,1.0,1.0,[177]
246,1.0,1.0,[3]
207,1.0,1.0,[103]
313,4.0,1.0,"[145, 168, 182, 183]"
320,1.0,1.0,[35]
451,1.0,1.0,[142]
190,1.0,1.0,[30]
319,3.0,1.0,"[137, 140, 141]"
105,1.0,1.0,[8]
213,1.0,1.0,[147]
537,1.0,1.0,[43]
406,2.0,1.0,"[23, 101]"
450,4.0,1.0,"[105, 123, 158, 160]"
327,1.0,1.0,[197]
75,1.0,1.0,[190]
410,2.0,1.0,"[153, 157]"
18,1.0,1.0,[14]
396,2.0,1.0,"[9, 47]"
477,1.0,1.0,[175]
384,2.0,1.0,"[155, 160]"
132,1.0,1.0,[21]
394,1.0,1.0,[85]
128,7.0,1.0,"[16, 44, 45, 50, 51, 53, 54]"
295,1.0,1.0,[179]
493,2.0,1.0,"[47, 50]"
103,1.0,1.0,[117]
183,1.0,1.0,[153]
553,1.0,1.0,[157]
507,4.0,1.0,"[8, 20, 22, 23]"
362,1.0,1.0,[38]
418,3.0,1.0,"[17, 48, 49]"
258,2.0,1.0,"[161, 167]"
32,2.0,1.0,"[143, 149]"
521,1.0,1.0,[13]
141,1.0,1.0,[139]
527,4.0,1.0,"[156, 173, 174, 177]"
253,3.0,1.0,"[106, 108, 109]"
147,1.0,1.0,[144]
431,3.0,1.0,"[78, 108, 109]"
370,3.0,1.0,"[145, 152, 159]"
255,4.0,1.0,"[51, 71, 72, 73]"
28,1.0,1.0,[163]
221,1.0,1.0,[98]
515,1.0,1.0,[11]
107,1.0,1.0,[138]
530,2.0,1.0,"[4, 62]"
112,2.0,1.0,"[169, 174]"
92,1.0,1.0,[69]
133,1.0,1.0,[105]
149,1.0,1.0,[59]
216,2.0,1.0,"[158, 174]"
534,1.0,1.0,[156]
420,1.0,1.0,[129]
192,1.0,1.0,[119]
264,3.0,1.0,"[25, 32, 33]"
489,2.0,1.0,"[87, 89]"
1,1.0,1.0,[47]
94,5.0,1.0,"[76, 92, 94, 98, 99]"
371,1.0,1.0,[150]
378,2.0,1.0,"[128, 131]"
46,1.0,1.0,[163]
435,2.0,1.0,"[38, 51]"
204,4.0,1.0,"[5, 53, 54, 55]"
543,3.0,1.0,"[23, 42, 54]"
14,1.0,1.0,[21]
408,3.0,1.0,"[171, 173, 178]"
321,1.0,1.0,[172]
294,1.0,1.0,[39]
3,3.0,1.0,"[93, 122, 127]"
126,1.0,1.0,[30]
466,2.0,1.0,"[9, 178]"
86,3.0,1.0,"[192, 193, 197]"
187,2.0,1.0,"[17, 18]"
276,2.0,1.0,"[166, 180]"
61,1.0,1.0,[43]
536,1.0,1.0,[176]
430,3.0,1.0,"[51, 70, 71]"
244,3.0,1.0,"[153, 155, 171]"
288,1.0,1.0,[26]
235,1.0,1.0,[48]
403,1.0,1.0,[1]
442,2.0,1.0,"[62, 65]"
184,1.0,1.0,[127]
438,2.0,1.0,"[35, 72]"
50,3.0,1.0,"[94, 97, 107]"
237,1.0,1.0,[21]
307,1.0,1.0,[200]
419,1.0,1.0,[196]
139,1.0,1.0,[126]
162,1.0,1.0,[52]
432,1.0,1.0,[49]
257,1.0,1.0,[124]
462,3.0,1.0,"[26, 60, 61]"
404,5.0,1.0,"[9, 74, 76, 77, 78]"
13,1.0,1.0,[29]
448,1.0,1.0,[41]
377,3.0,1.0,"[191, 195, 196]"
424,2.0,1.0,"[67, 68]"
273,1.0,1.0,[3]
292,1.0,1.0,[18]
463,1.0,1.0,[24]
413,2.0,1.0,"[176, 186]"
119,1.0,1.0,[121]
473,1.0,1.0,[151]
229,2.0,1.0,"[37, 74]"
191,1.0,1.0,[127]
405,1.0,1.0,[5]
228,4.0,1.0,"[26, 58, 59, 60]"
397,1.0,1.0,[112]
512,1.0,1.0,[172]
91,1.0,1.0,[199]
158,2.0,1.0,"[185, 187]"
310,5.0,1.0,"[13, 72, 80, 81, 82]"
214,1.0,1.0,[173]
8,2.0,1.0,"[58, 65]"
212,1.0,1.0,[24]
301,1.0,1.0,[152]
525,1.0,1.0,[1]
287,3.0,1.0,"[60, 63, 64]"
392,2.0,1.0,"[179, 182]"
383,1.0,1.0,[74]
538,3.0,1.0,"[7, 43, 44]"
540,2.0,1.0,"[56, 57]"
195,2.0,1.0,"[10, 27]"
315,1.0,1.0,[104]
181,2.0,1.0,"[156, 164]"
523,2.0,1.0,"[161, 165]"
485,1.0,1.0,[139]
460,3.0,1.0,"[92, 120, 134]"
457,1.0,1.0,[78]
4,1.0,1.0,[49]
277,1.0,1.0,[17]
452,2.0,1.0,"[191, 192]"
280,3.0,1.0,"[7, 81, 100]"
90,2.0,1.0,"[66, 99]"
285,1.0,1.0,[89]
9,1.0,1.0,[48]
