,used,exhausted,rounds
541,1.0,1.0,[0]
304,1.0,1.0,[0]
270,1.0,1.0,[0]
533,1.0,1.0,[0]
373,1.0,1.0,[0]
329,1.0,1.0,[0]
155,1.0,1.0,[0]
202,1.0,1.0,[0]
478,1.0,1.0,[0]
353,1.0,1.0,[0]
335,1.0,1.0,[0]
334,1.0,1.0,[0]
33,1.0,1.0,[0]
342,1.0,1.0,[0]
72,1.0,1.0,[0]
179,1.0,1.0,[0]
272,1.0,1.0,[0]
51,1.0,1.0,[0]
316,1.0,1.0,[0]
548,1.0,1.0,[0]
151,1.0,1.0,[0]
340,1.0,1.0,[0]
71,1.0,1.0,[0]
322,1.0,1.0,[0]
127,1.0,1.0,[0]
341,1.0,1.0,[0]
96,1.0,1.0,[0]
467,1.0,1.0,[4]
345,1.0,1.0,[190]
363,1.0,1.0,[65]
417,1.0,1.0,[187]
44,3.0,1.0,"[123, 124, 144]"
551,2.0,1.0,"[76, 82]"
356,1.0,1.0,[101]
159,1.0,1.0,[121]
474,2.0,1.0,"[158, 167]"
526,3.0,1.0,"[63, 151, 152]"
379,1.0,1.0,[15]
480,1.0,1.0,[3]
78,6.0,1.0,"[83, 98, 99, 100, 123, 126]"
210,1.0,1.0,[97]
366,2.0,1.0,"[11, 24]"
312,1.0,1.0,[14]
101,4.0,1.0,"[158, 160, 162, 167]"
355,2.0,1.0,"[97, 184]"
198,1.0,1.0,[133]
436,2.0,1.0,"[76, 128]"
446,1.0,1.0,[11]
134,4.0,1.0,"[29, 38, 70, 78]"
529,1.0,1.0,[76]
106,1.0,1.0,[149]
175,2.0,1.0,"[123, 151]"
31,1.0,1.0,[60]
209,2.0,1.0,"[126, 151]"
426,4.0,1.0,"[167, 173, 174, 175]"
178,3.0,1.0,"[46, 97, 146]"
180,2.0,1.0,"[114, 155]"
19,1.0,1.0,[114]
447,2.0,1.0,"[16, 47]"
154,6.0,1.0,"[79, 85, 144, 153, 154, 159]"
291,6.0,1.0,"[52, 79, 82, 83, 85, 89]"
486,4.0,1.0,"[54, 55, 64, 154]"
278,2.0,1.0,"[82, 85]"
381,1.0,1.0,[131]
314,2.0,1.0,"[47, 70]"
317,1.0,1.0,[91]
305,4.0,1.0,"[3, 5, 113, 173]"
11,1.0,1.0,[149]
76,2.0,1.0,"[49, 94]"
53,2.0,1.0,"[71, 170]"
268,1.0,1.0,[176]
62,1.0,1.0,[95]
84,2.0,1.0,"[128, 133]"
502,1.0,1.0,[74]
95,2.0,1.0,"[13, 64]"
142,3.0,1.0,"[66, 139, 141]"
68,1.0,1.0,[192]
289,1.0,1.0,[80]
230,1.0,1.0,[145]
7,2.0,1.0,"[69, 88]"
297,1.0,1.0,[146]
425,5.0,1.0,"[12, 41, 67, 77, 78]"
231,1.0,1.0,[51]
469,1.0,1.0,[50]
311,2.0,1.0,"[10, 65]"
509,1.0,1.0,[93]
421,1.0,1.0,[47]
328,1.0,1.0,[200]
219,4.0,1.0,"[58, 59, 159, 168]"
398,1.0,1.0,[191]
246,1.0,1.0,[58]
207,1.0,1.0,[144]
313,4.0,1.0,"[16, 74, 174, 184]"
320,1.0,1.0,[108]
451,1.0,1.0,[4]
190,1.0,1.0,[51]
319,3.0,1.0,"[160, 176, 181]"
105,1.0,1.0,[37]
213,1.0,1.0,[105]
537,1.0,1.0,[121]
406,2.0,1.0,"[55, 85]"
450,4.0,1.0,"[75, 168, 169, 173]"
327,1.0,1.0,[142]
75,1.0,1.0,[27]
410,2.0,1.0,"[177, 179]"
18,1.0,1.0,[42]
396,2.0,1.0,"[54, 81]"
477,1.0,1.0,[195]
384,2.0,1.0,"[45, 89]"
132,1.0,1.0,[9]
394,1.0,1.0,[36]
128,7.0,1.0,"[104, 106, 118, 119, 129, 132, 134]"
295,1.0,1.0,[107]
493,2.0,1.0,"[102, 111]"
103,1.0,1.0,[14]
183,1.0,1.0,[147]
553,1.0,1.0,[50]
507,4.0,1.0,"[8, 41, 77, 95]"
362,1.0,1.0,[10]
418,3.0,1.0,"[21, 22, 23]"
258,2.0,1.0,"[87, 188]"
32,2.0,1.0,"[173, 180]"
521,1.0,1.0,[1]
141,1.0,1.0,[170]
527,4.0,1.0,"[107, 116, 117, 132]"
253,3.0,1.0,"[29, 42, 156]"
147,1.0,1.0,[73]
431,3.0,1.0,"[113, 114, 115]"
370,3.0,1.0,"[1, 171, 190]"
255,4.0,1.0,"[31, 96, 191, 192]"
28,1.0,1.0,[182]
221,1.0,1.0,[28]
515,1.0,1.0,[65]
107,1.0,1.0,[25]
530,2.0,1.0,"[19, 87]"
112,2.0,1.0,"[49, 158]"
92,1.0,1.0,[148]
133,1.0,1.0,[186]
149,1.0,1.0,[155]
216,2.0,1.0,"[7, 51]"
534,1.0,1.0,[103]
420,1.0,1.0,[2]
192,1.0,1.0,[180]
264,3.0,1.0,"[93, 127, 147]"
489,2.0,1.0,"[116, 133]"
1,1.0,1.0,[143]
94,5.0,1.0,"[66, 67, 68, 77, 78]"
371,1.0,1.0,[195]
378,2.0,1.0,"[155, 160]"
46,1.0,1.0,[122]
435,2.0,1.0,"[33, 34]"
204,4.0,1.0,"[6, 26, 39, 40]"
543,3.0,1.0,"[1, 43, 62]"
14,1.0,1.0,[147]
408,3.0,1.0,"[92, 109, 119]"
321,1.0,1.0,[119]
294,1.0,1.0,[102]
3,3.0,1.0,"[7, 34, 48]"
126,1.0,1.0,[189]
466,2.0,1.0,"[28, 41]"
86,3.0,1.0,"[49, 135, 148]"
187,2.0,1.0,"[30, 70]"
276,2.0,1.0,"[80, 153]"
61,1.0,1.0,[72]
536,1.0,1.0,[129]
430,3.0,1.0,"[23, 92, 93]"
244,3.0,1.0,"[200, 201, 202]"
288,1.0,1.0,[96]
235,1.0,1.0,[34]
403,1.0,1.0,[6]
442,2.0,1.0,"[59, 67]"
184,1.0,1.0,[142]
438,2.0,1.0,"[20, 39]"
50,3.0,1.0,"[71, 87, 105]"
237,1.0,1.0,[22]
307,1.0,1.0,[178]
419,1.0,1.0,[175]
139,1.0,1.0,[200]
162,1.0,1.0,[75]
432,1.0,1.0,[63]
257,1.0,1.0,[81]
462,3.0,1.0,"[12, 21, 43]"
404,5.0,1.0,"[15, 32, 45, 46, 117]"
13,1.0,1.0,[101]
448,1.0,1.0,[2]
377,3.0,1.0,"[194, 195, 196]"
424,2.0,1.0,"[187, 199]"
273,1.0,1.0,[58]
292,1.0,1.0,[4]
463,1.0,1.0,[25]
413,2.0,1.0,"[154, 156]"
119,1.0,1.0,[43]
473,1.0,1.0,[198]
229,2.0,1.0,"[37, 50]"
191,1.0,1.0,[29]
405,1.0,1.0,[6]
228,4.0,1.0,"[24, 32, 135, 165]"
397,1.0,1.0,[104]
512,1.0,1.0,[63]
91,1.0,1.0,[199]
158,2.0,1.0,"[7, 159]"
310,5.0,1.0,"[48, 105, 185, 188, 189]"
214,1.0,1.0,[199]
8,2.0,1.0,"[177, 178]"
212,1.0,1.0,[140]
301,1.0,1.0,[128]
525,1.0,1.0,[15]
287,3.0,1.0,"[50, 137, 165]"
392,2.0,1.0,"[9, 163]"
383,1.0,1.0,[90]
538,3.0,1.0,"[19, 24, 49]"
540,2.0,1.0,"[99, 100]"
195,2.0,1.0,"[24, 26]"
315,1.0,1.0,[172]
181,2.0,1.0,"[107, 146]"
523,2.0,1.0,"[122, 163]"
485,1.0,1.0,[139]
460,3.0,1.0,"[152, 170, 177]"
457,1.0,1.0,[61]
4,1.0,1.0,[124]
277,1.0,1.0,[25]
452,2.0,1.0,"[157, 159]"
280,3.0,1.0,"[12, 16, 61]"
90,2.0,1.0,"[21, 23]"
285,1.0,1.0,[27]
9,1.0,1.0,[16]
