,used,exhausted,rounds
510,1.0,1.0,[0]
457,1.0,1.0,[0]
479,1.0,1.0,[0]
423,1.0,1.0,[0]
211,1.0,1.0,[0]
345,1.0,1.0,[0]
94,1.0,1.0,[0]
412,1.0,1.0,[0]
419,1.0,1.0,[0]
528,1.0,1.0,[0]
487,1.0,1.0,[0]
245,1.0,1.0,[0]
503,1.0,1.0,[0]
320,1.0,1.0,[0]
1,1.0,1.0,[0]
187,1.0,1.0,[0]
342,1.0,1.0,[0]
288,1.0,1.0,[0]
376,1.0,1.0,[0]
360,1.0,1.0,[0]
517,1.0,1.0,[0]
356,1.0,1.0,[0]
305,1.0,1.0,[0]
171,1.0,1.0,[0]
409,1.0,1.0,[0]
139,1.0,1.0,[0]
137,1.0,1.0,[0]
178,1.0,1.0,[8]
243,1.0,1.0,[53]
499,1.0,1.0,[89]
26,1.0,1.0,[6]
531,3.0,1.0,"[32, 85, 86]"
8,2.0,1.0,"[35, 36]"
246,1.0,1.0,[106]
284,1.0,1.0,[131]
197,2.0,1.0,"[73, 94]"
162,3.0,1.0,"[105, 133, 156]"
477,1.0,1.0,[165]
466,1.0,1.0,[150]
474,6.0,1.0,"[64, 152, 153, 188, 190, 191]"
529,1.0,1.0,[37]
63,2.0,1.0,"[114, 116]"
378,1.0,1.0,[36]
13,4.0,1.0,"[65, 83, 84, 85]"
473,2.0,1.0,"[76, 78]"
12,1.0,1.0,[21]
25,2.0,1.0,"[85, 181]"
287,1.0,1.0,[182]
451,4.0,1.0,"[158, 172, 173, 196]"
358,1.0,1.0,[67]
144,1.0,1.0,[35]
18,2.0,1.0,"[96, 97]"
489,1.0,1.0,[87]
500,2.0,1.0,"[36, 41]"
395,4.0,1.0,"[125, 157, 162, 163]"
261,3.0,1.0,"[44, 50, 119]"
224,2.0,1.0,"[178, 185]"
326,1.0,1.0,[38]
66,2.0,1.0,"[122, 128]"
196,6.0,1.0,"[135, 139, 177, 180, 181, 182]"
506,6.0,1.0,"[102, 111, 120, 124, 127, 128]"
447,4.0,1.0,"[73, 76, 78, 81]"
132,2.0,1.0,"[160, 161]"
47,1.0,1.0,[7]
253,2.0,1.0,"[63, 136]"
518,1.0,1.0,[164]
492,4.0,1.0,"[82, 83, 84, 138]"
463,1.0,1.0,[191]
389,2.0,1.0,"[124, 136]"
470,2.0,1.0,"[35, 77]"
552,1.0,1.0,[31]
338,1.0,1.0,[6]
312,2.0,1.0,"[169, 198]"
33,1.0,1.0,[123]
93,2.0,1.0,"[19, 29]"
268,3.0,1.0,"[12, 44, 71]"
135,1.0,1.0,[121]
276,1.0,1.0,[125]
304,1.0,1.0,[153]
494,2.0,1.0,"[156, 186]"
23,1.0,1.0,[79]
167,5.0,1.0,"[48, 65, 124, 164, 174]"
462,1.0,1.0,[12]
172,1.0,1.0,[166]
557,2.0,1.0,"[195, 197]"
60,1.0,1.0,[95]
229,1.0,1.0,[96]
220,1.0,1.0,[197]
73,4.0,1.0,"[40, 63, 68, 69]"
301,1.0,1.0,[71]
87,1.0,1.0,[45]
145,1.0,1.0,[147]
99,4.0,1.0,"[59, 67, 80, 104]"
164,1.0,1.0,[47]
333,1.0,1.0,[162]
273,1.0,1.0,[37]
80,3.0,1.0,"[34, 48, 49]"
541,1.0,1.0,[108]
191,1.0,1.0,[99]
536,1.0,1.0,[24]
109,2.0,1.0,"[80, 103]"
103,4.0,1.0,"[88, 117, 123, 156]"
508,1.0,1.0,[28]
46,1.0,1.0,[100]
483,2.0,1.0,"[155, 188]"
486,1.0,1.0,[86]
176,2.0,1.0,"[191, 196]"
72,1.0,1.0,[2]
282,2.0,1.0,"[97, 98]"
414,1.0,1.0,[137]
442,1.0,1.0,[115]
216,7.0,1.0,"[130, 147, 165, 175, 183, 184, 185]"
173,1.0,1.0,[173]
290,2.0,1.0,"[90, 91]"
398,1.0,1.0,[79]
363,1.0,1.0,[4]
112,1.0,1.0,[129]
372,4.0,1.0,"[186, 187, 188, 189]"
446,1.0,1.0,[94]
37,3.0,1.0,"[26, 28, 106]"
512,2.0,1.0,"[88, 123]"
277,2.0,1.0,"[118, 187]"
240,1.0,1.0,[10]
151,1.0,1.0,[35]
493,4.0,1.0,"[25, 52, 56, 61]"
126,3.0,1.0,"[9, 32, 49]"
538,1.0,1.0,[67]
74,3.0,1.0,"[197, 198, 199]"
48,3.0,1.0,"[132, 138, 172]"
204,4.0,1.0,"[14, 32, 33, 41]"
422,1.0,1.0,[198]
69,1.0,1.0,[140]
68,1.0,1.0,[5]
428,1.0,1.0,[98]
545,2.0,1.0,"[145, 193]"
228,2.0,1.0,"[64, 115]"
371,1.0,1.0,[170]
359,1.0,1.0,[144]
420,1.0,1.0,[149]
400,2.0,1.0,"[65, 70]"
222,1.0,1.0,[133]
152,1.0,1.0,[163]
279,1.0,1.0,[122]
71,3.0,1.0,"[7, 9, 23]"
448,2.0,1.0,"[8, 16]"
497,1.0,1.0,[143]
396,5.0,1.0,"[53, 96, 104, 108, 109]"
256,1.0,1.0,[17]
388,2.0,1.0,"[106, 107]"
302,1.0,1.0,[200]
2,2.0,1.0,"[99, 197]"
449,4.0,1.0,"[41, 56, 57, 58]"
44,3.0,1.0,"[157, 170, 178]"
368,1.0,1.0,[134]
119,3.0,1.0,"[93, 128, 136]"
415,1.0,1.0,[112]
507,1.0,1.0,[196]
390,3.0,1.0,"[161, 177, 193]"
555,1.0,1.0,[94]
399,2.0,1.0,"[20, 29]"
90,3.0,1.0,"[86, 92, 98]"
59,2.0,1.0,"[187, 190]"
353,2.0,1.0,"[116, 158]"
476,1.0,1.0,[100]
443,1.0,1.0,[93]
134,3.0,1.0,"[118, 123, 124]"
460,3.0,1.0,"[3, 8, 13]"
235,1.0,1.0,[29]
226,1.0,1.0,[67]
264,1.0,1.0,[50]
205,2.0,1.0,"[146, 168]"
406,1.0,1.0,[81]
65,2.0,1.0,"[95, 111]"
177,3.0,1.0,"[129, 143, 172]"
209,1.0,1.0,[51]
434,1.0,1.0,[142]
344,1.0,1.0,[119]
78,1.0,1.0,[53]
271,1.0,1.0,[137]
525,1.0,1.0,[141]
180,1.0,1.0,[6]
184,3.0,1.0,"[2, 72, 73]"
95,5.0,1.0,"[40, 90, 91, 92, 107]"
424,1.0,1.0,[113]
79,1.0,1.0,[10]
521,3.0,1.0,"[75, 95, 97]"
50,2.0,1.0,"[69, 71]"
298,1.0,1.0,[36]
337,1.0,1.0,[42]
310,1.0,1.0,[58]
501,2.0,1.0,"[78, 90]"
101,1.0,1.0,[134]
432,1.0,1.0,[25]
383,2.0,1.0,"[51, 80]"
82,1.0,1.0,[128]
514,1.0,1.0,[54]
546,4.0,1.0,"[28, 33, 37, 38]"
292,1.0,1.0,[47]
553,1.0,1.0,[83]
232,1.0,1.0,[87]
64,2.0,1.0,"[2, 3]"
20,5.0,1.0,"[18, 22, 60, 61, 62]"
70,1.0,1.0,[189]
544,2.0,1.0,"[136, 141]"
307,1.0,1.0,[53]
272,1.0,1.0,[54]
283,1.0,1.0,[55]
355,3.0,1.0,"[1, 2, 3]"
437,2.0,1.0,"[34, 91]"
265,1.0,1.0,[139]
407,3.0,1.0,"[152, 179, 196]"
526,2.0,1.0,"[104, 122]"
219,2.0,1.0,"[54, 113]"
392,1.0,1.0,[35]
210,2.0,1.0,"[17, 59]"
374,2.0,1.0,"[189, 190]"
237,1.0,1.0,[192]
269,3.0,1.0,"[139, 148, 159]"
115,1.0,1.0,[166]
202,1.0,1.0,[15]
430,1.0,1.0,[105]
405,2.0,1.0,"[46, 69]"
352,3.0,1.0,"[183, 185, 186]"
107,2.0,1.0,"[131, 195]"
5,1.0,1.0,[7]
154,1.0,1.0,[92]
315,3.0,1.0,"[52, 97, 98]"
341,5.0,1.0,"[157, 158, 159, 180, 181]"
329,1.0,1.0,[155]
475,4.0,1.0,"[18, 21, 24, 28]"
258,1.0,1.0,[17]
456,2.0,1.0,"[88, 162]"
394,1.0,1.0,[88]
27,1.0,1.0,[141]
491,2.0,1.0,"[187, 189]"
54,1.0,1.0,[47]
218,2.0,1.0,"[120, 135]"
105,1.0,1.0,[162]
198,2.0,1.0,"[48, 137]"
138,1.0,1.0,[136]
22,3.0,1.0,"[40, 98, 101]"
306,1.0,1.0,[6]
484,1.0,1.0,[14]
55,2.0,1.0,"[1, 10]"
468,1.0,1.0,[184]
416,1.0,1.0,[191]
155,1.0,1.0,[171]
156,1.0,1.0,[117]
386,2.0,1.0,"[57, 66]"
6,1.0,1.0,[45]
387,2.0,1.0,"[5, 19]"
9,4.0,1.0,"[25, 27, 33, 43]"
511,1.0,1.0,[83]
537,1.0,1.0,[123]
190,6.0,1.0,"[63, 119, 176, 178, 189, 190]"
379,4.0,1.0,"[117, 153, 163, 177]"
141,1.0,1.0,[49]
212,3.0,1.0,"[115, 117, 121]"
461,1.0,1.0,[22]
250,1.0,1.0,[50]
332,1.0,1.0,[129]
56,2.0,1.0,"[131, 132]"
454,1.0,1.0,[87]
382,5.0,1.0,"[93, 139, 142, 143, 151]"
53,2.0,1.0,"[26, 99]"
147,5.0,1.0,"[33, 34, 37, 57, 58]"
539,1.0,1.0,[25]
206,2.0,1.0,"[11, 15]"
393,2.0,1.0,"[142, 179]"
496,5.0,1.0,"[22, 93, 94, 96, 97]"
127,1.0,1.0,[158]
113,1.0,1.0,[66]
118,3.0,1.0,"[86, 126, 127]"
408,1.0,1.0,[92]
84,1.0,1.0,[31]
453,1.0,1.0,[89]
413,1.0,1.0,[108]
169,2.0,1.0,"[11, 16]"
293,1.0,1.0,[63]
300,1.0,1.0,[118]
322,1.0,1.0,[48]
255,1.0,1.0,[7]
458,1.0,1.0,[106]
533,2.0,1.0,"[24, 48]"
106,1.0,1.0,[2]
67,1.0,1.0,[62]
296,2.0,1.0,"[32, 68]"
175,1.0,1.0,[165]
4,1.0,1.0,[15]
91,2.0,1.0,"[155, 173]"
77,4.0,1.0,"[29, 31, 38, 47]"
39,4.0,1.0,"[56, 67, 69, 70]"
410,3.0,1.0,"[111, 134, 135]"
490,2.0,1.0,"[82, 84]"
249,2.0,1.0,"[170, 173]"
402,1.0,1.0,[156]
225,4.0,1.0,"[39, 80, 101, 103]"
330,1.0,1.0,[4]
311,1.0,1.0,[49]
313,1.0,1.0,[154]
519,1.0,1.0,[43]
348,1.0,1.0,[23]
124,2.0,1.0,"[26, 82]"
436,1.0,1.0,[30]
509,1.0,1.0,[101]
351,1.0,1.0,[112]
522,1.0,1.0,[109]
85,1.0,1.0,[62]
439,1.0,1.0,[10]
433,5.0,1.0,"[86, 141, 142, 153, 154]"
370,7.0,1.0,"[135, 147, 153, 154, 162, 164, 174]"
122,2.0,1.0,"[4, 26]"
285,1.0,1.0,[13]
354,3.0,1.0,"[72, 100, 166]"
441,1.0,1.0,[40]
7,2.0,1.0,"[116, 144]"
214,1.0,1.0,[11]
207,2.0,1.0,"[1, 5]"
516,3.0,1.0,"[201, 202, 203]"
328,1.0,1.0,[134]
274,1.0,1.0,[142]
418,5.0,1.0,"[96, 107, 113, 114, 115]"
435,1.0,1.0,[52]
431,4.0,1.0,"[116, 121, 144, 146]"
28,1.0,1.0,[93]
297,5.0,1.0,"[51, 65, 75, 76, 77]"
98,2.0,1.0,"[151, 167]"
117,1.0,1.0,[13]
150,3.0,1.0,"[139, 174, 175]"
181,3.0,1.0,"[156, 161, 164]"
281,1.0,1.0,[157]
213,2.0,1.0,"[126, 148]"
129,1.0,1.0,[62]
369,4.0,1.0,"[79, 104, 105, 134]"
208,3.0,1.0,"[1, 5, 7]"
385,1.0,1.0,[198]
452,1.0,1.0,[181]
58,1.0,1.0,[68]
455,2.0,1.0,"[51, 102]"
270,1.0,1.0,[79]
403,4.0,1.0,"[169, 171, 172, 183]"
89,1.0,1.0,[89]
472,1.0,1.0,[199]
327,1.0,1.0,[161]
426,1.0,1.0,[21]
280,2.0,1.0,"[130, 168]"
547,3.0,1.0,"[60, 71, 110]"
43,1.0,1.0,[143]
203,11.0,1.0,"[118, 148, 154, 160, 161, 164, 166, 167, 168, 169, 170]"
515,1.0,1.0,[121]
170,1.0,1.0,[39]
108,2.0,1.0,"[77, 85]"
384,1.0,1.0,[140]
263,1.0,1.0,[89]
291,3.0,1.0,"[169, 171, 194]"
159,6.0,1.0,"[140, 183, 188, 190, 191, 192]"
373,1.0,1.0,[127]
481,1.0,1.0,[87]
174,4.0,1.0,"[149, 193, 194, 195]"
336,5.0,1.0,"[102, 110, 127, 144, 171]"
524,1.0,1.0,[99]
120,1.0,1.0,[105]
502,2.0,1.0,"[19, 21]"
319,2.0,1.0,"[160, 182]"
45,2.0,1.0,"[95, 117]"
217,2.0,1.0,"[30, 42]"
51,1.0,1.0,[20]
40,3.0,1.0,"[27, 36, 37]"
62,1.0,1.0,[3]
357,2.0,1.0,"[74, 82]"
295,4.0,1.0,"[42, 44, 45, 46]"
0,2.0,1.0,"[12, 13]"
38,4.0,1.0,"[21, 38, 46, 51]"
314,1.0,1.0,[14]
238,1.0,1.0,[20]
540,1.0,1.0,[113]
