,used,exhausted,rounds
510,1.0,1.0,[0]
457,1.0,1.0,[0]
479,1.0,1.0,[0]
423,1.0,1.0,[0]
211,1.0,1.0,[0]
345,1.0,1.0,[0]
94,1.0,1.0,[0]
412,1.0,1.0,[0]
419,1.0,1.0,[0]
528,1.0,1.0,[0]
487,1.0,1.0,[0]
245,1.0,1.0,[0]
503,1.0,1.0,[0]
320,1.0,1.0,[0]
1,1.0,1.0,[0]
187,1.0,1.0,[0]
342,1.0,1.0,[0]
288,1.0,1.0,[0]
376,1.0,1.0,[0]
360,1.0,1.0,[0]
517,1.0,1.0,[0]
356,1.0,1.0,[0]
305,1.0,1.0,[0]
171,1.0,1.0,[0]
409,1.0,1.0,[0]
139,1.0,1.0,[0]
137,1.0,1.0,[0]
178,1.0,1.0,[116]
243,1.0,1.0,[11]
499,1.0,1.0,[113]
26,1.0,1.0,[148]
531,3.0,1.0,"[53, 83, 84]"
8,2.0,1.0,"[23, 71]"
246,1.0,1.0,[137]
284,1.0,1.0,[139]
197,2.0,1.0,"[4, 157]"
162,3.0,1.0,"[101, 148, 150]"
477,1.0,1.0,[118]
466,1.0,1.0,[65]
474,6.0,1.0,"[117, 158, 161, 180, 181, 182]"
529,1.0,1.0,[22]
63,2.0,1.0,"[140, 161]"
378,1.0,1.0,[34]
13,4.0,1.0,"[119, 121, 151, 156]"
473,2.0,1.0,"[57, 59]"
12,1.0,1.0,[35]
25,2.0,1.0,"[153, 154]"
287,1.0,1.0,[174]
451,4.0,1.0,"[105, 120, 153, 154]"
358,1.0,1.0,[75]
144,1.0,1.0,[47]
18,2.0,1.0,"[148, 151]"
489,1.0,1.0,[52]
500,2.0,1.0,"[45, 80]"
395,4.0,1.0,"[121, 149, 152, 153]"
261,3.0,1.0,"[1, 63, 79]"
224,2.0,1.0,"[87, 149]"
326,1.0,1.0,[22]
66,2.0,1.0,"[18, 40]"
196,6.0,1.0,"[93, 95, 169, 170, 171, 172]"
506,6.0,1.0,"[33, 37, 74, 76, 77, 79]"
447,4.0,1.0,"[115, 120, 122, 123]"
132,2.0,1.0,"[64, 88]"
47,1.0,1.0,[43]
253,2.0,1.0,"[71, 73]"
518,1.0,1.0,[51]
492,4.0,1.0,"[15, 105, 174, 184]"
463,1.0,1.0,[185]
389,2.0,1.0,"[140, 174]"
470,2.0,1.0,"[137, 138]"
552,1.0,1.0,[41]
338,1.0,1.0,[10]
312,2.0,1.0,"[142, 186]"
33,1.0,1.0,[49]
93,2.0,1.0,"[43, 45]"
268,3.0,1.0,"[96, 160, 170]"
135,1.0,1.0,[81]
276,1.0,1.0,[82]
304,1.0,1.0,[109]
494,2.0,1.0,"[88, 104]"
23,1.0,1.0,[36]
167,5.0,1.0,"[66, 179, 183, 184, 185]"
462,1.0,1.0,[9]
172,1.0,1.0,[74]
557,2.0,1.0,"[139, 140]"
60,1.0,1.0,[161]
229,1.0,1.0,[96]
220,1.0,1.0,[158]
73,4.0,1.0,"[64, 141, 156, 157]"
301,1.0,1.0,[86]
87,1.0,1.0,[112]
145,1.0,1.0,[187]
99,4.0,1.0,"[28, 42, 90, 167]"
164,1.0,1.0,[59]
333,1.0,1.0,[35]
273,1.0,1.0,[54]
80,3.0,1.0,"[34, 39, 99]"
541,1.0,1.0,[112]
191,1.0,1.0,[14]
536,1.0,1.0,[111]
109,2.0,1.0,"[2, 75]"
103,4.0,1.0,"[116, 129, 151, 152]"
508,1.0,1.0,[12]
46,1.0,1.0,[131]
483,2.0,1.0,"[57, 153]"
486,1.0,1.0,[118]
176,2.0,1.0,"[166, 188]"
72,1.0,1.0,[9]
282,2.0,1.0,"[125, 134]"
414,1.0,1.0,[146]
442,1.0,1.0,[30]
216,7.0,1.0,"[95, 100, 145, 168, 180, 181, 182]"
173,1.0,1.0,[155]
290,2.0,1.0,"[31, 47]"
398,1.0,1.0,[129]
363,1.0,1.0,[58]
112,1.0,1.0,[35]
372,4.0,1.0,"[125, 130, 168, 176]"
446,1.0,1.0,[124]
37,3.0,1.0,"[157, 163, 164]"
512,2.0,1.0,"[47, 147]"
277,2.0,1.0,"[154, 177]"
240,1.0,1.0,[3]
151,1.0,1.0,[108]
493,4.0,1.0,"[38, 94, 95, 166]"
126,3.0,1.0,"[5, 53, 174]"
538,1.0,1.0,[29]
74,3.0,1.0,"[140, 142, 172]"
48,3.0,1.0,"[16, 19, 168]"
204,4.0,1.0,"[20, 43, 76, 81]"
422,1.0,1.0,[133]
69,1.0,1.0,[165]
68,1.0,1.0,[67]
428,1.0,1.0,[86]
545,2.0,1.0,"[22, 189]"
228,2.0,1.0,"[113, 118]"
371,1.0,1.0,[52]
359,1.0,1.0,[111]
420,1.0,1.0,[17]
400,2.0,1.0,"[70, 91]"
222,1.0,1.0,[8]
152,1.0,1.0,[145]
279,1.0,1.0,[54]
71,3.0,1.0,"[33, 59, 127]"
448,2.0,1.0,"[35, 41]"
497,1.0,1.0,[24]
396,5.0,1.0,"[114, 115, 119, 131, 132]"
256,1.0,1.0,[19]
388,2.0,1.0,"[110, 111]"
302,1.0,1.0,[132]
2,2.0,1.0,"[56, 116]"
449,4.0,1.0,"[147, 148, 149, 150]"
44,3.0,1.0,"[70, 122, 190]"
368,1.0,1.0,[163]
119,3.0,1.0,"[4, 10, 76]"
415,1.0,1.0,[136]
507,1.0,1.0,[161]
390,3.0,1.0,"[162, 191, 192]"
555,1.0,1.0,[80]
399,2.0,1.0,"[24, 61]"
90,3.0,1.0,"[133, 137, 156]"
59,2.0,1.0,"[160, 175]"
353,2.0,1.0,"[111, 170]"
476,1.0,1.0,[57]
443,1.0,1.0,[17]
134,3.0,1.0,"[17, 59, 60]"
460,3.0,1.0,"[198, 199, 200]"
235,1.0,1.0,[162]
226,1.0,1.0,[11]
264,1.0,1.0,[49]
205,2.0,1.0,"[73, 83]"
406,1.0,1.0,[99]
65,2.0,1.0,"[51, 136]"
177,3.0,1.0,"[127, 128, 173]"
209,1.0,1.0,[18]
434,1.0,1.0,[68]
344,1.0,1.0,[16]
78,1.0,1.0,[154]
271,1.0,1.0,[128]
525,1.0,1.0,[149]
180,1.0,1.0,[36]
184,3.0,1.0,"[106, 143, 178]"
95,5.0,1.0,"[76, 81, 85, 89, 92]"
424,1.0,1.0,[5]
79,1.0,1.0,[15]
521,3.0,1.0,"[13, 18, 46]"
50,2.0,1.0,"[15, 26]"
298,1.0,1.0,[59]
337,1.0,1.0,[96]
310,1.0,1.0,[5]
501,2.0,1.0,"[30, 38]"
101,1.0,1.0,[19]
432,1.0,1.0,[62]
383,2.0,1.0,"[11, 35]"
82,1.0,1.0,[24]
514,1.0,1.0,[1]
546,4.0,1.0,"[56, 88, 91, 92]"
292,1.0,1.0,[106]
553,1.0,1.0,[29]
232,1.0,1.0,[100]
64,2.0,1.0,"[55, 135]"
20,5.0,1.0,"[72, 82, 83, 84, 87]"
70,1.0,1.0,[154]
544,2.0,1.0,"[83, 85]"
307,1.0,1.0,[124]
272,1.0,1.0,[81]
283,1.0,1.0,[16]
355,3.0,1.0,"[201, 202, 203]"
437,2.0,1.0,"[125, 126]"
265,1.0,1.0,[92]
407,3.0,1.0,"[195, 196, 197]"
526,2.0,1.0,"[28, 32]"
219,2.0,1.0,"[43, 52]"
392,1.0,1.0,[3]
210,2.0,1.0,"[103, 167]"
374,2.0,1.0,"[141, 195]"
237,1.0,1.0,[16]
269,3.0,1.0,"[24, 51, 80]"
115,1.0,1.0,[104]
202,1.0,1.0,[2]
430,1.0,1.0,[40]
405,2.0,1.0,"[39, 137]"
352,3.0,1.0,"[32, 33, 130]"
107,2.0,1.0,"[141, 161]"
5,1.0,1.0,[78]
154,1.0,1.0,[138]
315,3.0,1.0,"[27, 61, 84]"
341,5.0,1.0,"[30, 32, 94, 168, 169]"
329,1.0,1.0,[47]
475,4.0,1.0,"[40, 42, 69, 87]"
258,1.0,1.0,[106]
456,2.0,1.0,"[136, 156]"
394,1.0,1.0,[12]
27,1.0,1.0,[167]
491,2.0,1.0,"[168, 169]"
54,1.0,1.0,[29]
218,2.0,1.0,"[86, 100]"
105,1.0,1.0,[37]
198,2.0,1.0,"[80, 139]"
138,1.0,1.0,[116]
22,3.0,1.0,"[44, 56, 62]"
306,1.0,1.0,[79]
484,1.0,1.0,[4]
55,2.0,1.0,"[200, 201]"
468,1.0,1.0,[149]
416,1.0,1.0,[194]
155,1.0,1.0,[93]
156,1.0,1.0,[109]
386,2.0,1.0,"[124, 125]"
6,1.0,1.0,[46]
387,2.0,1.0,"[197, 198]"
9,4.0,1.0,"[107, 115, 131, 132]"
511,1.0,1.0,[63]
537,1.0,1.0,[113]
190,6.0,1.0,"[50, 152, 182, 184, 185, 186]"
379,4.0,1.0,"[121, 139, 166, 167]"
141,1.0,1.0,[21]
212,3.0,1.0,"[114, 134, 150]"
461,1.0,1.0,[58]
250,1.0,1.0,[21]
332,1.0,1.0,[69]
56,2.0,1.0,"[172, 173]"
454,1.0,1.0,[132]
382,5.0,1.0,"[25, 52, 129, 130, 158]"
53,2.0,1.0,"[28, 127]"
147,5.0,1.0,"[39, 156, 157, 159, 160]"
539,1.0,1.0,[10]
206,2.0,1.0,"[1, 78]"
393,2.0,1.0,"[76, 85]"
496,5.0,1.0,"[101, 102, 142, 143, 144]"
127,1.0,1.0,[54]
113,1.0,1.0,[41]
118,3.0,1.0,"[4, 61, 75]"
408,1.0,1.0,[33]
84,1.0,1.0,[44]
453,1.0,1.0,[60]
413,1.0,1.0,[109]
169,2.0,1.0,"[92, 138]"
293,1.0,1.0,[6]
300,1.0,1.0,[112]
322,1.0,1.0,[194]
255,1.0,1.0,[69]
458,1.0,1.0,[114]
533,2.0,1.0,"[82, 88]"
106,1.0,1.0,[13]
67,1.0,1.0,[9]
296,2.0,1.0,"[37, 104]"
175,1.0,1.0,[89]
4,1.0,1.0,[151]
91,2.0,1.0,"[26, 38]"
77,4.0,1.0,"[86, 117, 122, 127]"
39,4.0,1.0,"[170, 173, 174, 175]"
410,3.0,1.0,"[66, 67, 73]"
490,2.0,1.0,"[146, 178]"
249,2.0,1.0,"[121, 180]"
402,1.0,1.0,[46]
225,4.0,1.0,"[6, 151, 153, 183]"
330,1.0,1.0,[57]
311,1.0,1.0,[107]
313,1.0,1.0,[108]
519,1.0,1.0,[71]
348,1.0,1.0,[31]
124,2.0,1.0,"[3, 134]"
436,1.0,1.0,[48]
509,1.0,1.0,[22]
351,1.0,1.0,[8]
522,1.0,1.0,[129]
85,1.0,1.0,[31]
439,1.0,1.0,[81]
433,5.0,1.0,"[100, 101, 102, 103, 104]"
370,7.0,1.0,"[101, 112, 141, 183, 184, 185, 186]"
122,2.0,1.0,"[44, 194]"
285,1.0,1.0,[77]
354,3.0,1.0,"[110, 158, 193]"
441,1.0,1.0,[67]
7,2.0,1.0,"[42, 56]"
214,1.0,1.0,[8]
207,2.0,1.0,"[69, 82]"
516,3.0,1.0,"[120, 164, 165]"
328,1.0,1.0,[141]
274,1.0,1.0,[130]
418,5.0,1.0,"[100, 119, 123, 128, 137]"
435,1.0,1.0,[53]
431,4.0,1.0,"[135, 193, 194, 195]"
28,1.0,1.0,[63]
297,5.0,1.0,"[102, 175, 177, 179, 180]"
98,2.0,1.0,"[67, 75]"
117,1.0,1.0,[14]
150,3.0,1.0,"[70, 123, 128]"
181,3.0,1.0,"[103, 130, 162]"
281,1.0,1.0,[136]
213,2.0,1.0,"[94, 99]"
129,1.0,1.0,[1]
369,4.0,1.0,"[175, 176, 182, 183]"
208,3.0,1.0,"[55, 64, 165]"
385,1.0,1.0,[48]
452,1.0,1.0,[25]
58,1.0,1.0,[73]
455,2.0,1.0,"[38, 61]"
270,1.0,1.0,[144]
403,4.0,1.0,"[147, 155, 164, 171]"
89,1.0,1.0,[44]
472,1.0,1.0,[163]
327,1.0,1.0,[92]
426,1.0,1.0,[32]
280,2.0,1.0,"[74, 124]"
547,3.0,1.0,"[13, 32, 39]"
43,1.0,1.0,[49]
203,11.0,1.0,"[49, 103, 169, 171, 172, 173, 176, 177, 178, 179, 180]"
515,1.0,1.0,[34]
170,1.0,1.0,[138]
108,2.0,1.0,"[132, 139]"
384,1.0,1.0,[101]
263,1.0,1.0,[158]
291,3.0,1.0,"[126, 167, 189]"
159,6.0,1.0,"[136, 193, 194, 195, 196, 197]"
373,1.0,1.0,[79]
481,1.0,1.0,[133]
174,4.0,1.0,"[105, 138, 152, 185]"
336,5.0,1.0,"[69, 147, 159, 177, 178]"
524,1.0,1.0,[72]
120,1.0,1.0,[20]
502,2.0,1.0,"[198, 199]"
319,2.0,1.0,"[85, 142]"
45,2.0,1.0,"[162, 166]"
217,2.0,1.0,"[67, 68]"
51,1.0,1.0,[28]
40,3.0,1.0,"[33, 45, 73]"
62,1.0,1.0,[11]
357,2.0,1.0,"[50, 51]"
295,4.0,1.0,"[102, 103, 104, 105]"
0,2.0,1.0,"[1, 36]"
38,4.0,1.0,"[27, 60, 89, 90]"
314,1.0,1.0,[27]
238,1.0,1.0,[127]
540,1.0,1.0,[113]
