,used,exhausted,rounds
3491,1.0,1.0,[0]
1959,1.0,1.0,[0]
1285,1.0,1.0,[0]
805,1.0,1.0,[0]
2542,1.0,1.0,[0]
623,1.0,1.0,[0]
2421,1.0,1.0,[0]
2903,1.0,1.0,[0]
1732,1.0,1.0,[0]
1346,1.0,1.0,[0]
1396,1.0,1.0,[0]
1418,1.0,1.0,[0]
937,1.0,1.0,[0]
2410,1.0,1.0,[0]
2913,1.0,1.0,[0]
311,1.0,1.0,[0]
1349,1.0,1.0,[0]
152,1.0,1.0,[0]
3279,1.0,1.0,[0]
1114,1.0,1.0,[0]
1535,1.0,1.0,[0]
2778,1.0,1.0,[0]
513,1.0,1.0,[0]
2483,1.0,1.0,[0]
1839,1.0,1.0,[0]
1157,1.0,1.0,[0]
913,1.0,1.0,[0]
1810,1.0,1.0,[0]
2102,1.0,1.0,[0]
1473,1.0,1.0,[0]
1587,1.0,1.0,[0]
1827,1.0,1.0,[0]
570,1.0,1.0,[0]
1195,1.0,1.0,[0]
3745,1.0,1.0,[0]
3583,1.0,1.0,[0]
2062,1.0,1.0,[0]
1656,1.0,1.0,[0]
2744,1.0,1.0,[0]
613,1.0,1.0,[0]
428,1.0,1.0,[0]
2113,1.0,1.0,[0]
2829,1.0,1.0,[0]
676,1.0,1.0,[0]
3100,1.0,1.0,[0]
331,1.0,1.0,[0]
1988,1.0,1.0,[0]
1123,1.0,1.0,[0]
628,1.0,1.0,[0]
1956,1.0,1.0,[0]
975,1.0,1.0,[0]
3752,1.0,1.0,[0]
385,1.0,1.0,[0]
3173,1.0,1.0,[0]
3720,1.0,1.0,[0]
587,1.0,1.0,[0]
3653,1.0,1.0,[0]
2965,1.0,1.0,[0]
1543,1.0,1.0,[0]
1104,1.0,1.0,[0]
3749,1.0,1.0,[0]
2049,1.0,1.0,[0]
18,1.0,1.0,[0]
1941,1.0,1.0,[0]
1859,1.0,1.0,[0]
725,1.0,1.0,[0]
2982,1.0,1.0,[0]
3380,1.0,1.0,[0]
1178,1.0,1.0,[0]
2668,1.0,1.0,[0]
634,1.0,1.0,[0]
2952,1.0,1.0,[0]
3487,1.0,1.0,[0]
936,1.0,1.0,[0]
3568,1.0,1.0,[0]
715,1.0,1.0,[0]
3243,1.0,1.0,[0]
1769,1.0,1.0,[0]
1929,1.0,1.0,[0]
2364,1.0,1.0,[0]
2683,1.0,1.0,[0]
25,1.0,1.0,[0]
3690,1.0,1.0,[0]
671,1.0,1.0,[0]
1486,1.0,1.0,[0]
3063,1.0,1.0,[0]
3493,1.0,1.0,[0]
474,1.0,1.0,[0]
2762,1.0,1.0,[0]
1266,1.0,1.0,[0]
277,1.0,1.0,[0]
909,1.0,1.0,[0]
2998,1.0,1.0,[0]
1513,1.0,1.0,[0]
629,1.0,1.0,[0]
2617,1.0,1.0,[0]
1156,1.0,1.0,[0]
999,1.0,1.0,[0]
2958,1.0,1.0,[0]
2615,1.0,1.0,[0]
2136,1.0,1.0,[0]
2106,1.0,1.0,[0]
12,1.0,1.0,[0]
2632,1.0,1.0,[0]
3227,1.0,1.0,[0]
373,1.0,1.0,[0]
2120,1.0,1.0,[0]
638,1.0,1.0,[0]
3247,1.0,1.0,[0]
382,1.0,1.0,[0]
463,1.0,1.0,[0]
3271,1.0,1.0,[0]
1228,1.0,1.0,[0]
1788,1.0,1.0,[0]
2536,1.0,1.0,[0]
3312,1.0,1.0,[0]
1519,1.0,1.0,[0]
2307,1.0,1.0,[0]
2312,1.0,1.0,[0]
720,1.0,1.0,[0]
2659,1.0,1.0,[0]
1032,1.0,1.0,[0]
422,1.0,1.0,[0]
1037,1.0,1.0,[0]
2541,1.0,1.0,[0]
2852,1.0,1.0,[0]
3316,1.0,1.0,[0]
2027,1.0,1.0,[0]
1200,1.0,1.0,[0]
1754,1.0,1.0,[0]
2964,1.0,1.0,[0]
997,1.0,1.0,[0]
1992,1.0,1.0,[0]
1730,1.0,1.0,[0]
3371,1.0,1.0,[0]
834,1.0,1.0,[0]
1698,1.0,1.0,[0]
365,1.0,1.0,[0]
2111,1.0,1.0,[0]
3748,1.0,1.0,[0]
1461,1.0,1.0,[0]
3353,1.0,1.0,[0]
2435,1.0,1.0,[0]
3168,1.0,1.0,[0]
2873,1.0,1.0,[0]
2699,1.0,1.0,[0]
851,1.0,1.0,[0]
1118,1.0,1.0,[0]
3377,1.0,1.0,[0]
2654,1.0,1.0,[0]
89,1.0,1.0,[0]
1899,1.0,1.0,[0]
319,1.0,1.0,[0]
2630,1.0,1.0,[0]
830,1.0,1.0,[0]
3244,1.0,1.0,[0]
2791,1.0,1.0,[0]
2360,1.0,1.0,[0]
2434,1.0,1.0,[0]
2399,1.0,1.0,[0]
3604,1.0,1.0,[0]
1033,1.0,1.0,[0]
1455,1.0,1.0,[0]
2720,1.0,1.0,[0]
1536,1.0,1.0,[0]
3080,1.0,1.0,[0]
2189,1.0,1.0,[0]
947,1.0,1.0,[0]
2614,1.0,1.0,[0]
652,1.0,1.0,[0]
2345,1.0,1.0,[0]
1024,1.0,1.0,[0]
766,1.0,1.0,[0]
1383,1.0,1.0,[0]
33,1.0,1.0,[0]
3614,1.0,1.0,[0]
1380,1.0,1.0,[0]
398,1.0,1.0,[0]
1690,1.0,1.0,[0]
406,1.0,1.0,[0]
1879,1.0,1.0,[0]
2556,1.0,1.0,[0]
3565,1.0,1.0,[0]
136,1.0,1.0,[0]
1462,1.0,1.0,[0]
1623,1.0,1.0,[0]
1834,1.0,1.0,[0]
3562,0.0,0.0,[]
1278,1.0,1.0,[7]
1002,1.0,1.0,[95]
1448,1.0,0.0,[145]
1369,0.0,0.0,[]
2193,1.0,1.0,[19]
461,2.0,1.0,"[98, 100]"
3264,1.0,1.0,[100]
1124,0.0,0.0,[]
2025,0.0,0.0,[]
2512,1.0,1.0,[46]
3262,0.0,0.0,[]
1341,1.0,1.0,[9]
1435,2.0,1.0,"[57, 62]"
223,5.0,1.0,"[16, 32, 35, 38, 47]"
3572,0.0,0.0,[]
2936,0.0,0.0,[]
1413,1.0,1.0,[96]
739,1.0,1.0,[69]
966,0.0,0.0,[]
1534,0.0,0.0,[]
2451,2.0,1.0,"[85, 92]"
441,1.0,1.0,[111]
2358,1.0,0.0,[168]
27,0.0,0.0,[]
3467,2.0,1.0,"[90, 107]"
3451,1.0,1.0,[14]
1557,1.0,0.0,[141]
1985,0.0,0.0,[]
87,1.0,1.0,[126]
2792,3.0,1.0,"[159, 163, 164]"
215,1.0,1.0,[66]
1410,0.0,0.0,[]
3639,0.0,0.0,[]
3129,2.0,1.0,"[17, 18]"
2969,0.0,0.0,[]
544,2.0,1.0,"[84, 87]"
2948,0.0,0.0,[]
2671,1.0,1.0,[71]
709,0.0,0.0,[]
3612,0.0,0.0,[]
1083,0.0,0.0,[]
379,0.0,0.0,[]
2933,1.0,1.0,[76]
1054,0.0,0.0,[]
3051,0.0,0.0,[]
3393,1.0,1.0,[131]
1648,2.0,1.0,"[121, 129]"
3014,1.0,1.0,[79]
3438,2.0,1.0,"[93, 101]"
1172,1.0,1.0,[144]
2140,0.0,0.0,[]
3280,0.0,0.0,[]
3592,3.0,1.0,"[140, 143, 147]"
1957,1.0,1.0,[169]
865,0.0,0.0,[]
2348,0.0,0.0,[]
1799,0.0,0.0,[]
1471,0.0,0.0,[]
2014,1.0,1.0,[3]
2921,0.0,0.0,[]
228,0.0,0.0,[]
508,0.0,0.0,[]
2856,2.0,1.0,"[97, 104]"
3034,0.0,0.0,[]
411,0.0,0.0,[]
1734,0.0,0.0,[]
2488,6.0,1.0,"[131, 132, 135, 137, 140, 145]"
435,0.0,0.0,[]
3342,0.0,0.0,[]
1982,2.0,0.0,"[129, 155]"
3362,1.0,1.0,[143]
3200,1.0,1.0,[172]
2171,1.0,1.0,[12]
953,2.0,1.0,"[46, 57]"
3472,0.0,0.0,[]
1086,4.0,0.0,"[160, 167, 169, 171]"
270,0.0,0.0,[]
1252,1.0,0.0,[146]
485,1.0,1.0,[95]
1526,1.0,0.0,[167]
668,0.0,0.0,[]
2275,0.0,0.0,[]
3295,0.0,0.0,[]
551,0.0,0.0,[]
3376,3.0,1.0,"[50, 75, 80]"
874,1.0,1.0,[79]
2294,1.0,1.0,[89]
1321,1.0,1.0,[57]
626,0.0,0.0,[]
13,0.0,0.0,[]
3166,0.0,0.0,[]
1208,1.0,1.0,[41]
2033,0.0,0.0,[]
1549,1.0,1.0,[172]
3307,0.0,0.0,[]
672,2.0,1.0,"[83, 107]"
1641,1.0,1.0,[109]
724,0.0,0.0,[]
1762,2.0,1.0,"[54, 56]"
2125,1.0,1.0,[120]
438,0.0,0.0,[]
2788,0.0,0.0,[]
3328,4.0,1.0,"[123, 148, 163, 165]"
1716,0.0,0.0,[]
3275,0.0,0.0,[]
1983,0.0,0.0,[]
977,2.0,1.0,"[15, 28]"
2515,0.0,0.0,[]
971,4.0,1.0,"[69, 77, 78, 80]"
2889,1.0,1.0,[46]
231,1.0,1.0,[30]
3261,1.0,1.0,[57]
1192,1.0,1.0,[68]
1502,1.0,1.0,[111]
864,0.0,0.0,[]
207,1.0,1.0,[116]
1107,1.0,1.0,[2]
1740,0.0,0.0,[]
2624,1.0,1.0,[15]
919,1.0,1.0,[5]
3483,0.0,0.0,[]
397,0.0,0.0,[]
3684,7.0,1.0,"[135, 138, 145, 147, 149, 150, 151]"
1446,2.0,1.0,"[143, 155]"
2759,1.0,1.0,[144]
1912,3.0,1.0,"[84, 91, 101]"
1099,0.0,0.0,[]
2203,1.0,0.0,[150]
3206,0.0,0.0,[]
74,2.0,1.0,"[151, 166]"
3573,0.0,0.0,[]
767,0.0,0.0,[]
1306,0.0,0.0,[]
2368,1.0,0.0,[161]
219,1.0,1.0,[131]
1221,0.0,0.0,[]
1232,1.0,1.0,[14]
2696,0.0,0.0,[]
742,2.0,1.0,"[23, 24]"
2763,0.0,0.0,[]
1540,0.0,0.0,[]
1342,3.0,1.0,"[9, 30, 34]"
667,1.0,1.0,[33]
3049,2.0,1.0,"[53, 58]"
866,0.0,0.0,[]
2036,4.0,1.0,"[41, 42, 43, 44]"
3151,0.0,0.0,[]
2922,1.0,1.0,[26]
1606,0.0,0.0,[]
2664,0.0,0.0,[]
2619,0.0,0.0,[]
2971,1.0,1.0,[25]
3266,0.0,0.0,[]
885,1.0,1.0,[55]
2684,1.0,1.0,[156]
2543,1.0,1.0,[35]
3375,1.0,1.0,[55]
2834,0.0,0.0,[]
835,0.0,0.0,[]
1057,1.0,1.0,[99]
2167,11.0,1.0,"[34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45]"
506,0.0,0.0,[]
2153,1.0,1.0,[135]
161,2.0,1.0,"[2, 6]"
2300,0.0,0.0,[]
310,0.0,0.0,[]
1309,0.0,0.0,[]
1031,6.0,1.0,"[74, 80, 83, 85, 89, 91]"
3092,1.0,1.0,[37]
1890,0.0,0.0,[]
3722,0.0,0.0,[]
2752,5.0,1.0,"[35, 47, 48, 49, 51]"
2572,0.0,0.0,[]
2999,0.0,0.0,[]
1417,0.0,0.0,[]
275,0.0,0.0,[]
2505,0.0,0.0,[]
3180,0.0,0.0,[]
753,1.0,1.0,[155]
1146,0.0,0.0,[]
1344,0.0,0.0,[]
2717,0.0,0.0,[]
2195,0.0,0.0,[]
2597,0.0,0.0,[]
608,4.0,1.0,"[34, 40, 41, 42]"
3740,1.0,1.0,[95]
2580,0.0,0.0,[]
2087,0.0,0.0,[]
702,0.0,0.0,[]
1426,0.0,0.0,[]
2291,0.0,0.0,[]
287,2.0,1.0,"[33, 35]"
3681,0.0,0.0,[]
1074,0.0,0.0,[]
1601,0.0,0.0,[]
1787,0.0,0.0,[]
943,1.0,1.0,[7]
1705,0.0,0.0,[]
681,0.0,0.0,[]
2267,2.0,1.0,"[81, 113]"
425,1.0,1.0,[1]
1333,0.0,0.0,[]
3564,0.0,0.0,[]
3546,1.0,1.0,[93]
117,1.0,1.0,[2]
1816,1.0,1.0,[136]
1626,1.0,1.0,[65]
2849,4.0,1.0,"[119, 123, 125, 129]"
2523,0.0,0.0,[]
295,4.0,1.0,"[124, 152, 160, 161]"
60,1.0,0.0,[167]
2562,0.0,0.0,[]
1835,1.0,0.0,[156]
3260,1.0,1.0,[124]
2529,0.0,0.0,[]
262,5.0,1.0,"[67, 105, 116, 120, 125]"
3634,2.0,1.0,"[26, 39]"
421,0.0,0.0,[]
1712,0.0,0.0,[]
555,1.0,1.0,[110]
2981,0.0,0.0,[]
3334,1.0,1.0,[116]
445,1.0,1.0,[35]
1588,0.0,0.0,[]
3510,1.0,1.0,[139]
2589,0.0,0.0,[]
3322,1.0,1.0,[78]
2707,1.0,1.0,[54]
2564,0.0,0.0,[]
1035,1.0,1.0,[12]
2276,1.0,1.0,[159]
1913,0.0,0.0,[]
989,0.0,0.0,[]
2457,0.0,0.0,[]
911,1.0,1.0,[163]
718,0.0,0.0,[]
1257,1.0,1.0,[100]
1039,1.0,1.0,[88]
3365,1.0,1.0,[141]
3433,0.0,0.0,[]
2478,0.0,0.0,[]
369,1.0,1.0,[31]
3481,0.0,0.0,[]
2565,1.0,1.0,[133]
43,0.0,0.0,[]
327,0.0,0.0,[]
1121,0.0,0.0,[]
1595,0.0,0.0,[]
2953,2.0,1.0,"[8, 9]"
2448,3.0,1.0,"[118, 137, 138]"
1995,3.0,1.0,"[83, 88, 95]"
198,1.0,1.0,[119]
3465,0.0,0.0,[]
3675,0.0,0.0,[]
1162,0.0,0.0,[]
1906,0.0,0.0,[]
719,1.0,1.0,[158]
1780,1.0,1.0,[16]
1990,0.0,0.0,[]
1325,0.0,0.0,[]
1049,2.0,1.0,"[122, 142]"
1420,0.0,0.0,[]
3253,0.0,0.0,[]
128,1.0,1.0,[124]
2466,1.0,1.0,[113]
1848,2.0,1.0,"[74, 86]"
3359,0.0,0.0,[]
797,0.0,0.0,[]
841,1.0,1.0,[78]
3391,0.0,0.0,[]
1430,4.0,1.0,"[107, 118, 123, 140]"
3441,1.0,1.0,[18]
121,1.0,1.0,[42]
3364,2.0,0.0,"[164, 165]"
2085,1.0,0.0,[155]
3131,1.0,1.0,[164]
2719,0.0,0.0,[]
3601,0.0,0.0,[]
500,2.0,1.0,"[84, 99]"
2061,0.0,0.0,[]
1691,0.0,0.0,[]
3144,0.0,0.0,[]
3712,0.0,0.0,[]
155,6.0,1.0,"[26, 40, 47, 51, 53, 57]"
723,0.0,0.0,[]
481,2.0,1.0,"[5, 6]"
1989,2.0,1.0,"[7, 38]"
990,0.0,0.0,[]
2395,0.0,0.0,[]
568,3.0,1.0,"[51, 61, 80]"
803,4.0,1.0,"[94, 108, 109, 116]"
3402,0.0,0.0,[]
2290,2.0,1.0,"[46, 54]"
3679,1.0,1.0,[106]
153,0.0,0.0,[]
185,3.0,1.0,"[47, 74, 85]"
3029,0.0,0.0,[]
1704,1.0,1.0,[66]
2495,1.0,1.0,[25]
2768,0.0,0.0,[]
1538,1.0,1.0,[94]
2318,1.0,1.0,[117]
1852,0.0,0.0,[]
2071,0.0,0.0,[]
1028,0.0,0.0,[]
2748,1.0,1.0,[166]
2574,0.0,0.0,[]
1724,2.0,1.0,"[77, 89]"
1076,1.0,1.0,[111]
2109,1.0,1.0,[69]
888,0.0,0.0,[]
2820,0.0,0.0,[]
3444,1.0,0.0,[150]
3618,1.0,1.0,[159]
2255,0.0,0.0,[]
2079,2.0,1.0,"[16, 17]"
2678,0.0,0.0,[]
3242,4.0,1.0,"[105, 107, 116, 117]"
1682,3.0,1.0,"[98, 102, 106]"
3301,0.0,0.0,[]
1362,1.0,1.0,[151]
2910,1.0,1.0,[99]
3211,0.0,0.0,[]
2742,0.0,0.0,[]
3665,0.0,0.0,[]
1565,1.0,1.0,[129]
1615,0.0,0.0,[]
279,1.0,1.0,[1]
17,2.0,1.0,"[61, 98]"
