,used,exhausted,rounds
3491,1.0,1.0,[0]
1959,1.0,1.0,[0]
1285,1.0,1.0,[0]
805,1.0,1.0,[0]
2542,1.0,1.0,[0]
623,1.0,1.0,[0]
2421,1.0,1.0,[0]
2903,1.0,1.0,[0]
1732,1.0,1.0,[0]
1346,1.0,1.0,[0]
1396,1.0,1.0,[0]
1418,1.0,1.0,[0]
937,1.0,1.0,[0]
2410,1.0,1.0,[0]
2913,1.0,1.0,[0]
311,1.0,1.0,[0]
1349,1.0,1.0,[0]
152,1.0,1.0,[0]
3279,1.0,1.0,[0]
1114,1.0,1.0,[0]
1535,1.0,1.0,[0]
2778,1.0,1.0,[0]
513,1.0,1.0,[0]
2483,1.0,1.0,[0]
1839,1.0,1.0,[0]
1157,1.0,1.0,[0]
913,1.0,1.0,[0]
1810,1.0,1.0,[0]
2102,1.0,1.0,[0]
1473,1.0,1.0,[0]
1587,1.0,1.0,[0]
1827,1.0,1.0,[0]
570,1.0,1.0,[0]
1195,1.0,1.0,[0]
3745,1.0,1.0,[0]
3583,1.0,1.0,[0]
2062,1.0,1.0,[0]
1656,1.0,1.0,[0]
2744,1.0,1.0,[0]
613,1.0,1.0,[0]
428,1.0,1.0,[0]
2113,1.0,1.0,[0]
2829,1.0,1.0,[0]
676,1.0,1.0,[0]
3100,1.0,1.0,[0]
331,1.0,1.0,[0]
1988,1.0,1.0,[0]
1123,1.0,1.0,[0]
628,1.0,1.0,[0]
1956,1.0,1.0,[0]
975,1.0,1.0,[0]
3752,1.0,1.0,[0]
385,1.0,1.0,[0]
3173,1.0,1.0,[0]
3720,1.0,1.0,[0]
587,1.0,1.0,[0]
3653,1.0,1.0,[0]
2965,1.0,1.0,[0]
1543,1.0,1.0,[0]
1104,1.0,1.0,[0]
3749,1.0,1.0,[0]
2049,1.0,1.0,[0]
18,1.0,1.0,[0]
1941,1.0,1.0,[0]
1859,1.0,1.0,[0]
725,1.0,1.0,[0]
2982,1.0,1.0,[0]
3380,1.0,1.0,[0]
1178,1.0,1.0,[0]
2668,1.0,1.0,[0]
634,1.0,1.0,[0]
2952,1.0,1.0,[0]
3487,1.0,1.0,[0]
936,1.0,1.0,[0]
3568,1.0,1.0,[0]
715,1.0,1.0,[0]
3243,1.0,1.0,[0]
1769,1.0,1.0,[0]
1929,1.0,1.0,[0]
2364,1.0,1.0,[0]
2683,1.0,1.0,[0]
25,1.0,1.0,[0]
3690,1.0,1.0,[0]
671,1.0,1.0,[0]
1486,1.0,1.0,[0]
3063,1.0,1.0,[0]
3493,1.0,1.0,[0]
474,1.0,1.0,[0]
2762,1.0,1.0,[0]
1266,1.0,1.0,[0]
277,1.0,1.0,[0]
909,1.0,1.0,[0]
2998,1.0,1.0,[0]
1513,1.0,1.0,[0]
629,1.0,1.0,[0]
2617,1.0,1.0,[0]
1156,1.0,1.0,[0]
999,1.0,1.0,[0]
2958,1.0,1.0,[0]
2615,1.0,1.0,[0]
2136,1.0,1.0,[0]
2106,1.0,1.0,[0]
12,1.0,1.0,[0]
2632,1.0,1.0,[0]
3227,1.0,1.0,[0]
373,1.0,1.0,[0]
2120,1.0,1.0,[0]
638,1.0,1.0,[0]
3247,1.0,1.0,[0]
382,1.0,1.0,[0]
463,1.0,1.0,[0]
3271,1.0,1.0,[0]
1228,1.0,1.0,[0]
1788,1.0,1.0,[0]
2536,1.0,1.0,[0]
3312,1.0,1.0,[0]
1519,1.0,1.0,[0]
2307,1.0,1.0,[0]
2312,1.0,1.0,[0]
720,1.0,1.0,[0]
2659,1.0,1.0,[0]
1032,1.0,1.0,[0]
422,1.0,1.0,[0]
1037,1.0,1.0,[0]
2541,1.0,1.0,[0]
2852,1.0,1.0,[0]
3316,1.0,1.0,[0]
2027,1.0,1.0,[0]
1200,1.0,1.0,[0]
1754,1.0,1.0,[0]
2964,1.0,1.0,[0]
997,1.0,1.0,[0]
1992,1.0,1.0,[0]
1730,1.0,1.0,[0]
3371,1.0,1.0,[0]
834,1.0,1.0,[0]
1698,1.0,1.0,[0]
365,1.0,1.0,[0]
2111,1.0,1.0,[0]
3748,1.0,1.0,[0]
1461,1.0,1.0,[0]
3353,1.0,1.0,[0]
2435,1.0,1.0,[0]
3168,1.0,1.0,[0]
2873,1.0,1.0,[0]
2699,1.0,1.0,[0]
851,1.0,1.0,[0]
1118,1.0,1.0,[0]
3377,1.0,1.0,[0]
2654,1.0,1.0,[0]
89,1.0,1.0,[0]
1899,1.0,1.0,[0]
319,1.0,1.0,[0]
2630,1.0,1.0,[0]
830,1.0,1.0,[0]
3244,1.0,1.0,[0]
2791,1.0,1.0,[0]
2360,1.0,1.0,[0]
2434,1.0,1.0,[0]
2399,1.0,1.0,[0]
3604,1.0,1.0,[0]
1033,1.0,1.0,[0]
1455,1.0,1.0,[0]
2720,1.0,1.0,[0]
1536,1.0,1.0,[0]
3080,1.0,1.0,[0]
2189,1.0,1.0,[0]
947,1.0,1.0,[0]
2614,1.0,1.0,[0]
652,1.0,1.0,[0]
2345,1.0,1.0,[0]
1024,1.0,1.0,[0]
766,1.0,1.0,[0]
1383,1.0,1.0,[0]
33,1.0,1.0,[0]
3614,1.0,1.0,[0]
1380,1.0,1.0,[0]
398,1.0,1.0,[0]
1690,1.0,1.0,[0]
406,1.0,1.0,[0]
1879,1.0,1.0,[0]
2556,1.0,1.0,[0]
3565,1.0,1.0,[0]
136,1.0,1.0,[0]
1462,1.0,1.0,[0]
1623,1.0,1.0,[0]
1834,1.0,1.0,[0]
3562,0.0,0.0,[]
1278,0.0,0.0,[]
1002,1.0,1.0,[65]
1448,2.0,1.0,"[29, 38]"
1369,1.0,1.0,[31]
2193,0.0,0.0,[]
461,0.0,0.0,[]
3264,0.0,0.0,[]
1124,1.0,1.0,[5]
2025,3.0,0.0,"[94, 95, 122]"
2512,0.0,0.0,[]
3262,1.0,1.0,[15]
1341,0.0,0.0,[]
1435,2.0,1.0,"[15, 31]"
223,0.0,0.0,[]
3572,0.0,0.0,[]
2936,0.0,0.0,[]
1413,0.0,0.0,[]
739,0.0,0.0,[]
966,1.0,1.0,[9]
1534,2.0,0.0,"[36, 120]"
2451,1.0,0.0,[93]
441,1.0,1.0,[96]
2358,0.0,0.0,[]
27,2.0,1.0,"[111, 117]"
3467,0.0,0.0,[]
3451,1.0,1.0,[128]
1557,0.0,0.0,[]
1985,1.0,0.0,[126]
87,0.0,0.0,[]
2792,1.0,0.0,[129]
215,1.0,1.0,[32]
1410,1.0,1.0,[54]
3639,0.0,0.0,[]
3129,0.0,0.0,[]
2969,0.0,0.0,[]
544,0.0,0.0,[]
2948,1.0,1.0,[95]
2671,0.0,0.0,[]
709,3.0,1.0,"[91, 98, 105]"
3612,0.0,0.0,[]
1083,0.0,0.0,[]
379,4.0,1.0,"[100, 101, 102, 112]"
2933,1.0,1.0,[112]
1054,0.0,0.0,[]
3051,1.0,1.0,[43]
3393,0.0,0.0,[]
1648,1.0,0.0,[134]
3014,1.0,1.0,[119]
3438,1.0,0.0,[92]
1172,0.0,0.0,[]
2140,1.0,0.0,[74]
3280,0.0,0.0,[]
3592,1.0,0.0,[9]
1957,1.0,1.0,[62]
865,0.0,0.0,[]
2348,0.0,0.0,[]
1799,0.0,0.0,[]
1471,0.0,0.0,[]
2014,0.0,0.0,[]
2921,0.0,0.0,[]
228,0.0,0.0,[]
508,1.0,1.0,[39]
2856,1.0,0.0,[71]
3034,0.0,0.0,[]
411,1.0,1.0,[18]
1734,1.0,1.0,[6]
2488,1.0,0.0,[22]
435,4.0,1.0,"[114, 115, 116, 117]"
3342,1.0,1.0,[27]
1982,3.0,1.0,"[100, 101, 129]"
3362,0.0,0.0,[]
3200,1.0,1.0,[88]
2171,0.0,0.0,[]
953,0.0,0.0,[]
3472,1.0,1.0,[96]
1086,5.0,1.0,"[64, 99, 127, 128, 129]"
270,2.0,1.0,"[12, 90]"
1252,0.0,0.0,[]
485,1.0,1.0,[13]
1526,2.0,1.0,"[9, 16]"
668,2.0,1.0,"[52, 62]"
2275,2.0,0.0,"[59, 95]"
3295,0.0,0.0,[]
551,1.0,1.0,[40]
3376,0.0,0.0,[]
874,0.0,0.0,[]
2294,1.0,1.0,[95]
1321,1.0,1.0,[77]
626,0.0,0.0,[]
13,2.0,1.0,"[130, 131]"
3166,1.0,1.0,[68]
1208,1.0,1.0,[58]
2033,1.0,1.0,[91]
1549,1.0,1.0,[83]
3307,1.0,1.0,[30]
672,2.0,1.0,"[10, 11]"
1641,1.0,1.0,[65]
724,0.0,0.0,[]
1762,2.0,1.0,"[79, 134]"
2125,1.0,1.0,[99]
438,0.0,0.0,[]
2788,2.0,1.0,"[6, 52]"
3328,0.0,0.0,[]
1716,0.0,0.0,[]
3275,0.0,0.0,[]
1983,0.0,0.0,[]
977,0.0,0.0,[]
2515,1.0,1.0,[104]
971,1.0,0.0,[20]
2889,0.0,0.0,[]
231,0.0,0.0,[]
3261,1.0,1.0,[10]
1192,0.0,0.0,[]
1502,1.0,1.0,[69]
864,0.0,0.0,[]
207,1.0,1.0,[113]
1107,0.0,0.0,[]
1740,0.0,0.0,[]
2624,1.0,1.0,[33]
919,0.0,0.0,[]
3483,1.0,1.0,[18]
397,0.0,0.0,[]
3684,1.0,0.0,[118]
1446,2.0,1.0,"[90, 123]"
2759,0.0,0.0,[]
1912,2.0,0.0,"[11, 126]"
1099,1.0,1.0,[44]
2203,0.0,0.0,[]
3206,1.0,1.0,[37]
74,0.0,0.0,[]
3573,2.0,0.0,"[29, 125]"
767,1.0,1.0,[6]
1306,0.0,0.0,[]
2368,0.0,0.0,[]
219,1.0,1.0,[63]
1221,0.0,0.0,[]
1232,0.0,0.0,[]
2696,1.0,0.0,[102]
742,1.0,0.0,[119]
2763,0.0,0.0,[]
1540,2.0,0.0,"[63, 93]"
1342,0.0,0.0,[]
667,1.0,1.0,[110]
3049,0.0,0.0,[]
866,1.0,1.0,[1]
2036,2.0,0.0,"[7, 19]"
3151,1.0,0.0,[86]
2922,0.0,0.0,[]
1606,0.0,0.0,[]
2664,1.0,1.0,[94]
2619,0.0,0.0,[]
2971,1.0,1.0,[103]
3266,0.0,0.0,[]
885,0.0,0.0,[]
2684,1.0,1.0,[29]
2543,0.0,0.0,[]
3375,1.0,1.0,[35]
2834,2.0,1.0,"[47, 117]"
835,2.0,0.0,"[124, 129]"
1057,0.0,0.0,[]
2167,1.0,0.0,[46]
506,1.0,1.0,[26]
2153,0.0,0.0,[]
161,0.0,0.0,[]
2300,0.0,0.0,[]
310,0.0,0.0,[]
1309,2.0,0.0,"[15, 79]"
1031,0.0,0.0,[]
3092,1.0,1.0,[21]
1890,1.0,1.0,[58]
3722,1.0,0.0,[99]
2752,0.0,0.0,[]
2572,0.0,0.0,[]
2999,1.0,1.0,[91]
1417,2.0,1.0,"[63, 94]"
275,0.0,0.0,[]
2505,2.0,1.0,"[111, 133]"
3180,0.0,0.0,[]
753,0.0,0.0,[]
1146,3.0,1.0,"[37, 54, 68]"
1344,1.0,1.0,[46]
2717,0.0,0.0,[]
2195,0.0,0.0,[]
2597,1.0,0.0,[25]
608,0.0,0.0,[]
3740,0.0,0.0,[]
2580,0.0,0.0,[]
2087,0.0,0.0,[]
702,0.0,0.0,[]
1426,0.0,0.0,[]
2291,1.0,1.0,[58]
287,0.0,0.0,[]
3681,1.0,0.0,[130]
1074,2.0,1.0,"[103, 105]"
1601,1.0,1.0,[103]
1787,0.0,0.0,[]
943,1.0,1.0,[101]
1705,1.0,1.0,[102]
681,4.0,1.0,"[81, 82, 92, 93]"
2267,0.0,0.0,[]
425,1.0,1.0,[110]
1333,0.0,0.0,[]
3564,0.0,0.0,[]
3546,0.0,0.0,[]
117,0.0,0.0,[]
1816,1.0,1.0,[5]
1626,0.0,0.0,[]
2849,1.0,0.0,[8]
2523,1.0,1.0,[109]
295,0.0,0.0,[]
60,0.0,0.0,[]
2562,2.0,0.0,"[103, 118]"
1835,0.0,0.0,[]
3260,1.0,1.0,[131]
2529,0.0,0.0,[]
262,0.0,0.0,[]
3634,0.0,0.0,[]
421,1.0,1.0,[7]
1712,0.0,0.0,[]
555,1.0,1.0,[5]
2981,0.0,0.0,[]
3334,0.0,0.0,[]
445,1.0,1.0,[6]
1588,0.0,0.0,[]
3510,1.0,1.0,[49]
2589,0.0,0.0,[]
3322,0.0,0.0,[]
2707,0.0,0.0,[]
2564,0.0,0.0,[]
1035,0.0,0.0,[]
2276,1.0,1.0,[77]
1913,0.0,0.0,[]
989,1.0,1.0,[86]
2457,0.0,0.0,[]
911,1.0,1.0,[17]
718,2.0,1.0,"[83, 84]"
1257,1.0,1.0,[31]
1039,0.0,0.0,[]
3365,0.0,0.0,[]
3433,0.0,0.0,[]
2478,1.0,0.0,[73]
369,0.0,0.0,[]
3481,0.0,0.0,[]
2565,1.0,1.0,[47]
43,0.0,0.0,[]
327,0.0,0.0,[]
1121,1.0,1.0,[19]
1595,0.0,0.0,[]
2953,0.0,0.0,[]
2448,1.0,0.0,[111]
1995,0.0,0.0,[]
198,1.0,1.0,[19]
3465,1.0,1.0,[93]
3675,0.0,0.0,[]
1162,1.0,1.0,[94]
1906,1.0,1.0,[45]
719,0.0,0.0,[]
1780,0.0,0.0,[]
1990,2.0,0.0,"[31, 113]"
1325,1.0,0.0,[48]
1049,2.0,1.0,"[30, 59]"
1420,0.0,0.0,[]
3253,1.0,1.0,[122]
128,1.0,1.0,[4]
2466,0.0,0.0,[]
1848,1.0,0.0,[87]
3359,1.0,1.0,[15]
797,1.0,1.0,[98]
841,0.0,0.0,[]
3391,1.0,0.0,[131]
1430,0.0,0.0,[]
3441,1.0,1.0,[91]
121,0.0,0.0,[]
3364,1.0,0.0,[18]
2085,2.0,0.0,"[55, 59]"
3131,1.0,1.0,[73]
2719,0.0,0.0,[]
3601,1.0,1.0,[20]
500,0.0,0.0,[]
2061,2.0,1.0,"[7, 42]"
1691,1.0,1.0,[75]
3144,1.0,1.0,[86]
3712,0.0,0.0,[]
155,6.0,1.0,"[39, 49, 51, 53, 62, 65]"
723,1.0,1.0,[35]
481,0.0,0.0,[]
1989,2.0,1.0,"[74, 75]"
990,1.0,1.0,[10]
2395,0.0,0.0,[]
568,0.0,0.0,[]
803,0.0,0.0,[]
3402,0.0,0.0,[]
2290,0.0,0.0,[]
3679,1.0,1.0,[123]
153,1.0,1.0,[44]
185,0.0,0.0,[]
3029,1.0,1.0,[11]
1704,0.0,0.0,[]
2495,1.0,1.0,[79]
2768,0.0,0.0,[]
1538,0.0,0.0,[]
2318,0.0,0.0,[]
1852,1.0,0.0,[59]
2071,2.0,1.0,"[76, 126]"
1028,1.0,1.0,[67]
2748,0.0,0.0,[]
2574,1.0,1.0,[122]
1724,2.0,1.0,"[60, 92]"
1076,1.0,1.0,[26]
2109,1.0,1.0,[57]
888,2.0,1.0,"[84, 85]"
2820,0.0,0.0,[]
3444,1.0,0.0,[13]
3618,0.0,0.0,[]
2255,0.0,0.0,[]
2079,1.0,0.0,[77]
2678,2.0,0.0,"[88, 89]"
3242,0.0,0.0,[]
1682,0.0,0.0,[]
3301,0.0,0.0,[]
1362,0.0,0.0,[]
2910,0.0,0.0,[]
3211,0.0,0.0,[]
2742,1.0,1.0,[3]
3665,0.0,0.0,[]
1565,0.0,0.0,[]
1615,0.0,0.0,[]
279,0.0,0.0,[]
17,0.0,0.0,[]
3439,1.0,1.0,[21]
2592,1.0,1.0,[79]
2149,0.0,0.0,[]
3360,0.0,0.0,[]
3520,0.0,0.0,[]
2186,2.0,0.0,"[6, 132]"
132,5.0,1.0,"[114, 115, 116, 117, 118]"
120,0.0,0.0,[]
3403,0.0,0.0,[]
2480,0.0,0.0,[]
2124,0.0,0.0,[]
529,1.0,1.0,[32]
1487,2.0,1.0,"[73, 91]"
879,1.0,1.0,[135]
2288,1.0,1.0,[79]
