,fold0_variance,fold0_dens_variance
1,"[3535, 606, 116, 1905, 379, 1660, 1610, 3623, 1593, 411, 185, 728, 697, 3729, 868, 171, 1864, 1789, 1894, 1159, 2071, 1700, 2950, 2175, 2197, 124, 575, 1734, 1432, 1812, 2432, 1307, 1249, 1611, 1802, 1126]","[1245, 307, 1018, 98, 635, 467, 1010, 1593, 1067, 479, 1932, 703, 2305, 1882, 942, 848, 31, 28, 1928, 36, 1029, 5, 2266, 608, 110, 1652, 563, 1263, 906, 2779, 1812, 2246, 2014, 594, 827, 920]"
2,"[1528, 1700, 1081, 116, 3673, 575, 140, 412, 2110, 559, 2485, 756, 1924, 1633, 1490, 2459, 2752, 201, 1792, 437, 1627, 3386, 133, 700, 1506, 2179, 1336, 270, 3595, 669, 1269, 1467, 361, 1456, 273, 1973]","[632, 307, 906, 898, 1278, 2953, 245, 257, 1245, 59, 1193, 479, 1203, 635, 85, 1808, 3419, 244, 1135, 212, 3437, 98, 1932, 2929, 1419, 340, 491, 579, 1723, 2519, 1271, 467, 1066, 1070, 930, 1323]"
3,"[669, 412, 2098, 304, 774, 116, 1245, 1584, 582, 1318, 3535, 506, 155, 1638, 2004, 663, 1001, 1552, 3549, 609, 2270, 3017, 2530, 1666, 1404, 457, 1717, 1243, 2024, 1112, 1271, 1812, 695, 615, 1686, 2594]","[632, 1070, 257, 1278, 906, 199, 307, 579, 621, 98, 2944, 1245, 1723, 635, 163, 410, 245, 512, 467, 1419, 340, 930, 3683, 146, 1323, 5, 1112, 1023, 3179, 898, 1646, 479, 195, 178, 698, 1193]"
4,"[2761, 1551, 615, 3065, 354, 193, 1801, 3600, 2149, 757, 1814, 965, 1723, 621, 756, 2849, 972, 412, 2508, 987, 3579, 510, 971, 3615, 348, 1662, 441, 2161, 688, 560, 2603, 1467, 230, 1781, 1405, 2769]","[257, 632, 906, 410, 1070, 2944, 199, 512, 517, 1419, 163, 307, 621, 98, 146, 467, 195, 1066, 1645, 3179, 93, 268, 209, 2271, 59, 5, 1112, 1267, 481, 340, 157, 1107, 479, 245, 1243, 283]"
5,"[120, 2246, 582, 155, 133, 2489, 94, 2761, 971, 837, 246, 219, 295, 1257, 1991, 348, 756, 1505, 1179, 294, 1048, 1638, 440, 1375, 1510, 2, 987, 3396, 2091, 3233, 510, 1239, 1472, 1159, 123, 1297]","[257, 199, 906, 410, 1070, 621, 59, 163, 2923, 157, 512, 146, 2484, 307, 586, 110, 467, 1243, 2042, 1645, 1023, 10, 93, 209, 117, 579, 1193, 847, 517, 2246, 2953, 178, 1772, 294, 898, 212]"
6,"[2213, 1081, 120, 1165, 185, 155, 2586, 48, 1798, 2469, 1951, 825, 898, 225, 2883, 1198, 532, 901, 1653, 2752, 580, 1039, 2321, 22, 1870, 1777, 1112, 1232, 1040, 556, 3459, 441, 3002, 117, 1517, 82]","[257, 906, 199, 110, 410, 146, 621, 467, 512, 930, 1070, 157, 59, 245, 2923, 307, 3456, 1189, 283, 1323, 93, 1267, 586, 163, 1991, 517, 1084, 117, 1897, 1066, 244, 1023, 424, 2248, 209, 3033]"
7,"[117, 3592, 22, 965, 971, 1631, 3702, 2339, 1165, 1642, 3107, 2149, 544, 1092, 983, 2415, 1386, 512, 1327, 9, 1422, 3532, 648, 58, 105, 837, 712, 556, 1465, 1560, 437, 94, 2075, 3555, 245, 2]","[199, 410, 621, 146, 157, 512, 1070, 467, 163, 517, 93, 586, 59, 1267, 2923, 1808, 110, 1646, 1323, 244, 930, 2271, 1023, 1474, 245, 283, 1066, 1112, 1045, 117, 417, 1374, 237, 2519, 1084, 82]"
8,"[162, 1257, 3388, 2, 117, 971, 993, 807, 141, 9, 206, 133, 1000, 532, 185, 2246, 1166, 390, 1742, 1092, 2144, 1179, 437, 1678, 739, 2095, 1663, 3341, 1999, 1253, 2163, 2318, 582, 1065, 800, 1011]","[621, 512, 1070, 146, 1112, 1023, 467, 59, 245, 163, 1045, 194, 1170, 1189, 266, 930, 1851, 110, 517, 1267, 212, 268, 5, 3170, 972, 2197, 1165, 2415, 253, 1322, 1342, 1323, 322, 1646, 1900, 155]"
9,"[2005, 582, 515, 739, 225, 9, 932, 898, 1031, 2009, 3592, 1612, 120, 390, 1882, 1108, 2196, 1378, 162, 807, 2362, 185, 1909, 2210, 437, 2344, 178, 2582, 2386, 1263, 1649, 1394, 1061, 800, 1081, 1078]","[1070, 621, 245, 163, 146, 283, 110, 467, 517, 268, 59, 1189, 1023, 1267, 1112, 5, 417, 3589, 2587, 1323, 922, 959, 2356, 455, 2923, 980, 1940, 2495, 896, 2602, 1646, 3242, 2779, 424, 425, 212]"
10,"[2582, 739, 2586, 120, 627, 1020, 213, 9, 2447, 1928, 185, 2044, 817, 2148, 1421, 1103, 932, 2040, 1386, 1092, 1940, 1612, 515, 1229, 132, 1801, 46, 1994, 2005, 2678, 225, 366, 3313, 2334, 124, 133]","[1070, 621, 467, 146, 59, 1269, 212, 1326, 437, 283, 2752, 1808, 245, 481, 1940, 1046, 586, 963, 10, 424, 268, 1203, 308, 1318, 1483, 241, 1254, 1267, 184, 703, 675, 103, 3634, 2163, 1539, 972]"
