,fold0_variance,fold0_old_variance
1,"[4597, 5462, 5508, 6433, 1972, 7667, 3810, 5305, 2497, 2420, 4217, 7522, 1715, 397, 416, 630, 4350, 5552, 6142, 2875, 4197, 1842, 6711, 7485, 4955, 3682, 2332, 5730, 4164, 3678, 7184, 2908, 4931, 707, 5986, 2508, 3487, 2754, 4313, 4425, 7318, 6010, 6245, 4488, 124, 2358, 3605, 3904, 7596, 4036, 1848, 11, 3945, 1913, 7520, 902, 2675, 1675, 7275, 2370, 2311, 34, 2586, 4727, 4942, 3106, 4025, 1130, 1278, 7097, 848, 6830, 6301, 5912, 5621]","[4597, 5462, 5508, 6433, 1972, 7667, 3810, 5305, 2497, 2420, 4217, 7522, 1715, 397, 416, 630, 4350, 5552, 6142, 2875, 4197, 1842, 6711, 7485, 4955, 3682, 2332, 5730, 4164, 3678, 7184, 2908, 4931, 707, 5986, 2508, 3487, 2754, 4313, 4425, 7318, 6010, 6245, 4488, 124, 2358, 3605, 3904, 7596, 4036, 1848, 11, 3945, 1913, 7520, 902, 2675, 1675, 7275, 2370, 2311, 34, 2586, 4727, 4942, 3106, 4025, 1130, 1278, 7097, 848, 6830, 6301, 5912, 5621]"
2,"[1800, 7912, 5868, 7518, 7656, 1083, 5374, 3676, 1141, 4657, 7635, 7263, 215, 6314, 3216, 5041, 5392, 14, 1655, 7857, 4083, 311, 2154, 3183, 415, 4806, 2949, 6745, 2835, 1427, 1594, 4506, 2603, 7386, 6945, 1073, 866, 958, 1772, 1228, 4352, 1971, 1093, 5346, 7851, 1834, 4355, 5058, 5247, 6440, 2104, 5435, 487, 6829, 5246, 5802, 7257, 3440, 1994, 291, 378, 2769, 3317, 1615, 7114, 2645, 3300, 2680, 124, 79, 5318, 6967, 298, 2818, 1330]","[1800, 7912, 5868, 7518, 7656, 1083, 5374, 3676, 1141, 4657, 7635, 7263, 215, 6314, 3216, 5041, 5392, 14, 1655, 7857, 4083, 311, 4313, 2154, 3183, 415, 4806, 2949, 6745, 2835, 1427, 1594, 4506, 2603, 7386, 6945, 1073, 866, 958, 1772, 1228, 4352, 1971, 1093, 5346, 7851, 1834, 4355, 5058, 5247, 6440, 2104, 5435, 487, 6829, 5246, 5802, 7257, 3440, 1994, 291, 378, 2769, 3317, 1615, 7114, 2645, 3300, 124, 2680, 79, 5318, 6967, 298, 2818]"
3,"[2639, 4572, 2918, 1276, 2895, 2010, 3661, 7265, 6739, 607, 4670, 4596, 6538, 6878, 3687, 1477, 4505, 5274, 1358, 7709, 2668, 1865, 1610, 7722, 4160, 630, 6900, 5567, 7485, 2236, 5272, 2038, 4464, 3811, 7228, 3183, 4165, 6565, 7928, 2863, 4937, 7309, 1157, 1802, 2623, 4331, 4763, 4164, 5792, 7116, 4702, 4251, 1119, 7022, 6877, 7666, 7862, 219, 287, 2645, 2526, 4733, 2412, 2587, 5327, 4799, 168, 4042, 1173, 7870, 472, 5096, 7066, 2943, 5318]","[3313, 2639, 6878, 6642, 2918, 2895, 630, 4596, 6223, 3661, 167, 1276, 6299, 6739, 4702, 4572, 2580, 219, 607, 2010, 6565, 6313, 1477, 5371, 7265, 7066, 6204, 1865, 5274, 4505, 2038, 2178, 7309, 2019, 1802, 5567, 6751, 5272, 287, 2138, 4799, 5940, 3687, 7485, 6847, 1157, 4160, 7862, 2943, 7666, 3316, 2526, 6749, 1969, 2623, 5552, 2645, 1240, 6838, 7657, 2236, 5113, 73, 4165, 2863, 7518, 4562, 1610, 1358, 3051, 1149, 7197, 5792, 6252, 464]"
4,"[4553, 6703, 4411, 757, 630, 2750, 7926, 3159, 3591, 7462, 1537, 997, 7731, 2848, 5826, 2124, 2110, 3316, 4914, 7074, 1309, 1643, 3628, 1799, 5441, 6873, 6699, 4486, 5280, 4930, 5232, 7917, 2580, 4522, 7367, 7665, 538, 6565, 7784, 2437, 1533, 2083, 2870, 1937, 1620, 4319, 4695, 32, 861, 1900, 7169, 15, 6434, 3991, 1686, 2227, 1669, 6894, 699, 5120, 925, 7543, 2451, 6442, 5874, 6055, 3984, 2194, 2766, 6204, 6215, 2574, 6774, 6356, 4495]","[2449, 1995, 6407, 636, 2361, 3159, 4631, 6298, 6838, 1666, 630, 6565, 5186, 4724, 2027, 6751, 6204, 2623, 4617, 3774, 744, 2007, 6567, 4558, 3849, 3397, 6055, 1692, 5113, 2783, 5449, 227, 472, 1276, 3984, 5905, 455, 4719, 7067, 5193, 5614, 341, 6975, 6703, 168, 2955, 3282, 5897, 865, 1275, 4802, 961, 4878, 1867, 997, 2750, 6110, 6223, 5750, 1413, 7321, 7462, 4850, 4140, 2856, 1138, 973, 937, 219, 6739, 1653, 4219, 3068, 5100, 4961]"
5,"[940, 2125, 7731, 4850, 2378, 4566, 510, 3526, 6034, 661, 636, 7878, 7842, 6052, 2943, 4388, 1275, 630, 7898, 1914, 2584, 3984, 464, 227, 6543, 1885, 2491, 5018, 4402, 2046, 1194, 1037, 6594, 2451, 7513, 2783, 696, 6110, 4400, 683, 1535, 5485, 968, 3797, 1969, 744, 1350, 6314, 2380, 3977, 2160, 1923, 2576, 2078, 1208, 3049, 2116, 2695, 3224, 627, 4741, 1154, 3748, 6432, 5365, 4594, 4251, 5029, 367, 5716, 2154, 2623, 4145, 2339, 4834]","[1089, 6699, 7842, 630, 1964, 6315, 6521, 6793, 7676, 2343, 1154, 7367, 2870, 3644, 6606, 660, 4741, 4981, 6204, 1617, 3744, 7586, 1477, 6272, 1645, 2800, 4411, 7554, 1309, 2131, 3526, 5082, 4802, 2648, 538, 6276, 3571, 4282, 6372, 4834, 3824, 4527, 4857, 4566, 619, 3797, 5035, 705, 3527, 5018, 2750, 4894, 5556, 4237, 1034, 6140, 6338, 716, 3481, 5529, 3717, 720, 5299, 1283, 6690, 2107, 6298, 4733, 4883, 608, 2943, 219, 5414, 3407, 1214]"
6,"[2424, 3654, 683, 7362, 5780, 7462, 2388, 63, 5114, 2559, 6945, 2689, 607, 2125, 7934, 5740, 2938, 3357, 3017, 2906, 6642, 3264, 1692, 5790, 3277, 873, 2646, 1800, 5940, 3286, 2124, 7321, 3215, 1469, 145, 3882, 5803, 3642, 7308, 4258, 6838, 7896, 1616, 3527, 3259, 6401, 7066, 3212, 7811, 4621, 5113, 3984, 4031, 7842, 3526, 5848, 5165, 6847, 6751, 2989, 1149, 6699, 4237, 1380, 7668, 6466, 2529, 213, 6937, 7186, 2955, 2971, 1742, 5018, 1862]","[683, 1705, 1839, 6565, 1835, 4553, 7842, 4990, 2535, 512, 1692, 2649, 2154, 145, 7731, 2450, 5035, 63, 1178, 7197, 630, 5848, 2623, 2529, 2125, 2689, 4070, 2209, 4900, 7878, 5064, 607, 1477, 2757, 5398, 4269, 355, 2783, 5113, 2712, 2387, 5642, 6140, 4647, 3717, 3259, 1742, 4005, 6578, 6930, 55, 79, 6264, 4937, 76, 621, 925, 1194, 215, 5242, 2364, 319, 4061, 6528, 472, 6090, 740, 5165, 2087, 5369, 1881, 4257, 1182, 696, 5640]"
7,"[2449, 683, 4990, 1839, 4400, 7304, 512, 5280, 2125, 3314, 7842, 5035, 3774, 4930, 1034, 5113, 784, 696, 1666, 2163, 2826, 4579, 2708, 641, 997, 2293, 4599, 4636, 3524, 1631, 2860, 4631, 185, 6425, 7821, 2991, 7709, 5122, 6751, 1477, 664, 1438, 4802, 4530, 2460, 2592, 2715, 5749, 3006, 5322, 7896, 2339, 6366, 4068, 7601, 257, 3481, 6315, 319, 5800, 1402, 2105, 1026, 3554, 3340, 1357, 4519, 858, 1148, 2034, 607, 662, 4341, 2276, 2648]","[4553, 2938, 1835, 1887, 455, 6642, 7066, 4834, 621, 213, 2526, 512, 1541, 1348, 1914, 831, 2735, 607, 5232, 2470, 3314, 2178, 5113, 1817, 5248, 2529, 5826, 3676, 1461, 1408, 2766, 6653, 4768, 3313, 6838, 63, 367, 5500, 3441, 2310, 2649, 1631, 3944, 6548, 4566, 2491, 5779, 6699, 5035, 1089, 4689, 6127, 162, 7417, 1421, 1471, 2575, 5021, 4914, 6403, 2848, 6751, 2092, 346, 1154, 7315, 7228, 7193, 4772, 1409, 185, 355, 6894, 1466, 6334]"
8,"[3314, 2107, 607, 1358, 3816, 683, 2308, 5857, 262, 5840, 1421, 3383, 2528, 1692, 1995, 1839, 685, 1822, 1486, 7896, 6140, 3797, 2117, 4341, 3681, 621, 1887, 7875, 1342, 7197, 4462, 4762, 6298, 6985, 4781, 1488, 4251, 7902, 4656, 1463, 2862, 3481, 2125, 1256, 4531, 2581, 7580, 7142, 5369, 2800, 355, 5195, 1817, 2085, 7247, 2124, 1641, 3838, 7675, 6328, 1477, 1747, 3987, 472, 2074, 4794, 4718, 4755, 7827, 4676, 5878, 2088, 6506, 1835, 997]","[1692, 1645, 2529, 7902, 6406, 3779, 1477, 4521, 4157, 2847, 7301, 593, 1918, 4491, 455, 916, 3314, 2358, 6528, 607, 3259, 2740, 301, 6985, 7709, 6508, 2708, 1656, 2299, 5826, 1479, 162, 6877, 1103, 2648, 5915, 4522, 4696, 4694, 6475, 6140, 1601, 5280, 7361, 2112, 5115, 7731, 2194, 1839, 3591, 7066, 2592, 3019, 4004, 4762, 1486, 478, 5562, 264, 2870, 7041, 1686, 1378, 6838, 1348, 1537, 682, 4527, 7668, 6521, 4883, 3637, 4627, 3931, 7934]"
9,"[2125, 6127, 6345, 5232, 5915, 1872, 4428, 1967, 7842, 7924, 3582, 682, 1782, 1988, 2750, 2575, 5853, 6528, 5835, 7239, 3254, 5350, 1208, 4341, 3224, 1645, 7221, 7384, 2522, 6223, 3481, 2885, 1557, 7549, 3183, 3152, 1469, 2674, 6298, 3744, 590, 3571, 5019, 2146, 5529, 6880, 5515, 2299, 2904, 2087, 2470, 7226, 2107, 2341, 1465, 3334, 3276, 6449, 4857, 2157, 3269, 3825, 5409, 4910, 2131, 5113, 5259, 623, 3737, 1179, 3574, 5779, 4680, 3524, 3518]","[7842, 7827, 369, 4251, 1833, 6401, 661, 7896, 726, 4750, 178, 2314, 2378, 4595, 1045, 1800, 5216, 3224, 2768, 2708, 5872, 1430, 2252, 1210, 1286, 1037, 185, 2775, 1854, 1696, 1060, 1152, 1616, 4734, 4298, 896, 3925, 4755, 6506, 3383, 4391, 162, 6367, 6449, 4254, 4680, 5324, 5648, 6942, 2829, 2136, 3481, 2904, 3508, 4789, 2117, 7508, 441, 3628, 3280, 2310, 2100, 2811, 7708, 6475, 2559, 2772, 5001, 2529, 5311, 4964, 3642, 3816, 5703, 1357]"
10,"[2125, 5552, 1705, 1358, 7748, 2309, 7197, 2387, 2735, 932, 4722, 1309, 5560, 478, 7117, 3224, 4761, 7709, 4615, 1542, 2131, 6394, 5546, 4503, 55, 2067, 2451, 1211, 1859, 4704, 7924, 3987, 3397, 5193, 5430, 5273, 1129, 6204, 5248, 4519, 7585, 4439, 1656, 4437, 2699, 5780, 162, 5874, 4945, 2750, 4527, 2989, 1645, 1152, 341, 6888, 4388, 4525, 1478, 6407, 1461, 6676, 2214, 5019, 2289, 2383, 1383, 1678, 2793, 174, 4676, 1060, 1710, 5252, 3759]","[7321, 3972, 2029, 4021, 3224, 3524, 2310, 4403, 7842, 5018, 4418, 1495, 231, 162, 3797, 616, 5035, 2574, 1835, 5016, 607, 696, 7632, 211, 6781, 2708, 3584, 7748, 35, 2067, 2449, 5212, 4176, 3314, 418, 6366, 1309, 3519, 2057, 3982, 7784, 2750, 4704, 5075, 369, 1014, 2027, 3442, 63, 1315, 341, 1885, 3104, 7132, 4718, 1973, 3437, 3526, 7924, 7197, 5687, 2074, 5430, 2561, 6975, 451, 3627, 4453, 2183, 50, 2141, 4781, 2503, 5978, 2125]"
