,fold0_variance,fold0_dens_variance,fold0_random
1,"[4597, 5462, 5508, 6433, 1972, 7667, 3810, 5305, 2497, 2420, 4217, 7522, 1715, 397, 416, 630, 4350, 5552, 6142, 2875, 4197, 1842, 6711, 7485, 4955, 3682, 2332, 5730, 4164, 3678, 7184, 2908, 4931, 707, 5986, 2508, 3487, 2754, 4313, 4425, 7318, 6010, 6245, 4488, 124, 2358, 3605, 3904, 7596, 4036, 1848, 11, 3945, 1913, 7520, 902, 2675, 1675, 7275, 2370, 2311, 34, 2586, 4727, 4942, 3106, 4025, 1130, 1278, 7097, 848, 6830, 6301, 5912, 5621]","[4759, 1021, 4763, 584, 3753, 7586, 1001, 3584, 3811, 1833, 1523, 3510, 3810, 590, 1546, 369, 4723, 6232, 2360, 2395, 96, 4743, 526, 2358, 4767, 660, 2514, 1839, 5345, 3825, 6794, 2387, 2310, 860, 3159, 4447, 1421, 2359, 162, 3885, 6215, 2825, 1239, 2383, 3919, 3176, 6894, 2447, 5251, 5800, 4384, 1842, 2454, 3911, 5031, 3788, 4966, 3069, 4223, 2928, 2491, 1194, 2474, 548, 415, 2497, 2674, 1151, 3112, 4313, 997, 3774, 2499, 3882, 3944]","[5636, 6476, 5244, 4112, 758, 227, 7829, 5338, 7143, 3395, 4712, 1383, 7065, 2647, 1979, 5465, 2116, 2858, 359, 1551, 5014, 3646, 4420, 5388, 3831, 5427, 3866, 3236, 5297, 2994, 3640, 4045, 1261, 5715, 6553, 4156, 5211, 4331, 2204, 2085, 273, 6411, 2334, 4717, 7189, 6063, 7610, 3233, 871, 5915, 5600, 5687, 5395, 798, 4818, 3178, 3676, 995, 137, 4121, 4338, 6762, 970, 7029, 4729, 1602, 4104, 3750, 1222, 5726, 5578, 2125, 1170, 3937, 57]"
2,"[1800, 7912, 5868, 7518, 7656, 1083, 5374, 3676, 1141, 4657, 7635, 7263, 215, 6314, 3216, 5041, 5392, 14, 1655, 7857, 4083, 311, 2154, 3183, 415, 4806, 2949, 6745, 2835, 1427, 1594, 4506, 2603, 7386, 6945, 1073, 866, 958, 1772, 1228, 4352, 1971, 1093, 5346, 7851, 1834, 4355, 5058, 5247, 6440, 2104, 5435, 487, 6829, 5246, 5802, 7257, 3440, 1994, 291, 378, 2769, 3317, 1615, 7114, 2645, 3300, 2680, 124, 79, 5318, 6967, 298, 2818, 1330]","[3811, 584, 4669, 4763, 3919, 6232, 2499, 369, 5345, 7586, 1001, 1523, 4723, 3717, 5251, 6642, 2339, 1839, 1705, 2398, 162, 5344, 965, 4535, 2100, 3788, 2190, 2125, 3753, 2393, 2358, 3158, 2977, 378, 6140, 5058, 35, 213, 3119, 2328, 2674, 590, 3737, 3584, 3744, 3000, 2454, 548, 997, 3865, 1509, 5250, 1214, 2098, 5252, 3810, 5029, 3806, 4465, 3126, 3510, 2433, 4560, 3882, 79, 2052, 4447, 2514, 415, 1239, 2078, 3881, 4990, 185, 3113]","[4977, 4590, 1371, 4556, 2711, 2250, 3844, 6275, 4501, 4835, 7318, 4285, 2944, 891, 2371, 5111, 1624, 2810, 3389, 7668, 3522, 4900, 1430, 3476, 1790, 384, 1228, 6988, 7491, 7297, 645, 7682, 932, 5295, 4167, 6286, 5368, 2947, 2702, 4302, 2841, 532, 4533, 3874, 195, 5818, 4920, 3987, 1766, 5235, 5510, 5660, 2926, 2235, 7240, 663, 3979, 6574, 5541, 1279, 1501, 3429, 3670, 4435, 4712, 4273, 5429, 7411, 5720, 4459, 7672, 2941, 5699, 166, 5972]"
3,"[2639, 4572, 2918, 1276, 2895, 2010, 3661, 7265, 6739, 607, 4670, 4596, 6538, 6878, 3687, 1477, 4505, 5274, 1358, 7709, 2668, 1865, 1610, 7722, 4160, 630, 6900, 5567, 7485, 2236, 5272, 2038, 4464, 3811, 7228, 3183, 4165, 6565, 7928, 2863, 4937, 7309, 1157, 1802, 2623, 4331, 4763, 4164, 5792, 7116, 4702, 4251, 1119, 7022, 6877, 7666, 7862, 219, 287, 2645, 2526, 4733, 2412, 2587, 5327, 4799, 168, 4042, 1173, 7870, 472, 5096, 7066, 2943, 5318]","[6232, 369, 3811, 4465, 2125, 1523, 2499, 4447, 162, 4535, 5251, 1256, 1214, 6140, 37, 2361, 3788, 2339, 3982, 55, 2957, 3919, 3717, 2314, 4404, 3767, 2387, 3637, 2397, 7143, 5792, 3584, 7586, 3900, 4834, 3865, 2393, 4137, 5344, 1430, 2772, 2825, 2514, 2674, 2575, 6642, 1522, 3153, 5791, 3092, 1525, 2078, 43, 5790, 5057, 5929, 1239, 4670, 3681, 3955, 5430, 4795, 3034, 2081, 3164, 5495, 4327, 1768, 3889, 4362, 5801, 1839, 6942, 19, 3314]","[5759, 7365, 4584, 2606, 3900, 2250, 3524, 1888, 5106, 6947, 6860, 7549, 5825, 2101, 693, 2153, 2064, 3253, 3651, 7912, 2974, 1092, 187, 4286, 5504, 6136, 3211, 3760, 2035, 4807, 3941, 83, 2488, 4000, 6329, 6871, 5009, 2088, 4302, 1586, 1210, 7942, 7870, 7083, 7075, 5551, 1072, 7754, 773, 6704, 3869, 1303, 515, 6658, 5202, 7940, 5180, 4622, 4046, 1501, 2214, 5508, 905, 4273, 0, 1330, 5487, 1628, 549, 7282, 2362, 1405, 4511, 7468, 5893]"
4,"[4553, 6703, 4411, 757, 630, 2750, 7926, 3159, 3591, 7462, 1537, 997, 7731, 2848, 5826, 2124, 2110, 3316, 4914, 7074, 1309, 1643, 3628, 1799, 5441, 6873, 6699, 4486, 5280, 4930, 5232, 7917, 2580, 4522, 7367, 7665, 538, 6565, 7784, 2437, 1533, 2083, 2870, 1937, 1620, 4319, 4695, 32, 861, 1900, 7169, 15, 6434, 3991, 1686, 2227, 1669, 6894, 699, 5120, 925, 7543, 2451, 6442, 5874, 6055, 3984, 2194, 2766, 6204, 6215, 2574, 6774, 6356, 4495]","[369, 1523, 162, 4535, 2125, 7586, 4465, 3584, 6140, 5344, 472, 4447, 3510, 6992, 2499, 1021, 2575, 3981, 2393, 3737, 55, 1489, 2454, 4743, 5345, 3717, 2735, 1416, 510, 149, 2450, 1546, 3919, 1914, 348, 2339, 1768, 3164, 5495, 3034, 2772, 5584, 3627, 683, 2397, 3107, 2387, 2209, 2437, 1835, 37, 3811, 4966, 1214, 3139, 4887, 535, 3024, 257, 2959, 178, 2360, 1601, 1245, 2451, 4525, 1430, 3889, 3900, 7590, 997, 3314, 3606, 4795, 5250]","[4105, 2643, 5796, 4942, 262, 2250, 4121, 2670, 3351, 916, 5051, 5910, 5793, 3289, 5512, 7511, 6567, 2598, 5817, 4693, 5046, 521, 1334, 2355, 3054, 875, 1020, 3762, 3217, 3933, 3388, 2503, 4249, 359, 3283, 2792, 1462, 675, 3573, 4192, 1477, 6950, 5775, 3630, 3069, 2242, 6102, 2061, 2113, 7037, 3307, 7321, 7437, 4606, 1028, 6685, 6980, 3641, 413, 6245, 1091, 4723, 4273, 5030, 2218, 6513, 4956, 1584, 7065, 5620, 2309, 7623, 7468, 911, 4822]"
5,"[940, 2125, 7731, 4850, 2378, 4566, 510, 3526, 6034, 661, 636, 7878, 7842, 6052, 2943, 4388, 1275, 630, 7898, 1914, 2584, 3984, 464, 227, 6543, 1885, 2491, 5018, 4402, 2046, 1194, 1037, 6594, 2451, 7513, 2783, 696, 6110, 4400, 683, 1535, 5485, 968, 3797, 1969, 744, 1350, 6314, 2380, 3977, 2160, 1923, 2576, 2078, 1208, 3049, 2116, 2695, 3224, 627, 4741, 1154, 3748, 6432, 5365, 4594, 4251, 5029, 367, 5716, 2154, 2623, 4145, 2339, 4834]","[2125, 162, 369, 4535, 2387, 1523, 4465, 149, 997, 2514, 1260, 4418, 472, 3797, 3816, 2343, 348, 643, 3510, 575, 3717, 2310, 2154, 3753, 5344, 3882, 5345, 5252, 2649, 96, 1610, 3776, 2928, 4850, 3606, 1008, 2706, 4834, 1877, 2437, 4983, 2178, 2477, 2409, 1282, 2209, 3500, 5021, 1967, 1214, 2433, 1970, 17, 5049, 1835, 3462, 14, 3780, 2772, 3155, 3850, 1914, 4759, 7143, 2364, 3919, 2469, 3591, 2460, 4327, 1963, 3143, 2918, 2454, 1995]","[5373, 460, 5546, 2339, 5403, 2250, 3382, 3668, 879, 2613, 7445, 28, 1505, 2256, 4785, 3966, 6030, 855, 2978, 4909, 187, 3764, 5855, 1757, 3054, 5469, 5466, 2729, 3006, 1449, 4587, 6930, 1038, 4395, 4764, 5632, 1462, 1990, 3573, 6293, 7599, 2728, 6669, 3408, 1296, 2242, 7647, 670, 5994, 3323, 5109, 5625, 7184, 5428, 88, 1250, 3057, 1674, 6245, 5803, 7228, 4273, 5030, 5498, 4041, 4449, 4995, 7778, 962, 2287, 3194, 7468, 884, 6401, 6825]"
6,"[2424, 3654, 683, 7362, 5780, 7462, 2388, 63, 5114, 2559, 6945, 2689, 607, 2125, 7934, 5740, 2938, 3357, 3017, 2906, 6642, 3264, 1692, 5790, 3277, 873, 2646, 1800, 5940, 3286, 2124, 7321, 3215, 1469, 145, 3882, 5803, 3642, 7308, 4258, 6838, 7896, 1616, 3527, 3259, 6401, 7066, 3212, 7811, 4621, 5113, 3984, 4031, 7842, 3526, 5848, 5165, 6847, 6751, 2989, 1149, 6699, 4237, 1380, 7668, 6466, 2529, 213, 6937, 7186, 2955, 2971, 1742, 5018, 1862]","[4535, 369, 3510, 2125, 1523, 2454, 149, 3882, 548, 1207, 5495, 1817, 4465, 2387, 3024, 2971, 2393, 3194, 2360, 5345, 4418, 4743, 4887, 6670, 346, 2328, 5344, 2957, 1835, 565, 5339, 2712, 2354, 3717, 5929, 404, 896, 3627, 4819, 660, 2450, 6363, 2352, 3900, 586, 619, 3123, 808, 990, 5031, 2257, 3606, 643, 3251, 623, 3874, 3824, 981, 4362, 2825, 3280, 3139, 3504, 3982, 2470, 2504, 3576, 3889, 1828, 2437, 227, 2358, 1282, 1307, 43]","[3739, 4277, 7097, 4695, 2649, 2250, 628, 4117, 649, 3461, 2560, 5995, 4212, 898, 2998, 7187, 2841, 3006, 4487, 444, 7632, 6179, 2815, 3366, 3054, 5605, 899, 2270, 1484, 3788, 429, 5394, 5250, 7058, 7310, 4715, 1462, 8, 3573, 1885, 900, 5505, 1655, 2552, 5621, 2071, 352, 4015, 2514, 3850, 430, 729, 5758, 7139, 1032, 4726, 5311, 3800, 6245, 2884, 2616, 4273, 5030, 4268, 1857, 2674, 4007, 4608, 4751, 7186, 4754, 7468, 1779, 4934, 6899]"
7,"[2449, 683, 4990, 1839, 4400, 7304, 512, 5280, 2125, 3314, 7842, 5035, 3774, 4930, 1034, 5113, 784, 696, 1666, 2163, 2826, 4579, 2708, 641, 997, 2293, 4599, 4636, 3524, 1631, 2860, 4631, 185, 6425, 7821, 2991, 7709, 5122, 6751, 1477, 664, 1438, 4802, 4530, 2460, 2592, 2715, 5749, 3006, 5322, 7896, 2339, 6366, 4068, 7601, 257, 3481, 6315, 319, 5800, 1402, 2105, 1026, 3554, 3340, 1357, 4519, 858, 1148, 2034, 607, 662, 4341, 2276, 2648]","[2125, 369, 4465, 3510, 4822, 2454, 6794, 1000, 6642, 3889, 1207, 2649, 1819, 3024, 149, 2099, 616, 683, 997, 5929, 643, 3627, 43, 1866, 2514, 2352, 623, 5344, 2394, 3314, 3681, 6448, 2360, 2310, 3000, 808, 79, 1261, 1362, 4223, 1368, 1260, 3139, 48, 2393, 6089, 1342, 2938, 5689, 5274, 548, 2387, 1645, 1839, 1522, 3437, 2013, 2154, 1817, 5050, 1772, 2565, 2469, 3981, 2123, 56, 896, 3143, 5857, 1734, 3107, 1214, 3704, 916, 1463]","[3995, 2654, 1523, 2193, 723, 2250, 7933, 1506, 7336, 3669, 5603, 6668, 3708, 6387, 5076, 4298, 3820, 3670, 1395, 6902, 1761, 7380, 5002, 4043, 6240, 1454, 1733, 6292, 533, 549, 3591, 4050, 6629, 5025, 4624, 3891, 3234, 7458, 2630, 7648, 3932, 7175, 4311, 1736, 7051, 5392, 6682, 6514, 5678, 572, 3192, 1143, 5351, 5762, 6634, 4478, 3363, 6245, 4667, 6658, 4273, 2918, 7203, 3120, 426, 3830, 6825, 7467, 1365, 6486, 7468, 3866, 299, 4623, 5301]"
8,"[3314, 2107, 607, 1358, 3816, 683, 2308, 5857, 262, 5840, 1421, 3383, 2528, 1692, 1995, 1839, 685, 1822, 1486, 7896, 6140, 3797, 2117, 4341, 3681, 621, 1887, 7875, 1342, 7197, 4462, 4762, 6298, 6985, 4781, 1488, 4251, 7902, 4656, 1463, 2862, 3481, 2125, 1256, 4531, 2581, 7580, 7142, 5369, 2800, 355, 5195, 1817, 2085, 7247, 2124, 1641, 3838, 7675, 6328, 1477, 1747, 3987, 472, 2074, 4794, 4718, 4755, 7827, 4676, 5878, 2088, 6506, 1835, 997]","[2125, 369, 149, 4465, 1368, 2387, 2514, 3981, 1307, 623, 3104, 6642, 348, 48, 2393, 6448, 1835, 6449, 5767, 3889, 3882, 2469, 3500, 257, 1450, 997, 3164, 2550, 5344, 683, 2565, 6089, 4328, 1877, 3608, 3770, 4031, 2309, 43, 3120, 7362, 1645, 3903, 6323, 3567, 2343, 1300, 5339, 3780, 5097, 2433, 1599, 3474, 2493, 2875, 7458, 37, 2154, 4761, 355, 1, 2470, 3797, 5049, 2328, 1662, 1008, 3139, 584, 3811, 1972, 1734, 1260, 3749, 3813]","[518, 1010, 3736, 3602, 6937, 2250, 1650, 1287, 144, 4455, 5354, 1322, 1633, 3367, 6342, 1711, 6131, 53, 4515, 5855, 124, 7130, 4055, 7712, 2422, 3854, 3970, 5143, 7060, 6625, 3859, 3856, 2588, 6851, 2084, 3639, 3890, 673, 2248, 1205, 3419, 6249, 5515, 3231, 2322, 819, 850, 5350, 1175, 1755, 6458, 3381, 4736, 7319, 2499, 7658, 6245, 3387, 6802, 4273, 10, 2915, 949, 3908, 5966, 3078, 590, 1916, 1335, 7468, 3146, 2265, 6668, 2982, 3984]"
9,"[2125, 6127, 6345, 5232, 5915, 1872, 4428, 1967, 7842, 7924, 3582, 682, 1782, 1988, 2750, 2575, 5853, 6528, 5835, 7239, 3254, 5350, 1208, 4341, 3224, 1645, 7221, 7384, 2522, 6223, 3481, 2885, 1557, 7549, 3183, 3152, 1469, 2674, 6298, 3744, 590, 3571, 5019, 2146, 5529, 6880, 5515, 2299, 2904, 2087, 2470, 7226, 2107, 2341, 1465, 3334, 3276, 6449, 4857, 2157, 3269, 3825, 5409, 4910, 2131, 5113, 5259, 623, 3737, 1179, 3574, 5779, 4680, 3524, 3518]","[2125, 369, 4465, 2310, 149, 3143, 37, 2565, 3251, 2393, 997, 2649, 3024, 2473, 3164, 2293, 3704, 2433, 1762, 2451, 2469, 1877, 4983, 4298, 623, 43, 3981, 682, 4966, 5929, 4223, 2047, 2699, 2861, 6089, 3781, 2751, 1342, 3280, 3889, 3811, 1368, 3925, 3092, 2623, 5261, 3890, 4327, 3681, 6449, 575, 4313, 6564, 2395, 7586, 1430, 696, 3139, 1688, 2353, 1692, 3982, 6272, 1625, 4964, 6215, 6945, 2343, 2825, 257, 3504, 6642, 1734, 6448, 2470]","[6806, 7868, 2280, 1589, 7260, 474, 1674, 6468, 945, 5463, 607, 978, 6231, 6232, 6670, 2743, 138, 7124, 6080, 7130, 383, 4461, 1185, 5166, 786, 1217, 5705, 7110, 3745, 2236, 494, 7321, 7389, 5884, 1862, 5415, 506, 7893, 4040, 7657, 2855, 1450, 5473, 7179, 2014, 2960, 3695, 6136, 6584, 4953, 6752, 2896, 6152, 1869, 6972, 1977, 7839, 3857, 411, 656, 1657, 555, 3309, 7443, 7411, 7709, 1695, 7722, 2661, 3356, 5920, 2811, 3763, 2511, 7780]"
10,"[2125, 5552, 1705, 1358, 7748, 2309, 7197, 2387, 2735, 932, 4722, 1309, 5560, 478, 7117, 3224, 4761, 7709, 4615, 1542, 2131, 6394, 5546, 4503, 55, 2067, 2451, 1211, 1859, 4704, 7924, 3987, 3397, 5193, 5430, 5273, 1129, 6204, 5248, 4519, 7585, 4439, 1656, 4437, 2699, 5780, 162, 5874, 4945, 2750, 4527, 2989, 1645, 1152, 341, 6888, 4388, 4525, 1478, 6407, 1461, 6676, 2214, 5019, 2289, 2383, 1383, 1678, 2793, 174, 4676, 1060, 1710, 5252, 3759]","[2125, 4465, 5929, 2099, 3946, 2649, 3000, 1368, 548, 5460, 3773, 3608, 2315, 206, 5621, 1963, 997, 1466, 1877, 5801, 2469, 2165, 1762, 2565, 683, 623, 2074, 2024, 2052, 4743, 2433, 3752, 3811, 3024, 37, 7145, 3092, 3164, 4966, 3194, 3111, 1364, 211, 3780, 4750, 3882, 2708, 3981, 1645, 7301, 3139, 3925, 1418, 1416, 7589, 7762, 5800, 643, 7733, 6958, 3143, 1337, 40, 3057, 1342, 603, 2053, 1307, 3224, 990, 2394, 1688, 943, 2096, 3437]","[6137, 5644, 4962, 6751, 5207, 3706, 7156, 2892, 3416, 5865, 4716, 5875, 907, 5829, 231, 6382, 7592, 1661, 7387, 4461, 7932, 6512, 3779, 1288, 7357, 1219, 765, 6187, 5806, 6696, 7168, 499, 42, 4042, 4561, 7395, 990, 4178, 1226, 5946, 7257, 4287, 3002, 4680, 4480, 3251, 1772, 2610, 7347, 3957, 1206, 1289, 7085, 6108, 7033, 78, 5820, 276, 528, 384, 1291, 7915, 4322, 2632, 1404, 2190, 4681, 7214, 6528, 5469, 5141, 61, 4375, 3061, 7391]"
