,fold0_variance,fold0_dens_variance,fold0_random
1,"[644, 452, 503, 458, 337, 526, 672, 396]","[778, 182, 47, 768, 52, 690, 57, 333]","[348, 766, 456, 57, 131, 238, 415, 676]"
2,"[503, 352, 254, 337, 90, 83, 18, 69]","[105, 182, 569, 548, 782, 629, 780, 18]","[603, 106, 456, 244, 362, 90, 157, 227]"
3,"[470, 771, 389, 367, 145, 279, 720, 792]","[780, 548, 644, 0, 670, 182, 10, 581]","[603, 367, 456, 244, 735, 716, 563, 227]"
4,"[470, 670, 367, 201, 52, 597, 453, 676]","[780, 592, 201, 15, 675, 132, 5, 182]","[440, 219, 456, 116, 442, 7, 52, 740]"
5,"[351, 300, 168, 771, 80, 85, 272, 219]","[514, 780, 622, 9, 64, 575, 754, 613]","[478, 700, 456, 718, 560, 34, 664, 503]"
6,"[201, 219, 792, 776, 798, 696, 351, 770]","[780, 592, 453, 514, 676, 622, 169, 597]","[466, 617, 456, 290, 422, 346, 245, 569]"
7,"[201, 627, 556, 453, 462, 799, 379, 474]","[143, 569, 750, 219, 124, 126, 788, 4]","[53, 454, 173, 33, 338, 539, 470, 768]"
8,"[401, 453, 379, 472, 510, 286, 474, 402]","[453, 677, 569, 798, 622, 737, 766, 733]","[53, 454, 173, 33, 338, 539, 470, 768]"
9,"[670, 559, 662, 574, 291, 535, 225, 393]","[798, 792, 799, 770, 762, 771, 766, 672]","[53, 176, 173, 33, 146, 304, 374, 768]"
10,"[559, 483, 535, 763, 530, 422, 201, 514]","[577, 20, 283, 201, 393, 569, 678, 48]","[577, 476, 397, 372, 224, 469, 639, 287]"
