,fold0_variance,fold0_old_variance,fold0_random,fold0_uncertainty,fold0_old_uncertainty,fold0_dens_uncertainty,fold0_dens_variance,fold0_dens_uncertainty_sqrt,fold0_dens_variance_sqrt
1,"[417, 787, 542, 7, 239, 114, 301, 41]","[160, 793, 502, 337, 698, 744, 749, 196]","[173, 319, 624, 52, 55, 753, 70, 132]","[100, 741, 316, 2, 196, 216, 212, 491]","[449, 71, 475, 622, 662, 100, 226, 370]","[241, 699, 252, 110, 330, 652, 512, 709]","[756, 266, 502, 337, 17, 160, 127, 554]","[709, 695, 141, 330, 215, 581, 779, 474]","[337, 793, 417, 744, 116, 160, 721, 698]"
2,"[433, 160, 498, 772, 508, 244, 756, 62]","[417, 542, 498, 14, 73, 651, 185, 33]","[196, 594, 624, 544, 428, 183, 54, 741]","[36, 472, 571, 35, 603, 778, 157, 177]","[768, 392, 772, 63, 127, 751, 445, 619]","[241, 248, 99, 595, 252, 474, 652, 531]","[27, 119, 320, 692, 160, 105, 343, 202]","[99, 241, 474, 141, 252, 512, 726, 581]","[160, 433, 33, 410, 62, 132, 27, 73]"
3,"[62, 160, 651, 410, 343, 32, 14, 202]","[651, 442, 299, 798, 62, 160, 31, 760]","[313, 13, 624, 495, 153, 356, 278, 504]","[724, 392, 691, 103, 554, 187, 77, 612]","[612, 77, 485, 36, 433, 723, 120, 743]","[248, 474, 99, 692, 531, 160, 695, 164]","[160, 502, 32, 252, 417, 595, 62, 684]","[581, 241, 595, 474, 764, 252, 99, 175]","[431, 127, 343, 4, 623, 502, 185, 642]"
4,"[119, 651, 27, 63, 693, 369, 749, 687]","[406, 469, 62, 127, 32, 160, 206, 780]","[744, 713, 624, 155, 510, 237, 26, 115]","[453, 406, 586, 572, 275, 124, 780, 87]","[456, 620, 457, 219, 700, 157, 70, 452]","[248, 474, 325, 99, 160, 141, 581, 57]","[132, 595, 39, 252, 62, 325, 552, 410]","[141, 512, 652, 57, 99, 474, 563, 311]","[160, 756, 692, 43, 62, 32, 597, 554]"
5,"[44, 160, 725, 254, 31, 674, 698, 379]","[27, 4, 202, 379, 716, 677, 177, 401]","[97, 297, 624, 738, 379, 41, 414, 363]","[32, 331, 337, 425, 793, 45, 529, 69]","[419, 778, 20, 139, 479, 372, 16, 45]","[474, 160, 330, 245, 431, 141, 309, 215]","[431, 261, 268, 485, 556, 369, 177, 134]","[141, 160, 652, 417, 478, 166, 164, 666]","[268, 177, 320, 119, 379, 502, 275, 485]"
6,"[116, 156, 205, 87, 332, 177, 103, 406]","[410, 105, 782, 179, 745, 176, 472, 98]","[398, 733, 337, 290, 357, 736, 542, 421]","[399, 359, 469, 452, 535, 420, 250, 422]","[621, 324, 443, 45, 64, 263, 95, 741]","[431, 485, 417, 166, 666, 225, 141, 478]","[4, 379, 212, 597, 86, 339, 225, 64]","[330, 261, 160, 485, 225, 62, 756, 646]","[268, 595, 495, 533, 17, 80, 556, 540]"
7,"[386, 552, 410, 407, 185, 666, 472, 509]","[369, 721, 754, 450, 651, 335, 700, 787]","[364, 348, 633, 596, 367, 461, 43, 72]","[276, 395, 48, 610, 50, 135, 24, 130]","[156, 535, 684, 280, 323, 108, 274, 422]","[478, 141, 556, 488, 17, 666, 330, 549]","[86, 652, 597, 595, 133, 335, 151, 143]","[478, 666, 160, 488, 549, 330, 692, 332]","[64, 595, 687, 212, 105, 410, 597, 552]"
8,"[754, 651, 744, 132, 212, 337, 597, 31]","[320, 518, 343, 21, 441, 301, 406, 332]","[328, 308, 12, 781, 395, 55, 594, 382]","[21, 73, 433, 205, 792, 354, 478, 602]","[401, 17, 201, 420, 586, 269, 708, 51]","[247, 62, 756, 309, 4, 568, 579, 119]","[533, 110, 474, 576, 226, 420, 245, 646]","[309, 512, 164, 38, 589, 568, 549, 451]","[39, 64, 252, 359, 684, 410, 223, 261]"
9,"[744, 793, 700, 721, 480, 674, 597, 33]","[756, 410, 674, 7, 552, 442, 632, 196]","[756, 654, 12, 157, 69, 114, 512, 438]","[749, 27, 760, 687, 390, 776, 793, 442]","[759, 488, 358, 380, 572, 244, 793, 317]","[247, 4, 164, 512, 600, 579, 565, 589]","[474, 627, 540, 241, 472, 624, 359, 698]","[512, 565, 747, 309, 304, 549, 451, 540]","[252, 450, 595, 365, 143, 576, 332, 472]"
10,"[205, 43, 7, 502, 406, 740, 410, 793]","[7, 103, 132, 759, 44, 154, 405, 439]","[778, 228, 760, 299, 58, 153, 713, 630]","[445, 573, 665, 11, 196, 370, 132, 773]","[399, 497, 602, 491, 333, 713, 556, 342]","[549, 699, 39, 579, 512, 21, 112, 451]","[474, 241, 332, 683, 610, 256, 791, 33]","[699, 563, 348, 6, 586, 591, 463, 530]","[151, 474, 335, 241, 103, 202, 503, 133]"
11,"[798, 205, 419, 502, 467, 115, 31, 374]","[651, 302, 63, 365, 664, 205, 471, 433]","[215, 32, 159, 98, 11, 468, 728, 613]","[456, 662, 757, 0, 354, 443, 698, 262]","[566, 768, 167, 380, 661, 170, 207, 476]","[549, 699, 579, 762, 523, 326, 581, 525]","[474, 630, 43, 450, 205, 201, 745, 562]","[699, 489, 513, 110, 6, 463, 43, 143]","[474, 151, 630, 212, 266, 241, 176, 617]"
12,"[442, 401, 380, 628, 405, 320, 602, 562]","[674, 778, 415, 742, 725, 683, 582, 196]","[209, 389, 446, 342, 658, 568, 716, 426]","[485, 782, 594, 45, 358, 70, 621, 378]","[108, 74, 768, 380, 207, 436, 378, 390]","[523, 143, 762, 373, 200, 416, 627, 732]","[268, 410, 64, 612, 678, 744, 582, 339]","[699, 792, 118, 762, 735, 579, 510, 779]","[474, 791, 339, 225, 627, 612, 173, 510]"
