,fold0_variance,fold0_old_variance,fold0_random,fold0_uncertainty,fold0_old_uncertainty
1,"[417, 493, 433, 547, 374, 510, 683, 542]","[417, 493, 433, 547, 374, 510, 683, 542]","[173, 319, 624, 52, 55, 753, 70, 132]","[374, 541, 464, 167, 651, 91, 79, 237]","[374, 541, 464, 167, 651, 91, 79, 237]"
2,"[272, 660, 33, 781, 617, 666, 417, 177]","[272, 660, 33, 781, 617, 666, 417, 177]","[266, 43, 624, 544, 205, 238, 215, 741]","[749, 757, 214, 419, 353, 216, 634, 126]","[749, 757, 214, 419, 353, 216, 634, 126]"
3,"[790, 19, 7, 502, 674, 721, 114, 404]","[790, 19, 7, 502, 674, 721, 114, 404]","[266, 706, 624, 544, 430, 441, 40, 741]","[159, 297, 126, 472, 649, 693, 757, 14]","[757, 159, 297, 126, 649, 472, 693, 14]"
4,"[552, 405, 798, 365, 159, 75, 343, 342]","[552, 405, 798, 365, 159, 75, 343, 342]","[377, 547, 624, 495, 114, 437, 209, 457]","[509, 678, 126, 772, 392, 664, 266, 322]","[749, 5, 449, 698, 582, 285, 701, 543]"
5,"[793, 154, 502, 674, 160, 268, 320, 745]","[793, 154, 502, 674, 160, 268, 320, 745]","[313, 330, 624, 155, 102, 356, 442, 504]","[77, 507, 535, 793, 428, 135, 493, 316]","[156, 199, 537, 465, 268, 284, 106, 19]"
6,"[176, 27, 664, 793, 109, 666, 44, 31]","[176, 27, 664, 793, 109, 666, 44, 31]","[222, 512, 624, 738, 153, 73, 448, 115]","[272, 683, 736, 459, 168, 693, 359, 502]","[402, 781, 794, 316, 687, 725, 201, 772]"
7,"[31, 498, 87, 335, 754, 73, 492, 674]","[31, 498, 87, 335, 754, 73, 492, 674]","[744, 590, 337, 290, 557, 491, 26, 363]","[635, 774, 414, 760, 32, 790, 378, 458]","[205, 714, 656, 239, 542, 48, 798, 584]"
8,"[380, 406, 749, 32, 402, 31, 793, 687]","[380, 406, 749, 32, 402, 793, 31, 687]","[744, 590, 337, 290, 557, 491, 26, 363]","[147, 642, 94, 612, 277, 630, 699, 551]","[111, 145, 105, 77, 409, 683, 135, 452]"
9,"[602, 380, 156, 756, 406, 401, 163, 50]","[602, 380, 156, 756, 406, 401, 163, 50]","[744, 713, 337, 290, 545, 465, 639, 363]","[552, 277, 284, 422, 412, 586, 17, 19]","[307, 457, 268, 402, 661, 199, 745, 162]"
10,"[597, 14, 744, 239, 337, 711, 602, 2]","[597, 14, 744, 239, 337, 711, 602, 2]","[97, 30, 633, 596, 204, 237, 414, 224]","[724, 443, 665, 199, 235, 51, 370, 206]","[332, 559, 401, 586, 772, 664, 754, 634]"
11,"[651, 754, 63, 568, 798, 756, 268, 30]","[651, 754, 63, 568, 798, 756, 268, 30]","[24, 729, 633, 596, 468, 41, 569, 421]","[716, 270, 386, 205, 574, 584, 554, 295]","[782, 776, 421, 51, 275, 327, 48, 559]"
12,"[401, 677, 63, 381, 198, 577, 358, 754]","[401, 677, 63, 381, 198, 577, 358, 754]","[24, 729, 633, 596, 468, 41, 569, 421]","[24, 492, 366, 791, 268, 276, 244, 731]","[50, 396, 447, 414, 471, 731, 224, 725]"
