,fold0_variance,fold0_old_variance
1,"[417, 493, 433, 547, 374, 510, 683, 542]","[417, 493, 433, 547, 374, 510, 683, 542]"
2,"[272, 660, 33, 781, 617, 666, 417, 177]","[272, 660, 33, 781, 617, 666, 417, 177]"
3,"[790, 19, 7, 502, 674, 721, 114, 404]","[790, 19, 7, 502, 674, 721, 114, 404]"
4,"[552, 405, 798, 365, 159, 75, 343, 342]","[552, 405, 798, 365, 159, 75, 343, 342]"
5,"[793, 154, 502, 674, 160, 268, 320, 745]","[793, 154, 502, 674, 160, 268, 320, 745]"
6,"[176, 27, 664, 793, 109, 666, 44, 31]","[176, 27, 664, 793, 109, 666, 44, 31]"
7,"[31, 498, 87, 335, 754, 73, 492, 674]","[31, 498, 87, 335, 754, 73, 492, 674]"
8,"[380, 406, 749, 32, 402, 31, 793, 687]","[380, 406, 749, 32, 402, 793, 31, 687]"
9,"[602, 380, 156, 756, 406, 401, 163, 50]","[602, 380, 156, 756, 406, 401, 163, 50]"
10,"[597, 14, 744, 239, 337, 711, 602, 2]","[597, 14, 744, 239, 337, 711, 602, 2]"
11,"[651, 754, 63, 568, 798, 756, 268, 30]","[651, 754, 63, 568, 798, 756, 268, 30]"
12,"[401, 677, 63, 381, 198, 577, 358, 754]","[401, 677, 63, 381, 198, 577, 358, 754]"
