,fold0_variance,fold0_dens_variance,fold0_random,fold0_uncertainty,fold0_dens_uncertainty,fold1_variance,fold1_dens_variance,fold1_random,fold1_uncertainty,fold1_dens_uncertainty,fold2_variance,fold2_dens_variance,fold2_random
1,"[417, 787, 542, 7, 239, 114, 301, 41]","[127, 756, 343, 185, 110, 119, 160, 502]","[173, 319, 624, 52, 55, 753, 70, 132]","[103, 94, 310, 114, 73, 683, 446, 482]","[595, 241, 252, 652, 248, 110, 151, 762]","[291, 428, 130, 583, 566, 424, 600, 177]","[20, 583, 463, 424, 566, 273, 733, 346]","[178, 307, 621, 47, 52, 757, 72, 134]","[22, 354, 554, 170, 293, 42, 725, 284]","[666, 586, 719, 589, 143, 254, 345, 751]","[492, 783, 751, 150, 155, 339, 740, 661]","[590, 405, 84, 783, 60, 319, 267, 708]","[170, 330, 626, 46, 51, 761, 71, 129]"
2,"[417, 498, 73, 244, 772, 160, 761, 343]","[343, 17, 160, 266, 132, 62, 756, 119]","[266, 43, 624, 544, 205, 238, 215, 741]","[721, 216, 485, 688, 339, 755, 541, 374]","[248, 241, 99, 652, 762, 709, 325, 695]","[186, 718, 28, 518, 629, 532, 308, 213]","[414, 252, 268, 751, 213, 502, 248, 675]","[255, 45, 621, 544, 193, 246, 220, 739]","[333, 420, 779, 728, 640, 419, 408, 681]","[666, 110, 248, 147, 101, 328, 324, 756]","[668, 762, 740, 268, 591, 745, 154, 339]","[162, 60, 407, 405, 19, 747, 303, 498]","[274, 47, 626, 546, 208, 235, 210, 734]"
3,"[33, 62, 343, 32, 410, 442, 674, 116]","[692, 343, 554, 502, 756, 417, 160, 226]","[266, 706, 624, 544, 430, 441, 40, 741]","[173, 798, 353, 529, 551, 69, 55, 301]","[248, 325, 579, 431, 531, 373, 695, 245]","[623, 414, 8, 59, 51, 675, 95, 556]","[168, 751, 134, 245, 28, 502, 696, 324]","[255, 707, 621, 544, 436, 437, 43, 739]","[149, 443, 478, 193, 294, 480, 121, 545]","[666, 110, 324, 756, 328, 266, 567, 147]","[668, 154, 661, 591, 407, 203, 558, 405]","[84, 590, 548, 498, 593, 98, 60, 626]","[274, 710, 626, 546, 426, 454, 44, 734]"
4,"[62, 410, 160, 651, 187, 87, 365, 442]","[417, 32, 595, 485, 62, 687, 105, 43]","[377, 547, 624, 495, 114, 437, 209, 457]","[452, 793, 177, 419, 116, 359, 693, 32]","[431, 549, 245, 695, 99, 595, 565, 474]","[715, 746, 308, 374, 85, 622, 751, 125]","[502, 86, 556, 758, 147, 790, 266, 690]","[359, 546, 621, 471, 110, 431, 217, 461]","[144, 383, 659, 611, 631, 114, 470, 407]","[666, 110, 324, 101, 328, 756, 266, 177]","[203, 668, 114, 498, 577, 423, 155, 690]","[60, 590, 747, 252, 668, 10, 498, 273]","[385, 565, 626, 505, 121, 440, 207, 451]"
5,"[177, 433, 798, 760, 744, 745, 359, 354]","[261, 595, 320, 684, 335, 776, 337, 652]","[313, 330, 624, 155, 102, 356, 442, 504]","[380, 105, 284, 447, 219, 602, 31, 267]","[431, 549, 581, 141, 245, 695, 531, 589]","[766, 13, 372, 187, 740, 713, 129, 347]","[88, 556, 186, 502, 530, 751, 146, 586]","[299, 338, 621, 154, 90, 364, 438, 509]","[587, 331, 558, 362, 322, 631, 564, 172]","[666, 110, 573, 756, 235, 456, 209, 785]","[668, 203, 356, 180, 12, 577, 16, 498]","[747, 248, 558, 143, 670, 668, 427, 183]","[320, 322, 626, 148, 104, 351, 455, 499]"
6,"[160, 685, 24, 134, 678, 711, 299, 744]","[556, 595, 151, 4, 474, 597, 39, 177]","[222, 512, 624, 738, 153, 73, 448, 115]","[559, 609, 502, 268, 472, 433, 500, 324]","[431, 245, 589, 549, 531, 512, 786, 326]","[425, 713, 368, 171, 210, 562, 376, 43]","[266, 621, 525, 438, 84, 208, 88, 186]","[230, 517, 621, 735, 153, 67, 440, 118]","[49, 752, 657, 304, 46, 637, 236, 598]","[785, 666, 756, 361, 609, 616, 524, 772]","[112, 203, 525, 690, 747, 12, 60, 183]","[747, 678, 434, 591, 668, 590, 708, 666]","[216, 506, 626, 728, 166, 68, 458, 111]"
7,"[134, 63, 472, 44, 379, 706, 556, 192]","[39, 595, 134, 474, 610, 597, 143, 627]","[744, 590, 337, 290, 557, 491, 26, 363]","[63, 716, 793, 154, 708, 64, 754, 162]","[431, 141, 245, 786, 531, 112, 474, 549]","[402, 248, 372, 125, 526, 366, 502, 673]","[438, 556, 486, 84, 51, 275, 414, 478]","[746, 588, 324, 273, 554, 500, 31, 348]","[459, 150, 427, 268, 520, 494, 172, 102]","[785, 666, 399, 756, 772, 719, 569, 616]","[268, 203, 12, 666, 357, 221, 690, 133]","[747, 668, 558, 114, 483, 472, 590, 209]","[751, 596, 343, 302, 552, 487, 31, 373]"
8,"[651, 96, 336, 155, 698, 654, 780, 506]","[474, 27, 595, 39, 241, 252, 275, 431]","[744, 590, 337, 290, 557, 491, 26, 363]","[33, 127, 380, 320, 582, 541, 552, 317]","[431, 141, 474, 786, 112, 668, 581, 330]","[720, 134, 389, 288, 326, 516, 66, 790]","[478, 275, 682, 550, 713, 407, 193, 473]","[746, 588, 324, 273, 554, 500, 31, 348]","[245, 51, 753, 443, 32, 716, 761, 650]","[785, 666, 772, 616, 399, 756, 524, 154]","[227, 790, 74, 518, 577, 525, 435, 660]","[668, 472, 143, 590, 747, 301, 414, 108]","[751, 596, 343, 302, 552, 487, 31, 373]"
9,"[27, 480, 406, 337, 651, 331, 185, 31]","[474, 552, 151, 339, 268, 252, 652, 359]","[744, 713, 337, 290, 545, 465, 639, 363]","[51, 380, 366, 490, 554, 120, 782, 50]","[474, 141, 786, 112, 57, 15, 595, 4]","[33, 758, 440, 324, 641, 186, 680, 550]","[478, 556, 628, 713, 486, 347, 266, 258]","[746, 717, 324, 273, 547, 463, 633, 348]","[556, 386, 677, 594, 166, 357, 17, 71]","[785, 666, 616, 756, 772, 524, 260, 361]","[735, 155, 590, 183, 708, 347, 740, 273]","[668, 82, 472, 476, 84, 301, 752, 747]","[751, 708, 343, 302, 543, 488, 637, 373]"
10,"[754, 744, 14, 597, 782, 116, 365, 31]","[474, 151, 595, 268, 630, 332, 86, 337]","[97, 30, 633, 596, 204, 237, 414, 224]","[267, 103, 674, 30, 380, 520, 502, 778]","[474, 4, 699, 379, 726, 544, 786, 581]","[216, 208, 619, 141, 695, 183, 194, 308]","[478, 147, 486, 266, 431, 146, 556, 589]","[102, 24, 637, 600, 191, 245, 410, 232]","[376, 540, 603, 637, 534, 281, 745, 379]","[666, 524, 756, 772, 618, 23, 609, 719]","[708, 745, 435, 333, 221, 655, 525, 370]","[668, 414, 747, 143, 558, 84, 591, 357]","[95, 22, 631, 594, 205, 234, 416, 218]"
