,fold0_variance,fold0_dens_variance,fold0_random,fold0_uncertainty,fold0_dens_uncertainty,fold1_variance,fold1_dens_variance,fold1_random,fold1_uncertainty,fold1_dens_uncertainty,fold2_variance,fold2_dens_variance,fold2_random,fold2_uncertainty,fold2_dens_uncertainty,fold3_variance,fold3_dens_variance,fold3_random,fold3_uncertainty,fold3_dens_uncertainty,fold4_variance,fold4_dens_variance,fold4_random
1,"[417, 787, 542, 7, 239, 114, 301, 41]","[127, 756, 343, 185, 110, 119, 160, 502]","[173, 319, 624, 52, 55, 753, 70, 132]","[103, 94, 310, 114, 73, 683, 446, 482]","[595, 241, 252, 652, 248, 110, 151, 762]","[291, 428, 130, 583, 566, 424, 600, 177]","[20, 583, 463, 424, 566, 273, 733, 346]","[178, 307, 621, 47, 52, 757, 72, 134]","[22, 354, 554, 170, 293, 42, 725, 284]","[666, 586, 719, 589, 143, 254, 345, 751]","[492, 783, 751, 150, 155, 339, 740, 661]","[590, 405, 84, 783, 60, 319, 267, 708]","[170, 330, 626, 46, 51, 761, 71, 129]","[796, 218, 402, 605, 12, 396, 439, 71]","[104, 245, 689, 664, 608, 418, 140, 263]","[657, 51, 615, 409, 341, 707, 265, 194]","[18, 409, 615, 457, 2, 583, 156, 265]","[149, 113, 440, 799, 11, 744, 370, 501]","[309, 85, 704, 287, 204, 111, 356, 214]","[664, 331, 690, 143, 579, 633, 396, 506]","[174, 157, 94, 592, 176, 228, 586, 286]","[312, 539, 578, 404, 174, 251, 120, 198]","[140, 128, 439, 799, 19, 747, 369, 497]"
2,"[417, 498, 73, 244, 772, 160, 761, 343]","[343, 17, 160, 266, 132, 62, 756, 119]","[266, 43, 624, 544, 205, 238, 215, 741]","[721, 216, 485, 688, 339, 755, 541, 374]","[248, 241, 99, 652, 762, 709, 325, 695]","[186, 718, 28, 518, 629, 532, 308, 213]","[414, 252, 268, 751, 213, 502, 248, 675]","[255, 45, 621, 544, 193, 246, 220, 739]","[333, 420, 779, 728, 640, 419, 408, 681]","[666, 110, 248, 147, 101, 328, 324, 756]","[668, 762, 740, 268, 591, 745, 154, 339]","[162, 60, 407, 405, 19, 747, 303, 498]","[274, 47, 626, 546, 208, 235, 210, 734]","[247, 1, 101, 793, 623, 229, 72, 456]","[104, 245, 140, 543, 561, 60, 252, 747]","[361, 539, 638, 401, 121, 33, 420, 100]","[750, 62, 265, 313, 336, 539, 412, 145]","[161, 52, 440, 408, 460, 542, 493, 424]","[123, 502, 355, 738, 726, 141, 489, 557]","[319, 247, 784, 672, 179, 34, 664, 568]","[732, 539, 455, 238, 312, 614, 198, 595]","[673, 159, 637, 301, 139, 711, 683, 236]","[168, 47, 439, 403, 464, 542, 489, 427]"
3,"[33, 62, 343, 32, 410, 442, 674, 116]","[692, 343, 554, 502, 756, 417, 160, 226]","[266, 706, 624, 544, 430, 441, 40, 741]","[173, 798, 353, 529, 551, 69, 55, 301]","[248, 325, 579, 431, 531, 373, 695, 245]","[623, 414, 8, 59, 51, 675, 95, 556]","[168, 751, 134, 245, 28, 502, 696, 324]","[255, 707, 621, 544, 436, 437, 43, 739]","[149, 443, 478, 193, 294, 480, 121, 545]","[666, 110, 324, 756, 328, 266, 567, 147]","[668, 154, 661, 591, 407, 203, 558, 405]","[84, 590, 548, 498, 593, 98, 60, 626]","[274, 710, 626, 546, 426, 454, 44, 734]","[547, 694, 337, 749, 29, 439, 50, 438]","[252, 245, 140, 543, 752, 590, 714, 3]","[264, 106, 121, 537, 714, 588, 765, 200]","[750, 62, 435, 541, 688, 639, 556, 168]","[161, 339, 440, 408, 679, 53, 716, 424]","[24, 714, 63, 139, 57, 162, 520, 780]","[664, 784, 247, 579, 179, 693, 34, 633]","[406, 165, 139, 520, 643, 240, 673, 107]","[159, 139, 616, 490, 599, 404, 342, 224]","[168, 345, 439, 403, 675, 62, 714, 427]"
4,"[62, 410, 160, 651, 187, 87, 365, 442]","[417, 32, 595, 485, 62, 687, 105, 43]","[377, 547, 624, 495, 114, 437, 209, 457]","[452, 793, 177, 419, 116, 359, 693, 32]","[431, 549, 245, 695, 99, 595, 565, 474]","[715, 746, 308, 374, 85, 622, 751, 125]","[502, 86, 556, 758, 147, 790, 266, 690]","[359, 546, 621, 471, 110, 431, 217, 461]","[144, 383, 659, 611, 631, 114, 470, 407]","[666, 110, 324, 101, 328, 756, 266, 177]","[203, 668, 114, 498, 577, 423, 155, 690]","[60, 590, 747, 252, 668, 10, 498, 273]","[385, 565, 626, 505, 121, 440, 207, 451]","[536, 464, 757, 115, 216, 41, 160, 759]","[245, 252, 3, 140, 248, 10, 498, 377]","[561, 184, 486, 742, 239, 429, 588, 739]","[750, 57, 518, 712, 62, 221, 666, 670]","[683, 703, 440, 79, 503, 412, 521, 14]","[318, 617, 716, 95, 354, 310, 116, 150]","[784, 664, 247, 672, 34, 579, 319, 243]","[406, 791, 270, 241, 601, 479, 338, 578]","[159, 448, 582, 619, 342, 545, 265, 112]","[694, 703, 439, 86, 507, 407, 519, 11]"
5,"[177, 433, 798, 760, 744, 745, 359, 354]","[261, 595, 320, 684, 335, 776, 337, 652]","[313, 330, 624, 155, 102, 356, 442, 504]","[380, 105, 284, 447, 219, 602, 31, 267]","[431, 549, 581, 141, 245, 695, 531, 589]","[766, 13, 372, 187, 740, 713, 129, 347]","[88, 556, 186, 502, 530, 751, 146, 586]","[299, 338, 621, 154, 90, 364, 438, 509]","[587, 331, 558, 362, 322, 631, 564, 172]","[666, 110, 573, 756, 235, 456, 209, 785]","[668, 203, 356, 180, 12, 577, 16, 498]","[747, 248, 558, 143, 670, 668, 427, 183]","[320, 322, 626, 148, 104, 351, 455, 499]","[281, 568, 775, 733, 232, 53, 409, 220]","[245, 252, 248, 377, 10, 390, 531, 524]","[401, 742, 239, 790, 184, 172, 286, 135]","[62, 633, 756, 302, 668, 550, 243, 416]","[620, 798, 440, 197, 134, 702, 402, 306]","[123, 654, 449, 397, 695, 433, 177, 261]","[664, 784, 247, 672, 319, 34, 579, 519]","[115, 450, 132, 541, 700, 586, 787, 208]","[159, 176, 490, 85, 57, 469, 477, 520]","[623, 798, 439, 192, 148, 700, 399, 300]"
6,"[160, 685, 24, 134, 678, 711, 299, 744]","[556, 595, 151, 4, 474, 597, 39, 177]","[222, 512, 624, 738, 153, 73, 448, 115]","[559, 609, 502, 268, 472, 433, 500, 324]","[431, 245, 589, 549, 531, 512, 786, 326]","[425, 713, 368, 171, 210, 562, 376, 43]","[266, 621, 525, 438, 84, 208, 88, 186]","[230, 517, 621, 735, 153, 67, 440, 118]","[49, 752, 657, 304, 46, 637, 236, 598]","[785, 666, 756, 361, 609, 616, 524, 772]","[112, 203, 525, 690, 747, 12, 60, 183]","[747, 678, 434, 591, 668, 590, 708, 666]","[216, 506, 626, 728, 166, 68, 458, 111]","[362, 131, 303, 106, 698, 57, 542, 327]","[252, 390, 248, 508, 531, 377, 319, 783]","[401, 523, 361, 142, 742, 486, 750, 42]","[218, 416, 668, 62, 514, 108, 409, 633]","[104, 513, 440, 385, 629, 487, 221, 625]","[678, 26, 797, 442, 419, 378, 659, 208]","[664, 784, 319, 672, 247, 34, 579, 243]","[406, 530, 294, 440, 456, 490, 636, 584]","[469, 415, 159, 216, 661, 477, 448, 406]","[101, 509, 439, 384, 633, 499, 236, 622]"
7,"[134, 63, 472, 44, 379, 706, 556, 192]","[39, 595, 134, 474, 610, 597, 143, 627]","[744, 590, 337, 290, 557, 491, 26, 363]","[63, 716, 793, 154, 708, 64, 754, 162]","[431, 141, 245, 786, 531, 112, 474, 549]","[402, 248, 372, 125, 526, 366, 502, 673]","[438, 556, 486, 84, 51, 275, 414, 478]","[746, 588, 324, 273, 554, 500, 31, 348]","[459, 150, 427, 268, 520, 494, 172, 102]","[785, 666, 399, 756, 772, 719, 569, 616]","[268, 203, 12, 666, 357, 221, 690, 133]","[747, 668, 558, 114, 483, 472, 590, 209]","[751, 596, 343, 302, 552, 487, 31, 373]","[397, 779, 240, 116, 50, 597, 145, 558]","[248, 252, 783, 319, 498, 369, 114, 486]","[789, 184, 265, 742, 748, 407, 638, 134]","[416, 668, 664, 62, 261, 175, 251, 218]","[669, 89, 70, 235, 390, 732, 455, 171]","[254, 227, 26, 470, 509, 726, 472, 737]","[664, 319, 672, 34, 519, 243, 693, 568]","[514, 586, 32, 170, 82, 743, 107, 538]","[469, 415, 159, 85, 631, 527, 139, 449]","[667, 91, 79, 241, 389, 731, 452, 176]"
8,"[651, 96, 336, 155, 698, 654, 780, 506]","[474, 27, 595, 39, 241, 252, 275, 431]","[744, 590, 337, 290, 557, 491, 26, 363]","[33, 127, 380, 320, 582, 541, 552, 317]","[431, 141, 474, 786, 112, 668, 581, 330]","[720, 134, 389, 288, 326, 516, 66, 790]","[478, 275, 682, 550, 713, 407, 193, 473]","[746, 588, 324, 273, 554, 500, 31, 348]","[245, 51, 753, 443, 32, 716, 761, 650]","[785, 666, 772, 616, 399, 756, 524, 154]","[227, 790, 74, 518, 577, 525, 435, 660]","[668, 472, 143, 590, 747, 301, 414, 108]","[751, 596, 343, 302, 552, 487, 31, 373]","[661, 373, 579, 254, 701, 568, 278, 601]","[252, 248, 319, 783, 144, 82, 640, 294]","[712, 407, 265, 355, 371, 742, 442, 498]","[336, 218, 633, 259, 62, 409, 600, 90]","[669, 89, 70, 235, 390, 732, 455, 171]","[437, 104, 538, 662, 645, 773, 682, 53]","[664, 319, 672, 34, 519, 550, 243, 693]","[331, 738, 110, 661, 711, 336, 82, 751]","[469, 415, 425, 586, 758, 671, 520, 99]","[667, 91, 79, 241, 389, 731, 452, 176]"
9,"[27, 480, 406, 337, 651, 331, 185, 31]","[474, 552, 151, 339, 268, 252, 652, 359]","[744, 713, 337, 290, 545, 465, 639, 363]","[51, 380, 366, 490, 554, 120, 782, 50]","[474, 141, 786, 112, 57, 15, 595, 4]","[33, 758, 440, 324, 641, 186, 680, 550]","[478, 556, 628, 713, 486, 347, 266, 258]","[746, 717, 324, 273, 547, 463, 633, 348]","[556, 386, 677, 594, 166, 357, 17, 71]","[785, 666, 616, 756, 772, 524, 260, 361]","[735, 155, 590, 183, 708, 347, 740, 273]","[668, 82, 472, 476, 84, 301, 752, 747]","[751, 708, 343, 302, 543, 488, 637, 373]","[408, 74, 557, 139, 195, 365, 90, 167]","[319, 248, 783, 144, 299, 150, 640, 753]","[514, 371, 785, 278, 499, 167, 456, 394]","[218, 336, 62, 259, 34, 668, 633, 90]","[669, 333, 70, 235, 9, 146, 628, 171]","[16, 570, 465, 213, 197, 532, 238, 134]","[664, 319, 34, 672, 416, 243, 579, 519]","[131, 584, 33, 567, 530, 747, 514, 51]","[785, 663, 95, 9, 586, 33, 259, 637]","[667, 330, 79, 241, 4, 154, 632, 176]"
10,"[754, 744, 14, 597, 782, 116, 365, 31]","[474, 151, 595, 268, 630, 332, 86, 337]","[97, 30, 633, 596, 204, 237, 414, 224]","[267, 103, 674, 30, 380, 520, 502, 778]","[474, 4, 699, 379, 726, 544, 786, 581]","[216, 208, 619, 141, 695, 183, 194, 308]","[478, 147, 486, 266, 431, 146, 556, 589]","[102, 24, 637, 600, 191, 245, 410, 232]","[376, 540, 603, 637, 534, 281, 745, 379]","[666, 524, 756, 772, 618, 23, 609, 719]","[708, 745, 435, 333, 221, 655, 525, 370]","[668, 414, 747, 143, 558, 84, 591, 357]","[95, 22, 631, 594, 205, 234, 416, 218]","[670, 250, 535, 597, 414, 62, 270, 274]","[319, 783, 144, 150, 531, 508, 107, 404]","[785, 789, 265, 572, 221, 649, 730, 16]","[218, 62, 259, 633, 133, 265, 90, 668]","[788, 153, 260, 300, 55, 94, 661, 433]","[572, 471, 178, 662, 16, 707, 227, 292]","[664, 416, 34, 672, 152, 693, 633, 579]","[490, 747, 584, 567, 663, 159, 514, 507]","[663, 81, 217, 99, 33, 637, 72, 317]","[787, 161, 256, 297, 64, 90, 666, 436]"
