,fold0_variance,fold0_dens_variance,fold0_random,fold0_uncertainty,fold0_dens_uncertainty
1,"[240, 337, 407, 159, 751, 369, 474, 638]","[751, 187, 89, 408, 321, 338, 245, 693]","[793, 146, 326, 407, 465, 338, 475, 276]","[259, 87, 569, 427, 511, 79, 278, 73]","[563, 107, 576, 693, 626, 321, 395, 311]"
2,"[102, 746, 61, 517, 616, 333, 18, 267]","[18, 607, 591, 553, 579, 686, 104, 789]","[172, 569, 326, 628, 756, 26, 96, 586]","[237, 750, 605, 323, 541, 582, 523, 59]","[321, 107, 563, 576, 31, 587, 149, 152]"
3,"[186, 136, 12, 213, 572, 15, 354, 790]","[627, 242, 10, 530, 74, 163, 89, 267]","[172, 222, 326, 628, 792, 354, 584, 586]","[782, 739, 710, 450, 380, 358, 688, 630]","[321, 107, 31, 563, 785, 142, 698, 562]"
4,"[119, 579, 12, 102, 749, 525, 186, 427]","[163, 221, 168, 474, 104, 207, 502, 242]","[82, 653, 326, 266, 376, 406, 687, 608]","[373, 664, 718, 369, 167, 53, 12, 491]","[321, 107, 785, 31, 142, 576, 693, 563]"
5,"[17, 536, 313, 579, 682, 167, 12, 493]","[163, 476, 502, 488, 242, 89, 87, 530]","[710, 678, 326, 565, 695, 200, 160, 428]","[550, 382, 175, 159, 660, 303, 478, 171]","[107, 785, 142, 673, 4, 563, 249, 784]"
6,"[579, 304, 12, 749, 746, 662, 5, 119]","[476, 417, 163, 488, 242, 502, 89, 434]","[188, 144, 326, 161, 728, 669, 214, 65]","[779, 320, 719, 537, 187, 196, 72, 662]","[107, 4, 673, 785, 563, 142, 592, 127]"
7,"[339, 12, 419, 746, 537, 17, 382, 351]","[476, 163, 502, 89, 242, 488, 673, 609]","[739, 680, 413, 440, 95, 491, 662, 27]","[332, 349, 423, 21, 632, 769, 71, 553]","[4, 673, 785, 513, 587, 434, 350, 731]"
8,"[89, 19, 12, 724, 125, 104, 558, 54]","[242, 163, 673, 89, 488, 218, 511, 104]","[739, 680, 413, 440, 95, 491, 662, 27]","[186, 318, 682, 540, 348, 342, 656, 735]","[434, 4, 785, 142, 524, 673, 698, 437]"
9,"[89, 180, 12, 125, 397, 104, 579, 656]","[242, 89, 488, 339, 338, 673, 168, 129]","[739, 775, 413, 440, 49, 93, 448, 27]","[62, 20, 441, 157, 551, 267, 355, 562]","[434, 4, 437, 142, 247, 245, 698, 475]"
10,"[114, 68, 206, 133, 118, 132, 530, 389]","[242, 89, 675, 679, 168, 673, 562, 488]","[58, 572, 159, 470, 798, 21, 324, 441]","[129, 738, 406, 194, 781, 616, 177, 162]","[434, 4, 437, 245, 142, 587, 150, 329]"
