,fold0_variance,fold0_old_variance,fold0_random,fold0_uncertainty,fold0_old_uncertainty,fold0_dens_uncertainty,fold0_dens_variance,fold0_dens_uncertainty_sqrt
1,"[240, 337, 407, 159, 751, 369, 474, 638]","[684, 153, 737, 746, 163, 15, 417, 24]","[793, 146, 326, 407, 465, 338, 475, 276]","[497, 551, 391, 230, 750, 732, 776, 65]","[779, 45, 352, 436, 551, 485, 744, 139]","[563, 321, 107, 673, 6, 695, 140, 245]","[751, 693, 408, 267, 686, 163, 553, 338]","[140, 563, 695, 592, 587, 452, 376, 698]"
2,"[746, 102, 240, 119, 61, 517, 333, 354]","[337, 292, 34, 159, 333, 430, 136, 89]","[369, 62, 326, 628, 155, 11, 261, 586]","[125, 345, 541, 34, 252, 688, 485, 187]","[88, 508, 221, 240, 558, 602, 342, 550]","[321, 107, 245, 563, 249, 576, 695, 785]","[89, 591, 245, 474, 785, 104, 627, 221]","[563, 695, 513, 698, 107, 152, 329, 559]"
3,"[525, 136, 579, 510, 102, 656, 778, 303]","[740, 388, 167, 696, 313, 250, 536, 270]","[710, 751, 326, 266, 728, 200, 652, 428]","[171, 674, 343, 74, 459, 442, 320, 478]","[96, 189, 560, 719, 610, 420, 656, 53]","[321, 785, 142, 149, 99, 168, 576, 395]","[163, 449, 480, 168, 142, 607, 650, 89]","[395, 698, 107, 243, 242, 294, 142, 329]"
4,"[493, 739, 579, 399, 388, 609, 740, 601]","[751, 789, 102, 385, 304, 517, 654, 280]","[739, 775, 326, 565, 236, 21, 662, 65]","[496, 366, 161, 350, 636, 479, 417, 762]","[36, 616, 130, 210, 686, 276, 332, 101]","[321, 785, 576, 434, 524, 673, 142, 615]","[163, 142, 4, 530, 41, 609, 698, 74]","[116, 698, 673, 475, 329, 731, 435, 229]"
5,"[415, 429, 696, 579, 737, 313, 559, 57]","[579, 196, 303, 53, 783, 537, 786, 722]","[58, 485, 326, 161, 78, 243, 324, 27]","[574, 49, 591, 186, 789, 463, 406, 383]","[303, 383, 15, 590, 34, 457, 671, 385]","[434, 785, 395, 615, 247, 784, 242, 142]","[242, 488, 476, 253, 474, 129, 502, 207]","[87, 194, 673, 471, 201, 345, 569, 502]"
6,"[415, 338, 382, 559, 749, 172, 503, 786]","[72, 231, 540, 609, 449, 775, 87, 511]","[767, 85, 413, 440, 436, 321, 515, 752]","[737, 24, 722, 93, 603, 104, 382, 769]","[696, 732, 442, 614, 148, 408, 505, 355]","[434, 785, 395, 168, 253, 243, 650, 784]","[476, 417, 249, 511, 579, 488, 87, 308]","[168, 329, 99, 142, 243, 395, 576, 248]"
7,"[415, 12, 206, 121, 7, 758, 442, 55]","[267, 365, 533, 396, 487, 181, 779, 723]","[641, 724, 159, 470, 508, 768, 569, 617]","[360, 402, 647, 380, 350, 394, 619, 603]","[737, 595, 370, 267, 162, 684, 674, 367]","[331, 627, 257, 513, 150, 311, 274, 127]","[675, 18, 488, 630, 562, 673, 339, 579]","[576, 329, 395, 650, 321, 524, 249, 756]"
8,"[270, 746, 426, 549, 87, 163, 110, 642]","[395, 365, 102, 382, 746, 533, 335, 119]","[16, 553, 115, 618, 35, 465, 62, 619]","[167, 226, 299, 61, 208, 606, 609, 538]","[419, 511, 701, 221, 684, 134, 113, 752]","[504, 253, 150, 243, 626, 587, 693, 129]","[37, 679, 434, 253, 673, 729, 427, 488]","[321, 576, 329, 756, 331, 785, 127, 149]"
9,"[746, 304, 163, 523, 550, 196, 565, 12]","[562, 61, 687, 728, 506, 798, 671, 787]","[593, 66, 115, 345, 541, 376, 144, 482]","[537, 269, 778, 181, 110, 577, 92, 664]","[654, 733, 688, 415, 79, 783, 538, 64]","[698, 229, 218, 150, 152, 280, 566, 18]","[218, 86, 253, 168, 342, 488, 673, 99]","[321, 785, 756, 329, 243, 693, 150, 626]"
10,"[186, 795, 30, 12, 166, 783, 579, 511]","[664, 12, 749, 375, 365, 724, 32, 206]","[297, 187, 589, 238, 274, 728, 775, 633]","[307, 554, 347, 244, 697, 530, 198, 728]","[446, 121, 450, 618, 351, 773, 493, 708]","[18, 150, 584, 452, 163, 757, 592, 673]","[481, 550, 307, 196, 678, 142, 304, 457]","[321, 785, 218, 150, 756, 247, 243, 615]"
11,"[12, 445, 365, 558, 236, 731, 231, 126]","[245, 400, 12, 693, 187, 505, 129, 642]","[96, 265, 84, 750, 395, 29, 262, 245]","[79, 388, 684, 257, 24, 593, 9, 176]","[15, 368, 752, 762, 453, 256, 609, 675]","[150, 253, 698, 673, 693, 452, 225, 476]","[253, 19, 684, 610, 488, 311, 483, 168]","[785, 666, 280, 636, 480, 150, 253, 615]"
12,"[221, 373, 595, 671, 642, 435, 365, 24]","[650, 671, 739, 12, 54, 579, 257, 380]","[687, 255, 152, 98, 24, 99, 124, 104]","[206, 282, 477, 671, 450, 126, 527, 700]","[259, 574, 445, 373, 363, 388, 426, 750]","[150, 350, 698, 790, 87, 225, 679, 199]","[230, 162, 579, 168, 257, 333, 673, 100]","[785, 150, 790, 142, 425, 335, 163, 565]"
13,"[24, 138, 671, 537, 728, 485, 383, 642]","[778, 724, 41, 163, 134, 145, 405, 5]","[214, 45, 579, 580, 501, 488, 189, 370]","[488, 632, 687, 446, 254, 361, 77, 273]","[445, 786, 577, 638, 384, 386, 104, 366]","[562, 539, 667, 306, 698, 756, 417, 611]","[480, 171, 206, 355, 684, 536, 540, 579]","[168, 334, 642, 150, 452, 257, 693, 253]"
14,"[213, 251, 535, 520, 673, 365, 641, 595]","[57, 713, 408, 124, 671, 712, 523, 255]","[729, 670, 579, 166, 532, 674, 228, 772]","[68, 172, 324, 489, 610, 689, 53, 60]","[197, 710, 0, 273, 178, 361, 473, 491]","[756, 131, 110, 31, 28, 761, 16, 86]","[480, 32, 308, 618, 625, 789, 104, 365]","[150, 452, 761, 416, 31, 504, 596, 673]"
