,fold0_variance,fold0_dens_variance,fold0_random
1,"[240, 337, 407, 159, 751, 369, 474, 638]","[751, 187, 89, 408, 321, 338, 245, 693]","[793, 146, 326, 407, 465, 338, 475, 276]"
2,"[102, 746, 61, 517, 616, 333, 18, 267]","[18, 607, 591, 553, 579, 686, 104, 789]","[172, 569, 326, 628, 756, 26, 96, 586]"
3,"[186, 136, 12, 213, 572, 15, 354, 790]","[627, 242, 10, 530, 74, 163, 89, 267]","[172, 222, 326, 628, 792, 354, 584, 586]"
4,"[119, 579, 12, 102, 749, 525, 186, 427]","[163, 221, 168, 474, 104, 207, 502, 242]","[82, 653, 326, 266, 376, 406, 687, 608]"
5,"[17, 536, 313, 579, 682, 167, 12, 493]","[163, 476, 502, 488, 242, 89, 87, 530]","[710, 678, 326, 565, 695, 200, 160, 428]"
6,"[579, 304, 12, 749, 746, 662, 5, 119]","[476, 417, 163, 488, 242, 502, 89, 434]","[188, 144, 326, 161, 728, 669, 214, 65]"
7,"[339, 12, 419, 746, 537, 17, 382, 351]","[476, 163, 502, 89, 242, 488, 673, 609]","[739, 680, 413, 440, 95, 491, 662, 27]"
8,"[89, 19, 12, 724, 125, 104, 558, 54]","[242, 163, 673, 89, 488, 218, 511, 104]","[739, 680, 413, 440, 95, 491, 662, 27]"
9,"[89, 180, 12, 125, 397, 104, 579, 656]","[242, 89, 488, 339, 338, 673, 168, 129]","[739, 775, 413, 440, 49, 93, 448, 27]"
10,"[114, 68, 206, 133, 118, 132, 530, 389]","[242, 89, 675, 679, 168, 673, 562, 488]","[58, 572, 159, 470, 798, 21, 324, 441]"
