,fold0_variance,fold0_old_variance,fold0_random,fold0_uncertainty,fold0_old_uncertainty,fold1_variance,fold1_old_variance
1,"[240, 337, 407, 159, 751, 369, 474, 638]","[240, 337, 407, 159, 751, 369, 474, 638]","[793, 146, 326, 407, 465, 338, 475, 276]","[259, 87, 569, 427, 511, 79, 278, 73]","[259, 87, 569, 427, 511, 79, 278, 73]","[192, 550, 353, 16, 59, 505, 116, 442]","[192, 550, 353, 16, 59, 505, 116, 442]"
2,"[102, 746, 61, 517, 616, 333, 18, 267]","[102, 746, 61, 517, 616, 333, 18, 267]","[172, 569, 326, 628, 756, 26, 96, 586]","[237, 750, 605, 323, 541, 582, 523, 59]","[237, 750, 605, 323, 541, 582, 523, 59]","[192, 520, 104, 442, 508, 548, 244, 559]","[192, 520, 104, 442, 508, 548, 244, 559]"
3,"[186, 136, 12, 213, 572, 15, 354, 790]","[186, 136, 12, 213, 572, 15, 354, 790]","[172, 222, 326, 628, 792, 354, 584, 586]","[782, 739, 710, 450, 380, 358, 688, 630]","[782, 739, 710, 450, 380, 358, 688, 630]","[484, 563, 476, 591, 355, 192, 511, 753]","[484, 563, 476, 591, 192, 355, 511, 753]"
4,"[119, 579, 12, 102, 749, 525, 186, 427]","[119, 579, 12, 102, 749, 525, 186, 427]","[82, 653, 326, 266, 376, 406, 687, 608]","[373, 664, 718, 369, 167, 53, 12, 491]","[373, 664, 718, 369, 167, 53, 12, 491]","[591, 138, 662, 694, 326, 203, 506, 315]","[591, 138, 662, 694, 326, 203, 506, 315]"
5,"[17, 536, 313, 579, 682, 167, 12, 493]","[17, 536, 313, 579, 682, 167, 12, 493]","[710, 678, 326, 565, 695, 200, 160, 428]","[550, 382, 175, 159, 660, 303, 478, 171]","[550, 382, 175, 159, 660, 303, 478, 171]","[208, 505, 140, 326, 278, 717, 304, 16]","[505, 208, 140, 326, 278, 717, 304, 16]"
6,"[579, 304, 12, 749, 746, 662, 5, 119]","[579, 304, 12, 749, 746, 662, 5, 119]","[188, 144, 326, 161, 728, 669, 214, 65]","[779, 320, 719, 537, 187, 196, 72, 662]","[779, 320, 719, 537, 187, 196, 72, 662]","[279, 759, 756, 513, 208, 68, 31, 379]","[279, 759, 756, 513, 208, 68, 31, 379]"
7,"[339, 12, 419, 746, 537, 17, 382, 351]","[339, 12, 419, 746, 17, 537, 382, 351]","[739, 680, 413, 440, 95, 491, 662, 27]","[332, 349, 423, 21, 632, 769, 71, 553]","[332, 349, 423, 21, 632, 769, 71, 553]","[548, 23, 230, 479, 454, 685, 192, 369]","[548, 192, 23, 230, 479, 454, 685, 369]"
8,"[89, 19, 12, 724, 125, 104, 558, 54]","[89, 19, 12, 724, 125, 104, 558, 54]","[739, 680, 413, 440, 95, 491, 662, 27]","[186, 318, 682, 540, 348, 342, 656, 735]","[186, 318, 682, 540, 348, 342, 656, 735]","[479, 16, 208, 591, 225, 514, 382, 195]","[479, 16, 208, 591, 225, 514, 382, 195]"
9,"[89, 180, 12, 125, 397, 104, 579, 656]","[89, 180, 12, 125, 397, 104, 579, 656]","[739, 775, 413, 440, 49, 93, 448, 27]","[62, 20, 441, 157, 551, 267, 355, 562]","[62, 20, 441, 157, 551, 267, 355, 562]","[364, 292, 16, 63, 591, 45, 732, 394]","[364, 292, 16, 192, 63, 591, 45, 732]"
10,"[114, 68, 206, 133, 118, 132, 530, 389]","[114, 68, 206, 133, 118, 132, 530, 12]","[58, 572, 159, 470, 798, 21, 324, 441]","[129, 738, 406, 194, 781, 616, 177, 162]","[129, 738, 406, 194, 781, 616, 177, 162]","[427, 161, 16, 12, 355, 425, 701, 591]","[427, 16, 701, 591, 92, 355, 161, 263]"
11,"[24, 32, 758, 211, 7, 771, 783, 110]","[7, 758, 180, 296, 488, 32, 359, 681]","[535, 696, 159, 470, 29, 243, 195, 752]","[227, 386, 347, 342, 739, 289, 208, 226]","[227, 386, 347, 739, 342, 289, 208, 226]","[16, 382, 161, 225, 87, 23, 670, 320]","[16, 225, 320, 506, 626, 38, 412, 591]"
12,"[15, 24, 12, 798, 559, 72, 694, 398]","[24, 60, 7, 510, 520, 783, 196, 443]","[535, 696, 159, 470, 29, 243, 195, 752]","[708, 360, 327, 591, 664, 443, 262, 493]","[708, 360, 327, 591, 664, 443, 262, 493]","[537, 626, 12, 670, 91, 497, 591, 574]","[23, 161, 382, 782, 537, 12, 485, 539]"
13,"[301, 491, 417, 687, 93, 143, 106, 681]","[60, 579, 742, 64, 196, 647, 728, 722]","[535, 696, 159, 470, 29, 243, 195, 752]","[771, 361, 671, 54, 493, 742, 166, 186]","[771, 361, 671, 54, 742, 166, 186, 449]","[192, 782, 474, 225, 24, 746, 345, 778]","[746, 12, 778, 782, 625, 770, 217, 539]"
14,"[54, 728, 671, 681, 359, 778, 7, 511]","[511, 625, 647, 231, 24, 32, 301, 681]","[767, 506, 115, 618, 78, 308, 108, 617]","[603, 224, 472, 228, 175, 498, 74, 299]","[552, 342, 471, 175, 224, 365, 498, 463]","[719, 412, 691, 502, 500, 746, 196, 721]","[791, 746, 165, 719, 197, 500, 537, 91]"
15,"[540, 681, 365, 671, 771, 255, 632, 737]","[365, 642, 117, 687, 679, 441, 342, 308]","[431, 262, 115, 618, 264, 145, 515, 617]","[773, 153, 669, 279, 554, 498, 196, 408]","[732, 511, 638, 139, 669, 658, 564, 53]","[52, 791, 778, 208, 299, 263, 116, 449]","[208, 474, 12, 500, 225, 116, 413, 374]"
16,"[498, 60, 103, 681, 781, 108, 244, 32]","[642, 724, 671, 338, 740, 405, 64, 361]","[641, 85, 589, 345, 99, 174, 150, 619]","[741, 370, 742, 645, 153, 503, 567, 511]","[158, 10, 489, 773, 244, 49, 153, 717]","[778, 770, 263, 782, 7, 217, 346, 155]","[750, 639, 717, 449, 110, 208, 676, 4]"
