,fold0_variance,fold0_dens_variance,fold0_random,fold0_uncertainty,fold0_dens_uncertainty,fold1_variance,fold1_dens_variance,fold1_random,fold1_uncertainty,fold1_dens_uncertainty,fold2_variance,fold2_dens_variance,fold2_random,fold2_uncertainty,fold2_dens_uncertainty,fold3_variance,fold3_dens_variance,fold3_random
1,"[240, 337, 407, 159, 751, 369, 474, 638]","[751, 187, 89, 408, 321, 338, 245, 693]","[793, 146, 326, 407, 465, 338, 475, 276]","[259, 87, 569, 427, 511, 79, 278, 73]","[563, 107, 576, 693, 626, 321, 395, 311]","[192, 550, 353, 16, 59, 505, 116, 442]","[165, 416, 59, 87, 104, 551, 754, 505]","[792, 148, 325, 413, 471, 344, 481, 269]","[721, 401, 654, 211, 534, 744, 239, 91]","[673, 648, 53, 147, 143, 699, 696, 343]","[603, 49, 421, 523, 432, 403, 197, 703]","[549, 259, 669, 521, 588, 748, 313, 603]","[685, 206, 484, 684, 460, 336, 358, 279]","[659, 695, 673, 99, 526, 362, 782, 534]","[164, 104, 503, 559, 245, 635, 640, 730]","[529, 411, 257, 49, 737, 540, 689, 370]","[688, 589, 711, 58, 335, 329, 399, 311]","[689, 207, 469, 688, 466, 339, 359, 273]"
2,"[102, 746, 61, 517, 616, 333, 18, 267]","[18, 607, 591, 553, 579, 686, 104, 789]","[172, 569, 326, 628, 756, 26, 96, 586]","[237, 750, 605, 323, 541, 582, 523, 59]","[321, 107, 563, 576, 31, 587, 149, 152]","[192, 520, 104, 442, 508, 548, 244, 559]","[110, 165, 87, 333, 555, 624, 277, 356]","[174, 562, 325, 634, 752, 29, 92, 589]","[690, 604, 33, 425, 535, 158, 694, 12]","[643, 272, 261, 270, 99, 771, 237, 706]","[92, 391, 203, 628, 239, 741, 275, 750]","[297, 247, 311, 141, 514, 748, 99, 584]","[347, 576, 484, 303, 734, 467, 502, 583]","[32, 460, 666, 475, 361, 350, 742, 451]","[104, 488, 245, 730, 257, 128, 559, 635]","[311, 360, 33, 179, 655, 152, 160, 399]","[58, 17, 586, 409, 679, 256, 335, 677]","[347, 563, 469, 312, 733, 474, 489, 586]"
3,"[186, 136, 12, 213, 572, 15, 354, 790]","[627, 242, 10, 530, 74, 163, 89, 267]","[172, 222, 326, 628, 792, 354, 584, 586]","[782, 739, 710, 450, 380, 358, 688, 630]","[321, 107, 31, 563, 785, 142, 698, 562]","[484, 563, 476, 591, 355, 192, 511, 753]","[356, 591, 505, 165, 254, 87, 134, 586]","[174, 223, 325, 634, 793, 352, 588, 589]","[457, 659, 95, 504, 628, 225, 193, 462]","[771, 634, 643, 187, 589, 754, 124, 254]","[5, 83, 467, 98, 186, 317, 517, 115]","[141, 335, 588, 414, 620, 123, 3, 404]","[347, 217, 484, 303, 791, 362, 521, 583]","[717, 587, 473, 480, 501, 709, 779, 301]","[104, 488, 635, 128, 685, 126, 257, 139]","[414, 92, 168, 688, 642, 272, 640, 494]","[138, 252, 409, 552, 335, 399, 542, 644]","[347, 223, 469, 312, 793, 361, 527, 586]"
4,"[119, 579, 12, 102, 749, 525, 186, 427]","[163, 221, 168, 474, 104, 207, 502, 242]","[82, 653, 326, 266, 376, 406, 687, 608]","[373, 664, 718, 369, 167, 53, 12, 491]","[321, 107, 785, 31, 142, 576, 693, 563]","[591, 138, 662, 694, 326, 203, 506, 315]","[165, 591, 272, 118, 589, 50, 38, 147]","[77, 641, 325, 264, 378, 398, 688, 615]","[12, 107, 554, 20, 453, 279, 717, 120]","[254, 643, 187, 124, 21, 110, 760, 251]","[738, 624, 671, 190, 194, 742, 136, 385]","[414, 141, 335, 243, 682, 18, 309, 748]","[333, 654, 484, 270, 71, 404, 787, 50]","[749, 397, 383, 496, 786, 663, 382, 729]","[488, 584, 139, 126, 635, 247, 95, 689]","[589, 460, 381, 275, 614, 630, 192, 523]","[552, 138, 335, 473, 426, 785, 399, 644]","[326, 649, 469, 264, 72, 399, 780, 55]"
5,"[17, 536, 313, 579, 682, 167, 12, 493]","[163, 476, 502, 488, 242, 89, 87, 530]","[710, 678, 326, 565, 695, 200, 160, 428]","[550, 382, 175, 159, 660, 303, 478, 171]","[107, 785, 142, 673, 4, 563, 249, 784]","[208, 505, 140, 326, 278, 717, 304, 16]","[165, 327, 356, 648, 754, 491, 147, 550]","[708, 675, 325, 569, 697, 200, 161, 434]","[475, 406, 16, 717, 292, 287, 63, 359]","[110, 643, 254, 333, 257, 338, 187, 515]","[404, 344, 173, 414, 634, 31, 53, 666]","[335, 414, 141, 748, 180, 164, 84, 623]","[714, 686, 484, 589, 617, 526, 170, 231]","[534, 206, 304, 60, 531, 242, 452, 372]","[247, 584, 730, 313, 761, 588, 13, 785]","[547, 786, 493, 630, 162, 131, 43, 160]","[138, 586, 473, 399, 58, 264, 637, 591]","[712, 676, 469, 595, 617, 541, 159, 234]"
6,"[579, 304, 12, 749, 746, 662, 5, 119]","[476, 417, 163, 488, 242, 502, 89, 434]","[188, 144, 326, 161, 728, 669, 214, 65]","[779, 320, 719, 537, 187, 196, 72, 662]","[107, 4, 673, 785, 563, 142, 592, 127]","[279, 759, 756, 513, 208, 68, 31, 379]","[435, 146, 165, 87, 677, 317, 214, 230]","[187, 146, 325, 160, 733, 657, 208, 69]","[683, 203, 653, 120, 431, 78, 590, 104]","[110, 333, 257, 643, 254, 785, 36, 551]","[279, 127, 8, 12, 529, 521, 765, 52]","[414, 335, 666, 640, 748, 141, 588, 493]","[194, 438, 484, 691, 369, 666, 218, 687]","[136, 54, 770, 606, 248, 101, 746, 188]","[313, 584, 204, 785, 424, 730, 585, 593]","[235, 683, 82, 506, 173, 713, 387, 329]","[138, 644, 426, 473, 637, 213, 490, 335]","[189, 443, 469, 696, 372, 669, 209, 690]"
7,"[339, 12, 419, 746, 537, 17, 382, 351]","[476, 163, 502, 89, 242, 488, 673, 609]","[739, 680, 413, 440, 95, 491, 662, 27]","[332, 349, 423, 21, 632, 769, 71, 553]","[4, 673, 785, 513, 587, 434, 350, 731]","[548, 23, 230, 479, 454, 685, 192, 369]","[677, 165, 146, 356, 147, 491, 536, 353]","[721, 679, 409, 437, 99, 500, 667, 31]","[73, 244, 694, 626, 148, 202, 350, 675]","[110, 333, 257, 785, 254, 643, 338, 187]","[727, 691, 553, 670, 121, 165, 148, 598]","[414, 493, 252, 748, 141, 205, 623, 130]","[738, 693, 410, 453, 99, 326, 282, 672]","[394, 595, 613, 137, 59, 191, 393, 722]","[785, 139, 153, 324, 504, 689, 245, 730]","[783, 141, 491, 518, 402, 485, 442, 368]","[490, 473, 240, 335, 173, 589, 637, 538]","[738, 683, 405, 432, 104, 329, 293, 668]"
8,"[89, 19, 12, 724, 125, 104, 558, 54]","[242, 163, 673, 89, 488, 218, 511, 104]","[739, 680, 413, 440, 95, 491, 662, 27]","[186, 318, 682, 540, 348, 342, 656, 735]","[434, 4, 785, 142, 524, 673, 698, 437]","[479, 16, 208, 591, 225, 514, 382, 195]","[165, 146, 499, 147, 38, 457, 677, 171]","[721, 679, 409, 437, 99, 500, 667, 31]","[641, 479, 502, 533, 561, 313, 686, 27]","[110, 333, 257, 785, 254, 643, 441, 338]","[727, 113, 611, 292, 178, 457, 118, 119]","[493, 748, 671, 295, 404, 257, 473, 521]","[738, 693, 410, 453, 99, 326, 282, 672]","[130, 731, 765, 794, 286, 5, 75, 325]","[785, 245, 139, 593, 345, 573, 126, 149]","[141, 467, 607, 548, 538, 459, 143, 442]","[473, 490, 589, 420, 604, 213, 586, 670]","[738, 683, 405, 432, 104, 329, 293, 668]"
9,"[89, 180, 12, 125, 397, 104, 579, 656]","[242, 89, 488, 339, 338, 673, 168, 129]","[739, 775, 413, 440, 49, 93, 448, 27]","[62, 20, 441, 157, 551, 267, 355, 562]","[434, 4, 437, 142, 247, 245, 698, 475]","[364, 292, 16, 63, 591, 45, 732, 394]","[165, 282, 147, 643, 634, 146, 272, 356]","[721, 768, 409, 437, 45, 89, 452, 31]","[135, 60, 653, 335, 76, 223, 442, 214]","[441, 785, 333, 643, 257, 254, 256, 706]","[727, 460, 499, 779, 649, 94, 178, 259]","[448, 665, 85, 530, 591, 41, 557, 345]","[738, 440, 410, 453, 39, 157, 173, 672]","[75, 455, 123, 129, 653, 154, 756, 260]","[785, 139, 708, 149, 593, 245, 345, 685]","[431, 98, 8, 436, 599, 292, 118, 607]","[236, 335, 637, 498, 213, 2, 442, 250]","[738, 429, 405, 432, 40, 145, 177, 668]"
10,"[114, 68, 206, 133, 118, 132, 530, 389]","[242, 89, 675, 679, 168, 673, 562, 488]","[58, 572, 159, 470, 798, 21, 324, 441]","[129, 738, 406, 194, 781, 616, 177, 162]","[434, 4, 437, 245, 142, 587, 150, 329]","[427, 161, 16, 12, 355, 425, 701, 591]","[165, 677, 643, 270, 171, 441, 483, 184]","[55, 575, 159, 476, 799, 24, 324, 446]","[60, 123, 47, 45, 508, 477, 150, 38]","[785, 643, 333, 254, 562, 595, 338, 569]","[315, 134, 361, 156, 91, 171, 406, 60]","[329, 666, 257, 609, 104, 331, 295, 608]","[424, 354, 168, 465, 799, 252, 673, 552]","[99, 460, 335, 746, 194, 97, 490, 686]","[785, 149, 685, 250, 697, 150, 715, 530]","[118, 640, 614, 548, 131, 43, 354, 745]","[335, 622, 79, 467, 473, 250, 742, 670]","[411, 354, 157, 470, 799, 254, 670, 557]"
