,used,exhausted,rounds
5775,1.0,1.0,[0]
7839,1.0,1.0,[0]
5,1.0,1.0,[0]
297,1.0,1.0,[0]
2963,1.0,1.0,[0]
1032,1.0,1.0,[0]
5659,1.0,1.0,[0]
2992,1.0,1.0,[0]
7705,1.0,1.0,[0]
6273,1.0,1.0,[0]
5561,1.0,1.0,[0]
2089,1.0,1.0,[0]
2583,1.0,1.0,[0]
2132,1.0,1.0,[0]
582,1.0,1.0,[0]
5415,1.0,1.0,[0]
675,1.0,1.0,[0]
4496,1.0,1.0,[0]
2455,1.0,1.0,[0]
6002,1.0,1.0,[0]
5294,1.0,1.0,[0]
4212,1.0,1.0,[0]
1923,1.0,1.0,[0]
7679,1.0,1.0,[0]
560,1.0,1.0,[0]
2085,1.0,1.0,[0]
3019,1.0,1.0,[0]
3005,1.0,1.0,[0]
7596,1.0,1.0,[0]
4150,1.0,1.0,[0]
6360,1.0,1.0,[0]
1297,1.0,1.0,[0]
592,1.0,1.0,[0]
1041,1.0,1.0,[0]
4988,1.0,1.0,[0]
7615,1.0,1.0,[0]
1049,1.0,1.0,[0]
4498,1.0,1.0,[0]
3709,1.0,1.0,[0]
5526,1.0,1.0,[0]
843,1.0,1.0,[0]
2769,1.0,1.0,[0]
4018,1.0,1.0,[0]
289,1.0,1.0,[0]
3799,1.0,1.0,[0]
7246,1.0,1.0,[0]
6251,1.0,1.0,[0]
5571,1.0,1.0,[0]
288,1.0,1.0,[0]
1719,1.0,1.0,[0]
1342,1.0,1.0,[0]
3251,1.0,1.0,[0]
7346,1.0,1.0,[0]
180,1.0,1.0,[0]
6516,1.0,1.0,[0]
3374,1.0,1.0,[0]
4752,1.0,1.0,[0]
2185,1.0,1.0,[0]
6292,1.0,1.0,[0]
2439,1.0,1.0,[0]
7811,1.0,1.0,[0]
3213,1.0,1.0,[0]
7912,1.0,1.0,[0]
5677,1.0,1.0,[0]
4121,1.0,1.0,[0]
5812,1.0,1.0,[0]
6673,1.0,1.0,[0]
4280,1.0,1.0,[0]
1320,1.0,1.0,[0]
1314,1.0,1.0,[0]
1588,1.0,1.0,[0]
7493,1.0,1.0,[0]
6554,1.0,1.0,[0]
5216,1.0,1.0,[0]
2212,1.0,1.0,[0]
904,1.0,1.0,[0]
1061,1.0,1.0,[0]
4762,1.0,1.0,[0]
1671,1.0,1.0,[0]
1517,1.0,1.0,[0]
7850,1.0,1.0,[0]
379,1.0,1.0,[0]
388,1.0,1.0,[0]
5961,1.0,1.0,[0]
5803,1.0,1.0,[0]
7477,1.0,1.0,[0]
4755,1.0,1.0,[0]
7729,1.0,1.0,[0]
518,1.0,1.0,[0]
4350,1.0,1.0,[0]
4571,1.0,1.0,[0]
987,1.0,1.0,[0]
3066,1.0,1.0,[0]
1375,1.0,1.0,[0]
795,1.0,1.0,[0]
4376,1.0,1.0,[0]
7428,1.0,1.0,[0]
1253,1.0,1.0,[0]
4705,1.0,1.0,[0]
3833,1.0,1.0,[0]
3874,1.0,1.0,[0]
1742,1.0,1.0,[0]
2253,1.0,1.0,[0]
6772,1.0,1.0,[0]
1820,1.0,1.0,[0]
3658,1.0,1.0,[0]
3779,1.0,1.0,[0]
4224,1.0,1.0,[0]
727,1.0,1.0,[0]
6727,1.0,1.0,[0]
5127,1.0,1.0,[0]
7872,1.0,1.0,[0]
6233,1.0,1.0,[0]
5169,1.0,1.0,[0]
5489,1.0,1.0,[0]
7457,1.0,1.0,[0]
1596,1.0,1.0,[0]
908,1.0,1.0,[0]
4174,1.0,1.0,[0]
7374,1.0,1.0,[0]
826,1.0,1.0,[0]
4904,1.0,1.0,[0]
4519,1.0,1.0,[0]
4117,1.0,1.0,[0]
6802,1.0,1.0,[0]
5318,1.0,1.0,[0]
4765,1.0,1.0,[0]
2184,1.0,1.0,[0]
7301,1.0,1.0,[0]
7450,1.0,1.0,[0]
4773,1.0,1.0,[0]
3418,1.0,1.0,[0]
359,1.0,1.0,[0]
6069,1.0,1.0,[0]
397,1.0,1.0,[0]
5204,1.0,1.0,[0]
5583,1.0,1.0,[0]
6050,1.0,1.0,[0]
4471,1.0,1.0,[0]
3408,1.0,1.0,[0]
7828,1.0,1.0,[0]
856,1.0,1.0,[0]
7478,1.0,1.0,[0]
4553,1.0,1.0,[0]
1434,1.0,1.0,[0]
5345,1.0,1.0,[0]
6547,1.0,1.0,[0]
2109,1.0,1.0,[0]
1064,1.0,1.0,[0]
4024,1.0,1.0,[0]
3394,1.0,1.0,[0]
7508,1.0,1.0,[0]
6883,1.0,1.0,[0]
5147,1.0,1.0,[0]
5386,1.0,1.0,[0]
6058,1.0,1.0,[0]
7167,1.0,1.0,[0]
542,1.0,1.0,[0]
1492,1.0,1.0,[0]
7485,1.0,1.0,[0]
2754,1.0,1.0,[0]
2900,1.0,1.0,[0]
1559,1.0,1.0,[0]
7247,1.0,1.0,[0]
714,1.0,1.0,[0]
7086,1.0,1.0,[0]
1444,1.0,1.0,[0]
3265,1.0,1.0,[0]
6420,1.0,1.0,[0]
3710,1.0,1.0,[0]
6614,1.0,1.0,[0]
3941,1.0,1.0,[0]
3589,1.0,1.0,[0]
4823,1.0,1.0,[0]
7474,1.0,1.0,[0]
3594,1.0,1.0,[0]
2216,1.0,1.0,[0]
6127,1.0,1.0,[0]
4473,1.0,1.0,[0]
3402,1.0,1.0,[0]
7315,1.0,1.0,[0]
1169,1.0,1.0,[0]
7498,1.0,1.0,[0]
7798,1.0,1.0,[0]
4008,1.0,1.0,[0]
4374,1.0,1.0,[0]
4128,1.0,1.0,[0]
900,1.0,1.0,[0]
5208,1.0,1.0,[0]
3026,1.0,1.0,[0]
4262,1.0,1.0,[0]
7869,1.0,1.0,[0]
295,1.0,1.0,[0]
5661,1.0,1.0,[0]
4546,1.0,1.0,[0]
1393,1.0,1.0,[0]
1651,1.0,1.0,[0]
2022,1.0,1.0,[0]
249,1.0,1.0,[0]
7090,1.0,1.0,[0]
5544,1.0,1.0,[0]
7058,1.0,1.0,[0]
1608,1.0,1.0,[0]
2506,1.0,1.0,[0]
194,1.0,1.0,[0]
5756,1.0,1.0,[0]
3134,1.0,1.0,[0]
1014,1.0,1.0,[0]
6448,1.0,1.0,[0]
6218,1.0,1.0,[0]
4778,1.0,1.0,[0]
6563,1.0,1.0,[0]
7891,1.0,1.0,[0]
2104,1.0,1.0,[0]
1091,1.0,1.0,[0]
7677,1.0,1.0,[0]
4108,1.0,1.0,[0]
760,1.0,1.0,[0]
5879,1.0,1.0,[0]
3449,1.0,1.0,[0]
7885,1.0,1.0,[0]
6550,1.0,1.0,[0]
363,1.0,1.0,[0]
7197,1.0,1.0,[0]
3746,1.0,1.0,[0]
3160,1.0,1.0,[0]
4592,1.0,1.0,[0]
4688,1.0,1.0,[0]
5347,1.0,1.0,[0]
7144,1.0,1.0,[0]
6523,1.0,1.0,[0]
3789,1.0,1.0,[0]
2127,1.0,1.0,[0]
1429,1.0,1.0,[0]
6161,1.0,1.0,[0]
1428,1.0,1.0,[0]
4605,1.0,1.0,[0]
3560,1.0,1.0,[0]
1438,1.0,1.0,[0]
6439,1.0,1.0,[0]
4392,1.0,1.0,[0]
1940,1.0,1.0,[0]
4840,1.0,1.0,[0]
6521,1.0,1.0,[0]
5528,1.0,1.0,[0]
6749,1.0,1.0,[0]
7903,1.0,1.0,[0]
2094,1.0,1.0,[0]
7198,1.0,1.0,[0]
7369,1.0,1.0,[0]
7245,1.0,1.0,[0]
5361,1.0,1.0,[0]
1395,1.0,1.0,[0]
1888,1.0,1.0,[0]
3021,1.0,1.0,[0]
3736,1.0,1.0,[0]
1257,1.0,1.0,[0]
5710,1.0,1.0,[0]
1648,1.0,1.0,[0]
4434,1.0,1.0,[0]
3034,1.0,1.0,[0]
1981,1.0,1.0,[0]
7376,1.0,1.0,[0]
3675,1.0,1.0,[0]
7641,1.0,1.0,[0]
4789,1.0,1.0,[0]
5943,1.0,1.0,[0]
4379,1.0,1.0,[0]
3065,1.0,1.0,[0]
2319,1.0,1.0,[0]
3737,1.0,1.0,[0]
4860,1.0,1.0,[0]
350,1.0,1.0,[0]
7194,1.0,1.0,[0]
4991,1.0,1.0,[0]
3688,1.0,1.0,[0]
1004,1.0,1.0,[0]
2637,1.0,1.0,[0]
3521,1.0,1.0,[0]
1922,1.0,1.0,[0]
964,1.0,1.0,[0]
6594,1.0,1.0,[0]
7922,1.0,1.0,[0]
849,1.0,1.0,[0]
7108,1.0,1.0,[0]
2549,1.0,1.0,[0]
29,1.0,1.0,[0]
1799,1.0,1.0,[0]
2374,1.0,1.0,[0]
3311,1.0,1.0,[0]
2147,1.0,1.0,[0]
3386,1.0,1.0,[0]
6880,1.0,1.0,[0]
1749,1.0,1.0,[0]
4217,1.0,1.0,[0]
5065,1.0,1.0,[0]
7087,1.0,1.0,[0]
1941,1.0,1.0,[0]
4501,1.0,1.0,[0]
210,1.0,1.0,[0]
3967,1.0,1.0,[0]
504,1.0,1.0,[0]
7303,1.0,1.0,[0]
5192,1.0,1.0,[0]
7584,1.0,1.0,[0]
1226,1.0,1.0,[0]
879,1.0,1.0,[0]
1179,1.0,1.0,[0]
622,1.0,1.0,[0]
6388,1.0,1.0,[0]
3988,1.0,1.0,[0]
338,1.0,1.0,[0]
2647,1.0,1.0,[0]
6011,1.0,1.0,[0]
2400,1.0,1.0,[0]
6560,1.0,1.0,[0]
6278,1.0,1.0,[0]
3677,1.0,1.0,[0]
3429,1.0,1.0,[0]
7014,1.0,1.0,[0]
2382,1.0,1.0,[0]
2280,1.0,1.0,[0]
7161,1.0,1.0,[0]
3984,1.0,1.0,[0]
1319,1.0,1.0,[0]
5087,1.0,1.0,[0]
1889,1.0,1.0,[0]
1396,1.0,1.0,[0]
445,1.0,1.0,[0]
7848,1.0,1.0,[0]
3811,1.0,1.0,[0]
7755,1.0,1.0,[0]
4098,1.0,1.0,[0]
1055,1.0,1.0,[0]
