,used,exhausted,rounds
3491,1.0,1.0,[0]
1959,1.0,1.0,[0]
1285,1.0,1.0,[0]
805,1.0,1.0,[0]
2542,1.0,1.0,[0]
623,1.0,1.0,[0]
2421,1.0,1.0,[0]
2903,1.0,1.0,[0]
1732,1.0,1.0,[0]
1346,1.0,1.0,[0]
1396,1.0,1.0,[0]
1418,1.0,1.0,[0]
937,1.0,1.0,[0]
2410,1.0,1.0,[0]
2913,1.0,1.0,[0]
311,1.0,1.0,[0]
1349,1.0,1.0,[0]
152,1.0,1.0,[0]
3279,1.0,1.0,[0]
1114,1.0,1.0,[0]
1535,1.0,1.0,[0]
2778,1.0,1.0,[0]
513,1.0,1.0,[0]
2483,1.0,1.0,[0]
1839,1.0,1.0,[0]
1157,1.0,1.0,[0]
913,1.0,1.0,[0]
1810,1.0,1.0,[0]
2102,1.0,1.0,[0]
1473,1.0,1.0,[0]
1587,1.0,1.0,[0]
1827,1.0,1.0,[0]
570,1.0,1.0,[0]
1195,1.0,1.0,[0]
3745,1.0,1.0,[0]
3583,1.0,1.0,[0]
2062,1.0,1.0,[0]
1656,1.0,1.0,[0]
2744,1.0,1.0,[0]
613,1.0,1.0,[0]
428,1.0,1.0,[0]
2113,1.0,1.0,[0]
2829,1.0,1.0,[0]
676,1.0,1.0,[0]
3100,1.0,1.0,[0]
331,1.0,1.0,[0]
1988,1.0,1.0,[0]
1123,1.0,1.0,[0]
628,1.0,1.0,[0]
1956,1.0,1.0,[0]
975,1.0,1.0,[0]
3752,1.0,1.0,[0]
385,1.0,1.0,[0]
3173,1.0,1.0,[0]
3720,1.0,1.0,[0]
587,1.0,1.0,[0]
3653,1.0,1.0,[0]
2965,1.0,1.0,[0]
1543,1.0,1.0,[0]
1104,1.0,1.0,[0]
3749,1.0,1.0,[0]
2049,1.0,1.0,[0]
18,1.0,1.0,[0]
1941,1.0,1.0,[0]
1859,1.0,1.0,[0]
725,1.0,1.0,[0]
2982,1.0,1.0,[0]
3380,1.0,1.0,[0]
1178,1.0,1.0,[0]
2668,1.0,1.0,[0]
634,1.0,1.0,[0]
2952,1.0,1.0,[0]
3487,1.0,1.0,[0]
936,1.0,1.0,[0]
3568,1.0,1.0,[0]
715,1.0,1.0,[0]
3243,1.0,1.0,[0]
1769,1.0,1.0,[0]
1929,1.0,1.0,[0]
2364,1.0,1.0,[0]
2683,1.0,1.0,[0]
25,1.0,1.0,[0]
3690,1.0,1.0,[0]
671,1.0,1.0,[0]
1486,1.0,1.0,[0]
3063,1.0,1.0,[0]
3493,1.0,1.0,[0]
474,1.0,1.0,[0]
2762,1.0,1.0,[0]
1266,1.0,1.0,[0]
277,1.0,1.0,[0]
909,1.0,1.0,[0]
2998,1.0,1.0,[0]
1513,1.0,1.0,[0]
629,1.0,1.0,[0]
2617,1.0,1.0,[0]
1156,1.0,1.0,[0]
999,1.0,1.0,[0]
2958,1.0,1.0,[0]
2615,1.0,1.0,[0]
2136,1.0,1.0,[0]
2106,1.0,1.0,[0]
12,1.0,1.0,[0]
2632,1.0,1.0,[0]
3227,1.0,1.0,[0]
373,1.0,1.0,[0]
2120,1.0,1.0,[0]
638,1.0,1.0,[0]
3247,1.0,1.0,[0]
382,1.0,1.0,[0]
463,1.0,1.0,[0]
3271,1.0,1.0,[0]
1228,1.0,1.0,[0]
1788,1.0,1.0,[0]
2536,1.0,1.0,[0]
3312,1.0,1.0,[0]
1519,1.0,1.0,[0]
2307,1.0,1.0,[0]
2312,1.0,1.0,[0]
720,1.0,1.0,[0]
2659,1.0,1.0,[0]
1032,1.0,1.0,[0]
422,1.0,1.0,[0]
1037,1.0,1.0,[0]
2541,1.0,1.0,[0]
2852,1.0,1.0,[0]
3316,1.0,1.0,[0]
2027,1.0,1.0,[0]
1200,1.0,1.0,[0]
1754,1.0,1.0,[0]
2964,1.0,1.0,[0]
997,1.0,1.0,[0]
1992,1.0,1.0,[0]
1730,1.0,1.0,[0]
3371,1.0,1.0,[0]
834,1.0,1.0,[0]
1698,1.0,1.0,[0]
365,1.0,1.0,[0]
2111,1.0,1.0,[0]
3748,1.0,1.0,[0]
1461,1.0,1.0,[0]
3353,1.0,1.0,[0]
2435,1.0,1.0,[0]
3168,1.0,1.0,[0]
2873,1.0,1.0,[0]
2699,1.0,1.0,[0]
851,1.0,1.0,[0]
1118,1.0,1.0,[0]
3377,1.0,1.0,[0]
2654,1.0,1.0,[0]
89,1.0,1.0,[0]
1899,1.0,1.0,[0]
319,1.0,1.0,[0]
2630,1.0,1.0,[0]
830,1.0,1.0,[0]
3244,1.0,1.0,[0]
2791,1.0,1.0,[0]
2360,1.0,1.0,[0]
2434,1.0,1.0,[0]
2399,1.0,1.0,[0]
3604,1.0,1.0,[0]
1033,1.0,1.0,[0]
1455,1.0,1.0,[0]
2720,1.0,1.0,[0]
1536,1.0,1.0,[0]
3080,1.0,1.0,[0]
2189,1.0,1.0,[0]
947,1.0,1.0,[0]
2614,1.0,1.0,[0]
652,1.0,1.0,[0]
2345,1.0,1.0,[0]
1024,1.0,1.0,[0]
766,1.0,1.0,[0]
1383,1.0,1.0,[0]
33,1.0,1.0,[0]
3614,1.0,1.0,[0]
1380,1.0,1.0,[0]
398,1.0,1.0,[0]
1690,1.0,1.0,[0]
406,1.0,1.0,[0]
1879,1.0,1.0,[0]
2556,1.0,1.0,[0]
3565,1.0,1.0,[0]
136,1.0,1.0,[0]
1462,1.0,1.0,[0]
1623,1.0,1.0,[0]
1834,1.0,1.0,[0]
3562,0.0,0.0,[]
1278,0.0,0.0,[]
1002,0.0,0.0,[]
1448,0.0,0.0,[]
1369,5.0,0.0,"[196, 197, 198, 199, 200]"
2193,0.0,0.0,[]
461,0.0,0.0,[]
3264,0.0,0.0,[]
1124,0.0,0.0,[]
2025,0.0,0.0,[]
2512,0.0,0.0,[]
3262,0.0,0.0,[]
1341,0.0,0.0,[]
1435,0.0,0.0,[]
223,0.0,0.0,[]
3572,0.0,0.0,[]
2936,0.0,0.0,[]
1413,0.0,0.0,[]
739,0.0,0.0,[]
966,0.0,0.0,[]
1534,0.0,0.0,[]
2451,0.0,0.0,[]
441,0.0,0.0,[]
2358,0.0,0.0,[]
27,0.0,0.0,[]
3467,0.0,0.0,[]
3451,0.0,0.0,[]
1557,0.0,0.0,[]
1985,0.0,0.0,[]
87,0.0,0.0,[]
2792,0.0,0.0,[]
215,0.0,0.0,[]
1410,0.0,0.0,[]
3639,0.0,0.0,[]
3129,0.0,0.0,[]
2969,0.0,0.0,[]
544,0.0,0.0,[]
2948,0.0,0.0,[]
2671,0.0,0.0,[]
709,0.0,0.0,[]
3612,0.0,0.0,[]
1083,0.0,0.0,[]
379,0.0,0.0,[]
2933,0.0,0.0,[]
1054,0.0,0.0,[]
3051,0.0,0.0,[]
3393,0.0,0.0,[]
1648,0.0,0.0,[]
3014,0.0,0.0,[]
3438,0.0,0.0,[]
1172,0.0,0.0,[]
2140,0.0,0.0,[]
3280,0.0,0.0,[]
3592,0.0,0.0,[]
1957,0.0,0.0,[]
865,0.0,0.0,[]
2348,0.0,0.0,[]
1799,1.0,1.0,[180]
1471,3.0,1.0,"[181, 182, 183]"
2014,6.0,1.0,"[184, 185, 186, 187, 188, 189]"
2921,1.0,1.0,[190]
228,5.0,1.0,"[191, 192, 193, 194, 195]"
508,1.0,1.0,[196]
2856,4.0,0.0,"[197, 198, 199, 200]"
3034,0.0,0.0,[]
411,0.0,0.0,[]
1734,0.0,0.0,[]
2488,0.0,0.0,[]
435,0.0,0.0,[]
3342,0.0,0.0,[]
1982,0.0,0.0,[]
3362,0.0,0.0,[]
3200,0.0,0.0,[]
2171,0.0,0.0,[]
953,0.0,0.0,[]
3472,0.0,0.0,[]
1086,0.0,0.0,[]
270,0.0,0.0,[]
1252,0.0,0.0,[]
485,0.0,0.0,[]
1526,0.0,0.0,[]
668,0.0,0.0,[]
2275,0.0,0.0,[]
3295,0.0,0.0,[]
551,0.0,0.0,[]
3376,0.0,0.0,[]
874,0.0,0.0,[]
2294,0.0,0.0,[]
1321,0.0,0.0,[]
626,0.0,0.0,[]
13,0.0,0.0,[]
3166,0.0,0.0,[]
1208,0.0,0.0,[]
2033,0.0,0.0,[]
1549,0.0,0.0,[]
3307,0.0,0.0,[]
672,0.0,0.0,[]
1641,0.0,0.0,[]
724,0.0,0.0,[]
1762,0.0,0.0,[]
2125,0.0,0.0,[]
438,0.0,0.0,[]
2788,0.0,0.0,[]
3328,0.0,0.0,[]
1716,0.0,0.0,[]
3275,0.0,0.0,[]
1983,0.0,0.0,[]
977,0.0,0.0,[]
2515,0.0,0.0,[]
971,0.0,0.0,[]
2889,0.0,0.0,[]
231,0.0,0.0,[]
3261,0.0,0.0,[]
1192,0.0,0.0,[]
1502,0.0,0.0,[]
864,0.0,0.0,[]
207,0.0,0.0,[]
1107,0.0,0.0,[]
1740,0.0,0.0,[]
2624,0.0,0.0,[]
919,0.0,0.0,[]
3483,0.0,0.0,[]
397,0.0,0.0,[]
3684,0.0,0.0,[]
1446,0.0,0.0,[]
2759,0.0,0.0,[]
1912,0.0,0.0,[]
1099,0.0,0.0,[]
2203,0.0,0.0,[]
3206,0.0,0.0,[]
74,0.0,0.0,[]
3573,0.0,0.0,[]
767,0.0,0.0,[]
1306,0.0,0.0,[]
2368,0.0,0.0,[]
219,0.0,0.0,[]
1221,0.0,0.0,[]
1232,0.0,0.0,[]
2696,0.0,0.0,[]
742,0.0,0.0,[]
2763,0.0,0.0,[]
1540,0.0,0.0,[]
1342,0.0,0.0,[]
667,0.0,0.0,[]
3049,0.0,0.0,[]
866,0.0,0.0,[]
2036,0.0,0.0,[]
3151,0.0,0.0,[]
2922,0.0,0.0,[]
1606,0.0,0.0,[]
2664,0.0,0.0,[]
2619,0.0,0.0,[]
2971,0.0,0.0,[]
3266,0.0,0.0,[]
885,0.0,0.0,[]
2684,0.0,0.0,[]
2543,0.0,0.0,[]
3375,0.0,0.0,[]
2834,0.0,0.0,[]
835,0.0,0.0,[]
1057,0.0,0.0,[]
2167,0.0,0.0,[]
506,0.0,0.0,[]
2153,0.0,0.0,[]
161,0.0,0.0,[]
2300,10.0,1.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
310,10.0,1.0,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
1309,9.0,1.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29]"
1031,7.0,1.0,"[30, 31, 32, 33, 34, 35, 36]"
3092,7.0,1.0,"[37, 38, 39, 40, 41, 42, 43]"
1890,1.0,1.0,[44]
3722,6.0,1.0,"[45, 46, 47, 48, 49, 50]"
2752,22.0,1.0,"[51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]"
2572,1.0,1.0,[73]
2999,4.0,1.0,"[74, 75, 76, 77]"
1417,2.0,1.0,"[78, 79]"
275,2.0,1.0,"[80, 81]"
2505,2.0,1.0,"[82, 83]"
3180,5.0,1.0,"[84, 85, 86, 87, 88]"
753,7.0,1.0,"[89, 90, 91, 92, 93, 94, 95]"
1146,3.0,1.0,"[96, 97, 98]"
1344,1.0,1.0,[99]
2717,6.0,1.0,"[100, 101, 102, 103, 104, 105]"
2195,4.0,1.0,"[106, 107, 108, 109]"
2597,3.0,1.0,"[110, 111, 112]"
608,4.0,1.0,"[113, 114, 115, 116]"
3740,8.0,1.0,"[117, 118, 119, 120, 121, 122, 123, 124]"
2580,3.0,1.0,"[125, 126, 127]"
2087,3.0,1.0,"[128, 129, 130]"
702,3.0,1.0,"[131, 132, 133]"
1426,2.0,1.0,"[134, 135]"
2291,6.0,1.0,"[136, 137, 138, 139, 140, 141]"
287,2.0,1.0,"[142, 143]"
3681,5.0,1.0,"[144, 145, 146, 147, 148]"
1074,2.0,1.0,"[149, 150]"
1601,1.0,1.0,[151]
1787,2.0,1.0,"[152, 153]"
943,1.0,1.0,[154]
1705,1.0,1.0,[155]
681,4.0,1.0,"[156, 157, 158, 159]"
2267,6.0,1.0,"[160, 161, 162, 163, 164, 165]"
425,1.0,1.0,[166]
1333,5.0,1.0,"[167, 168, 169, 170, 171]"
3564,1.0,1.0,[172]
3546,3.0,1.0,"[173, 174, 175]"
117,3.0,1.0,"[176, 177, 178]"
1816,1.0,1.0,[179]
1626,1.0,1.0,[180]
2849,0.0,0.0,[]
2523,2.0,1.0,"[181, 182]"
295,1.0,0.0,[183]
60,3.0,1.0,"[184, 185, 186]"
2562,3.0,0.0,"[187, 188, 189]"
1835,1.0,0.0,[190]
3260,1.0,1.0,[191]
2529,4.0,0.0,"[192, 193, 194, 195]"
262,1.0,0.0,[196]
3634,4.0,1.0,"[197, 198, 199, 200]"
421,0.0,0.0,[]
1712,0.0,0.0,[]
555,0.0,0.0,[]
2981,0.0,0.0,[]
3334,0.0,0.0,[]
445,0.0,0.0,[]
1588,0.0,0.0,[]
3510,0.0,0.0,[]
2589,0.0,0.0,[]
3322,0.0,0.0,[]
2707,0.0,0.0,[]
2564,0.0,0.0,[]
1035,0.0,0.0,[]
2276,0.0,0.0,[]
1913,0.0,0.0,[]
989,0.0,0.0,[]
2457,0.0,0.0,[]
911,0.0,0.0,[]
718,0.0,0.0,[]
1257,0.0,0.0,[]
1039,0.0,0.0,[]
3365,0.0,0.0,[]
3433,0.0,0.0,[]
2478,0.0,0.0,[]
369,0.0,0.0,[]
3481,0.0,0.0,[]
2565,0.0,0.0,[]
43,0.0,0.0,[]
327,0.0,0.0,[]
1121,0.0,0.0,[]
1595,0.0,0.0,[]
2953,0.0,0.0,[]
2448,0.0,0.0,[]
1995,0.0,0.0,[]
198,0.0,0.0,[]
3465,0.0,0.0,[]
3675,0.0,0.0,[]
1162,0.0,0.0,[]
1906,0.0,0.0,[]
719,0.0,0.0,[]
1780,0.0,0.0,[]
1990,0.0,0.0,[]
1325,0.0,0.0,[]
1049,0.0,0.0,[]
1420,0.0,0.0,[]
3253,0.0,0.0,[]
128,0.0,0.0,[]
2466,0.0,0.0,[]
1848,0.0,0.0,[]
3359,0.0,0.0,[]
797,0.0,0.0,[]
841,0.0,0.0,[]
3391,0.0,0.0,[]
1430,0.0,0.0,[]
3441,0.0,0.0,[]
121,0.0,0.0,[]
3364,0.0,0.0,[]
2085,0.0,0.0,[]
3131,0.0,0.0,[]
2719,0.0,0.0,[]
3601,0.0,0.0,[]
500,0.0,0.0,[]
2061,0.0,0.0,[]
1691,0.0,0.0,[]
3144,0.0,0.0,[]
3712,0.0,0.0,[]
155,0.0,0.0,[]
723,0.0,0.0,[]
481,0.0,0.0,[]
1989,0.0,0.0,[]
990,0.0,0.0,[]
2395,0.0,0.0,[]
568,4.0,1.0,"[161, 162, 163, 164]"
803,1.0,0.0,[165]
3402,1.0,0.0,[166]
2290,2.0,1.0,"[167, 168]"
3679,3.0,0.0,"[169, 170, 171]"
153,1.0,0.0,[172]
185,3.0,0.0,"[173, 174, 175]"
3029,3.0,1.0,"[176, 177, 178]"
1704,0.0,0.0,[]
2495,1.0,0.0,[179]
2768,1.0,0.0,[180]
1538,0.0,0.0,[]
2318,4.0,1.0,"[1, 2, 3, 4]"
1852,6.0,1.0,"[5, 6, 7, 8, 9, 10]"
2071,2.0,1.0,"[181, 182]"
1028,7.0,1.0,"[11, 12, 13, 14, 15, 16, 17]"
2748,3.0,0.0,"[18, 19, 20]"
2574,5.0,1.0,"[21, 22, 23, 24, 25]"
1724,2.0,1.0,"[26, 27]"
1076,2.0,1.0,"[28, 29]"
2109,1.0,1.0,[183]
888,7.0,1.0,"[30, 31, 32, 33, 34, 35, 36]"
2820,0.0,0.0,[]
3444,4.0,1.0,"[37, 38, 39, 40]"
3618,1.0,1.0,[41]
2255,1.0,1.0,[42]
2079,4.0,0.0,"[43, 184, 185, 186]"
