,used,exhausted,rounds
185,1.0,1.0,[0]
550,1.0,1.0,[0]
3062,1.0,1.0,[0]
2717,1.0,1.0,[0]
5179,1.0,1.0,[0]
7718,1.0,1.0,[0]
5741,1.0,1.0,[0]
2859,1.0,1.0,[0]
762,1.0,1.0,[0]
435,1.0,1.0,[0]
932,1.0,1.0,[0]
5975,1.0,1.0,[0]
1560,1.0,1.0,[0]
2817,1.0,1.0,[0]
2964,1.0,1.0,[0]
5964,1.0,1.0,[0]
6822,1.0,1.0,[0]
5999,1.0,1.0,[0]
6902,1.0,1.0,[0]
486,1.0,1.0,[0]
5286,1.0,1.0,[0]
1098,1.0,1.0,[0]
7586,1.0,1.0,[0]
3755,1.0,1.0,[0]
686,1.0,1.0,[0]
1071,1.0,1.0,[0]
207,1.0,1.0,[0]
2919,1.0,1.0,[0]
850,1.0,1.0,[0]
2234,1.0,1.0,[0]
4030,1.0,1.0,[0]
6934,1.0,1.0,[0]
7214,1.0,1.0,[0]
1769,1.0,1.0,[0]
4478,1.0,1.0,[0]
4816,1.0,1.0,[0]
5871,1.0,1.0,[0]
3678,1.0,1.0,[0]
3368,1.0,1.0,[0]
3706,1.0,1.0,[0]
7839,1.0,1.0,[0]
4307,1.0,1.0,[0]
1714,1.0,1.0,[0]
4384,1.0,1.0,[0]
6360,1.0,1.0,[0]
6706,1.0,1.0,[0]
1468,1.0,1.0,[0]
123,1.0,1.0,[0]
7144,1.0,1.0,[0]
38,1.0,1.0,[0]
51,1.0,1.0,[0]
884,1.0,1.0,[0]
2645,1.0,1.0,[0]
3077,1.0,1.0,[0]
5105,1.0,1.0,[0]
3070,1.0,1.0,[0]
4817,1.0,1.0,[0]
1445,1.0,1.0,[0]
1060,1.0,1.0,[0]
6141,1.0,1.0,[0]
1212,1.0,1.0,[0]
3781,1.0,1.0,[0]
7145,1.0,1.0,[0]
3087,1.0,1.0,[0]
4787,1.0,1.0,[0]
5147,1.0,1.0,[0]
7533,1.0,1.0,[0]
2581,1.0,1.0,[0]
2404,1.0,1.0,[0]
4904,1.0,1.0,[0]
1303,1.0,1.0,[0]
5925,1.0,1.0,[0]
500,1.0,1.0,[0]
3769,1.0,1.0,[0]
6203,1.0,1.0,[0]
5869,1.0,1.0,[0]
1617,1.0,1.0,[0]
4718,1.0,1.0,[0]
2780,1.0,1.0,[0]
6985,1.0,1.0,[0]
3644,1.0,1.0,[0]
6938,1.0,1.0,[0]
2448,1.0,1.0,[0]
3091,1.0,1.0,[0]
7843,1.0,1.0,[0]
3215,1.0,1.0,[0]
4010,1.0,1.0,[0]
4598,1.0,1.0,[0]
5833,1.0,1.0,[0]
2692,1.0,1.0,[0]
2041,1.0,1.0,[0]
6390,1.0,1.0,[0]
3485,1.0,1.0,[0]
2514,1.0,1.0,[0]
6126,1.0,1.0,[0]
4633,1.0,1.0,[0]
1668,1.0,1.0,[0]
5411,1.0,1.0,[0]
298,1.0,1.0,[0]
2798,1.0,1.0,[0]
5342,1.0,1.0,[0]
3787,1.0,1.0,[0]
6137,1.0,1.0,[0]
5464,1.0,1.0,[0]
1583,1.0,1.0,[0]
6007,1.0,1.0,[0]
4832,1.0,1.0,[0]
3161,1.0,1.0,[0]
6744,1.0,1.0,[0]
2813,1.0,1.0,[0]
5905,1.0,1.0,[0]
4425,1.0,1.0,[0]
5285,1.0,1.0,[0]
1861,1.0,1.0,[0]
7583,1.0,1.0,[0]
4572,1.0,1.0,[0]
6499,1.0,1.0,[0]
4410,1.0,1.0,[0]
3260,1.0,1.0,[0]
862,1.0,1.0,[0]
6984,1.0,1.0,[0]
1926,1.0,1.0,[0]
5516,1.0,1.0,[0]
6027,1.0,1.0,[0]
7827,1.0,1.0,[0]
7582,1.0,1.0,[0]
614,1.0,1.0,[0]
1309,1.0,1.0,[0]
534,1.0,1.0,[0]
1240,1.0,1.0,[0]
7706,1.0,1.0,[0]
2482,1.0,1.0,[0]
6368,1.0,1.0,[0]
7142,1.0,1.0,[0]
7091,1.0,1.0,[0]
4706,1.0,1.0,[0]
5453,1.0,1.0,[0]
5337,1.0,1.0,[0]
2745,1.0,1.0,[0]
2447,1.0,1.0,[0]
5794,1.0,1.0,[0]
2248,1.0,1.0,[0]
4497,1.0,1.0,[0]
983,1.0,1.0,[0]
4084,1.0,1.0,[0]
2436,1.0,1.0,[0]
2201,1.0,1.0,[0]
6285,1.0,1.0,[0]
3020,1.0,1.0,[0]
7401,1.0,1.0,[0]
427,1.0,1.0,[0]
7164,1.0,1.0,[0]
5806,1.0,1.0,[0]
4391,1.0,1.0,[0]
1328,1.0,1.0,[0]
2609,1.0,1.0,[0]
5694,1.0,1.0,[0]
2937,1.0,1.0,[0]
1681,1.0,1.0,[0]
5835,1.0,1.0,[0]
1776,1.0,1.0,[0]
725,1.0,1.0,[0]
4027,1.0,1.0,[0]
4115,1.0,1.0,[0]
3681,1.0,1.0,[0]
6720,1.0,1.0,[0]
545,1.0,1.0,[0]
1063,1.0,1.0,[0]
5248,1.0,1.0,[0]
1563,1.0,1.0,[0]
1169,1.0,1.0,[0]
5777,1.0,1.0,[0]
7600,1.0,1.0,[0]
3988,1.0,1.0,[0]
1130,1.0,1.0,[0]
2534,1.0,1.0,[0]
1664,1.0,1.0,[0]
5265,1.0,1.0,[0]
2324,1.0,1.0,[0]
7297,1.0,1.0,[0]
2956,1.0,1.0,[0]
1979,1.0,1.0,[0]
5472,1.0,1.0,[0]
727,1.0,1.0,[0]
1523,1.0,1.0,[0]
7347,1.0,1.0,[0]
5916,1.0,1.0,[0]
5855,1.0,1.0,[0]
293,1.0,1.0,[0]
6807,1.0,1.0,[0]
4751,1.0,1.0,[0]
5634,1.0,1.0,[0]
5431,1.0,1.0,[0]
6386,1.0,1.0,[0]
3976,1.0,1.0,[0]
3174,1.0,1.0,[0]
6857,1.0,1.0,[0]
3247,1.0,1.0,[0]
3954,1.0,1.0,[0]
1321,1.0,1.0,[0]
1838,1.0,1.0,[0]
2320,1.0,1.0,[0]
219,1.0,1.0,[0]
548,1.0,1.0,[0]
6046,1.0,1.0,[0]
6361,1.0,1.0,[0]
4971,1.0,1.0,[0]
5974,1.0,1.0,[0]
4876,1.0,1.0,[0]
2535,1.0,1.0,[0]
2001,1.0,1.0,[0]
3132,1.0,1.0,[0]
3203,1.0,1.0,[0]
1244,1.0,1.0,[0]
1048,1.0,1.0,[0]
2036,1.0,1.0,[0]
909,1.0,1.0,[0]
2206,1.0,1.0,[0]
3519,1.0,1.0,[0]
2773,1.0,1.0,[0]
4554,1.0,1.0,[0]
7397,1.0,1.0,[0]
1676,1.0,1.0,[0]
5907,1.0,1.0,[0]
2602,1.0,1.0,[0]
3583,1.0,1.0,[0]
814,1.0,1.0,[0]
6522,1.0,1.0,[0]
5428,1.0,1.0,[0]
1353,1.0,1.0,[0]
3122,1.0,1.0,[0]
7501,1.0,1.0,[0]
1786,1.0,1.0,[0]
5740,1.0,1.0,[0]
4629,1.0,1.0,[0]
6,1.0,1.0,[0]
6232,1.0,1.0,[0]
657,1.0,1.0,[0]
7531,1.0,1.0,[0]
3832,1.0,1.0,[0]
173,1.0,1.0,[0]
6791,1.0,1.0,[0]
996,1.0,1.0,[0]
6717,1.0,1.0,[0]
6757,1.0,1.0,[0]
5245,1.0,1.0,[0]
6585,1.0,1.0,[0]
5,1.0,1.0,[0]
3791,1.0,1.0,[0]
5269,1.0,1.0,[0]
7444,1.0,1.0,[0]
2588,1.0,1.0,[0]
3158,1.0,1.0,[0]
1577,1.0,1.0,[0]
3462,1.0,1.0,[0]
449,1.0,1.0,[0]
4237,1.0,1.0,[0]
3484,1.0,1.0,[0]
4022,1.0,1.0,[0]
6398,1.0,1.0,[0]
1787,1.0,1.0,[0]
7665,1.0,1.0,[0]
5044,1.0,1.0,[0]
7871,1.0,1.0,[0]
1474,1.0,1.0,[0]
6300,1.0,1.0,[0]
4119,1.0,1.0,[0]
2273,1.0,1.0,[0]
1724,1.0,1.0,[0]
2008,1.0,1.0,[0]
593,1.0,1.0,[0]
4532,1.0,1.0,[0]
1677,1.0,1.0,[0]
700,1.0,1.0,[0]
878,1.0,1.0,[0]
2260,1.0,1.0,[0]
5246,1.0,1.0,[0]
1046,1.0,1.0,[0]
5801,1.0,1.0,[0]
1381,1.0,1.0,[0]
4782,1.0,1.0,[0]
766,1.0,1.0,[0]
171,1.0,1.0,[0]
5752,1.0,1.0,[0]
5200,1.0,1.0,[0]
1845,1.0,1.0,[0]
3323,1.0,1.0,[0]
2359,1.0,1.0,[0]
2241,1.0,1.0,[0]
4324,1.0,1.0,[0]
4489,1.0,1.0,[0]
2256,1.0,1.0,[0]
6294,1.0,1.0,[0]
5842,1.0,1.0,[0]
7086,1.0,1.0,[0]
1723,1.0,1.0,[0]
4908,1.0,1.0,[0]
4213,1.0,1.0,[0]
7410,1.0,1.0,[0]
2521,1.0,1.0,[0]
2642,1.0,1.0,[0]
5607,1.0,1.0,[0]
1699,1.0,1.0,[0]
4742,1.0,1.0,[0]
3188,1.0,1.0,[0]
536,1.0,1.0,[0]
5747,1.0,1.0,[0]
6673,1.0,1.0,[0]
828,1.0,1.0,[0]
3904,1.0,1.0,[0]
3524,1.0,1.0,[0]
4863,1.0,1.0,[0]
3482,1.0,1.0,[0]
1982,1.0,1.0,[0]
137,1.0,1.0,[0]
7238,1.0,1.0,[0]
6992,1.0,1.0,[0]
6288,1.0,1.0,[0]
3827,1.0,1.0,[0]
1892,1.0,1.0,[0]
2451,1.0,1.0,[0]
689,1.0,1.0,[0]
5941,1.0,1.0,[0]
3680,1.0,1.0,[0]
6381,1.0,1.0,[0]
677,1.0,1.0,[0]
5983,1.0,1.0,[0]
5944,1.0,1.0,[0]
3067,1.0,1.0,[0]
5515,1.0,1.0,[0]
3784,1.0,1.0,[0]
7195,1.0,1.0,[0]
1100,1.0,1.0,[0]
7294,1.0,1.0,[0]
7060,1.0,1.0,[0]
314,1.0,1.0,[0]
494,1.0,1.0,[0]
1843,1.0,1.0,[0]
4692,1.0,1.0,[0]
1233,1.0,1.0,[0]
1329,1.0,1.0,[0]
2010,1.0,1.0,[0]
4880,1.0,1.0,[0]
2034,1.0,1.0,[0]
473,1.0,1.0,[0]
2460,1.0,1.0,[0]
7517,1.0,1.0,[0]
3325,1.0,1.0,[0]
833,1.0,1.0,[0]
5880,1.0,1.0,[0]
2556,1.0,1.0,[0]
1784,1.0,1.0,[0]
5556,1.0,1.0,[0]
6341,1.0,1.0,[0]
515,1.0,1.0,[0]
6334,1.0,1.0,[0]
6002,1.0,1.0,[0]
5669,1.0,1.0,[0]
2532,1.0,1.0,[0]
1923,1.0,1.0,[0]
3273,1.0,1.0,[0]
6321,1.0,1.0,[0]
4643,1.0,1.0,[0]
4452,1.0,1.0,[0]
3713,1.0,1.0,[0]
1262,1.0,1.0,[0]
6023,1.0,1.0,[0]
1707,1.0,1.0,[0]
6624,1.0,1.0,[0]
6431,1.0,1.0,[0]
3803,1.0,1.0,[0]
3434,1.0,1.0,[0]
3632,1.0,1.0,[0]
1587,1.0,1.0,[0]
5863,1.0,1.0,[0]
3968,1.0,1.0,[0]
6429,1.0,1.0,[0]
2337,1.0,1.0,[0]
2245,1.0,1.0,[0]
3165,1.0,1.0,[0]
4417,1.0,1.0,[0]
1754,1.0,1.0,[0]
6930,1.0,1.0,[0]
1229,1.0,1.0,[0]
2722,1.0,1.0,[0]
1800,1.0,1.0,[0]
4609,1.0,1.0,[0]
7066,1.0,1.0,[0]
2555,1.0,1.0,[0]
1141,1.0,1.0,[0]
5903,1.0,1.0,[0]
4631,1.0,1.0,[0]
3286,1.0,1.0,[0]
3097,1.0,1.0,[0]
4884,1.0,1.0,[0]
4190,1.0,1.0,[0]
6573,1.0,1.0,[0]
5536,0.0,0.0,[]
344,3.0,1.0,"[43, 97, 110]"
1139,5.0,1.0,"[122, 123, 138, 143, 144]"
6852,0.0,0.0,[]
7672,1.0,1.0,[2]
1425,2.0,1.0,"[108, 149]"
6129,1.0,0.0,[140]
286,2.0,1.0,"[23, 79]"
2087,0.0,0.0,[]
6138,1.0,0.0,[24]
297,1.0,1.0,[95]
4168,6.0,1.0,"[11, 19, 21, 39, 49, 50]"
4595,0.0,0.0,[]
5452,1.0,1.0,[45]
1810,0.0,0.0,[]
1529,1.0,1.0,[111]
7003,0.0,0.0,[]
4586,1.0,1.0,[128]
587,0.0,0.0,[]
7244,0.0,0.0,[]
3657,0.0,0.0,[]
1728,0.0,0.0,[]
6595,1.0,0.0,[132]
2699,1.0,1.0,[82]
512,2.0,0.0,"[70, 131]"
3534,1.0,1.0,[48]
2587,2.0,1.0,"[1, 10]"
233,1.0,1.0,[17]
4960,0.0,0.0,[]
7452,1.0,1.0,[106]
5156,1.0,1.0,[102]
546,1.0,0.0,[124]
3364,0.0,0.0,[]
446,7.0,1.0,"[4, 28, 73, 78, 81, 83, 84]"
1539,1.0,1.0,[76]
5764,1.0,1.0,[60]
7165,0.0,0.0,[]
3441,1.0,1.0,[59]
5731,1.0,1.0,[84]
5416,2.0,1.0,"[39, 92]"
3698,0.0,0.0,[]
3918,3.0,1.0,"[49, 69, 73]"
5546,0.0,0.0,[]
817,0.0,0.0,[]
3977,2.0,1.0,"[19, 96]"
1388,1.0,1.0,[131]
2053,1.0,1.0,[77]
1891,0.0,0.0,[]
3559,0.0,0.0,[]
1486,3.0,0.0,"[85, 145, 153]"
467,0.0,0.0,[]
801,0.0,0.0,[]
722,3.0,1.0,"[21, 25, 47]"
3882,0.0,0.0,[]
824,1.0,1.0,[137]
7052,1.0,1.0,[87]
7890,0.0,0.0,[]
2016,0.0,0.0,[]
6418,1.0,1.0,[12]
7414,1.0,1.0,[142]
4650,0.0,0.0,[]
3676,0.0,0.0,[]
5638,1.0,1.0,[53]
2128,1.0,1.0,[81]
6339,3.0,1.0,"[139, 141, 146]"
3101,0.0,0.0,[]
2114,1.0,1.0,[78]
1711,0.0,0.0,[]
1031,0.0,0.0,[]
7292,0.0,0.0,[]
6937,2.0,1.0,"[38, 105]"
6797,0.0,0.0,[]
5782,1.0,1.0,[60]
17,2.0,1.0,"[19, 43]"
5145,3.0,0.0,"[113, 130, 131]"
5583,1.0,1.0,[141]
5297,0.0,0.0,[]
2425,2.0,1.0,"[16, 34]"
2263,1.0,1.0,[116]
6881,0.0,0.0,[]
1673,3.0,1.0,"[11, 88, 89]"
7816,0.0,0.0,[]
2385,0.0,0.0,[]
5243,2.0,1.0,"[94, 100]"
6299,1.0,1.0,[148]
2598,1.0,1.0,[108]
7395,0.0,0.0,[]
3163,0.0,0.0,[]
7623,1.0,1.0,[121]
4534,0.0,0.0,[]
