,used,exhausted,rounds
338,1.0,1.0,[0]
690,1.0,1.0,[0]
638,1.0,1.0,[0]
432,1.0,1.0,[0]
408,1.0,1.0,[0]
653,1.0,1.0,[0]
47,1.0,1.0,[0]
340,1.0,1.0,[0]
680,1.0,1.0,[0]
188,1.0,1.0,[0]
578,1.0,1.0,[0]
608,1.0,1.0,[0]
717,1.0,1.0,[0]
777,1.0,1.0,[0]
253,1.0,1.0,[0]
429,1.0,1.0,[0]
672,1.0,1.0,[0]
129,1.0,1.0,[0]
271,1.0,1.0,[0]
424,1.0,1.0,[0]
550,1.0,1.0,[0]
785,1.0,1.0,[0]
158,1.0,1.0,[0]
727,1.0,1.0,[0]
614,1.0,1.0,[0]
67,1.0,1.0,[0]
258,1.0,1.0,[0]
615,1.0,1.0,[0]
486,1.0,1.0,[0]
496,1.0,1.0,[0]
347,1.0,1.0,[0]
592,1.0,1.0,[0]
397,1.0,1.0,[0]
23,1.0,1.0,[0]
648,1.0,1.0,[0]
558,1.0,1.0,[0]
56,1.0,1.0,[0]
345,1.0,1.0,[0]
42,1.0,1.0,[0]
165,1.0,1.0,[0]
734,1.0,1.0,[154]
597,2.0,1.0,"[4, 7]"
625,1.0,1.0,[37]
415,4.0,1.0,"[176, 178, 180, 181]"
602,2.0,1.0,"[66, 88]"
636,1.0,1.0,[62]
505,2.0,1.0,"[115, 120]"
709,1.0,1.0,[35]
119,4.0,1.0,"[5, 29, 33, 36]"
412,1.0,1.0,[95]
420,1.0,1.0,[19]
2,2.0,1.0,"[144, 152]"
646,1.0,1.0,[23]
263,2.0,1.0,"[144, 154]"
481,4.0,1.0,"[116, 122, 124, 125]"
99,3.0,1.0,"[14, 15, 17]"
402,2.0,1.0,"[36, 42]"
286,1.0,1.0,[152]
478,2.0,1.0,"[27, 28]"
341,6.0,1.0,"[75, 90, 97, 98, 99, 103]"
755,6.0,1.0,"[174, 181, 182, 183, 184, 185]"
25,4.0,1.0,"[80, 82, 88, 106]"
541,2.0,1.0,"[26, 42]"
136,1.0,1.0,[132]
293,2.0,1.0,"[174, 180]"
61,1.0,1.0,[29]
361,4.0,1.0,"[33, 39, 44, 45]"
726,1.0,1.0,[44]
411,2.0,1.0,"[140, 143]"
272,2.0,1.0,"[13, 52]"
538,1.0,1.0,[87]
499,1.0,1.0,[67]
523,2.0,1.0,"[38, 64]"
294,1.0,1.0,[166]
427,2.0,1.0,"[67, 72]"
546,3.0,1.0,"[67, 109, 111]"
133,1.0,1.0,[10]
195,1.0,1.0,[84]
332,1.0,1.0,[9]
439,2.0,1.0,"[21, 54]"
708,1.0,1.0,[169]
624,5.0,1.0,"[23, 68, 71, 74, 76]"
337,1.0,1.0,[1]
633,1.0,1.0,[148]
12,2.0,1.0,"[113, 139]"
760,1.0,1.0,[104]
159,1.0,1.0,[50]
446,1.0,1.0,[83]
76,4.0,1.0,"[175, 181, 182, 183]"
635,1.0,1.0,[111]
221,1.0,1.0,[90]
176,1.0,1.0,[11]
349,4.0,1.0,"[145, 153, 155, 157]"
68,1.0,1.0,[172]
226,1.0,1.0,[15]
418,1.0,1.0,[61]
