,used,exhausted,rounds
401,1.0,1.0,[0]
187,1.0,1.0,[0]
796,1.0,1.0,[0]
278,1.0,1.0,[0]
33,1.0,1.0,[0]
473,1.0,1.0,[0]
705,1.0,1.0,[0]
96,1.0,1.0,[0]
477,1.0,1.0,[0]
720,1.0,1.0,[0]
730,1.0,1.0,[0]
352,1.0,1.0,[0]
383,1.0,1.0,[0]
799,1.0,1.0,[0]
431,1.0,1.0,[0]
555,1.0,1.0,[0]
620,1.0,1.0,[0]
789,1.0,1.0,[0]
254,1.0,1.0,[0]
440,1.0,1.0,[0]
353,1.0,1.0,[0]
124,1.0,1.0,[0]
230,1.0,1.0,[0]
205,1.0,1.0,[0]
466,1.0,1.0,[0]
156,1.0,1.0,[0]
239,1.0,1.0,[0]
155,1.0,1.0,[0]
779,1.0,1.0,[0]
704,1.0,1.0,[0]
189,1.0,1.0,[0]
292,1.0,1.0,[0]
613,1.0,1.0,[0]
322,1.0,1.0,[0]
782,1.0,1.0,[0]
659,1.0,1.0,[0]
232,1.0,1.0,[0]
284,1.0,1.0,[0]
634,1.0,1.0,[0]
762,1.0,1.0,[0]
467,1.0,1.0,[83]
299,2.0,1.0,"[92, 172]"
253,1.0,1.0,[75]
593,4.0,1.0,"[45, 49, 55, 56]"
724,2.0,1.0,"[67, 158]"
66,1.0,1.0,[93]
111,2.0,1.0,"[39, 70]"
563,1.0,1.0,[125]
590,4.0,1.0,"[117, 168, 171, 172]"
99,1.0,1.0,[125]
72,1.0,1.0,[89]
371,2.0,1.0,"[144, 173]"
663,1.0,1.0,[104]
164,2.0,1.0,"[30, 39]"
444,4.0,1.0,"[67, 75, 102, 103]"
333,3.0,1.0,"[79, 86, 94]"
320,2.0,1.0,"[73, 89]"
586,1.0,1.0,[4]
57,2.0,1.0,"[85, 129]"
154,6.0,1.0,"[167, 183, 184, 185, 186, 187]"
63,6.0,1.0,"[96, 97, 98, 101, 117, 120]"
540,4.0,1.0,"[26, 37, 40, 48]"
120,2.0,1.0,"[144, 147]"
412,1.0,1.0,[177]
450,2.0,1.0,"[118, 133]"
47,1.0,1.0,[11]
238,4.0,1.0,"[87, 161, 173, 174]"
129,1.0,1.0,[40]
361,2.0,1.0,"[9, 163]"
608,2.0,1.0,"[33, 51]"
765,1.0,1.0,[139]
420,1.0,1.0,[108]
798,2.0,1.0,"[118, 150]"
199,1.0,1.0,[91]
351,2.0,1.0,"[112, 127]"
267,3.0,1.0,"[31, 159, 166]"
139,1.0,1.0,[95]
104,1.0,1.0,[92]
719,1.0,1.0,[41]
375,2.0,1.0,"[20, 97]"
97,1.0,1.0,[44]
336,5.0,1.0,"[167, 184, 185, 186, 187]"
122,1.0,1.0,[155]
421,1.0,1.0,[105]
710,2.0,1.0,"[81, 128]"
651,1.0,1.0,[152]
90,1.0,1.0,[94]
151,1.0,1.0,[69]
548,4.0,1.0,"[42, 65, 84, 87]"
314,1.0,1.0,[110]
16,1.0,1.0,[60]
483,1.0,1.0,[135]
369,4.0,1.0,"[125, 129, 144, 145]"
594,1.0,1.0,[57]
531,1.0,1.0,[158]
359,1.0,1.0,[93]
171,3.0,1.0,"[76, 89, 98]"
481,1.0,1.0,[54]
75,1.0,1.0,[167]
190,1.0,1.0,[103]
272,2.0,1.0,"[132, 165]"
505,4.0,1.0,"[43, 44, 46, 62]"
575,1.0,1.0,[152]
537,1.0,1.0,[48]
449,2.0,1.0,"[67, 71]"
793,1.0,1.0,[116]
206,2.0,1.0,"[100, 101]"
729,1.0,1.0,[21]
64,2.0,1.0,"[122, 128]"
632,1.0,1.0,[166]
15,1.0,1.0,[128]
231,7.0,1.0,"[119, 132, 133, 135, 139, 147, 148]"
290,1.0,1.0,[71]
609,2.0,1.0,"[87, 159]"
564,1.0,1.0,[119]
396,1.0,1.0,[23]
