,used,exhausted,rounds
264,1.0,1.0,[0]
281,1.0,1.0,[0]
234,1.0,1.0,[0]
168,1.0,1.0,[0]
129,1.0,1.0,[0]
498,1.0,1.0,[0]
316,1.0,1.0,[0]
347,1.0,1.0,[0]
153,1.0,1.0,[0]
506,1.0,1.0,[0]
657,1.0,1.0,[0]
139,1.0,1.0,[0]
355,1.0,1.0,[0]
730,1.0,1.0,[0]
222,1.0,1.0,[0]
322,1.0,1.0,[0]
332,1.0,1.0,[0]
197,1.0,1.0,[0]
310,1.0,1.0,[0]
124,1.0,1.0,[0]
541,1.0,1.0,[0]
56,1.0,1.0,[0]
34,1.0,1.0,[0]
470,1.0,1.0,[0]
79,1.0,1.0,[0]
30,1.0,1.0,[0]
306,1.0,1.0,[0]
604,1.0,1.0,[0]
722,1.0,1.0,[0]
15,1.0,1.0,[0]
782,1.0,1.0,[0]
96,1.0,1.0,[0]
454,1.0,1.0,[0]
361,1.0,1.0,[0]
211,1.0,1.0,[0]
526,1.0,1.0,[0]
0,1.0,1.0,[0]
518,1.0,1.0,[0]
217,1.0,1.0,[0]
740,1.0,1.0,[0]
693,1.0,1.0,[64]
603,2.0,1.0,"[153, 159]"
274,1.0,1.0,[82]
204,4.0,1.0,"[165, 166, 167, 169]"
598,2.0,1.0,"[166, 168]"
175,1.0,1.0,[69]
389,2.0,1.0,"[79, 89]"
445,1.0,1.0,[131]
241,4.0,1.0,"[135, 140, 146, 147]"
688,1.0,1.0,[42]
739,1.0,1.0,[94]
126,2.0,1.0,"[52, 53]"
123,1.0,1.0,[61]
491,2.0,1.0,"[112, 128]"
109,4.0,1.0,"[12, 104, 109, 112]"
562,3.0,1.0,"[26, 28, 71]"
715,2.0,1.0,"[25, 92]"
182,1.0,1.0,[71]
590,2.0,1.0,"[10, 29]"
280,6.0,1.0,"[168, 171, 179, 180, 181, 182]"
224,6.0,1.0,"[3, 5, 6, 7, 8, 15]"
295,4.0,1.0,"[90, 91, 92, 93]"
424,2.0,1.0,"[95, 97]"
744,1.0,1.0,[116]
203,2.0,1.0,"[37, 82]"
540,1.0,1.0,[64]
21,4.0,1.0,"[169, 171, 172, 175]"
576,1.0,1.0,[77]
188,2.0,1.0,"[117, 118]"
287,2.0,1.0,"[106, 107]"
17,1.0,1.0,[38]
747,1.0,1.0,[3]
703,2.0,1.0,"[89, 94]"
472,1.0,1.0,[7]
501,2.0,1.0,"[138, 139]"
444,3.0,1.0,"[165, 168, 169]"
476,1.0,1.0,[8]
453,1.0,1.0,[122]
284,1.0,1.0,[120]
422,2.0,1.0,"[114, 118]"
765,1.0,1.0,[31]
318,5.0,1.0,"[92, 93, 95, 97, 101]"
277,1.0,1.0,[4]
403,1.0,1.0,[55]
377,2.0,1.0,"[62, 63]"
560,1.0,1.0,[152]
43,1.0,1.0,[87]
317,1.0,1.0,[184]
787,4.0,1.0,"[126, 131, 132, 133]"
87,1.0,1.0,[141]
362,1.0,1.0,[97]
208,1.0,1.0,[32]
466,4.0,1.0,"[28, 51, 89, 90]"
695,1.0,1.0,[161]
158,1.0,1.0,[78]
23,1.0,1.0,[27]
146,3.0,1.0,"[58, 60, 61]"
534,1.0,1.0,[10]
263,1.0,1.0,[3]
193,1.0,1.0,[75]
486,2.0,1.0,"[14, 15]"
721,4.0,1.0,"[144, 148, 149, 152]"
138,1.0,1.0,[175]
449,1.0,1.0,[178]
19,2.0,1.0,"[13, 14]"
574,1.0,1.0,[16]
677,2.0,1.0,"[119, 120]"
762,1.0,1.0,[118]
387,2.0,1.0,"[180, 181]"
616,1.0,1.0,[14]
631,1.0,1.0,[2]
766,7.0,1.0,"[115, 121, 122, 124, 125, 126, 127]"
474,1.0,1.0,[23]
81,2.0,1.0,"[133, 143]"
190,1.0,1.0,[93]
752,1.0,1.0,[13]
708,1.0,1.0,[7]
401,4.0,1.0,"[55, 57, 58, 59]"
53,1.0,1.0,[50]
626,3.0,1.0,"[14, 15, 16]"
772,2.0,1.0,"[139, 140]"
694,2.0,1.0,"[152, 154]"
629,1.0,1.0,[127]
393,1.0,1.0,[68]
511,4.0,1.0,"[124, 125, 127, 128]"
60,3.0,1.0,"[6, 7, 46]"
369,1.0,1.0,[16]
246,3.0,1.0,"[142, 143, 147]"
24,3.0,1.0,"[41, 62, 63]"
413,4.0,1.0,"[10, 27, 72, 74]"
737,1.0,1.0,[143]
8,1.0,1.0,[76]
196,1.0,1.0,[51]
221,1.0,1.0,[41]
255,2.0,1.0,"[164, 166]"
117,2.0,1.0,"[151, 155]"
512,1.0,1.0,[83]
16,1.0,1.0,[97]
85,1.0,1.0,[142]
327,2.0,1.0,"[171, 173]"
341,1.0,1.0,[24]
735,1.0,1.0,[110]
671,1.0,1.0,[170]
186,3.0,1.0,"[139, 145, 146]"
428,2.0,1.0,"[172, 174]"
249,1.0,1.0,[12]
457,5.0,1.0,"[17, 19, 27, 67, 73]"
90,1.0,1.0,[101]
674,2.0,1.0,"[20, 21]"
395,1.0,1.0,[59]
68,2.0,1.0,"[183, 184]"
496,4.0,1.0,"[176, 178, 180, 181]"
198,3.0,1.0,"[94, 103, 104]"
718,1.0,1.0,[94]
157,3.0,1.0,"[42, 48, 55]"
655,1.0,1.0,[105]
261,1.0,1.0,[147]
549,3.0,1.0,"[176, 177, 179]"
779,1.0,1.0,[180]
262,2.0,1.0,"[140, 148]"
717,3.0,1.0,"[71, 72, 73]"
591,2.0,1.0,"[12, 13]"
231,2.0,1.0,"[52, 53]"
259,1.0,1.0,[68]
115,1.0,1.0,[180]
364,3.0,1.0,"[97, 102, 103]"
557,3.0,1.0,"[86, 92, 96]"
652,1.0,1.0,[174]
394,1.0,1.0,[51]
439,1.0,1.0,[127]
764,2.0,1.0,"[143, 144]"
421,1.0,1.0,[113]
399,2.0,1.0,"[110, 111]"
14,3.0,1.0,"[168, 169, 170]"
111,1.0,1.0,[132]
456,1.0,1.0,[55]
238,1.0,1.0,[20]
354,1.0,1.0,[111]
275,1.0,1.0,[18]
524,1.0,1.0,[13]
751,1.0,1.0,[32]
373,3.0,1.0,"[59, 60, 102]"
487,5.0,1.0,"[73, 74, 75, 76, 77]"
520,1.0,1.0,[136]
333,1.0,1.0,[60]
29,3.0,1.0,"[36, 37, 38]"
736,2.0,1.0,"[84, 85]"
180,1.0,1.0,[46]
195,1.0,1.0,[162]
297,1.0,1.0,[47]
426,2.0,1.0,"[106, 107]"
623,1.0,1.0,[106]
527,1.0,1.0,[7]
323,2.0,1.0,"[164, 169]"
320,1.0,1.0,[39]
257,1.0,1.0,[83]
3,4.0,1.0,"[37, 38, 39, 40]"
334,1.0,1.0,[23]
727,1.0,1.0,[39]
312,1.0,1.0,[32]
383,2.0,1.0,"[55, 58]"
64,5.0,1.0,"[142, 145, 146, 149, 153]"
753,1.0,1.0,[35]
12,2.0,1.0,"[82, 108]"
137,1.0,1.0,[84]
62,1.0,1.0,[45]
104,1.0,1.0,[9]
247,3.0,1.0,"[158, 159, 160]"
228,2.0,1.0,"[177, 180]"
443,1.0,1.0,[177]
477,3.0,1.0,"[81, 100, 111]"
592,2.0,1.0,"[2, 18]"
55,2.0,1.0,"[123, 137]"
194,1.0,1.0,[45]
499,2.0,1.0,"[9, 86]"
791,2.0,1.0,"[49, 58]"
181,1.0,1.0,[55]
353,3.0,1.0,"[4, 10, 11]"
18,1.0,1.0,[33]
462,1.0,1.0,[4]
52,1.0,1.0,[138]
48,2.0,1.0,"[95, 97]"
755,3.0,1.0,"[136, 137, 139]"
732,2.0,1.0,"[166, 167]"
342,1.0,1.0,[124]
340,1.0,1.0,[53]
44,3.0,1.0,"[183, 184, 185]"
78,5.0,1.0,"[162, 164, 165, 166, 167]"
741,1.0,1.0,[28]
227,4.0,1.0,"[72, 73, 74, 75]"
293,1.0,1.0,[172]
559,2.0,1.0,"[2, 5]"
229,1.0,1.0,[182]
406,1.0,1.0,[157]
267,2.0,1.0,"[34, 35]"
619,1.0,1.0,[78]
216,2.0,1.0,"[99, 100]"
321,1.0,1.0,[132]
346,2.0,1.0,"[12, 19]"
192,1.0,1.0,[185]
370,3.0,1.0,"[114, 120, 121]"
374,1.0,1.0,[55]
531,1.0,1.0,[15]
93,2.0,1.0,"[117, 118]"
662,1.0,1.0,[15]
600,1.0,1.0,[65]
343,1.0,1.0,[43]
132,1.0,1.0,[15]
108,2.0,1.0,"[58, 79]"
412,1.0,1.0,[163]
451,2.0,1.0,"[7, 54]"
226,4.0,1.0,"[155, 158, 159, 160]"
532,1.0,1.0,[85]
471,1.0,1.0,[19]
149,6.0,1.0,"[141, 142, 143, 145, 146, 147]"
692,4.0,1.0,"[76, 94, 104, 105]"
492,1.0,1.0,[56]
728,3.0,1.0,"[163, 165, 168]"
116,1.0,1.0,[145]
288,1.0,1.0,[90]
