,used,exhausted,rounds
547,1.0,1.0,[0]
445,1.0,1.0,[0]
169,1.0,1.0,[0]
422,1.0,1.0,[0]
35,1.0,1.0,[0]
645,1.0,1.0,[0]
228,1.0,1.0,[0]
290,1.0,1.0,[0]
532,1.0,1.0,[0]
206,1.0,1.0,[0]
156,1.0,1.0,[0]
573,1.0,1.0,[0]
354,1.0,1.0,[0]
172,1.0,1.0,[0]
268,1.0,1.0,[0]
541,1.0,1.0,[0]
556,1.0,1.0,[0]
687,1.0,1.0,[0]
583,1.0,1.0,[0]
57,1.0,1.0,[0]
388,1.0,1.0,[0]
666,1.0,1.0,[0]
444,1.0,1.0,[0]
405,1.0,1.0,[0]
608,1.0,1.0,[0]
629,1.0,1.0,[0]
383,1.0,1.0,[0]
682,1.0,1.0,[0]
460,1.0,1.0,[0]
170,1.0,1.0,[0]
399,1.0,1.0,[0]
731,1.0,1.0,[0]
26,1.0,1.0,[0]
549,1.0,1.0,[0]
592,1.0,1.0,[0]
28,1.0,1.0,[0]
71,1.0,1.0,[0]
44,1.0,1.0,[0]
260,1.0,1.0,[0]
729,1.0,1.0,[0]
754,3.0,1.0,"[30, 31, 32]"
231,0.0,0.0,[]
651,0.0,0.0,[]
339,4.0,1.0,"[49, 101, 111, 171]"
519,0.0,0.0,[]
674,1.0,1.0,[90]
390,4.0,1.0,"[19, 20, 44, 65]"
311,0.0,0.0,[]
736,0.0,0.0,[]
513,1.0,1.0,[6]
8,1.0,0.0,[137]
103,0.0,0.0,[]
238,1.0,1.0,[60]
137,0.0,0.0,[]
286,4.0,1.0,"[77, 79, 181, 182]"
215,1.0,0.0,[88]
542,0.0,0.0,[]
488,2.0,1.0,"[20, 42]"
795,0.0,0.0,[]
603,1.0,0.0,[134]
622,1.0,0.0,[26]
351,0.0,0.0,[]
216,1.0,0.0,[109]
762,0.0,0.0,[]
327,1.0,0.0,[196]
770,2.0,0.0,"[13, 181]"
58,4.0,1.0,"[38, 74, 172, 173]"
70,1.0,1.0,[34]
447,2.0,1.0,"[22, 37]"
711,0.0,0.0,[]
678,0.0,0.0,[]
417,0.0,0.0,[]
18,2.0,1.0,"[94, 112]"
201,0.0,0.0,[]
165,15.0,1.0,"[14, 18, 24, 25, 30, 31, 32, 33, 34, 35, 36, 37, 46, 47, 48]"
312,6.0,1.0,"[84, 99, 103, 110, 136, 137]"
314,0.0,0.0,[]
673,1.0,1.0,[86]
741,1.0,1.0,[43]
652,0.0,0.0,[]
571,3.0,0.0,"[125, 190, 193]"
325,1.0,0.0,[106]
409,3.0,1.0,"[39, 42, 58]"
159,0.0,0.0,[]
115,2.0,1.0,"[36, 41]"
591,6.0,1.0,"[3, 4, 8, 9, 10, 11]"
81,0.0,0.0,[]
151,1.0,1.0,[130]
567,1.0,0.0,[168]
75,0.0,0.0,[]
127,1.0,1.0,[50]
511,1.0,1.0,[3]
665,0.0,0.0,[]
62,1.0,1.0,[38]
195,1.0,1.0,[8]
719,1.0,1.0,[14]
209,6.0,1.0,"[44, 45, 46, 68, 70, 71]"
739,1.0,1.0,[63]
766,1.0,1.0,[58]
418,0.0,0.0,[]
671,6.0,1.0,"[65, 80, 136, 137, 138, 162]"
402,6.0,1.0,"[107, 119, 150, 151, 155, 156]"
244,1.0,1.0,[2]
102,1.0,1.0,[22]
431,2.0,1.0,"[37, 78]"
735,3.0,1.0,"[108, 117, 126]"
496,12.0,0.0,"[27, 87, 187, 188, 189, 190, 191, 192, 193, 198, 199, 200]"
167,0.0,0.0,[]
32,0.0,0.0,[]
4,11.0,1.0,"[16, 166, 167, 175, 177, 178, 182, 183, 184, 189, 190]"
613,1.0,0.0,[164]
331,1.0,0.0,[27]
475,5.0,1.0,"[77, 79, 80, 81, 83]"
284,5.0,1.0,"[122, 160, 176, 178, 185]"
116,3.0,1.0,"[1, 15, 64]"
145,3.0,1.0,"[43, 144, 165]"
436,0.0,0.0,[]
313,1.0,0.0,[106]
594,0.0,0.0,[]
599,2.0,0.0,"[148, 151]"
605,3.0,0.0,"[62, 144, 161]"
124,0.0,0.0,[]
712,0.0,0.0,[]
527,4.0,1.0,"[107, 134, 152, 153]"
416,4.0,1.0,"[27, 40, 43, 139]"
181,3.0,1.0,"[117, 148, 149]"
516,1.0,1.0,[63]
254,1.0,0.0,[29]
73,1.0,0.0,[194]
111,1.0,0.0,[29]
236,1.0,0.0,[164]
742,0.0,0.0,[]
222,1.0,1.0,[131]
342,10.0,1.0,"[107, 161, 162, 163, 165, 166, 167, 168, 174, 175]"
277,3.0,1.0,"[98, 173, 180]"
54,0.0,0.0,[]
661,1.0,1.0,[35]
22,0.0,0.0,[]
317,1.0,1.0,[25]
117,5.0,1.0,"[134, 138, 143, 148, 154]"
185,9.0,1.0,"[103, 104, 111, 112, 129, 137, 138, 139, 142]"
716,0.0,0.0,[]
136,1.0,1.0,[78]
121,6.0,1.0,"[30, 31, 32, 49, 50, 51]"
546,0.0,0.0,[]
193,1.0,1.0,[17]
370,4.0,0.0,"[117, 118, 140, 141]"
150,1.0,1.0,[84]
614,7.0,0.0,"[108, 120, 141, 142, 145, 152, 199]"
135,1.0,1.0,[23]
695,2.0,1.0,"[72, 73]"
227,0.0,0.0,[]
749,7.0,0.0,"[38, 55, 64, 139, 172, 197, 198]"
389,1.0,0.0,[48]
596,0.0,0.0,[]
91,1.0,0.0,[14]
560,1.0,1.0,[20]
387,0.0,0.0,[]
229,1.0,1.0,[188]
670,2.0,1.0,"[26, 48]"
423,3.0,1.0,"[116, 124, 129]"
584,0.0,0.0,[]
705,1.0,0.0,[63]
95,0.0,0.0,[]
451,4.0,1.0,"[109, 133, 162, 163]"
50,3.0,1.0,"[26, 28, 29]"
272,16.0,1.0,"[63, 140, 163, 164, 168, 169, 171, 174, 175, 176, 178, 179, 181, 182, 183, 184]"
138,1.0,1.0,[4]
656,1.0,1.0,[61]
280,1.0,0.0,[99]
109,1.0,0.0,[19]
725,1.0,1.0,[133]
84,5.0,1.0,"[103, 118, 131, 158, 160]"
499,0.0,0.0,[]
274,1.0,1.0,[74]
536,1.0,1.0,[33]
76,2.0,0.0,"[100, 177]"
489,0.0,0.0,[]
703,0.0,0.0,[]
776,3.0,1.0,"[38, 44, 45]"
577,1.0,1.0,[55]
382,3.0,1.0,"[8, 12, 35]"
453,5.0,1.0,"[74, 153, 154, 155, 181]"
