,used,exhausted,rounds
367,1.0,1.0,[0]
416,1.0,1.0,[0]
318,1.0,1.0,[0]
68,1.0,1.0,[0]
426,1.0,1.0,[0]
477,1.0,1.0,[0]
138,1.0,1.0,[0]
398,1.0,1.0,[0]
425,1.0,1.0,[0]
310,1.0,1.0,[0]
194,1.0,1.0,[0]
124,1.0,1.0,[0]
130,1.0,1.0,[0]
365,1.0,1.0,[0]
290,1.0,1.0,[0]
176,1.0,1.0,[0]
66,1.0,1.0,[0]
363,1.0,1.0,[0]
285,1.0,1.0,[0]
211,1.0,1.0,[0]
14,1.0,1.0,[0]
361,1.0,1.0,[0]
299,1.0,1.0,[0]
250,1.0,1.0,[0]
273,0.0,0.0,[]
117,3.0,1.0,"[55, 64, 74]"
99,1.0,1.0,[48]
272,1.0,1.0,[12]
1,0.0,0.0,[]
76,0.0,0.0,[]
248,15.0,1.0,"[85, 104, 126, 137, 156, 157, 158, 159, 160, 163, 164, 165, 166, 167, 183]"
81,3.0,1.0,"[3, 30, 51]"
167,5.0,1.0,"[29, 65, 119, 120, 149]"
210,0.0,0.0,[]
333,2.0,0.0,"[75, 184]"
265,2.0,1.0,"[102, 182]"
42,1.0,0.0,[85]
476,0.0,0.0,[]
134,1.0,1.0,[130]
439,3.0,0.0,"[185, 187, 188]"
483,3.0,1.0,"[13, 50, 55]"
97,1.0,0.0,[90]
50,1.0,0.0,[117]
314,4.0,1.0,"[105, 176, 182, 196]"
100,1.0,0.0,[75]
46,1.0,1.0,[64]
8,0.0,0.0,[]
234,5.0,1.0,"[54, 120, 175, 176, 177]"
274,0.0,0.0,[]
202,0.0,0.0,[]
120,1.0,0.0,[95]
322,0.0,0.0,[]
478,0.0,0.0,[]
414,0.0,0.0,[]
269,4.0,1.0,"[80, 85, 90, 91]"
402,0.0,0.0,[]
114,2.0,1.0,"[53, 114]"
34,0.0,0.0,[]
447,2.0,1.0,"[146, 152]"
23,1.0,0.0,[28]
391,0.0,0.0,[]
225,0.0,0.0,[]
200,5.0,1.0,"[19, 31, 33, 34, 35]"
288,11.0,1.0,"[9, 91, 92, 93, 113, 114, 115, 119, 120, 121, 122]"
44,2.0,1.0,"[56, 81]"
7,3.0,1.0,"[99, 160, 185]"
158,0.0,0.0,[]
77,1.0,1.0,[51]
159,2.0,1.0,"[76, 101]"
334,1.0,0.0,[183]
460,12.0,1.0,"[58, 143, 144, 145, 147, 148, 151, 152, 153, 154, 155, 157]"
153,1.0,1.0,[171]
400,1.0,0.0,[190]
373,0.0,0.0,[]
236,7.0,0.0,"[15, 145, 194, 195, 197, 198, 199]"
305,6.0,1.0,"[97, 162, 163, 164, 165, 166]"
192,1.0,0.0,[89]
204,1.0,1.0,[26]
331,1.0,1.0,[84]
2,2.0,1.0,"[19, 32]"
384,1.0,0.0,[81]
156,0.0,0.0,[]
147,0.0,0.0,[]
284,0.0,0.0,[]
125,1.0,0.0,[66]
233,0.0,0.0,[]
283,2.0,1.0,"[19, 31]"
103,1.0,1.0,[62]
85,16.0,1.0,"[11, 13, 23, 28, 31, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]"
401,16.0,1.0,"[77, 78, 79, 80, 86, 87, 88, 89, 90, 92, 93, 94, 96, 98, 99, 102]"
338,0.0,0.0,[]
246,0.0,0.0,[]
453,6.0,1.0,"[57, 84, 88, 106, 147, 148]"
149,1.0,1.0,[136]
227,0.0,0.0,[]
327,1.0,1.0,[144]
20,0.0,0.0,[]
199,0.0,0.0,[]
185,1.0,1.0,[61]
238,1.0,1.0,[2]
474,6.0,1.0,"[23, 31, 32, 36, 37, 38]"
443,6.0,1.0,"[61, 108, 132, 139, 141, 143]"
148,0.0,0.0,[]
52,0.0,0.0,[]
65,2.0,1.0,"[88, 161]"
348,1.0,0.0,[79]
87,0.0,0.0,[]
452,1.0,1.0,[83]
469,2.0,1.0,"[8, 65]"
451,0.0,0.0,[]
403,0.0,0.0,[]
482,7.0,1.0,"[9, 113, 114, 141, 144, 145, 146]"
427,1.0,0.0,[137]
180,2.0,0.0,"[135, 200]"
280,0.0,0.0,[]
196,3.0,1.0,"[5, 6, 7]"
144,0.0,0.0,[]
258,0.0,0.0,[]
59,1.0,1.0,[133]
93,0.0,0.0,[]
16,1.0,0.0,[142]
291,1.0,0.0,[107]
78,1.0,1.0,[103]
466,4.0,1.0,"[79, 115, 151, 152]"
152,1.0,0.0,[58]
67,3.0,1.0,"[5, 8, 10]"
43,1.0,1.0,[69]
58,1.0,0.0,[108]
166,0.0,0.0,[]
260,15.0,1.0,"[39, 76, 113, 114, 116, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]"
422,3.0,1.0,"[81, 150, 181]"
137,5.0,1.0,"[29, 77, 81, 82, 84]"
344,1.0,1.0,[122]
193,0.0,0.0,[]
182,3.0,1.0,"[91, 96, 179]"
326,0.0,0.0,[]
191,0.0,0.0,[]
475,0.0,0.0,[]
184,0.0,0.0,[]
17,0.0,0.0,[]
56,3.0,0.0,"[101, 179, 180]"
464,1.0,0.0,[111]
106,1.0,1.0,[105]
308,0.0,0.0,[]
214,1.0,0.0,[57]
157,0.0,0.0,[]
277,5.0,0.0,"[91, 103, 186, 187, 189]"
161,1.0,1.0,[128]
342,0.0,0.0,[]
21,0.0,0.0,[]
133,0.0,0.0,[]
380,0.0,0.0,[]
105,0.0,0.0,[]
209,0.0,0.0,[]
292,2.0,0.0,"[127, 181]"
417,4.0,1.0,"[20, 84, 90, 92]"
178,0.0,0.0,[]
239,0.0,0.0,[]
282,0.0,0.0,[]
352,2.0,1.0,"[41, 42]"
219,0.0,0.0,[]
82,2.0,1.0,"[87, 185]"
163,0.0,0.0,[]
249,1.0,1.0,[80]
488,4.0,1.0,"[99, 178, 179, 180]"
141,1.0,0.0,[155]
383,16.0,1.0,"[86, 133, 135, 156, 157, 158, 164, 165, 166, 167, 168, 169, 170, 171, 173, 174]"
486,1.0,1.0,[63]
27,0.0,0.0,[]
207,0.0,0.0,[]
179,6.0,0.0,"[124, 129, 186, 187, 188, 189]"
201,0.0,0.0,[]
95,0.0,0.0,[]
0,2.0,0.0,"[124, 130]"
307,1.0,1.0,[120]
162,1.0,1.0,[106]
251,9.0,1.0,"[123, 153, 154, 164, 165, 166, 167, 191, 192]"
450,1.0,1.0,[18]
24,0.0,0.0,[]
418,0.0,0.0,[]
113,0.0,0.0,[]
160,1.0,0.0,[148]
445,0.0,0.0,[]
62,1.0,0.0,[95]
324,5.0,1.0,"[7, 49, 50, 51, 60]"
221,1.0,0.0,[196]
455,2.0,1.0,"[52, 135]"
441,1.0,1.0,[46]
370,2.0,1.0,"[41, 132]"
10,1.0,0.0,[48]
127,1.0,0.0,[182]
355,0.0,0.0,[]
473,4.0,1.0,"[2, 3, 6, 7]"
428,7.0,0.0,"[104, 109, 182, 196, 197, 198, 199]"
49,1.0,1.0,[45]
444,0.0,0.0,[]
155,9.0,1.0,"[39, 59, 86, 90, 94, 95, 96, 97, 98]"
325,1.0,0.0,[195]
237,1.0,1.0,[109]
413,1.0,0.0,[121]
465,3.0,1.0,"[17, 66, 76]"
271,0.0,0.0,[]
230,0.0,0.0,[]
51,13.0,1.0,"[6, 8, 12, 13, 14, 18, 20, 21, 22, 23, 24, 25, 26]"
390,0.0,0.0,[]
436,12.0,1.0,"[11, 15, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
339,1.0,1.0,[75]
215,8.0,1.0,"[12, 44, 46, 66, 68, 69, 70, 71]"
57,1.0,0.0,[109]
206,5.0,1.0,"[30, 128, 130, 131, 132]"
431,0.0,0.0,[]
131,0.0,0.0,[]
493,0.0,0.0,[]
187,0.0,0.0,[]
399,0.0,0.0,[]
381,0.0,0.0,[]
371,1.0,1.0,[59]
319,0.0,0.0,[]
480,1.0,1.0,[72]
205,0.0,0.0,[]
151,0.0,0.0,[]
94,2.0,1.0,"[11, 15]"
54,3.0,1.0,"[21, 40, 60]"
231,3.0,1.0,"[56, 93, 184]"
382,1.0,1.0,[139]
389,1.0,0.0,[52]
264,4.0,1.0,"[54, 108, 123, 125]"
71,0.0,0.0,[]
254,1.0,0.0,[87]
86,8.0,1.0,"[1, 16, 17, 34, 35, 36, 37, 38]"
39,1.0,0.0,[99]
388,0.0,0.0,[]
346,1.0,0.0,[134]
228,2.0,1.0,"[57, 183]"
410,0.0,0.0,[]
63,0.0,0.0,[]
28,2.0,0.0,"[92, 100]"
40,1.0,1.0,[1]
330,1.0,0.0,[112]
116,1.0,1.0,[42]
424,4.0,1.0,"[48, 52, 54, 55]"
266,0.0,0.0,[]
404,0.0,0.0,[]
220,1.0,0.0,[83]
387,1.0,1.0,[125]
181,0.0,0.0,[]
175,1.0,0.0,[73]
177,1.0,1.0,[10]
485,5.0,1.0,"[4, 5, 6, 7, 8]"
278,1.0,1.0,[112]
32,1.0,0.0,[161]
376,1.0,0.0,[184]
79,1.0,1.0,[79]
357,5.0,1.0,"[77, 146, 149, 152, 153]"
481,6.0,1.0,"[3, 24, 25, 27, 29, 30]"
213,0.0,0.0,[]
397,1.0,1.0,[54]
281,9.0,1.0,"[5, 14, 16, 17, 18, 19, 20, 21, 22]"
412,13.0,1.0,"[32, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 74]"
70,0.0,0.0,[]
92,3.0,0.0,"[76, 193, 194]"
216,2.0,1.0,"[49, 100]"
456,15.0,1.0,"[18, 104, 105, 106, 111, 112, 115, 117, 118, 119, 120, 121, 122, 123, 124]"
320,1.0,0.0,[78]
118,2.0,1.0,"[17, 81]"
335,1.0,0.0,[111]
4,0.0,0.0,[]
9,2.0,1.0,"[27, 33]"
343,0.0,0.0,[]
409,0.0,0.0,[]
253,4.0,1.0,"[89, 150, 151, 184]"
471,1.0,1.0,[57]
217,0.0,0.0,[]
232,0.0,0.0,[]
111,1.0,1.0,[4]
235,1.0,1.0,[75]
362,1.0,1.0,[9]
279,0.0,0.0,[]
328,1.0,1.0,[10]
458,1.0,1.0,[82]
165,0.0,0.0,[]
378,0.0,0.0,[]
150,1.0,1.0,[18]
13,3.0,1.0,"[34, 138, 172]"
298,1.0,1.0,[4]
172,1.0,0.0,[163]
91,4.0,1.0,"[63, 78, 82, 85]"
31,0.0,0.0,[]
332,13.0,1.0,"[136, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195]"
491,2.0,0.0,"[150, 197]"
435,4.0,1.0,"[78, 86, 87, 89]"
19,2.0,0.0,"[154, 161]"
462,1.0,0.0,[149]
