,used,exhausted,rounds
1763,1.0,1.0,[0]
2072,1.0,1.0,[0]
102,1.0,1.0,[0]
2211,1.0,1.0,[0]
1287,1.0,1.0,[0]
714,1.0,1.0,[0]
319,1.0,1.0,[0]
672,1.0,1.0,[0]
768,1.0,1.0,[0]
913,1.0,1.0,[0]
2133,1.0,1.0,[0]
2517,1.0,1.0,[0]
1776,1.0,1.0,[0]
2480,1.0,1.0,[0]
1208,1.0,1.0,[0]
480,1.0,1.0,[0]
143,1.0,1.0,[0]
979,1.0,1.0,[0]
700,1.0,1.0,[0]
1878,1.0,1.0,[0]
1616,1.0,1.0,[0]
2547,1.0,1.0,[0]
2456,1.0,1.0,[0]
1359,1.0,1.0,[0]
1209,1.0,1.0,[0]
1718,1.0,1.0,[0]
1443,1.0,1.0,[0]
2157,1.0,1.0,[0]
2366,1.0,1.0,[0]
1710,1.0,1.0,[0]
112,1.0,1.0,[0]
2402,1.0,1.0,[0]
1013,1.0,1.0,[0]
235,1.0,1.0,[0]
2552,1.0,1.0,[0]
1774,1.0,1.0,[0]
2516,1.0,1.0,[0]
2255,1.0,1.0,[0]
1906,1.0,1.0,[0]
97,1.0,1.0,[0]
1801,1.0,1.0,[0]
2221,1.0,1.0,[0]
1377,1.0,1.0,[0]
68,1.0,1.0,[0]
1107,1.0,1.0,[0]
1218,1.0,1.0,[0]
1119,1.0,1.0,[0]
42,1.0,1.0,[0]
77,1.0,1.0,[0]
685,1.0,1.0,[0]
504,1.0,1.0,[0]
698,1.0,1.0,[0]
1176,1.0,1.0,[0]
1552,1.0,1.0,[0]
1468,1.0,1.0,[0]
2158,1.0,1.0,[0]
8,1.0,1.0,[0]
186,1.0,1.0,[0]
2307,1.0,1.0,[0]
1530,1.0,1.0,[0]
1779,1.0,1.0,[0]
361,1.0,1.0,[0]
1649,1.0,1.0,[0]
534,1.0,1.0,[0]
1116,1.0,1.0,[0]
1056,1.0,1.0,[0]
1384,1.0,1.0,[0]
1437,1.0,1.0,[0]
591,1.0,1.0,[0]
2015,1.0,1.0,[0]
565,1.0,1.0,[0]
793,1.0,1.0,[0]
712,1.0,1.0,[0]
1737,1.0,1.0,[0]
1234,1.0,1.0,[0]
363,1.0,1.0,[0]
1367,1.0,1.0,[0]
352,1.0,1.0,[0]
1963,1.0,1.0,[0]
1162,1.0,1.0,[0]
2410,1.0,1.0,[0]
477,1.0,1.0,[0]
1665,1.0,1.0,[0]
1039,1.0,1.0,[0]
1583,1.0,1.0,[0]
2411,1.0,1.0,[0]
558,1.0,1.0,[0]
1859,1.0,1.0,[0]
2316,1.0,1.0,[0]
2344,1.0,1.0,[0]
192,1.0,1.0,[0]
1531,1.0,1.0,[0]
1765,1.0,1.0,[0]
1038,1.0,1.0,[0]
1261,1.0,1.0,[0]
1009,1.0,1.0,[0]
1125,1.0,1.0,[0]
2098,1.0,1.0,[0]
1586,1.0,1.0,[0]
588,1.0,1.0,[0]
2236,1.0,1.0,[0]
2345,1.0,1.0,[0]
2580,1.0,1.0,[0]
693,1.0,1.0,[0]
1653,1.0,1.0,[0]
1411,1.0,1.0,[0]
1939,1.0,1.0,[0]
1881,1.0,1.0,[0]
1681,1.0,1.0,[0]
2076,1.0,1.0,[0]
1624,1.0,1.0,[0]
696,1.0,1.0,[0]
383,1.0,1.0,[0]
2536,1.0,1.0,[0]
2022,1.0,1.0,[0]
1729,1.0,1.0,[0]
820,1.0,1.0,[0]
2351,1.0,1.0,[0]
2570,1.0,1.0,[0]
49,1.0,1.0,[0]
716,1.0,1.0,[0]
1161,1.0,1.0,[0]
1115,1.0,1.0,[0]
1555,1.0,1.0,[0]
287,1.0,1.0,[0]
1124,1.0,1.0,[0]
344,1.0,1.0,[0]
1028,1.0,1.0,[0]
1941,1.0,1.0,[0]
1450,4.0,1.0,"[103, 156, 162, 166]"
1300,1.0,1.0,[63]
1983,1.0,1.0,[104]
21,1.0,1.0,[105]
74,1.0,1.0,[60]
1057,0.0,0.0,[]
406,0.0,0.0,[]
99,1.0,1.0,[77]
2459,1.0,1.0,[90]
338,0.0,0.0,[]
617,2.0,1.0,"[11, 16]"
187,0.0,0.0,[]
2365,1.0,1.0,[86]
2043,1.0,1.0,[135]
1641,0.0,0.0,[]
2276,0.0,0.0,[]
236,1.0,1.0,[170]
2244,3.0,0.0,"[161, 163, 176]"
692,0.0,0.0,[]
1720,2.0,1.0,"[9, 16]"
1850,1.0,1.0,[70]
1055,2.0,1.0,"[124, 134]"
2253,1.0,0.0,[181]
1978,3.0,1.0,"[81, 97, 100]"
23,0.0,0.0,[]
1644,3.0,1.0,"[69, 70, 71]"
2071,1.0,1.0,[166]
13,1.0,1.0,[152]
2377,1.0,0.0,[182]
2014,1.0,1.0,[38]
293,2.0,1.0,"[18, 22]"
1655,3.0,1.0,"[82, 84, 88]"
2585,2.0,1.0,"[64, 66]"
1798,2.0,1.0,"[106, 122]"
1290,1.0,1.0,[35]
2330,1.0,1.0,[73]
1831,3.0,1.0,"[130, 131, 133]"
597,3.0,1.0,"[7, 83, 84]"
934,1.0,1.0,[142]
2343,1.0,1.0,[20]
2501,1.0,1.0,[127]
720,2.0,1.0,"[22, 23]"
1933,1.0,1.0,[159]
377,0.0,0.0,[]
2193,0.0,0.0,[]
1594,1.0,1.0,[147]
234,1.0,1.0,[53]
2136,1.0,1.0,[77]
1173,1.0,1.0,[180]
569,1.0,1.0,[135]
1366,1.0,1.0,[181]
1824,0.0,0.0,[]
1547,2.0,0.0,"[172, 182]"
1749,1.0,0.0,[176]
482,1.0,1.0,[115]
756,1.0,1.0,[65]
2061,3.0,1.0,"[138, 150, 159]"
133,2.0,1.0,"[134, 145]"
650,1.0,1.0,[20]
2429,1.0,1.0,[4]
1497,0.0,0.0,[]
2511,0.0,0.0,[]
485,1.0,1.0,[59]
2556,1.0,1.0,[73]
933,2.0,1.0,"[19, 23]"
72,1.0,1.0,[23]
1680,1.0,1.0,[157]
845,0.0,0.0,[]
2277,1.0,1.0,[131]
997,1.0,1.0,[6]
2569,0.0,0.0,[]
1392,2.0,1.0,"[55, 61]"
1347,4.0,0.0,"[98, 145, 154, 163]"
1761,1.0,1.0,[82]
1541,0.0,0.0,[]
1309,1.0,1.0,[38]
346,1.0,1.0,[176]
1575,1.0,1.0,[65]
222,3.0,1.0,"[3, 7, 8]"
852,0.0,0.0,[]
256,1.0,1.0,[117]
1082,3.0,1.0,"[8, 10, 11]"
960,2.0,1.0,"[48, 57]"
195,2.0,1.0,"[46, 50]"
312,1.0,1.0,[25]
1163,2.0,1.0,"[4, 95]"
2324,2.0,1.0,"[37, 42]"
1731,0.0,0.0,[]
2121,3.0,1.0,"[74, 87, 89]"
2554,1.0,1.0,[107]
503,1.0,1.0,[69]
1077,1.0,1.0,[73]
1558,2.0,1.0,"[172, 177]"
811,3.0,1.0,"[12, 81, 91]"
785,2.0,1.0,"[90, 103]"
2216,1.0,1.0,[137]
798,1.0,1.0,[77]
2073,0.0,0.0,[]
1361,4.0,0.0,"[120, 163, 179, 181]"
1780,1.0,1.0,[100]
1044,0.0,0.0,[]
1614,1.0,1.0,[154]
457,2.0,1.0,"[32, 33]"
300,1.0,1.0,[67]
3,0.0,0.0,[]
2196,2.0,1.0,"[85, 101]"
288,1.0,1.0,[112]
951,2.0,1.0,"[126, 127]"
1112,1.0,1.0,[42]
106,2.0,1.0,"[43, 45]"
458,1.0,1.0,[21]
1808,0.0,0.0,[]
61,1.0,1.0,[148]
10,0.0,0.0,[]
428,0.0,0.0,[]
1314,1.0,1.0,[36]
832,1.0,1.0,[168]
642,1.0,1.0,[76]
1341,1.0,1.0,[155]
1572,2.0,1.0,"[65, 83]"
1284,1.0,1.0,[75]
884,2.0,1.0,"[27, 40]"
1266,4.0,1.0,"[45, 49, 50, 54]"
2292,1.0,1.0,[148]
184,0.0,0.0,[]
1989,0.0,0.0,[]
2550,4.0,1.0,"[48, 53, 56, 57]"
2108,1.0,1.0,[3]
434,0.0,0.0,[]
1951,1.0,1.0,[71]
324,1.0,1.0,[33]
1877,1.0,1.0,[61]
1545,2.0,1.0,"[66, 73]"
1613,1.0,1.0,[171]
43,0.0,0.0,[]
2200,2.0,1.0,"[85, 98]"
833,5.0,1.0,"[154, 161, 169, 173, 175]"
2502,1.0,1.0,[142]
531,2.0,1.0,"[5, 6]"
1638,2.0,1.0,"[8, 21]"
34,0.0,0.0,[]
2000,0.0,0.0,[]
1561,1.0,1.0,[118]
1262,3.0,1.0,"[107, 118, 137]"
207,1.0,1.0,[55]
2474,1.0,1.0,[70]
1902,1.0,1.0,[5]
836,0.0,0.0,[]
782,2.0,1.0,"[119, 123]"
1564,1.0,1.0,[161]
100,1.0,1.0,[8]
1573,1.0,1.0,[129]
1738,1.0,1.0,[163]
723,1.0,1.0,[41]
533,2.0,1.0,"[14, 17]"
209,1.0,1.0,[90]
2465,1.0,1.0,[65]
2496,0.0,0.0,[]
274,1.0,1.0,[138]
606,0.0,0.0,[]
963,2.0,1.0,"[36, 43]"
161,4.0,1.0,"[96, 100, 101, 102]"
573,0.0,0.0,[]
1126,3.0,1.0,"[34, 37, 38]"
465,2.0,1.0,"[63, 79]"
552,0.0,0.0,[]
780,1.0,1.0,[164]
2559,4.0,1.0,"[60, 94, 96, 99]"
1192,1.0,1.0,[26]
1905,0.0,0.0,[]
827,1.0,1.0,[176]
604,1.0,1.0,[178]
2066,0.0,0.0,[]
135,2.0,1.0,"[77, 112]"
1907,1.0,1.0,[15]
1355,0.0,0.0,[]
615,1.0,1.0,[4]
1030,1.0,1.0,[20]
1154,0.0,0.0,[]
1187,1.0,1.0,[160]
2290,0.0,0.0,[]
2026,0.0,0.0,[]
416,2.0,1.0,"[12, 14]"
1604,0.0,0.0,[]
1117,3.0,1.0,"[162, 175, 177]"
29,0.0,0.0,[]
447,0.0,0.0,[]
560,1.0,1.0,[46]
2349,2.0,1.0,"[22, 23]"
2165,3.0,1.0,"[15, 16, 17]"
2544,0.0,0.0,[]
483,1.0,1.0,[180]
1875,5.0,1.0,"[64, 90, 91, 93, 94]"
1733,0.0,0.0,[]
1313,0.0,0.0,[]
1593,0.0,0.0,[]
1947,5.0,1.0,"[3, 4, 5, 6, 7]"
999,0.0,0.0,[]
1035,0.0,0.0,[]
1484,1.0,0.0,[177]
1373,0.0,0.0,[]
75,0.0,0.0,[]
2305,0.0,0.0,[]
1630,0.0,0.0,[]
2294,4.0,1.0,"[15, 22, 26, 28]"
1485,0.0,0.0,[]
2190,1.0,1.0,[170]
2589,1.0,1.0,[40]
1916,1.0,1.0,[99]
1570,2.0,1.0,"[48, 54]"
1046,1.0,1.0,[128]
1792,4.0,1.0,"[49, 71, 85, 90]"
1123,1.0,1.0,[126]
2219,0.0,0.0,[]
1223,0.0,0.0,[]
2234,1.0,1.0,[118]
397,0.0,0.0,[]
165,0.0,0.0,[]
1527,1.0,1.0,[37]
20,0.0,0.0,[]
60,1.0,1.0,[166]
1477,0.0,0.0,[]
2548,2.0,1.0,"[164, 177]"
438,1.0,1.0,[110]
162,1.0,1.0,[135]
1508,3.0,1.0,"[54, 62, 72]"
1836,6.0,1.0,"[26, 27, 28, 29, 30, 32]"
93,1.0,1.0,[140]
2096,1.0,1.0,[1]
1685,1.0,0.0,[175]
237,5.0,1.0,"[80, 83, 86, 87, 88]"
2075,0.0,0.0,[]
478,1.0,1.0,[26]
501,2.0,1.0,"[167, 178]"
2045,2.0,1.0,"[76, 88]"
445,0.0,0.0,[]
2451,2.0,1.0,"[130, 154]"
1144,1.0,1.0,[44]
1339,0.0,0.0,[]
1054,1.0,1.0,[154]
311,2.0,1.0,"[54, 71]"
717,4.0,1.0,"[48, 55, 56, 61]"
2146,0.0,0.0,[]
1416,4.0,1.0,"[141, 144, 147, 148]"
867,1.0,1.0,[50]
2169,0.0,0.0,[]
2209,1.0,1.0,[52]
1201,1.0,0.0,[164]
2399,2.0,1.0,"[101, 114]"
2206,1.0,1.0,[119]
1100,0.0,0.0,[]
2257,0.0,0.0,[]
496,2.0,1.0,"[164, 170]"
1397,0.0,0.0,[]
786,2.0,1.0,"[136, 139]"
