,used,exhausted,rounds
1309,1.0,1.0,[0]
1105,1.0,1.0,[0]
1787,1.0,1.0,[0]
2451,1.0,1.0,[0]
1201,1.0,1.0,[0]
1965,1.0,1.0,[0]
1381,1.0,1.0,[0]
575,1.0,1.0,[0]
1580,1.0,1.0,[0]
1023,1.0,1.0,[0]
2153,1.0,1.0,[0]
2461,1.0,1.0,[0]
2110,1.0,1.0,[0]
2158,1.0,1.0,[0]
1808,1.0,1.0,[0]
839,1.0,1.0,[0]
605,1.0,1.0,[0]
1480,1.0,1.0,[0]
250,1.0,1.0,[0]
1241,1.0,1.0,[0]
2339,1.0,1.0,[0]
446,1.0,1.0,[0]
2112,1.0,1.0,[0]
871,1.0,1.0,[0]
2425,1.0,1.0,[0]
2023,1.0,1.0,[0]
1847,1.0,1.0,[0]
915,1.0,1.0,[0]
1438,1.0,1.0,[0]
480,1.0,1.0,[0]
391,1.0,1.0,[0]
1409,1.0,1.0,[0]
533,1.0,1.0,[0]
2502,1.0,1.0,[0]
304,1.0,1.0,[0]
2033,1.0,1.0,[0]
2231,1.0,1.0,[0]
1890,1.0,1.0,[0]
2428,1.0,1.0,[0]
2159,1.0,1.0,[0]
1586,1.0,1.0,[0]
2100,1.0,1.0,[0]
511,1.0,1.0,[0]
427,1.0,1.0,[0]
1227,1.0,1.0,[0]
645,1.0,1.0,[0]
1288,1.0,1.0,[0]
1437,1.0,1.0,[0]
1712,1.0,1.0,[0]
418,1.0,1.0,[0]
753,1.0,1.0,[0]
1924,1.0,1.0,[0]
1788,1.0,1.0,[0]
409,1.0,1.0,[0]
2080,1.0,1.0,[0]
903,1.0,1.0,[0]
2338,1.0,1.0,[0]
428,1.0,1.0,[0]
2173,1.0,1.0,[0]
485,1.0,1.0,[0]
519,1.0,1.0,[0]
2195,1.0,1.0,[0]
2495,1.0,1.0,[0]
646,1.0,1.0,[0]
1024,1.0,1.0,[0]
1205,1.0,1.0,[0]
1799,1.0,1.0,[0]
2003,1.0,1.0,[0]
1719,1.0,1.0,[0]
665,1.0,1.0,[0]
382,1.0,1.0,[0]
1911,1.0,1.0,[0]
1952,1.0,1.0,[0]
1391,1.0,1.0,[0]
2365,1.0,1.0,[0]
496,1.0,1.0,[0]
1875,1.0,1.0,[0]
721,1.0,1.0,[0]
1743,1.0,1.0,[0]
1666,1.0,1.0,[0]
1361,1.0,1.0,[0]
1445,1.0,1.0,[0]
917,1.0,1.0,[0]
1623,1.0,1.0,[0]
1707,1.0,1.0,[0]
2272,1.0,1.0,[0]
1988,1.0,1.0,[0]
1997,1.0,1.0,[0]
950,1.0,1.0,[0]
1102,1.0,1.0,[0]
312,1.0,1.0,[0]
214,1.0,1.0,[0]
150,1.0,1.0,[0]
1674,1.0,1.0,[0]
106,1.0,1.0,[0]
1116,1.0,1.0,[0]
1765,1.0,1.0,[0]
1958,1.0,1.0,[0]
971,1.0,1.0,[0]
430,1.0,1.0,[0]
389,1.0,1.0,[0]
2005,1.0,1.0,[0]
1783,1.0,1.0,[0]
1036,1.0,1.0,[0]
995,1.0,1.0,[0]
600,1.0,1.0,[0]
209,1.0,1.0,[0]
649,1.0,1.0,[0]
62,1.0,1.0,[0]
921,1.0,1.0,[0]
14,1.0,1.0,[0]
2137,1.0,1.0,[0]
218,1.0,1.0,[0]
94,1.0,1.0,[0]
2074,1.0,1.0,[0]
2161,1.0,1.0,[0]
942,1.0,1.0,[0]
2167,1.0,1.0,[0]
1934,1.0,1.0,[0]
29,1.0,1.0,[0]
2157,1.0,1.0,[0]
415,1.0,1.0,[0]
1803,1.0,1.0,[0]
614,1.0,1.0,[0]
1975,1.0,1.0,[0]
627,1.0,1.0,[0]
2302,1.0,1.0,[0]
1829,1.0,1.0,[0]
1628,1.0,1.0,[0]
951,4.0,1.0,"[79, 80, 88, 99]"
2244,0.0,0.0,[]
1811,1.0,1.0,[166]
888,1.0,1.0,[117]
408,0.0,0.0,[]
2288,0.0,0.0,[]
813,1.0,0.0,[167]
403,0.0,0.0,[]
1468,0.0,0.0,[]
1304,1.0,1.0,[156]
861,2.0,1.0,"[59, 70]"
955,0.0,0.0,[]
606,1.0,1.0,[123]
961,1.0,1.0,[16]
2436,0.0,0.0,[]
1117,0.0,0.0,[]
326,1.0,1.0,[66]
1328,0.0,0.0,[]
830,1.0,1.0,[167]
75,2.0,1.0,"[42, 68]"
1986,0.0,0.0,[]
426,0.0,0.0,[]
1563,4.0,1.0,"[57, 99, 101, 102]"
2199,3.0,1.0,"[100, 105, 110]"
2501,0.0,0.0,[]
647,0.0,0.0,[]
907,0.0,0.0,[]
2415,1.0,1.0,[143]
2029,3.0,1.0,"[51, 55, 66]"
2545,1.0,1.0,[161]
507,2.0,1.0,"[100, 127]"
2355,3.0,1.0,"[32, 36, 40]"
1212,0.0,0.0,[]
44,0.0,0.0,[]
2363,1.0,1.0,[27]
479,1.0,1.0,[47]
1827,3.0,1.0,"[115, 127, 130]"
734,3.0,1.0,"[96, 131, 136]"
1959,1.0,1.0,[11]
2307,1.0,1.0,[44]
2056,1.0,1.0,[129]
1143,2.0,1.0,"[13, 34]"
2117,1.0,1.0,[14]
556,0.0,0.0,[]
884,0.0,0.0,[]
1016,1.0,1.0,[121]
1557,1.0,1.0,[98]
1044,0.0,0.0,[]
235,1.0,1.0,[51]
2532,1.0,1.0,[12]
393,0.0,0.0,[]
2416,1.0,1.0,[86]
1326,3.0,1.0,"[158, 166, 173]"
2349,0.0,0.0,[]
1805,0.0,0.0,[]
36,1.0,1.0,[176]
1234,3.0,1.0,"[94, 97, 99]"
849,2.0,1.0,"[97, 140]"
2009,1.0,1.0,[22]
1754,1.0,1.0,[175]
1270,0.0,0.0,[]
867,2.0,1.0,"[110, 148]"
1904,1.0,1.0,[18]
877,1.0,1.0,[8]
337,2.0,1.0,"[97, 103]"
2025,0.0,0.0,[]
2414,1.0,1.0,[99]
953,4.0,1.0,"[103, 105, 108, 115]"
2327,1.0,1.0,[26]
1020,1.0,1.0,[141]
65,1.0,1.0,[112]
18,2.0,1.0,"[139, 153]"
1689,3.0,0.0,"[133, 165, 187]"
372,1.0,1.0,[33]
60,0.0,0.0,[]
260,1.0,1.0,[124]
1541,1.0,1.0,[29]
1579,1.0,1.0,[116]
2227,1.0,0.0,[187]
1254,2.0,1.0,"[91, 92]"
2221,1.0,1.0,[137]
2133,3.0,1.0,"[48, 79, 84]"
2538,2.0,1.0,"[26, 34]"
1663,2.0,1.0,"[62, 70]"
778,1.0,1.0,[31]
1703,2.0,1.0,"[19, 29]"
166,2.0,1.0,"[71, 77]"
2036,1.0,1.0,[183]
2569,3.0,1.0,"[91, 93, 106]"
1092,1.0,1.0,[95]
2374,1.0,1.0,[11]
2498,1.0,1.0,[167]
2264,2.0,1.0,"[128, 136]"
275,3.0,1.0,"[124, 134, 149]"
83,1.0,0.0,[167]
509,1.0,1.0,[17]
2130,1.0,1.0,[31]
703,3.0,1.0,"[106, 111, 119]"
1892,5.0,1.0,"[13, 18, 20, 22, 23]"
810,1.0,1.0,[160]
2055,0.0,0.0,[]
1127,1.0,1.0,[128]
1859,2.0,1.0,"[69, 73]"
2359,1.0,1.0,[35]
705,1.0,1.0,[177]
892,0.0,0.0,[]
1999,1.0,1.0,[2]
972,2.0,1.0,"[18, 21]"
2079,1.0,1.0,[110]
2149,0.0,0.0,[]
1571,1.0,1.0,[66]
2475,3.0,1.0,"[46, 62, 69]"
2390,1.0,1.0,[162]
1388,1.0,1.0,[46]
474,2.0,1.0,"[110, 135]"
1163,1.0,1.0,[29]
748,0.0,0.0,[]
1879,1.0,1.0,[112]
1771,1.0,1.0,[130]
1448,2.0,1.0,"[159, 167]"
1149,1.0,1.0,[176]
1812,2.0,1.0,"[88, 112]"
1705,4.0,1.0,"[108, 115, 125, 131]"
552,0.0,0.0,[]
1969,1.0,1.0,[46]
1842,6.0,1.0,"[42, 43, 47, 51, 53, 55]"
706,4.0,1.0,"[137, 142, 145, 172]"
2453,1.0,1.0,[124]
2407,3.0,1.0,"[116, 124, 125]"
1207,1.0,1.0,[154]
1891,1.0,1.0,[162]
2018,0.0,0.0,[]
1529,0.0,0.0,[]
1582,0.0,0.0,[]
2060,0.0,0.0,[]
800,2.0,1.0,"[185, 186]"
1845,5.0,1.0,"[123, 127, 143, 145, 150]"
299,1.0,1.0,[97]
504,2.0,1.0,"[144, 150]"
1133,0.0,0.0,[]
