,used,exhausted,rounds
2007,1.0,1.0,[0]
999,1.0,1.0,[0]
1880,1.0,1.0,[0]
2402,1.0,1.0,[0]
2560,1.0,1.0,[0]
1280,1.0,1.0,[0]
993,1.0,1.0,[0]
2354,1.0,1.0,[0]
1337,1.0,1.0,[0]
2281,1.0,1.0,[0]
1105,1.0,1.0,[0]
1320,1.0,1.0,[0]
1881,1.0,1.0,[0]
2572,1.0,1.0,[0]
1779,1.0,1.0,[0]
2001,1.0,1.0,[0]
961,1.0,1.0,[0]
337,1.0,1.0,[0]
195,1.0,1.0,[0]
334,1.0,1.0,[0]
1395,1.0,1.0,[0]
127,1.0,1.0,[0]
374,1.0,1.0,[0]
108,1.0,1.0,[0]
967,1.0,1.0,[0]
1032,1.0,1.0,[0]
144,1.0,1.0,[0]
1429,1.0,1.0,[0]
1610,1.0,1.0,[0]
2442,1.0,1.0,[0]
1637,1.0,1.0,[0]
794,1.0,1.0,[0]
2049,1.0,1.0,[0]
1641,1.0,1.0,[0]
2456,1.0,1.0,[0]
1512,1.0,1.0,[0]
2334,1.0,1.0,[0]
1141,1.0,1.0,[0]
1943,1.0,1.0,[0]
1559,1.0,1.0,[0]
976,1.0,1.0,[0]
1481,1.0,1.0,[0]
138,1.0,1.0,[0]
2453,1.0,1.0,[0]
1267,1.0,1.0,[0]
1447,1.0,1.0,[0]
1078,1.0,1.0,[0]
109,1.0,1.0,[0]
827,1.0,1.0,[0]
526,1.0,1.0,[0]
727,1.0,1.0,[0]
493,1.0,1.0,[0]
517,1.0,1.0,[0]
558,1.0,1.0,[0]
1491,1.0,1.0,[0]
1291,1.0,1.0,[0]
634,1.0,1.0,[0]
319,1.0,1.0,[0]
1206,1.0,1.0,[0]
983,1.0,1.0,[0]
1834,1.0,1.0,[0]
1772,1.0,1.0,[0]
1068,1.0,1.0,[0]
1138,1.0,1.0,[0]
2365,1.0,1.0,[0]
320,1.0,1.0,[0]
2527,1.0,1.0,[0]
2390,1.0,1.0,[0]
2190,1.0,1.0,[0]
1938,1.0,1.0,[0]
1972,1.0,1.0,[0]
1023,1.0,1.0,[0]
1309,1.0,1.0,[0]
1227,1.0,1.0,[0]
1094,1.0,1.0,[0]
150,1.0,1.0,[0]
2033,1.0,1.0,[0]
1469,1.0,1.0,[0]
1747,1.0,1.0,[0]
2416,1.0,1.0,[0]
617,1.0,1.0,[0]
1728,1.0,1.0,[0]
1581,1.0,1.0,[0]
312,1.0,1.0,[0]
757,1.0,1.0,[0]
759,1.0,1.0,[0]
808,1.0,1.0,[0]
2175,1.0,1.0,[0]
2112,1.0,1.0,[0]
2204,1.0,1.0,[0]
869,1.0,1.0,[0]
695,1.0,1.0,[0]
2542,1.0,1.0,[0]
1334,1.0,1.0,[0]
2206,1.0,1.0,[0]
1887,1.0,1.0,[0]
2450,1.0,1.0,[0]
1809,1.0,1.0,[0]
1371,1.0,1.0,[0]
483,1.0,1.0,[0]
1915,1.0,1.0,[0]
1177,1.0,1.0,[0]
1727,1.0,1.0,[0]
1669,1.0,1.0,[0]
207,1.0,1.0,[0]
1544,1.0,1.0,[0]
2533,1.0,1.0,[0]
643,1.0,1.0,[0]
351,1.0,1.0,[0]
2557,1.0,1.0,[0]
1306,1.0,1.0,[0]
429,1.0,1.0,[0]
1513,1.0,1.0,[0]
1464,1.0,1.0,[0]
1948,1.0,1.0,[0]
1935,1.0,1.0,[0]
563,1.0,1.0,[0]
1922,1.0,1.0,[0]
823,1.0,1.0,[0]
159,1.0,1.0,[0]
1974,1.0,1.0,[0]
253,1.0,1.0,[0]
1874,1.0,1.0,[0]
2015,1.0,1.0,[0]
99,1.0,1.0,[0]
2408,1.0,1.0,[0]
1635,1.0,1.0,[0]
360,1.0,1.0,[0]
2447,1.0,1.0,[0]
2296,0.0,0.0,[]
1222,0.0,0.0,[]
1426,0.0,0.0,[]
94,0.0,0.0,[]
2438,0.0,0.0,[]
2428,0.0,0.0,[]
1198,0.0,0.0,[]
932,0.0,0.0,[]
2041,0.0,0.0,[]
933,0.0,0.0,[]
2400,0.0,0.0,[]
1802,0.0,0.0,[]
1090,0.0,0.0,[]
1541,0.0,0.0,[]
1715,0.0,0.0,[]
1279,0.0,0.0,[]
1346,0.0,0.0,[]
1463,0.0,0.0,[]
2233,0.0,0.0,[]
646,0.0,0.0,[]
1002,0.0,0.0,[]
1312,0.0,0.0,[]
505,0.0,0.0,[]
1626,0.0,0.0,[]
446,0.0,0.0,[]
1828,0.0,0.0,[]
1265,0.0,0.0,[]
471,0.0,0.0,[]
660,0.0,0.0,[]
616,0.0,0.0,[]
17,0.0,0.0,[]
557,0.0,0.0,[]
1125,0.0,0.0,[]
1539,0.0,0.0,[]
2521,0.0,0.0,[]
437,0.0,0.0,[]
1961,0.0,0.0,[]
1580,0.0,0.0,[]
926,0.0,0.0,[]
1942,0.0,0.0,[]
876,0.0,0.0,[]
2394,0.0,0.0,[]
2344,0.0,0.0,[]
219,0.0,0.0,[]
622,0.0,0.0,[]
1075,0.0,0.0,[]
1771,0.0,0.0,[]
812,0.0,0.0,[]
888,0.0,0.0,[]
2051,0.0,0.0,[]
836,0.0,0.0,[]
1170,0.0,0.0,[]
205,0.0,0.0,[]
402,0.0,0.0,[]
1923,0.0,0.0,[]
1436,0.0,0.0,[]
1017,0.0,0.0,[]
2156,0.0,0.0,[]
137,0.0,0.0,[]
1908,0.0,0.0,[]
1517,0.0,0.0,[]
2014,0.0,0.0,[]
606,0.0,0.0,[]
1178,0.0,0.0,[]
2340,0.0,0.0,[]
520,0.0,0.0,[]
1753,0.0,0.0,[]
2127,0.0,0.0,[]
639,0.0,0.0,[]
2247,0.0,0.0,[]
2185,0.0,0.0,[]
981,0.0,0.0,[]
2274,0.0,0.0,[]
825,0.0,0.0,[]
1814,0.0,0.0,[]
939,0.0,0.0,[]
396,0.0,0.0,[]
2080,0.0,0.0,[]
1194,0.0,0.0,[]
492,0.0,0.0,[]
57,0.0,0.0,[]
892,0.0,0.0,[]
51,2.0,1.0,"[44, 45]"
552,2.0,1.0,"[46, 47]"
912,1.0,1.0,[48]
2059,2.0,1.0,"[49, 50]"
2364,2.0,1.0,"[51, 52]"
1787,1.0,1.0,[53]
746,3.0,1.0,"[54, 55, 56]"
1252,1.0,1.0,[57]
1383,1.0,1.0,[58]
2003,1.0,1.0,[59]
100,2.0,1.0,"[60, 61]"
1969,3.0,1.0,"[62, 63, 64]"
1220,2.0,1.0,"[65, 66]"
1327,1.0,1.0,[67]
2389,1.0,1.0,[68]
2497,3.0,1.0,"[69, 70, 71]"
2315,5.0,1.0,"[72, 73, 74, 75, 76]"
2287,1.0,1.0,[77]
846,4.0,1.0,"[78, 79, 80, 81]"
2483,1.0,1.0,[82]
1238,2.0,1.0,"[83, 84]"
170,1.0,1.0,[85]
1952,1.0,1.0,[86]
1445,2.0,1.0,"[87, 88]"
2403,1.0,1.0,[89]
1861,2.0,1.0,"[90, 91]"
1736,1.0,1.0,[92]
1061,2.0,1.0,"[93, 94]"
904,1.0,1.0,[95]
236,3.0,1.0,"[96, 97, 98]"
1079,1.0,1.0,[99]
2350,1.0,1.0,[100]
1844,2.0,1.0,"[101, 102]"
1744,1.0,1.0,[103]
1911,1.0,1.0,[104]
8,1.0,1.0,[105]
355,1.0,1.0,[106]
656,2.0,1.0,"[107, 108]"
972,1.0,1.0,[109]
2195,2.0,1.0,"[110, 111]"
1817,4.0,1.0,"[112, 113, 114, 115]"
2212,1.0,1.0,[116]
971,1.0,1.0,[117]
1262,6.0,1.0,"[118, 119, 120, 121, 122, 123]"
743,4.0,1.0,"[124, 125, 126, 127]"
285,1.0,1.0,[128]
474,3.0,1.0,"[129, 130, 131]"
2181,1.0,1.0,[132]
191,0.0,0.0,[]
378,0.0,0.0,[]
92,0.0,0.0,[]
906,0.0,0.0,[]
1636,0.0,0.0,[]
1739,0.0,0.0,[]
2345,0.0,0.0,[]
2045,0.0,0.0,[]
1933,0.0,0.0,[]
2303,0.0,0.0,[]
114,0.0,0.0,[]
2118,0.0,0.0,[]
1405,0.0,0.0,[]
1803,0.0,0.0,[]
1506,0.0,0.0,[]
2083,0.0,0.0,[]
930,0.0,0.0,[]
226,0.0,0.0,[]
1690,0.0,0.0,[]
33,0.0,0.0,[]
1531,0.0,0.0,[]
2302,0.0,0.0,[]
1122,0.0,0.0,[]
2537,0.0,0.0,[]
632,0.0,0.0,[]
136,0.0,0.0,[]
920,0.0,0.0,[]
1055,0.0,0.0,[]
1745,0.0,0.0,[]
1537,0.0,0.0,[]
1016,0.0,0.0,[]
783,0.0,0.0,[]
422,0.0,0.0,[]
55,0.0,0.0,[]
570,0.0,0.0,[]
1240,2.0,1.0,"[1, 2]"
2254,1.0,1.0,[3]
381,4.0,1.0,"[4, 5, 6, 7]"
2244,1.0,1.0,[8]
1378,1.0,1.0,[9]
1303,1.0,1.0,[10]
1590,1.0,1.0,[11]
1014,1.0,1.0,[12]
875,2.0,1.0,"[13, 14]"
2098,1.0,1.0,[15]
1084,1.0,1.0,[16]
1575,1.0,1.0,[17]
1674,1.0,1.0,[18]
1597,1.0,1.0,[19]
1568,1.0,1.0,[20]
76,5.0,1.0,"[21, 22, 23, 24, 25]"
