,used,exhausted,rounds
10,1.0,1.0,[0]
192,1.0,1.0,[0]
120,1.0,1.0,[0]
67,1.0,1.0,[0]
21,1.0,1.0,[0]
285,1.0,1.0,[0]
158,1.0,1.0,[0]
161,1.0,1.0,[0]
110,1.0,1.0,[0]
275,1.0,1.0,[0]
127,1.0,1.0,[0]
193,1.0,1.0,[0]
214,1.0,1.0,[0]
181,1.0,1.0,[0]
165,1.0,1.0,[0]
245,1.0,1.0,[0]
8,1.0,1.0,[0]
272,1.0,1.0,[0]
16,1.0,1.0,[0]
277,1.0,1.0,[0]
260,1.0,1.0,[0]
234,1.0,1.0,[0]
138,1.0,1.0,[0]
97,1.0,1.0,[0]
61,1.0,1.0,[0]
90,1.0,1.0,[0]
149,1.0,1.0,[0]
208,1.0,1.0,[0]
71,1.0,1.0,[0]
147,1.0,1.0,[0]
48,0.0,0.0,[]
131,0.0,0.0,[]
99,0.0,0.0,[]
20,0.0,0.0,[]
113,0.0,0.0,[]
183,2.0,1.0,"[19, 20]"
139,0.0,0.0,[]
135,0.0,0.0,[]
249,0.0,0.0,[]
276,0.0,0.0,[]
206,1.0,1.0,[3]
152,2.0,1.0,"[4, 5]"
45,1.0,1.0,[6]
250,4.0,1.0,"[7, 8, 9, 10]"
227,2.0,1.0,"[11, 12]"
51,1.0,1.0,[13]
225,2.0,1.0,"[14, 15]"
210,1.0,1.0,[16]
73,2.0,0.0,"[17, 18]"
12,0.0,0.0,[]
47,1.0,1.0,[1]
273,1.0,0.0,[2]
186,0.0,0.0,[]
211,0.0,0.0,[]
46,0.0,0.0,[]
297,0.0,0.0,[]
65,0.0,0.0,[]
130,0.0,0.0,[]
166,0.0,0.0,[]
190,0.0,0.0,[]
175,0.0,0.0,[]
236,0.0,0.0,[]
104,0.0,0.0,[]
164,1.0,1.0,[18]
270,0.0,0.0,[]
84,0.0,0.0,[]
148,0.0,0.0,[]
60,0.0,0.0,[]
18,0.0,0.0,[]
82,0.0,0.0,[]
108,1.0,1.0,[11]
27,1.0,1.0,[12]
261,0.0,0.0,[]
221,1.0,1.0,[13]
157,0.0,0.0,[]
201,2.0,0.0,"[14, 15]"
145,1.0,1.0,[16]
98,1.0,1.0,[19]
132,1.0,1.0,[17]
172,2.0,1.0,"[2, 18]"
33,1.0,1.0,[20]
280,0.0,0.0,[]
286,0.0,0.0,[]
200,0.0,0.0,[]
31,1.0,0.0,[19]
2,1.0,1.0,[20]
217,0.0,0.0,[]
11,0.0,0.0,[]
22,0.0,0.0,[]
96,1.0,1.0,[8]
290,1.0,1.0,[9]
25,1.0,1.0,[10]
254,0.0,0.0,[]
269,1.0,1.0,[11]
156,0.0,0.0,[]
42,1.0,1.0,[12]
248,0.0,0.0,[]
213,1.0,1.0,[3]
126,0.0,0.0,[]
231,1.0,1.0,[4]
134,2.0,1.0,"[5, 13]"
198,2.0,0.0,"[1, 6]"
291,1.0,1.0,[2]
141,1.0,1.0,[7]
246,1.0,0.0,[8]
215,1.0,1.0,[9]
117,2.0,1.0,"[14, 15]"
118,1.0,1.0,[10]
119,1.0,0.0,[19]
229,1.0,1.0,[16]
55,1.0,1.0,[11]
93,2.0,0.0,"[4, 20]"
136,1.0,1.0,[5]
4,1.0,0.0,[19]
197,1.0,1.0,[6]
85,1.0,1.0,[12]
203,1.0,1.0,[7]
243,2.0,0.0,"[17, 20]"
101,1.0,1.0,[8]
177,2.0,0.0,"[18, 19]"
9,2.0,1.0,"[9, 20]"
75,1.0,0.0,[13]
102,1.0,1.0,[10]
121,0.0,0.0,[]
36,0.0,0.0,[]
116,2.0,0.0,"[14, 15]"
279,1.0,1.0,[11]
159,0.0,0.0,[]
241,1.0,0.0,[16]
87,0.0,0.0,[]
143,1.0,1.0,[3]
41,1.0,1.0,[7]
56,1.0,1.0,[12]
199,1.0,1.0,[4]
64,1.0,0.0,[19]
72,2.0,1.0,"[3, 5]"
207,1.0,1.0,[8]
264,1.0,1.0,[17]
238,1.0,1.0,[4]
282,2.0,1.0,"[3, 6]"
242,1.0,1.0,[20]
34,1.0,1.0,[1]
123,1.0,1.0,[5]
295,3.0,1.0,"[2, 4, 9]"
43,2.0,1.0,"[7, 18]"
247,1.0,1.0,[13]
222,4.0,0.0,"[5, 6, 10, 16]"
5,1.0,1.0,[8]
122,1.0,0.0,[19]
218,1.0,1.0,[7]
32,2.0,1.0,"[6, 20]"
219,3.0,0.0,"[14, 15, 17]"
92,2.0,0.0,"[9, 11]"
70,1.0,1.0,[7]
146,3.0,1.0,"[8, 16, 18]"
58,0.0,0.0,[]
94,1.0,1.0,[10]
66,1.0,0.0,[3]
114,1.0,1.0,[8]
253,2.0,1.0,"[9, 12]"
262,2.0,0.0,"[4, 17]"
256,0.0,0.0,[]
78,2.0,1.0,"[1, 10]"
220,1.0,1.0,[3]
176,1.0,1.0,[2]
209,3.0,1.0,"[5, 9, 11]"
137,1.0,0.0,[18]
1,1.0,1.0,[6]
244,1.0,1.0,[4]
294,0.0,0.0,[]
100,2.0,1.0,"[6, 10]"
124,0.0,0.0,[]
267,2.0,1.0,"[5, 7]"
239,1.0,0.0,[13]
259,1.0,1.0,[1]
292,1.0,1.0,[7]
151,1.0,1.0,[11]
212,1.0,1.0,[2]
115,1.0,1.0,[6]
17,1.0,1.0,[12]
38,0.0,0.0,[]
153,0.0,0.0,[]
74,2.0,0.0,"[8, 11]"
169,1.0,1.0,[7]
196,1.0,1.0,[14]
298,3.0,1.0,"[1, 8, 12]"
13,1.0,0.0,[15]
287,0.0,0.0,[]
202,1.0,1.0,[2]
19,1.0,1.0,[9]
40,2.0,1.0,"[13, 16]"
160,1.0,1.0,[9]
268,1.0,1.0,[8]
178,1.0,0.0,[12]
57,0.0,0.0,[]
15,1.0,1.0,[10]
278,0.0,0.0,[]
271,1.0,1.0,[10]
194,1.0,1.0,[9]
184,1.0,1.0,[14]
180,2.0,1.0,"[13, 17]"
86,1.0,0.0,[15]
53,0.0,0.0,[]
91,2.0,1.0,"[10, 16]"
81,1.0,1.0,[10]
223,1.0,1.0,[13]
182,1.0,1.0,[11]
80,2.0,0.0,"[14, 18]"
44,1.0,0.0,[11]
191,1.0,1.0,[15]
140,0.0,0.0,[]
39,2.0,1.0,"[8, 14]"
283,0.0,0.0,[]
233,1.0,1.0,[1]
195,2.0,1.0,"[11, 12]"
144,2.0,1.0,"[11, 16]"
107,1.0,1.0,[12]
265,3.0,1.0,"[2, 15, 17]"
109,1.0,1.0,[9]
52,0.0,0.0,[]
274,0.0,0.0,[]
252,1.0,0.0,[16]
168,2.0,0.0,"[12, 18]"
35,2.0,1.0,"[12, 17]"
7,0.0,0.0,[]
188,1.0,1.0,[10]
26,1.0,0.0,[13]
266,2.0,0.0,"[1, 19]"
174,1.0,1.0,[13]
88,2.0,0.0,"[17, 20]"
112,1.0,1.0,[18]
189,1.0,0.0,[2]
162,1.0,1.0,[3]
0,1.0,1.0,[14]
83,2.0,1.0,"[13, 19]"
29,1.0,1.0,[13]
179,1.0,0.0,[14]
68,1.0,1.0,[1]
30,2.0,1.0,"[4, 11]"
289,1.0,1.0,[3]
63,2.0,0.0,"[18, 20]"
3,1.0,1.0,[15]
232,1.0,1.0,[2]
204,0.0,0.0,[]
79,1.0,1.0,[5]
185,1.0,1.0,[1]
226,1.0,1.0,[15]
59,1.0,1.0,[4]
258,1.0,0.0,[14]
54,1.0,1.0,[14]
111,0.0,0.0,[]
28,4.0,1.0,"[2, 6, 12, 16]"
163,1.0,1.0,[5]
49,1.0,1.0,[3]
284,1.0,0.0,[19]
173,2.0,0.0,"[15, 16]"
251,1.0,1.0,[15]
228,3.0,1.0,"[3, 19, 20]"
150,1.0,1.0,[7]
224,1.0,1.0,[6]
296,1.0,1.0,[4]
257,0.0,0.0,[]
293,1.0,1.0,[20]
95,0.0,0.0,[]
14,2.0,1.0,"[4, 16]"
142,2.0,0.0,"[16, 17]"
77,1.0,1.0,[5]
240,2.0,1.0,"[7, 13]"
23,2.0,1.0,"[3, 19]"
230,1.0,0.0,[17]
89,1.0,1.0,[5]
155,1.0,1.0,[8]
24,0.0,0.0,[]
281,1.0,1.0,[20]
167,1.0,1.0,[1]
128,1.0,1.0,[6]
69,1.0,1.0,[4]
299,2.0,1.0,"[3, 18]"
154,1.0,1.0,[1]
125,1.0,1.0,[19]
37,1.0,1.0,[17]
50,1.0,1.0,[6]
76,1.0,1.0,[2]
187,2.0,1.0,"[8, 14]"
6,1.0,1.0,[9]
235,1.0,1.0,[5]
288,2.0,1.0,"[2, 4]"
105,1.0,1.0,[17]
129,1.0,1.0,[1]
