,used,exhausted,rounds,theor
464,1,1,[-1],1
1735,1,1,[-1],2
2448,1,1,[-1],3
1942,1,1,[-1],2
139,1,1,[-1],1
2534,1,1,[-1],1
2498,1,1,[-1],1
1371,1,1,[-1],1
2453,1,1,[-1],1
763,1,1,[-1],1
2357,1,1,[-1],1
220,1,1,[-1],2
2705,1,1,[-1],1
1855,1,1,[-1],2
1203,1,1,[-1],1
1779,1,1,[-1],3
603,1,1,[-1],1
2548,1,1,[-1],1
1016,1,1,[-1],4
2229,1,1,[-1],5
2586,1,1,[-1],2
2734,1,1,[-1],3
2370,1,1,[-1],1
410,1,1,[-1],1
171,1,1,[-1],1
2407,1,1,[-1],2
529,1,1,[-1],1
2051,1,1,[-1],1
1722,1,1,[-1],1
2660,1,1,[-1],1
2661,1,1,[-1],1
65,1,1,[-1],3
1712,1,1,[-1],2
268,1,1,[-1],1
1152,1,1,[-1],1
1941,1,1,[-1],2
120,1,1,[-1],3
1075,1,1,[-1],1
445,1,1,[-1],1
1496,1,1,[-1],6
22,1,1,[-1],1
1535,1,1,[-1],2
1243,1,1,[-1],1
2012,1,1,[-1],4
6,1,1,[-1],2
299,1,1,[-1],1
121,1,1,[-1],2
2035,1,1,[-1],1
2481,1,1,[-1],4
1539,1,1,[-1],1
1999,1,1,[-1],1
1845,1,1,[-1],2
2457,1,1,[-1],1
1207,1,1,[-1],2
2587,1,1,[-1],4
476,1,1,[-1],3
2206,1,1,[-1],2
2544,1,1,[-1],1
833,1,1,[-1],2
2175,1,1,[-1],6
221,1,1,[-1],6
868,1,1,[-1],4
383,1,1,[-1],2
2568,1,1,[-1],1
1606,1,1,[-1],2
307,1,1,[-1],1
1069,1,1,[-1],4
1043,1,1,[-1],1
1220,1,1,[-1],2
1936,1,1,[-1],2
1625,1,1,[-1],1
1778,1,1,[-1],1
674,1,1,[-1],2
1190,1,1,[-1],1
2130,1,1,[-1],2
1745,1,1,[-1],3
697,1,1,[-1],1
777,1,1,[-1],1
351,1,1,[-1],1
2367,1,1,[-1],2
1170,1,1,[-1],1
2491,1,1,[-1],5
2077,1,1,[-1],1
2216,1,1,[-1],1
1580,1,1,[-1],2
2411,1,1,[-1],1
1281,1,1,[-1],1
114,1,1,[-1],1
1506,1,1,[-1],4
1181,1,1,[-1],1
192,1,1,[-1],1
1704,1,1,[-1],1
2257,1,1,[-1],4
706,1,1,[-1],1
1801,1,1,[-1],1
954,1,1,[-1],1
18,1,1,[-1],3
2711,1,1,[-1],1
331,1,1,[-1],1
751,1,1,[-1],1
626,1,1,[-1],2
1852,1,1,[-1],4
979,1,1,[-1],1
2299,1,1,[-1],1
1568,1,1,[-1],2
2463,1,1,[-1],1
2613,1,1,[-1],2
897,1,1,[-1],1
2001,1,1,[-1],2
1771,1,1,[-1],1
599,1,1,[-1],1
37,1,1,[-1],7
893,1,1,[-1],1
1138,1,1,[-1],2
662,1,1,[-1],1
2630,1,1,[-1],1
2656,1,1,[-1],1
1202,1,1,[-1],4
655,1,1,[-1],1
2437,1,1,[-1],3
2565,1,1,[-1],2
124,1,1,[-1],2
2176,1,1,[-1],1
1363,1,1,[-1],1
2157,1,1,[-1],4
499,1,1,[-1],3
2039,1,1,[-1],1
1594,1,1,[-1],3
534,1,1,[-1],3
2625,1,1,[-1],4
453,1,1,[-1],1
136,1,1,[-1],1
1549,1,1,[-1],1
2135,1,1,[-1],1
1881,1,1,[-1],2
2239,1,1,[-1],2
695,1,1,[-1],1
1143,1,1,[-1],1
798,1,1,[-1],1
1135,1,1,[-1],2
2704,1,1,[-1],1
2160,1,1,[-1],1
913,1,1,[-1],1
2727,1,1,[-1],3
2465,1,1,[-1],2
1324,1,1,[-1],1
2566,1,1,[-1],5
1248,1,1,[-1],1
2027,1,1,[-1],2
851,1,1,[-1],1
754,1,1,[-1],2
610,1,1,[-1],4
660,1,1,[-1],3
1527,1,1,[-1],1
2492,1,1,[-1],3
1981,1,1,[-1],1
486,1,1,[-1],1
1599,1,1,[-1],3
1242,1,1,[-1],1
1048,1,1,[-1],2
1905,1,1,[-1],3
841,1,1,[-1],2
492,1,1,[-1],2
1249,1,1,[-1],1
2418,1,1,[-1],1
2513,1,1,[-1],3
29,1,1,[-1],3
2307,1,1,[-1],1
345,1,1,[-1],1
1924,1,1,[-1],1
1155,1,1,[-1],2
615,1,1,[-1],1
311,1,1,[-1],2
440,1,1,[-1],3
2584,1,1,[-1],1
887,1,1,[-1],1
1254,1,1,[-1],1
2466,1,1,[-1],1
2652,1,1,[-1],1
1573,1,1,[-1],1
799,1,1,[-1],1
512,1,1,[-1],3
296,1,1,[-1],5
455,1,1,[-1],1
390,1,1,[-1],1
1508,1,1,[-1],3
1624,1,1,[-1],2
2283,1,1,[-1],1
1951,1,1,[-1],1
2779,1,1,[-1],1
1058,1,1,[-1],2
930,1,1,[-1],1
1013,1,1,[-1],1
1629,1,1,[-1],2
2054,1,1,[-1],1
1154,1,1,[-1],1
2381,1,1,[-1],4
332,1,1,[-1],1
647,1,1,[-1],1
737,1,1,[-1],1
328,1,1,[-1],2
232,1,1,[-1],5
1446,1,1,[-1],1
1420,1,1,[-1],2
2562,1,1,[-1],1
1295,1,1,[-1],1
792,1,1,[-1],1
1452,1,1,[-1],3
2409,1,1,[-1],2
1134,1,1,[-1],1
183,1,1,[-1],3
256,1,1,[-1],2
984,1,1,[-1],2
1347,1,1,[-1],1
2231,1,1,[-1],2
2532,1,1,[-1],2
1988,1,1,[-1],1
978,1,1,[-1],3
1386,1,1,[-1],1
2170,1,1,[-1],1
2055,1,1,[-1],1
586,1,1,[-1],2
1614,1,1,[-1],3
2795,1,1,[-1],2
1180,1,1,[-1],1
2479,1,1,[-1],1
1095,1,1,[-1],3
1082,1,1,[-1],5
899,1,1,[-1],1
2794,1,1,[-1],4
835,1,1,[-1],1
964,1,1,[-1],2
9,1,1,[-1],1
1421,1,1,[-1],1
1218,1,1,[-1],2
255,1,1,[-1],1
1782,1,1,[-1],2
1201,1,1,[-1],1
75,1,1,[-1],2
343,1,1,[-1],1
1805,1,1,[-1],3
1769,1,1,[-1],1
2078,1,1,[-1],1
1436,1,1,[-1],2
1214,1,1,[-1],1
1753,1,1,[-1],1
885,1,1,[-1],1
804,1,1,[-1],1
929,1,1,[-1],2
2064,1,1,[-1],1
1434,1,1,[-1],2
2400,1,1,[-1],4
2732,1,1,[-1],1
1344,1,1,[-1],1
2410,1,1,[-1],6
53,1,1,[-1],4
237,1,1,[-1],1
2026,1,1,[-1],3
2264,1,1,[-1],1
848,1,1,[-1],1
1253,1,1,[-1],1
419,1,1,[-1],2
1005,1,1,[-1],1
659,1,1,[-1],5
1560,1,1,[-1],2
444,1,1,[-1],5
2595,1,1,[-1],1
2181,1,1,[-1],2
2379,1,1,[-1],2
13,1,1,[-1],5
1684,1,1,[-1],1
1514,1,1,[-1],1
467,1,1,[-1],3
831,1,1,[-1],1
2398,1,1,[-1],1
170,1,1,[-1],1
2048,1,1,[-1],1
2435,1,1,[-1],2
1947,1,1,[-1],1
8,1,1,[-1],1
2100,0,0,[],1
19,0,0,[],1
2256,0,0,[],1
52,0,0,[],2
1057,0,0,[],1
266,0,0,[],1
2769,0,0,[],2
2163,0,0,[],1
2542,0,0,[],1
2740,0,0,[],2
1717,0,0,[],4
384,0,0,[],4
1291,0,0,[],3
1767,0,0,[],2
837,0,0,[],2
1379,0,0,[],1
1883,0,0,[],4
1417,0,0,[],1
2485,0,0,[],1
1147,0,0,[],1
1241,0,0,[],1
691,0,0,[],1
902,0,0,[],2
2223,0,0,[],1
1577,0,0,[],1
1410,0,0,[],1
2440,0,0,[],1
882,0,0,[],1
2490,0,0,[],1
2032,0,0,[],5
1428,0,0,[],7
1879,0,0,[],2
2364,0,0,[],1
1412,0,0,[],3
166,0,0,[],1
1162,0,0,[],2
1758,0,0,[],1
2700,0,0,[],2
1660,0,0,[],3
2049,0,0,[],1
425,0,0,[],1
1526,0,0,[],5
2783,0,0,[],1
2541,0,0,[],4
2420,0,0,[],1
621,0,0,[],5
1555,0,0,[],2
1673,0,0,[],1
1398,0,0,[],3
59,0,0,[],3
129,0,0,[],1
2134,0,0,[],2
2551,0,0,[],1
1232,0,0,[],4
990,0,0,[],3
2745,0,0,[],1
1407,0,0,[],1
287,0,0,[],1
1943,0,0,[],2
2553,0,0,[],1
481,0,0,[],4
27,0,0,[],1
2729,0,0,[],1
1537,0,0,[],1
983,0,0,[],1
1691,0,0,[],2
1360,0,0,[],3
781,0,0,[],1
2293,0,0,[],11
1529,0,0,[],1
400,0,0,[],1
164,0,0,[],2
862,0,0,[],1
2131,0,0,[],1
349,0,0,[],3
1970,0,0,[],6
277,0,0,[],1
558,0,0,[],1
275,0,0,[],4
2747,0,0,[],5
1439,0,0,[],1
2204,0,0,[],1
1510,0,0,[],2
1759,0,0,[],2
949,0,0,[],2
1543,0,0,[],2
1463,0,0,[],1
2474,0,0,[],3
184,0,0,[],1
1367,0,0,[],2
430,0,0,[],4
1834,0,0,[],2
1847,0,0,[],4
1313,0,0,[],1
1346,0,0,[],1
2228,0,0,[],1
1825,0,0,[],3
436,0,0,[],2
49,0,0,[],1
152,0,0,[],2
2690,0,0,[],3
961,0,0,[],2
293,0,0,[],1
2682,0,0,[],2
960,0,0,[],1
429,0,0,[],1
323,0,0,[],4
490,0,0,[],2
952,0,0,[],1
1910,0,0,[],1
2623,0,0,[],1
2122,0,0,[],1
2133,0,0,[],1
1269,0,0,[],1
995,0,0,[],1
23,0,0,[],4
827,0,0,[],1
1402,0,0,[],4
2557,0,0,[],3
1856,0,0,[],5
2335,0,0,[],2
1126,0,0,[],1
722,0,0,[],2
457,0,0,[],5
2280,0,0,[],2
591,0,0,[],1
940,0,0,[],3
1321,0,0,[],1
2707,0,0,[],6
2699,0,0,[],1
246,0,0,[],1
2396,0,0,[],1
947,0,0,[],1
1418,0,0,[],1
1925,0,0,[],1
2461,0,0,[],1
1372,0,0,[],1
305,0,0,[],1
231,0,0,[],1
643,0,0,[],4
38,0,0,[],1
742,0,0,[],4
988,0,0,[],1
1990,0,0,[],2
2612,0,0,[],1
388,0,0,[],1
363,0,0,[],1
2013,0,0,[],1
2390,0,0,[],2
272,0,0,[],1
2009,0,0,[],7
2619,0,0,[],1
2,0,0,[],1
1979,0,0,[],1
203,0,0,[],1
1477,0,0,[],1
2593,0,0,[],2
951,0,0,[],3
1261,0,0,[],3
491,0,0,[],1
871,0,0,[],1
1916,0,0,[],2
681,0,0,[],1
2017,0,0,[],1
2183,0,0,[],1
2754,0,0,[],1
2220,0,0,[],4
1932,0,0,[],2
1274,0,0,[],2
130,0,0,[],3
1867,0,0,[],1
1509,0,0,[],1
209,0,0,[],1
1067,0,0,[],2
2347,0,0,[],1
2454,0,0,[],1
250,0,0,[],1
2140,0,0,[],2
2123,0,0,[],4
2689,0,0,[],1
2153,0,0,[],1
1643,0,0,[],3
1116,0,0,[],3
1957,0,0,[],1
336,0,0,[],1
1148,0,0,[],1
153,0,0,[],2
1059,0,0,[],2
2523,0,0,[],1
500,0,0,[],1
2209,0,0,[],2
1680,0,0,[],6
1938,0,0,[],1
645,0,0,[],2
2489,0,0,[],2
87,0,0,[],1
1842,0,0,[],1
353,0,0,[],3
1027,0,0,[],4
1123,0,0,[],5
2047,0,0,[],2
103,0,0,[],1
2800,0,0,[],1
1358,0,0,[],3
2678,0,0,[],1
713,0,0,[],1
489,0,0,[],1
2484,0,0,[],3
1948,0,0,[],1
2310,0,0,[],1
575,0,0,[],6
222,0,0,[],2
1216,0,0,[],1
484,0,0,[],1
528,0,0,[],1
2344,0,0,[],2
2057,0,0,[],1
2166,0,0,[],1
2531,0,0,[],2
2121,0,0,[],1
