,used,exhausted,rounds
157,1,1,[-1]
152,1,1,[-1]
15,1,1,[-1]
505,1,1,[-1]
492,1,1,[-1]
219,1,1,[-1]
854,1,1,[-1]
61,1,1,[-1]
327,1,1,[-1]
570,1,1,[-1]
187,1,1,[-1]
605,1,1,[-1]
872,1,1,[-1]
807,1,1,[-1]
549,1,1,[-1]
386,1,1,[-1]
799,1,1,[-1]
891,1,1,[-1]
230,1,1,[-1]
339,1,1,[-1]
199,1,1,[-1]
843,1,1,[-1]
695,1,1,[-1]
30,1,1,[-1]
795,1,1,[-1]
693,1,1,[-1]
315,1,1,[-1]
856,1,1,[-1]
271,1,1,[-1]
749,1,1,[-1]
494,1,1,[-1]
826,1,1,[-1]
700,1,1,[-1]
608,1,1,[-1]
720,1,1,[-1]
432,1,1,[-1]
254,1,1,[-1]
238,1,1,[-1]
557,1,1,[-1]
789,1,1,[-1]
584,1,1,[-1]
368,1,1,[-1]
470,1,1,[-1]
346,1,1,[-1]
811,1,1,[-1]
527,1,1,[-1]
498,1,1,[-1]
703,1,1,[-1]
729,1,1,[-1]
34,1,1,[-1]
724,1,1,[-1]
539,1,1,[-1]
122,1,1,[-1]
170,1,1,[-1]
85,1,1,[-1]
748,1,1,[-1]
661,1,1,[-1]
248,1,1,[-1]
337,1,1,[-1]
272,1,1,[-1]
110,1,1,[-1]
529,1,1,[-1]
713,1,1,[-1]
459,1,1,[-1]
364,1,1,[-1]
472,1,1,[-1]
701,1,1,[-1]
892,1,1,[-1]
741,1,1,[-1]
361,1,1,[-1]
538,1,1,[-1]
8,1,1,[-1]
694,1,1,[-1]
421,1,1,[-1]
463,1,1,[-1]
347,1,1,[-1]
777,1,1,[-1]
623,1,1,[-1]
312,1,1,[-1]
908,1,1,[-1]
576,1,1,[-1]
536,1,1,[-1]
653,1,1,[-1]
396,1,1,[-1]
794,1,1,[-1]
704,1,1,[-1]
467,1,1,[-1]
791,1,1,[-1]
489,1,1,[-1]
156,1,1,[-1]
515,1,1,[-1]
151,1,1,[-1]
606,1,1,[243]
542,2,1,"[240, 241]"
50,3,1,"[233, 234, 235]"
850,3,1,"[236, 237, 238]"
462,2,1,"[239, 242]"
567,1,1,[221]
229,1,1,[222]
280,1,1,[223]
780,1,1,[224]
247,1,1,[225]
197,1,1,[188]
913,1,1,[189]
296,1,1,[190]
786,1,1,[191]
876,1,1,[192]
730,1,1,[193]
141,1,1,[194]
200,1,1,[195]
917,1,1,[196]
639,1,1,[197]
910,2,1,"[118, 119]"
523,2,1,"[120, 121]"
130,2,1,"[122, 123]"
52,2,1,"[124, 125]"
99,2,1,"[126, 127]"
886,2,1,"[128, 129]"
841,2,1,"[130, 131]"
359,2,1,"[132, 133]"
452,2,1,"[134, 135]"
308,2,1,"[136, 137]"
201,2,1,"[138, 139]"
113,2,1,"[140, 141]"
409,2,1,"[142, 143]"
394,2,1,"[144, 145]"
776,2,1,"[146, 147]"
54,2,1,"[148, 149]"
165,2,1,"[150, 151]"
603,2,1,"[152, 153]"
593,2,1,"[154, 155]"
853,2,1,"[156, 157]"
93,2,1,"[158, 159]"
712,2,1,"[1, 2]"
894,2,1,"[3, 4]"
112,2,1,"[5, 6]"
783,2,1,"[7, 8]"
62,2,1,"[9, 10]"
90,2,1,"[11, 12]"
686,2,1,"[13, 14]"
559,2,1,"[15, 16]"
410,2,1,"[17, 18]"
915,2,1,"[19, 20]"
329,2,1,"[21, 22]"
179,2,1,"[23, 24]"
502,2,1,"[25, 26]"
124,2,1,"[27, 28]"
284,2,1,"[29, 30]"
222,2,1,"[31, 32]"
451,2,1,"[33, 34]"
547,2,1,"[35, 36]"
167,2,1,"[37, 38]"
893,2,1,"[39, 40]"
880,2,1,"[41, 42]"
435,2,1,"[43, 44]"
