,used,exhausted,rounds
780,1,1,[-1]
22,1,1,[-1]
782,1,1,[-1]
386,1,1,[-1]
193,1,1,[-1]
174,1,1,[-1]
508,1,1,[-1]
153,1,1,[-1]
692,1,1,[-1]
362,1,1,[-1]
744,1,1,[-1]
336,1,1,[-1]
454,1,1,[-1]
511,1,1,[-1]
156,1,1,[-1]
739,1,1,[-1]
203,1,1,[-1]
496,1,1,[-1]
881,1,1,[-1]
337,1,1,[-1]
850,1,1,[-1]
395,1,1,[-1]
369,1,1,[-1]
760,1,1,[-1]
857,1,1,[-1]
570,1,1,[-1]
227,1,1,[-1]
628,1,1,[-1]
603,1,1,[-1]
267,1,1,[-1]
472,1,1,[-1]
916,1,1,[-1]
271,1,1,[-1]
903,1,1,[-1]
559,1,1,[-1]
196,1,1,[-1]
73,1,1,[-1]
216,1,1,[-1]
295,1,1,[-1]
241,1,1,[-1]
494,1,1,[-1]
453,1,1,[-1]
7,1,1,[-1]
56,1,1,[-1]
621,1,1,[-1]
831,1,1,[-1]
873,1,1,[-1]
613,1,1,[-1]
532,1,1,[-1]
208,1,1,[-1]
194,1,1,[-1]
74,1,1,[-1]
846,1,1,[-1]
71,1,1,[-1]
182,1,1,[-1]
906,1,1,[-1]
642,1,1,[-1]
40,1,1,[-1]
539,1,1,[-1]
429,1,1,[-1]
108,1,1,[-1]
788,1,1,[-1]
626,1,1,[-1]
344,1,1,[-1]
896,1,1,[-1]
225,1,1,[-1]
569,1,1,[-1]
659,1,1,[-1]
254,1,1,[-1]
280,1,1,[-1]
162,1,1,[-1]
644,1,1,[-1]
226,1,1,[-1]
534,1,1,[-1]
549,1,1,[-1]
179,1,1,[-1]
117,1,1,[-1]
650,1,1,[-1]
819,1,1,[-1]
593,1,1,[-1]
16,1,1,[-1]
308,1,1,[-1]
756,1,1,[-1]
186,1,1,[-1]
867,1,1,[-1]
493,1,1,[-1]
304,1,1,[-1]
720,1,1,[-1]
840,1,1,[-1]
542,1,1,[-1]
664,1,1,[-1]
521,1,1,[-1]
883,1,1,[66]
364,1,1,[182]
668,5,1,"[21, 25, 106, 138, 141]"
345,1,1,[183]
878,1,1,[29]
627,2,1,"[131, 134]"
455,1,1,[28]
223,1,1,[129]
552,1,1,[101]
124,1,1,[2]
890,1,1,[59]
701,1,1,[45]
550,3,1,"[174, 175, 176]"
144,1,1,[59]
252,1,1,[132]
427,1,1,[108]
528,2,1,"[142, 146]"
615,1,1,[4]
142,1,1,[21]
190,1,1,[79]
260,2,1,"[31, 98]"
492,1,1,[100]
176,1,1,[41]
356,2,1,"[21, 24]"
638,1,1,[95]
230,1,1,[67]
567,1,1,[138]
146,1,1,[61]
283,1,1,[2]
863,5,1,"[59, 60, 86, 142, 144]"
815,1,1,[18]
15,4,1,"[95, 137, 155, 157]"
584,2,1,"[124, 126]"
818,1,1,[57]
102,11,1,"[8, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121]"
244,2,1,"[182, 183]"
666,1,1,[46]
558,2,1,"[91, 145]"
353,3,1,"[27, 105, 113]"
514,1,1,[124]
779,1,1,[149]
330,1,1,[92]
772,3,1,"[105, 133, 139]"
63,3,1,"[115, 121, 128]"
475,1,1,[100]
414,5,1,"[113, 115, 116, 117, 118]"
294,2,1,"[53, 54]"
887,3,1,"[51, 52, 53]"
736,2,1,"[179, 180]"
378,1,1,[54]
449,1,1,[72]
448,2,1,"[124, 156]"
482,2,1,"[134, 147]"
52,2,1,"[82, 112]"
243,1,1,[60]
375,1,1,[41]
195,1,1,[60]
172,1,1,[96]
723,1,1,[79]
458,2,1,"[40, 41]"
33,2,1,"[28, 102]"
724,1,1,[142]
770,1,1,[75]
214,1,1,[135]
827,2,1,"[26, 29]"
730,4,1,"[12, 25, 26, 70]"
302,4,1,"[4, 90, 102, 118]"
120,1,1,[81]
408,2,1,"[4, 87]"
556,2,1,"[32, 102]"
2,2,1,"[42, 44]"
442,1,1,[155]
838,1,1,[4]
773,2,1,"[43, 126]"
610,1,1,[10]
276,2,1,"[40, 122]"
877,1,1,[188]
820,1,1,[1]
467,1,1,[174]
491,1,1,[106]
332,1,1,[108]
751,1,1,[140]
544,1,1,[189]
540,2,1,"[189, 190]"
483,1,1,[97]
630,1,1,[52]
473,1,1,[3]
594,2,1,"[8, 131]"
747,6,1,"[98, 101, 116, 124, 135, 136]"
105,2,1,"[78, 80]"
749,1,1,[181]
389,5,1,"[80, 92, 130, 137, 145]"
582,2,1,"[78, 92]"
611,1,1,[25]
381,1,1,[93]
109,4,1,"[13, 90, 129, 141]"
383,1,1,[36]
501,1,1,[72]
597,1,1,[28]
306,2,1,"[75, 139]"
536,1,1,[14]
316,3,1,"[61, 70, 71]"
288,1,1,[106]
263,1,1,[175]
807,4,1,"[109, 151, 159, 160]"
617,4,1,"[92, 152, 160, 161]"
892,2,1,"[141, 159]"
257,1,1,[183]
805,1,1,[112]
77,1,1,[193]
