,used,exhausted,rounds
2024,1.0,1.0,[0]
6032,1.0,1.0,[0]
5934,1.0,1.0,[0]
2013,1.0,1.0,[0]
4263,1.0,1.0,[0]
2362,1.0,1.0,[0]
4531,1.0,1.0,[0]
3877,1.0,1.0,[0]
1855,1.0,1.0,[0]
467,1.0,1.0,[0]
171,1.0,1.0,[0]
568,1.0,1.0,[0]
5553,1.0,1.0,[0]
2912,1.0,1.0,[0]
5817,1.0,1.0,[0]
2487,1.0,1.0,[0]
1730,1.0,1.0,[0]
125,1.0,1.0,[0]
5953,1.0,1.0,[0]
2236,1.0,1.0,[0]
5887,1.0,1.0,[0]
4538,1.0,1.0,[0]
2756,1.0,1.0,[0]
2741,1.0,1.0,[0]
1120,1.0,1.0,[0]
1804,1.0,1.0,[0]
379,1.0,1.0,[0]
5823,1.0,1.0,[0]
595,1.0,1.0,[0]
4637,1.0,1.0,[0]
1846,1.0,1.0,[0]
174,1.0,1.0,[0]
186,1.0,1.0,[0]
2588,1.0,1.0,[0]
1074,1.0,1.0,[0]
44,1.0,1.0,[0]
1758,1.0,1.0,[0]
2123,1.0,1.0,[0]
4653,1.0,1.0,[0]
1218,1.0,1.0,[0]
3986,1.0,1.0,[0]
1332,1.0,1.0,[0]
4677,1.0,1.0,[0]
5550,1.0,1.0,[0]
1800,1.0,1.0,[0]
1857,1.0,1.0,[0]
4650,1.0,1.0,[0]
4087,1.0,1.0,[0]
4276,1.0,1.0,[0]
2313,1.0,1.0,[0]
5601,1.0,1.0,[0]
2498,1.0,1.0,[0]
2344,1.0,1.0,[0]
3231,1.0,1.0,[0]
3184,1.0,1.0,[0]
3963,1.0,1.0,[0]
5333,1.0,1.0,[0]
1859,1.0,1.0,[0]
803,1.0,1.0,[0]
4058,1.0,1.0,[0]
5397,1.0,1.0,[0]
6126,1.0,1.0,[0]
1373,1.0,1.0,[0]
1910,1.0,1.0,[0]
538,1.0,1.0,[0]
4492,1.0,1.0,[0]
1196,1.0,1.0,[0]
3131,1.0,1.0,[0]
3598,1.0,1.0,[0]
6017,1.0,1.0,[0]
1793,1.0,1.0,[0]
1421,1.0,1.0,[0]
596,1.0,1.0,[0]
946,1.0,1.0,[0]
6141,1.0,1.0,[0]
5158,1.0,1.0,[0]
3128,1.0,1.0,[0]
4655,1.0,1.0,[0]
1069,1.0,1.0,[0]
5241,1.0,1.0,[0]
954,1.0,1.0,[0]
281,1.0,1.0,[0]
1182,1.0,1.0,[0]
5487,1.0,1.0,[0]
2819,1.0,1.0,[0]
3316,1.0,1.0,[0]
6273,1.0,1.0,[0]
4199,1.0,1.0,[0]
3839,1.0,1.0,[0]
1921,1.0,1.0,[0]
3874,1.0,1.0,[0]
3289,1.0,1.0,[0]
3156,1.0,1.0,[0]
3463,1.0,1.0,[0]
4818,1.0,1.0,[0]
1028,1.0,1.0,[0]
6227,1.0,1.0,[0]
593,1.0,1.0,[0]
2310,1.0,1.0,[0]
4657,1.0,1.0,[0]
4990,1.0,1.0,[0]
1891,1.0,1.0,[0]
5504,1.0,1.0,[0]
158,1.0,1.0,[0]
3721,1.0,1.0,[0]
2795,1.0,1.0,[0]
5697,1.0,1.0,[0]
5825,1.0,1.0,[0]
1825,1.0,1.0,[0]
4114,1.0,1.0,[0]
661,1.0,1.0,[0]
502,1.0,1.0,[0]
2713,1.0,1.0,[0]
1701,1.0,1.0,[0]
2581,1.0,1.0,[0]
3850,1.0,1.0,[0]
3756,1.0,1.0,[0]
543,1.0,1.0,[0]
4579,1.0,1.0,[0]
2648,1.0,1.0,[0]
1523,1.0,1.0,[0]
3328,1.0,1.0,[0]
1221,1.0,1.0,[0]
4046,1.0,1.0,[0]
4128,1.0,1.0,[0]
2545,1.0,1.0,[0]
2430,1.0,1.0,[0]
5699,1.0,1.0,[0]
4356,1.0,1.0,[0]
4765,1.0,1.0,[0]
5752,1.0,1.0,[0]
4744,1.0,1.0,[0]
4860,1.0,1.0,[0]
5305,1.0,1.0,[0]
3662,1.0,1.0,[0]
2749,1.0,1.0,[0]
1270,1.0,1.0,[0]
1202,1.0,1.0,[0]
4920,1.0,1.0,[0]
2195,1.0,1.0,[0]
4061,1.0,1.0,[0]
4887,1.0,1.0,[0]
606,1.0,1.0,[0]
2488,1.0,1.0,[0]
5883,1.0,1.0,[0]
5067,1.0,1.0,[0]
3336,1.0,1.0,[0]
4121,1.0,1.0,[0]
2290,1.0,1.0,[0]
175,1.0,1.0,[0]
5064,1.0,1.0,[0]
4891,1.0,1.0,[0]
731,1.0,1.0,[0]
565,1.0,1.0,[0]
3771,1.0,1.0,[0]
