,used,exhausted,rounds
316,1.0,1.0,[0]
315,1.0,1.0,[0]
43,1.0,1.0,[0]
399,1.0,1.0,[0]
410,1.0,1.0,[0]
470,1.0,1.0,[0]
303,1.0,1.0,[0]
591,1.0,1.0,[0]
68,1.0,1.0,[0]
685,1.0,1.0,[0]
557,1.0,1.0,[0]
10,1.0,1.0,[0]
195,1.0,1.0,[0]
646,1.0,1.0,[0]
456,1.0,1.0,[0]
529,1.0,1.0,[0]
311,1.0,1.0,[0]
498,1.0,1.0,[0]
165,1.0,1.0,[0]
297,1.0,1.0,[0]
302,1.0,1.0,[0]
294,1.0,1.0,[0]
409,1.0,1.0,[0]
420,1.0,1.0,[0]
723,1.0,1.0,[0]
148,1.0,1.0,[0]
675,1.0,1.0,[0]
118,1.0,1.0,[0]
665,1.0,1.0,[0]
730,1.0,1.0,[0]
452,1.0,1.0,[0]
49,1.0,1.0,[0]
796,1.0,1.0,[0]
132,1.0,1.0,[0]
703,1.0,1.0,[0]
682,1.0,1.0,[0]
580,1.0,1.0,[0]
776,1.0,1.0,[0]
764,1.0,1.0,[0]
766,1.0,1.0,[0]
684,1.0,1.0,[144]
147,2.0,1.0,"[116, 128]"
651,1.0,1.0,[40]
200,4.0,1.0,"[91, 93, 100, 107]"
345,2.0,1.0,"[30, 54]"
511,1.0,1.0,[180]
52,2.0,1.0,"[55, 59]"
478,1.0,1.0,[33]
96,4.0,1.0,"[19, 25, 46, 47]"
93,1.0,1.0,[103]
321,1.0,1.0,[140]
683,2.0,1.0,"[12, 82]"
390,1.0,1.0,[86]
69,2.0,1.0,"[13, 31]"
260,4.0,1.0,"[151, 168, 170, 174]"
541,3.0,1.0,"[116, 127, 134]"
544,2.0,1.0,"[173, 174]"
246,1.0,1.0,[82]
124,2.0,1.0,"[94, 110]"
80,6.0,1.0,"[18, 20, 21, 22, 23, 24]"
673,6.0,1.0,"[46, 61, 63, 64, 65, 66]"
775,4.0,1.0,"[38, 83, 85, 86]"
742,2.0,1.0,"[73, 90]"
349,1.0,1.0,[70]
799,2.0,1.0,"[17, 21]"
172,1.0,1.0,[48]
704,4.0,1.0,"[35, 66, 80, 85]"
542,1.0,1.0,[35]
3,2.0,1.0,"[18, 19]"
62,2.0,1.0,"[131, 137]"
250,1.0,1.0,[56]
158,1.0,1.0,[46]
419,2.0,1.0,"[140, 163]"
211,1.0,1.0,[62]
110,2.0,1.0,"[84, 111]"
603,3.0,1.0,"[157, 160, 161]"
732,1.0,1.0,[150]
378,1.0,1.0,[85]
231,1.0,1.0,[120]
654,2.0,1.0,"[112, 115]"
500,1.0,1.0,[176]
104,5.0,1.0,"[76, 108, 110, 120, 125]"
751,1.0,1.0,[40]
794,1.0,1.0,[10]
375,2.0,1.0,"[160, 161]"
98,1.0,1.0,[110]
686,1.0,1.0,[2]
650,1.0,1.0,[34]
545,4.0,1.0,"[64, 74, 85, 88]"
94,1.0,1.0,[52]
19,1.0,1.0,[45]
120,1.0,1.0,[110]
688,4.0,1.0,"[2, 3, 6, 8]"
162,1.0,1.0,[87]
103,1.0,1.0,[20]
691,1.0,1.0,[23]
333,3.0,1.0,"[157, 162, 164]"
727,1.0,1.0,[35]
455,1.0,1.0,[173]
8,1.0,1.0,[11]
337,2.0,1.0,"[80, 91]"
111,4.0,1.0,"[112, 117, 119, 120]"
164,1.0,1.0,[22]
504,1.0,1.0,[131]
492,2.0,1.0,"[167, 173]"
198,1.0,1.0,[107]
325,2.0,1.0,"[139, 148]"
745,1.0,1.0,[106]
726,2.0,1.0,"[37, 43]"
771,1.0,1.0,[4]
327,1.0,1.0,[6]
645,7.0,1.0,"[171, 173, 177, 178, 179, 180, 181]"
780,1.0,1.0,[2]
475,2.0,1.0,"[146, 148]"
367,1.0,1.0,[160]
784,1.0,1.0,[3]
657,1.0,1.0,[72]
709,4.0,1.0,"[57, 65, 67, 68]"
525,1.0,1.0,[28]
392,3.0,1.0,"[137, 147, 156]"
262,2.0,1.0,"[103, 136]"
552,2.0,1.0,"[171, 177]"
486,1.0,1.0,[182]
495,1.0,1.0,[77]
506,4.0,1.0,"[108, 122, 124, 125]"
472,3.0,1.0,"[60, 67, 68]"
53,1.0,1.0,[98]
720,3.0,1.0,"[101, 117, 123]"
570,3.0,1.0,"[32, 34, 36]"
515,4.0,1.0,"[151, 156, 157, 159]"
376,1.0,1.0,[111]
539,1.0,1.0,[57]
323,1.0,1.0,[104]
787,1.0,1.0,[4]
705,2.0,1.0,"[63, 76]"
759,2.0,1.0,"[36, 37]"
653,1.0,1.0,[35]
441,1.0,1.0,[114]
306,1.0,1.0,[99]
418,2.0,1.0,"[122, 139]"
468,1.0,1.0,[103]
699,1.0,1.0,[113]
702,1.0,1.0,[128]
79,3.0,1.0,"[82, 91, 92]"
176,2.0,1.0,"[146, 164]"
233,1.0,1.0,[30]
445,5.0,1.0,"[40, 72, 74, 76, 78]"
336,1.0,1.0,[69]
107,2.0,1.0,"[27, 57]"
2,1.0,1.0,[11]
485,2.0,1.0,"[146, 152]"
514,4.0,1.0,"[162, 163, 167, 168]"
581,3.0,1.0,"[149, 157, 159]"
377,1.0,1.0,[162]
394,3.0,1.0,"[134, 140, 144]"
631,1.0,1.0,[171]
204,1.0,1.0,[109]
381,3.0,1.0,"[33, 37, 38]"
369,1.0,1.0,[93]
619,2.0,1.0,"[103, 116]"
37,3.0,1.0,"[87, 88, 90]"
583,2.0,1.0,"[54, 77]"
0,2.0,1.0,"[21, 22]"
616,1.0,1.0,[154]
501,1.0,1.0,[161]
767,3.0,1.0,"[13, 14, 15]"
22,3.0,1.0,"[39, 48, 49]"
21,1.0,1.0,[15]
713,1.0,1.0,[63]
185,1.0,1.0,[151]
738,2.0,1.0,"[31, 37]"
281,1.0,1.0,[106]
178,2.0,1.0,"[126, 129]"
660,3.0,1.0,"[89, 98, 100]"
450,1.0,1.0,[103]
582,1.0,1.0,[3]
595,1.0,1.0,[179]
232,1.0,1.0,[146]
746,1.0,1.0,[105]
465,1.0,1.0,[9]
717,1.0,1.0,[150]
725,3.0,1.0,"[25, 30, 31]"
481,5.0,1.0,"[169, 174, 176, 177, 178]"
61,1.0,1.0,[52]
244,1.0,1.0,[68]
190,3.0,1.0,"[143, 149, 153]"
496,2.0,1.0,"[115, 135]"
222,1.0,1.0,[83]
579,1.0,1.0,[128]
785,1.0,1.0,[74]
553,2.0,1.0,"[111, 121]"
362,1.0,1.0,[167]
95,1.0,1.0,[85]
503,2.0,1.0,"[1, 2]"
590,1.0,1.0,[77]
27,1.0,1.0,[45]
379,4.0,1.0,"[138, 142, 144, 145]"
512,1.0,1.0,[91]
461,1.0,1.0,[81]
40,1.0,1.0,[41]
273,2.0,1.0,"[43, 64]"
206,5.0,1.0,"[136, 145, 149, 150, 151]"
88,1.0,1.0,[47]
343,2.0,1.0,"[117, 137]"
507,1.0,1.0,[160]
484,1.0,1.0,[154]
47,1.0,1.0,[27]
605,3.0,1.0,"[125, 161, 164]"
396,2.0,1.0,"[90, 104]"
130,1.0,1.0,[139]
301,3.0,1.0,"[9, 13, 14]"
649,2.0,1.0,"[59, 67]"
663,2.0,1.0,"[101, 104]"
331,1.0,1.0,[18]
762,2.0,1.0,"[77, 94]"
108,2.0,1.0,"[106, 108]"
5,1.0,1.0,[20]
196,3.0,1.0,"[75, 101, 108]"
540,1.0,1.0,[165]
188,1.0,1.0,[124]
357,1.0,1.0,[57]
285,2.0,1.0,"[20, 34]"
235,3.0,1.0,"[112, 136, 147]"
199,2.0,1.0,"[124, 153]"
754,1.0,1.0,[62]
292,1.0,1.0,[133]
447,3.0,1.0,"[13, 14, 15]"
416,5.0,1.0,"[122, 142, 146, 149, 150]"
160,1.0,1.0,[71]
439,4.0,1.0,"[120, 125, 126, 133]"
249,1.0,1.0,[97]
312,2.0,1.0,"[183, 184]"
99,1.0,1.0,[41]
774,1.0,1.0,[73]
567,2.0,1.0,"[105, 124]"
569,1.0,1.0,[105]
242,2.0,1.0,"[51, 89]"
423,1.0,1.0,[56]
38,2.0,1.0,"[7, 13]"
123,1.0,1.0,[48]
385,3.0,1.0,"[19, 76, 80]"
223,1.0,1.0,[7]
768,1.0,1.0,[17]
129,2.0,1.0,"[50, 53]"
340,1.0,1.0,[175]
259,1.0,1.0,[11]
466,1.0,1.0,[165]
221,1.0,1.0,[69]
607,2.0,1.0,"[175, 176]"
125,1.0,1.0,[111]
602,2.0,1.0,"[107, 109]"
473,4.0,1.0,"[8, 9, 10, 11]"
7,1.0,1.0,[32]
342,1.0,1.0,[114]
757,6.0,1.0,"[135, 156, 158, 159, 161, 163]"
251,4.0,1.0,"[109, 114, 118, 130]"
737,1.0,1.0,[92]
373,3.0,1.0,"[94, 102, 103]"
779,1.0,1.0,[2]
489,1.0,1.0,[122]
537,1.0,1.0,[180]
48,2.0,1.0,"[52, 79]"
332,1.0,1.0,[52]
549,5.0,1.0,"[97, 114, 129, 139, 142]"
601,2.0,1.0,"[137, 159]"
25,5.0,1.0,"[28, 39, 45, 46, 47]"
594,1.0,1.0,[107]
454,2.0,1.0,"[130, 136]"
320,2.0,1.0,"[136, 152]"
119,5.0,1.0,"[34, 38, 39, 40, 41]"
564,1.0,1.0,[74]
547,1.0,1.0,[55]
1,3.0,1.0,"[19, 24, 26]"
263,1.0,1.0,[86]
310,1.0,1.0,[107]
338,1.0,1.0,[114]
237,1.0,1.0,[143]
798,2.0,1.0,"[9, 12]"
330,1.0,1.0,[111]
773,1.0,1.0,[53]
389,1.0,1.0,[110]
371,1.0,1.0,[178]
424,1.0,1.0,[151]
509,2.0,1.0,"[36, 83]"
724,1.0,1.0,[66]
105,1.0,1.0,[75]
448,2.0,1.0,"[169, 171]"
532,1.0,1.0,[140]
795,1.0,1.0,[45]
352,2.0,1.0,"[116, 138]"
134,4.0,1.0,"[102, 117, 119, 126]"
236,4.0,1.0,"[89, 90, 96, 97]"
772,3.0,1.0,"[61, 84, 87]"
138,2.0,1.0,"[54, 55]"
526,2.0,1.0,"[154, 158]"
14,1.0,1.0,[68]
210,4.0,1.0,"[70, 106, 108, 118]"
6,1.0,1.0,[28]
287,1.0,1.0,[115]
213,1.0,1.0,[96]
469,1.0,1.0,[100]
593,1.0,1.0,[98]
197,2.0,1.0,"[1, 8]"
12,1.0,1.0,[9]
565,1.0,1.0,[8]
551,1.0,1.0,[91]
288,1.0,1.0,[157]
351,1.0,1.0,[51]
202,1.0,1.0,[51]
117,5.0,1.0,"[7, 13, 15, 16, 21]"
427,7.0,1.0,"[167, 182, 184, 185, 186, 187, 188]"
13,2.0,1.0,"[38, 44]"
596,1.0,1.0,[31]
689,3.0,1.0,"[30, 43, 44]"
559,1.0,1.0,[133]
346,2.0,1.0,"[6, 131]"
517,1.0,1.0,[144]
284,2.0,1.0,"[47, 56]"
383,3.0,1.0,"[147, 154, 156]"
207,1.0,1.0,[85]
599,1.0,1.0,[171]
460,5.0,1.0,"[181, 182, 183, 184, 185]"
64,1.0,1.0,[5]
146,4.0,1.0,"[20, 35, 38, 39]"
55,1.0,1.0,[109]
741,5.0,1.0,"[74, 79, 80, 89, 90]"
641,2.0,1.0,"[95, 115]"
253,1.0,1.0,[66]
571,3.0,1.0,"[142, 145, 146]"
710,3.0,1.0,"[105, 108, 110]"
494,1.0,1.0,[178]
291,2.0,1.0,"[7, 22]"
271,1.0,1.0,[134]
736,4.0,1.0,"[46, 72, 87, 89]"
613,3.0,1.0,"[1, 2, 7]"
239,1.0,1.0,[9]
760,1.0,1.0,[68]
76,1.0,1.0,[32]
18,2.0,1.0,"[11, 55]"
505,1.0,1.0,[164]
636,4.0,1.0,"[25, 26, 27, 28]"
100,1.0,1.0,[24]
778,1.0,1.0,[77]
248,1.0,1.0,[14]
347,1.0,1.0,[156]
451,2.0,1.0,"[28, 32]"
659,3.0,1.0,"[3, 20, 21]"
597,1.0,1.0,[158]
269,11.0,1.0,"[117, 128, 132, 143, 148, 149, 153, 155, 156, 159, 160]"
17,1.0,1.0,[6]
361,1.0,1.0,[152]
282,2.0,1.0,"[10, 15]"
194,1.0,1.0,[168]
366,1.0,1.0,[16]
443,3.0,1.0,"[1, 4, 5]"
66,6.0,1.0,"[73, 78, 80, 82, 83, 84]"
374,1.0,1.0,[135]
614,1.0,1.0,[141]
356,4.0,1.0,"[35, 36, 37, 38]"
384,5.0,1.0,"[178, 183, 184, 185, 186]"
612,1.0,1.0,[12]
30,1.0,1.0,[5]
554,2.0,1.0,"[5, 123]"
606,2.0,1.0,"[147, 165]"
142,2.0,1.0,"[27, 56]"
36,2.0,1.0,"[56, 59]"
463,1.0,1.0,[34]
364,3.0,1.0,"[67, 96, 97]"
92,1.0,1.0,[63]
240,2.0,1.0,"[116, 164]"
497,4.0,1.0,"[74, 116, 126, 127]"
243,2.0,1.0,"[62, 67]"
