,used,exhausted,rounds
316,1.0,1.0,[0]
315,1.0,1.0,[0]
43,1.0,1.0,[0]
399,1.0,1.0,[0]
410,1.0,1.0,[0]
470,1.0,1.0,[0]
303,1.0,1.0,[0]
591,1.0,1.0,[0]
68,1.0,1.0,[0]
685,1.0,1.0,[0]
557,1.0,1.0,[0]
10,1.0,1.0,[0]
195,1.0,1.0,[0]
646,1.0,1.0,[0]
456,1.0,1.0,[0]
529,1.0,1.0,[0]
311,1.0,1.0,[0]
498,1.0,1.0,[0]
165,1.0,1.0,[0]
297,1.0,1.0,[0]
302,1.0,1.0,[0]
294,1.0,1.0,[0]
409,1.0,1.0,[0]
420,1.0,1.0,[0]
723,1.0,1.0,[0]
148,1.0,1.0,[0]
675,1.0,1.0,[0]
118,1.0,1.0,[0]
665,1.0,1.0,[0]
730,1.0,1.0,[0]
452,1.0,1.0,[0]
49,1.0,1.0,[0]
796,1.0,1.0,[0]
132,1.0,1.0,[0]
703,1.0,1.0,[0]
682,1.0,1.0,[0]
580,1.0,1.0,[0]
776,1.0,1.0,[0]
764,1.0,1.0,[0]
766,1.0,1.0,[0]
684,1.0,1.0,[184]
147,2.0,1.0,"[181, 182]"
651,1.0,1.0,[173]
200,4.0,1.0,"[174, 175, 176, 177]"
345,2.0,1.0,"[178, 179]"
511,1.0,1.0,[159]
52,2.0,1.0,"[160, 161]"
478,1.0,1.0,[162]
96,4.0,1.0,"[163, 164, 165, 166]"
93,1.0,1.0,[167]
321,1.0,1.0,[127]
683,2.0,1.0,"[128, 129]"
390,1.0,1.0,[130]
69,2.0,1.0,"[131, 132]"
260,4.0,1.0,"[133, 134, 135, 136]"
541,3.0,1.0,"[137, 138, 139]"
544,2.0,1.0,"[140, 141]"
246,1.0,1.0,[142]
124,2.0,1.0,"[143, 144]"
80,6.0,1.0,"[145, 146, 147, 148, 149, 150]"
673,6.0,1.0,"[62, 63, 64, 65, 66, 67]"
775,4.0,1.0,"[68, 69, 70, 71]"
742,2.0,1.0,"[72, 73]"
349,1.0,1.0,[74]
799,2.0,1.0,"[75, 76]"
172,1.0,1.0,[77]
704,4.0,1.0,"[78, 79, 80, 81]"
542,1.0,1.0,[82]
3,2.0,1.0,"[83, 84]"
62,2.0,1.0,"[85, 86]"
250,1.0,1.0,[87]
158,1.0,1.0,[88]
419,2.0,1.0,"[89, 90]"
211,1.0,1.0,[91]
110,2.0,1.0,"[92, 93]"
603,3.0,1.0,"[94, 95, 96]"
732,1.0,1.0,[97]
378,1.0,1.0,[98]
231,1.0,1.0,[99]
654,2.0,1.0,"[100, 101]"
500,1.0,1.0,[102]
104,5.0,1.0,"[1, 2, 3, 4, 5]"
751,1.0,1.0,[6]
794,1.0,1.0,[7]
375,2.0,1.0,"[8, 9]"
98,1.0,1.0,[10]
686,1.0,1.0,[11]
650,1.0,1.0,[12]
545,4.0,1.0,"[13, 14, 15, 16]"
94,1.0,1.0,[17]
19,1.0,1.0,[18]
120,1.0,1.0,[19]
688,4.0,1.0,"[20, 21, 22, 23]"
162,1.0,1.0,[24]
103,1.0,1.0,[25]
691,1.0,1.0,[26]
333,3.0,1.0,"[27, 28, 29]"
727,1.0,1.0,[30]
455,1.0,1.0,[31]
8,1.0,1.0,[32]
337,2.0,1.0,"[33, 34]"
111,4.0,1.0,"[35, 36, 37, 38]"
164,1.0,1.0,[39]
504,1.0,1.0,[40]
492,2.0,1.0,"[41, 42]"
198,1.0,1.0,[43]
325,2.0,1.0,"[44, 45]"
745,1.0,1.0,[46]
726,2.0,1.0,"[47, 48]"
771,1.0,1.0,[49]
327,1.0,1.0,[50]
645,7.0,1.0,"[51, 52, 53, 54, 55, 56, 57]"
780,1.0,1.0,[58]
475,2.0,1.0,"[59, 60]"
367,1.0,1.0,[61]
784,1.0,1.0,[103]
657,1.0,1.0,[104]
709,4.0,1.0,"[105, 106, 107, 108]"
525,1.0,1.0,[109]
392,3.0,1.0,"[110, 111, 112]"
262,2.0,1.0,"[113, 114]"
552,2.0,1.0,"[115, 116]"
486,1.0,1.0,[117]
495,1.0,1.0,[118]
506,4.0,1.0,"[119, 120, 121, 122]"
472,3.0,1.0,"[123, 124, 125]"
53,1.0,1.0,[126]
720,3.0,1.0,"[151, 152, 153]"
570,3.0,1.0,"[154, 155, 156]"
515,4.0,1.0,"[157, 158, 168, 169]"
376,1.0,1.0,[170]
539,1.0,1.0,[171]
323,1.0,1.0,[172]
787,1.0,1.0,[180]
705,2.0,1.0,"[183, 185]"
759,2.0,1.0,"[185, 186]"
653,1.0,1.0,[185]
441,1.0,1.0,[183]
306,1.0,1.0,[184]
418,2.0,1.0,"[183, 185]"
468,1.0,1.0,[181]
699,1.0,1.0,[182]
702,1.0,1.0,[182]
79,3.0,1.0,"[180, 183, 184]"
176,2.0,1.0,"[173, 181]"
233,1.0,1.0,[174]
445,5.0,1.0,"[175, 176, 177, 181, 183]"
336,1.0,1.0,[178]
107,2.0,1.0,"[179, 180]"
2,1.0,1.0,[177]
485,2.0,1.0,"[180, 182]"
514,4.0,1.0,"[178, 181, 182, 184]"
581,3.0,1.0,"[159, 172, 173]"
377,1.0,1.0,[160]
394,3.0,1.0,"[161, 179, 181]"
631,1.0,1.0,[162]
204,1.0,1.0,[173]
381,3.0,1.0,"[163, 164, 165]"
369,1.0,1.0,[166]
619,2.0,1.0,"[174, 184]"
37,3.0,1.0,"[167, 175, 176]"
583,2.0,1.0,"[168, 169]"
0,2.0,1.0,"[174, 175]"
616,1.0,1.0,[170]
501,1.0,1.0,[172]
767,3.0,1.0,"[167, 171, 172]"
22,3.0,1.0,"[168, 169, 172]"
21,1.0,1.0,[175]
713,1.0,1.0,[159]
185,1.0,1.0,[170]
738,2.0,1.0,"[160, 176]"
281,1.0,1.0,[161]
178,2.0,1.0,"[159, 173]"
660,3.0,1.0,"[127, 162, 171]"
450,1.0,1.0,[128]
582,1.0,1.0,[129]
595,1.0,1.0,[160]
232,1.0,1.0,[130]
746,1.0,1.0,[176]
465,1.0,1.0,[131]
717,1.0,1.0,[132]
725,3.0,1.0,"[161, 163, 164]"
481,5.0,1.0,"[133, 134, 135, 136, 165]"
61,1.0,1.0,[137]
244,1.0,1.0,[138]
190,3.0,1.0,"[139, 162, 164]"
496,2.0,1.0,"[140, 141]"
222,1.0,1.0,[177]
579,1.0,1.0,[142]
785,1.0,1.0,[163]
553,2.0,1.0,"[143, 144]"
362,1.0,1.0,[164]
95,1.0,1.0,[145]
503,2.0,1.0,"[146, 147]"
590,1.0,1.0,[148]
27,1.0,1.0,[149]
379,4.0,1.0,"[150, 165, 166, 174]"
512,1.0,1.0,[151]
461,1.0,1.0,[152]
40,1.0,1.0,[142]
273,2.0,1.0,"[153, 174]"
206,5.0,1.0,"[154, 155, 156, 165, 166]"
88,1.0,1.0,[143]
343,2.0,1.0,"[144, 157]"
507,1.0,1.0,[158]
484,1.0,1.0,[127]
47,1.0,1.0,[62]
605,3.0,1.0,"[63, 64, 65]"
396,2.0,1.0,"[66, 67]"
130,1.0,1.0,[145]
301,3.0,1.0,"[68, 69, 70]"
649,2.0,1.0,"[71, 128]"
663,2.0,1.0,"[72, 73]"
331,1.0,1.0,[167]
762,2.0,1.0,"[74, 129]"
108,2.0,1.0,"[75, 76]"
5,1.0,1.0,[146]
196,3.0,1.0,"[77, 147, 160]"
540,1.0,1.0,[78]
188,1.0,1.0,[79]
357,1.0,1.0,[80]
285,2.0,1.0,"[81, 130]"
235,3.0,1.0,"[82, 148, 166]"
199,2.0,1.0,"[83, 84]"
754,1.0,1.0,[127]
292,1.0,1.0,[85]
447,3.0,1.0,"[86, 149, 177]"
416,5.0,1.0,"[87, 131, 150, 161, 167]"
160,1.0,1.0,[88]
439,4.0,1.0,"[128, 132, 151, 163]"
249,1.0,1.0,[89]
312,2.0,1.0,"[90, 152]"
99,1.0,1.0,[91]
774,1.0,1.0,[129]
567,2.0,1.0,"[92, 93]"
569,1.0,1.0,[133]
242,2.0,1.0,"[94, 95]"
423,1.0,1.0,[96]
38,2.0,1.0,"[134, 135]"
123,1.0,1.0,[97]
385,3.0,1.0,"[136, 162, 168]"
223,1.0,1.0,[98]
768,1.0,1.0,[130]
129,2.0,1.0,"[99, 137]"
340,1.0,1.0,[100]
259,1.0,1.0,[101]
466,1.0,1.0,[153]
221,1.0,1.0,[102]
607,2.0,1.0,"[138, 164]"
125,1.0,1.0,[103]
602,2.0,1.0,"[131, 135]"
473,4.0,1.0,"[104, 132, 139, 154]"
7,1.0,1.0,[105]
342,1.0,1.0,[106]
757,6.0,1.0,"[107, 108, 136, 140, 141, 155]"
251,4.0,1.0,"[109, 133, 137, 156]"
737,1.0,1.0,[110]
373,3.0,1.0,"[111, 112, 134]"
779,1.0,1.0,[113]
489,1.0,1.0,[95]
537,1.0,1.0,[114]
48,2.0,1.0,"[96, 135]"
332,1.0,1.0,[115]
549,5.0,1.0,"[97, 116, 142, 163, 167]"
601,2.0,1.0,"[117, 138]"
25,5.0,1.0,"[98, 118, 136, 157, 169]"
594,1.0,1.0,[119]
454,2.0,1.0,"[99, 120]"
320,2.0,1.0,"[100, 121]"
119,5.0,1.0,"[101, 122, 137, 139, 158]"
564,1.0,1.0,[123]
547,1.0,1.0,[62]
1,3.0,1.0,"[102, 124, 125]"
263,1.0,1.0,[63]
310,1.0,1.0,[64]
338,1.0,1.0,[65]
237,1.0,1.0,[140]
798,2.0,1.0,"[66, 67]"
330,1.0,1.0,[103]
773,1.0,1.0,[126]
389,1.0,1.0,[68]
371,1.0,1.0,[69]
424,1.0,1.0,[70]
509,2.0,1.0,"[138, 141]"
724,1.0,1.0,[71]
105,1.0,1.0,[104]
448,2.0,1.0,"[72, 73]"
532,1.0,1.0,[143]
795,1.0,1.0,[105]
352,2.0,1.0,"[62, 74]"
134,4.0,1.0,"[128, 139, 164, 168]"
236,4.0,1.0,"[63, 75, 76, 106]"
772,3.0,1.0,"[64, 140, 142]"
138,2.0,1.0,"[65, 77]"
526,2.0,1.0,"[107, 108]"
14,1.0,1.0,[66]
210,4.0,1.0,"[67, 78, 129, 141]"
6,1.0,1.0,[79]
287,1.0,1.0,[109]
213,1.0,1.0,[68]
469,1.0,1.0,[80]
593,1.0,1.0,[69]
197,2.0,1.0,"[144, 165]"
12,1.0,1.0,[70]
565,1.0,1.0,[81]
551,1.0,1.0,[1]
288,1.0,1.0,[2]
351,1.0,1.0,[3]
202,1.0,1.0,[4]
117,5.0,1.0,"[5, 110, 175, 177, 182]"
427,7.0,1.0,"[6, 71, 82, 111, 112, 145, 168]"
13,2.0,1.0,"[7, 83]"
596,1.0,1.0,[8]
689,3.0,1.0,"[9, 72, 73]"
559,1.0,1.0,[10]
346,2.0,1.0,"[84, 113]"
517,1.0,1.0,[11]
284,2.0,1.0,"[130, 142]"
383,3.0,1.0,"[12, 85, 114]"
207,1.0,1.0,[13]
599,1.0,1.0,[14]
460,5.0,1.0,"[15, 16, 74, 86, 133]"
64,1.0,1.0,[17]
146,4.0,1.0,"[87, 143, 165, 166]"
55,1.0,1.0,[18]
741,5.0,1.0,"[75, 76, 88, 115, 134]"
641,2.0,1.0,"[19, 116]"
253,1.0,1.0,[20]
571,3.0,1.0,"[21, 22, 23]"
710,3.0,1.0,"[77, 89, 131]"
494,1.0,1.0,[24]
291,2.0,1.0,"[90, 117]"
271,1.0,1.0,[25]
736,4.0,1.0,"[78, 83, 91, 146]"
613,3.0,1.0,"[26, 79, 84]"
239,1.0,1.0,[27]
760,1.0,1.0,[28]
76,1.0,1.0,[29]
18,2.0,1.0,"[118, 132]"
505,1.0,1.0,[30]
636,4.0,1.0,"[80, 92, 93, 119]"
100,1.0,1.0,[31]
778,1.0,1.0,[85]
248,1.0,1.0,[32]
347,1.0,1.0,[81]
451,2.0,1.0,"[33, 34]"
659,3.0,1.0,"[135, 144, 169]"
597,1.0,1.0,[35]
269,11.0,1.0,"[36, 37, 38, 86, 94, 95, 120, 147, 175, 182, 185]"
17,1.0,1.0,[39]
361,1.0,1.0,[1]
282,2.0,1.0,"[82, 87]"
194,1.0,1.0,[2]
366,1.0,1.0,[40]
443,3.0,1.0,"[3, 83, 121]"
66,6.0,1.0,"[4, 41, 42, 84, 88, 96]"
374,1.0,1.0,[5]
614,1.0,1.0,[43]
356,4.0,1.0,"[6, 133, 143, 145]"
384,5.0,1.0,"[7, 44, 45, 89, 122]"
612,1.0,1.0,[8]
30,1.0,1.0,[46]
554,2.0,1.0,"[9, 85]"
606,2.0,1.0,"[10, 47]"
142,2.0,1.0,"[48, 90]"
36,2.0,1.0,"[11, 49]"
463,1.0,1.0,[97]
364,3.0,1.0,"[12, 50, 86]"
92,1.0,1.0,[13]
240,2.0,1.0,"[51, 52]"
497,4.0,1.0,"[14, 53, 54, 55]"
243,2.0,1.0,"[15, 16]"
