,used,exhausted,rounds
188,1.0,1.0,[0]
771,1.0,1.0,[0]
111,1.0,1.0,[0]
408,1.0,1.0,[0]
342,1.0,1.0,[0]
82,1.0,1.0,[0]
277,1.0,1.0,[0]
189,1.0,1.0,[0]
307,1.0,1.0,[0]
634,1.0,1.0,[0]
332,1.0,1.0,[0]
694,1.0,1.0,[0]
95,1.0,1.0,[0]
654,1.0,1.0,[0]
397,1.0,1.0,[0]
540,1.0,1.0,[0]
351,1.0,1.0,[0]
250,1.0,1.0,[0]
70,1.0,1.0,[0]
6,1.0,1.0,[0]
197,1.0,1.0,[0]
643,1.0,1.0,[0]
753,1.0,1.0,[0]
545,1.0,1.0,[0]
448,1.0,1.0,[0]
272,1.0,1.0,[0]
259,1.0,1.0,[0]
375,1.0,1.0,[0]
339,1.0,1.0,[0]
345,1.0,1.0,[0]
283,1.0,1.0,[0]
539,1.0,1.0,[0]
376,1.0,1.0,[0]
751,1.0,1.0,[0]
193,1.0,1.0,[0]
442,1.0,1.0,[0]
263,1.0,1.0,[0]
121,1.0,1.0,[0]
419,1.0,1.0,[0]
58,1.0,1.0,[0]
135,1.0,1.0,[95]
454,2.0,1.0,"[23, 31]"
209,1.0,1.0,[89]
225,4.0,1.0,"[47, 168, 175, 182]"
636,2.0,1.0,"[8, 82]"
187,1.0,1.0,[100]
606,2.0,1.0,"[70, 73]"
17,1.0,1.0,[37]
769,4.0,1.0,"[36, 37, 38, 39]"
695,1.0,1.0,[1]
389,1.0,1.0,[30]
276,2.0,1.0,"[110, 111]"
798,1.0,1.0,[124]
794,2.0,1.0,"[3, 42]"
5,4.0,1.0,"[102, 172, 173, 180]"
772,3.0,1.0,"[89, 93, 107]"
103,2.0,1.0,"[35, 159]"
455,1.0,1.0,[91]
273,2.0,1.0,"[59, 138]"
296,6.0,1.0,"[29, 125, 157, 164, 178, 184]"
167,6.0,1.0,"[52, 150, 160, 164, 168, 174]"
626,4.0,1.0,"[76, 142, 160, 162]"
693,2.0,1.0,"[1, 132]"
71,1.0,1.0,[93]
600,2.0,1.0,"[22, 151]"
14,1.0,1.0,[16]
92,4.0,1.0,"[63, 107, 119, 126]"
612,1.0,1.0,[75]
601,2.0,1.0,"[28, 29]"
315,2.0,1.0,"[120, 152]"
127,1.0,1.0,[152]
462,1.0,1.0,[57]
779,2.0,1.0,"[130, 131]"
797,1.0,1.0,[2]
236,2.0,1.0,"[113, 135]"
717,3.0,1.0,"[37, 39, 40]"
611,1.0,1.0,[29]
463,1.0,1.0,[12]
183,1.0,1.0,[69]
274,2.0,1.0,"[36, 58]"
222,1.0,1.0,[127]
110,5.0,1.0,"[44, 163, 167, 178, 184]"
661,1.0,1.0,[80]
172,1.0,1.0,[30]
746,2.0,1.0,"[126, 127]"
142,1.0,1.0,[98]
609,1.0,1.0,[7]
88,1.0,1.0,[122]
11,4.0,1.0,"[113, 158, 171, 176]"
494,1.0,1.0,[38]
578,1.0,1.0,[18]
201,1.0,1.0,[88]
391,4.0,1.0,"[43, 49, 81, 82]"
213,1.0,1.0,[56]
122,1.0,1.0,[133]
758,1.0,1.0,[1]
482,3.0,1.0,"[7, 120, 140]"
76,1.0,1.0,[65]
184,1.0,1.0,[92]
116,1.0,1.0,[100]
413,2.0,1.0,"[83, 133]"
96,4.0,1.0,"[56, 146, 165, 178]"
638,1.0,1.0,[33]
759,1.0,1.0,[123]
266,2.0,1.0,"[108, 110]"
424,1.0,1.0,[88]
235,2.0,1.0,"[143, 183]"
451,1.0,1.0,[25]
324,2.0,1.0,"[55, 56]"
146,1.0,1.0,[72]
416,1.0,1.0,[94]
114,7.0,1.0,"[79, 99, 109, 110, 111, 112, 113]"
713,1.0,1.0,[48]
369,2.0,1.0,"[103, 104]"
69,1.0,1.0,[162]
255,1.0,1.0,[89]
710,1.0,1.0,[31]
123,4.0,1.0,"[136, 161, 177, 180]"
407,1.0,1.0,[111]
319,3.0,1.0,"[23, 75, 76]"
386,2.0,1.0,"[126, 173]"
212,2.0,1.0,"[100, 169]"
295,1.0,1.0,[85]
394,1.0,1.0,[98]
26,4.0,1.0,"[127, 174, 179, 184]"
732,3.0,1.0,"[62, 63, 64]"
446,1.0,1.0,[105]
481,3.0,1.0,"[57, 76, 77]"
30,3.0,1.0,"[10, 131, 159]"
637,4.0,1.0,"[2, 3, 6, 28]"
195,1.0,1.0,[112]
353,1.0,1.0,[89]
523,1.0,1.0,[50]
308,1.0,1.0,[100]
90,2.0,1.0,"[118, 174]"
344,2.0,1.0,"[74, 156]"
384,1.0,1.0,[111]
477,1.0,1.0,[87]
120,1.0,1.0,[39]
777,2.0,1.0,"[111, 142]"
190,1.0,1.0,[20]
202,1.0,1.0,[59]
445,1.0,1.0,[18]
335,3.0,1.0,"[56, 135, 157]"
270,2.0,1.0,"[110, 156]"
372,1.0,1.0,[136]
716,5.0,1.0,"[62, 126, 152, 176, 181]"
519,1.0,1.0,[83]
486,2.0,1.0,"[23, 161]"
264,1.0,1.0,[6]
16,2.0,1.0,"[6, 119]"
147,4.0,1.0,"[38, 168, 176, 184]"
211,3.0,1.0,"[10, 11, 14]"
499,1.0,1.0,[34]
697,3.0,1.0,"[19, 162, 165]"
703,1.0,1.0,[87]
651,1.0,1.0,[113]
152,3.0,1.0,"[13, 134, 159]"
721,1.0,1.0,[84]
396,2.0,1.0,"[66, 138]"
507,3.0,1.0,"[105, 160, 176]"
150,2.0,1.0,"[29, 170]"
529,2.0,1.0,"[8, 117]"
154,1.0,1.0,[76]
244,1.0,1.0,[131]
140,3.0,1.0,"[6, 163, 173]"
322,3.0,1.0,"[96, 99, 104]"
234,1.0,1.0,[95]
406,1.0,1.0,[23]
550,1.0,1.0,[45]
161,2.0,1.0,"[98, 170]"
126,1.0,1.0,[144]
648,2.0,1.0,"[15, 146]"
313,3.0,1.0,"[90, 91, 92]"
431,1.0,1.0,[107]
409,1.0,1.0,[36]
210,1.0,1.0,[100]
328,1.0,1.0,[6]
720,1.0,1.0,[4]
169,1.0,1.0,[29]
164,1.0,1.0,[29]
13,3.0,1.0,"[61, 158, 175]"
400,5.0,1.0,"[16, 17, 18, 21, 24]"
200,1.0,1.0,[6]
621,1.0,1.0,[35]
388,3.0,1.0,"[86, 87, 88]"
305,2.0,1.0,"[94, 167]"
251,1.0,1.0,[103]
363,1.0,1.0,[21]
492,1.0,1.0,[8]
493,2.0,1.0,"[140, 141]"
535,1.0,1.0,[141]
77,1.0,1.0,[7]
102,2.0,1.0,"[11, 25]"
249,1.0,1.0,[24]
355,1.0,1.0,[29]
778,4.0,1.0,"[47, 50, 73, 83]"
764,1.0,1.0,[62]
784,1.0,1.0,[21]
280,1.0,1.0,[87]
105,2.0,1.0,"[170, 178]"
438,5.0,1.0,"[52, 130, 159, 167, 182]"
50,1.0,1.0,[10]
557,2.0,1.0,"[9, 22]"
537,1.0,1.0,[84]
157,1.0,1.0,[22]
576,1.0,1.0,[123]
631,3.0,1.0,"[135, 145, 166]"
619,2.0,1.0,"[141, 147]"
608,1.0,1.0,[161]
642,3.0,1.0,"[123, 141, 142]"
677,2.0,1.0,"[71, 147]"
75,2.0,1.0,"[5, 131]"
318,1.0,1.0,[86]
525,2.0,1.0,"[12, 138]"
417,2.0,1.0,"[101, 114]"
571,1.0,1.0,[51]
347,3.0,1.0,"[17, 148, 158]"
622,1.0,1.0,[4]
293,1.0,1.0,[137]
74,1.0,1.0,[106]
192,2.0,1.0,"[58, 60]"
656,3.0,1.0,"[47, 130, 144]"
159,2.0,1.0,"[30, 49]"
696,1.0,1.0,[79]
680,1.0,1.0,[79]
714,3.0,1.0,"[20, 149, 161]"
780,5.0,1.0,"[115, 116, 117, 118, 119]"
443,1.0,1.0,[66]
175,4.0,1.0,"[63, 65, 67, 68]"
311,1.0,1.0,[95]
456,2.0,1.0,"[128, 147]"
104,1.0,1.0,[112]
254,1.0,1.0,[58]
170,2.0,1.0,"[86, 153]"
706,1.0,1.0,[78]
392,2.0,1.0,"[29, 84]"
303,1.0,1.0,[114]
86,2.0,1.0,"[86, 171]"
292,1.0,1.0,[110]
659,3.0,1.0,"[90, 139, 153]"
708,1.0,1.0,[97]
496,1.0,1.0,[66]
241,2.0,1.0,"[15, 16]"
698,1.0,1.0,[50]
34,1.0,1.0,[115]
317,1.0,1.0,[36]
640,1.0,1.0,[26]
329,2.0,1.0,"[62, 118]"
72,1.0,1.0,[96]
747,2.0,1.0,"[121, 137]"
630,4.0,1.0,"[71, 72, 73, 74]"
480,1.0,1.0,[82]
377,1.0,1.0,[42]
684,6.0,1.0,"[60, 150, 163, 177, 181, 182]"
460,4.0,1.0,"[105, 112, 116, 118]"
358,1.0,1.0,[68]
310,3.0,1.0,"[89, 116, 129]"
433,1.0,1.0,[93]
98,1.0,1.0,[53]
171,1.0,1.0,[92]
504,2.0,1.0,"[67, 153]"
667,1.0,1.0,[59]
581,5.0,1.0,"[24, 120, 144, 152, 161]"
485,2.0,1.0,"[48, 59]"
592,5.0,1.0,"[14, 15, 18, 19, 21]"
678,1.0,1.0,[69]
