,used,exhausted,rounds
362,1.0,1.0,[0]
798,1.0,1.0,[0]
97,1.0,1.0,[0]
695,1.0,1.0,[0]
437,1.0,1.0,[0]
679,1.0,1.0,[0]
273,1.0,1.0,[0]
268,1.0,1.0,[0]
610,1.0,1.0,[0]
363,1.0,1.0,[0]
792,1.0,1.0,[0]
748,1.0,1.0,[0]
773,1.0,1.0,[0]
115,1.0,1.0,[0]
239,1.0,1.0,[0]
432,1.0,1.0,[0]
187,1.0,1.0,[0]
285,1.0,1.0,[0]
158,1.0,1.0,[0]
586,1.0,1.0,[0]
435,1.0,1.0,[0]
694,1.0,1.0,[0]
790,1.0,1.0,[0]
779,1.0,1.0,[0]
333,1.0,1.0,[0]
365,1.0,1.0,[0]
428,1.0,1.0,[0]
375,1.0,1.0,[0]
261,1.0,1.0,[0]
193,1.0,1.0,[0]
354,1.0,1.0,[0]
306,1.0,1.0,[0]
579,1.0,1.0,[0]
182,1.0,1.0,[0]
412,1.0,1.0,[0]
192,1.0,1.0,[0]
442,1.0,1.0,[0]
711,1.0,1.0,[0]
706,1.0,1.0,[0]
76,1.0,1.0,[0]
315,1.0,1.0,[93]
753,2.0,1.0,"[67, 83]"
404,1.0,1.0,[142]
223,4.0,1.0,"[57, 69, 70, 75]"
574,2.0,1.0,"[89, 108]"
288,1.0,1.0,[64]
20,2.0,1.0,"[25, 52]"
602,1.0,1.0,[143]
355,4.0,1.0,"[178, 183, 184, 185]"
618,1.0,1.0,[3]
160,1.0,1.0,[142]
776,2.0,1.0,"[79, 92]"
461,1.0,1.0,[58]
617,2.0,1.0,"[96, 138]"
513,4.0,1.0,"[177, 178, 179, 181]"
341,3.0,1.0,"[172, 176, 178]"
109,2.0,1.0,"[12, 29]"
568,1.0,1.0,[142]
614,2.0,1.0,"[156, 163]"
110,6.0,1.0,"[31, 65, 81, 82, 83, 91]"
389,6.0,1.0,"[40, 66, 67, 69, 80, 81]"
613,4.0,1.0,"[5, 8, 9, 10]"
238,2.0,1.0,"[102, 132]"
500,1.0,1.0,[44]
571,2.0,1.0,"[117, 127]"
229,1.0,1.0,[132]
211,4.0,1.0,"[83, 89, 91, 93]"
59,1.0,1.0,[79]
667,2.0,1.0,"[7, 57]"
321,2.0,1.0,"[143, 163]"
631,1.0,1.0,[11]
336,1.0,1.0,[61]
258,2.0,1.0,"[62, 82]"
410,1.0,1.0,[71]
743,2.0,1.0,"[101, 121]"
505,3.0,1.0,"[21, 44, 47]"
796,1.0,1.0,[5]
532,1.0,1.0,[35]
585,1.0,1.0,[87]
594,2.0,1.0,"[144, 176]"
391,1.0,1.0,[94]
758,5.0,1.0,"[19, 26, 27, 29, 30]"
395,1.0,1.0,[7]
630,1.0,1.0,[109]
15,2.0,1.0,"[6, 40]"
11,1.0,1.0,[24]
100,1.0,1.0,[96]
693,1.0,1.0,[60]
369,4.0,1.0,"[157, 168, 169, 171]"
45,1.0,1.0,[4]
689,1.0,1.0,[48]
349,1.0,1.0,[159]
597,4.0,1.0,"[119, 138, 143, 144]"
269,1.0,1.0,[48]
126,1.0,1.0,[9]
418,1.0,1.0,[97]
486,3.0,1.0,"[106, 111, 114]"
309,1.0,1.0,[96]
208,1.0,1.0,[93]
256,1.0,1.0,[117]
619,2.0,1.0,"[49, 74]"
184,4.0,1.0,"[136, 149, 157, 159]"
508,1.0,1.0,[167]
487,1.0,1.0,[174]
493,2.0,1.0,"[100, 113]"
457,1.0,1.0,[24]
427,2.0,1.0,"[28, 30]"
271,1.0,1.0,[77]
683,2.0,1.0,"[17, 18]"
730,1.0,1.0,[21]
414,1.0,1.0,[136]
434,7.0,1.0,"[35, 47, 49, 52, 53, 56, 61]"
114,1.0,1.0,[125]
394,2.0,1.0,"[64, 90]"
173,1.0,1.0,[114]
777,1.0,1.0,[21]
741,1.0,1.0,[16]
16,4.0,1.0,"[25, 40, 41, 42]"
582,1.0,1.0,[15]
67,3.0,1.0,"[39, 72, 103]"
485,2.0,1.0,"[164, 180]"
669,2.0,1.0,"[7, 15]"
149,1.0,1.0,[165]
308,1.0,1.0,[68]
300,4.0,1.0,"[112, 114, 124, 127]"
415,3.0,1.0,"[101, 108, 119]"
289,1.0,1.0,[5]
556,3.0,1.0,"[161, 162, 166]"
290,3.0,1.0,"[1, 158, 166]"
512,4.0,1.0,"[146, 161, 166, 173]"
357,1.0,1.0,[19]
407,1.0,1.0,[77]
279,1.0,1.0,[49]
137,1.0,1.0,[111]
313,2.0,1.0,"[91, 110]"
210,2.0,1.0,"[45, 51]"
19,1.0,1.0,[14]
538,1.0,1.0,[173]
558,1.0,1.0,[120]
727,2.0,1.0,"[98, 117]"
292,1.0,1.0,[174]
725,1.0,1.0,[32]
426,1.0,1.0,[60]
291,3.0,1.0,"[130, 151, 152]"
754,2.0,1.0,"[53, 74]"
26,1.0,1.0,[24]
393,5.0,1.0,"[163, 167, 172, 175, 176]"
332,1.0,1.0,[53]
527,2.0,1.0,"[41, 81]"
765,1.0,1.0,[118]
707,2.0,1.0,"[84, 109]"
587,4.0,1.0,"[12, 13, 14, 15]"
492,3.0,1.0,"[91, 106, 107]"
593,1.0,1.0,[144]
463,3.0,1.0,"[69, 104, 107]"
390,1.0,1.0,[150]
86,1.0,1.0,[47]
672,3.0,1.0,"[9, 10, 11]"
718,1.0,1.0,[65]
82,2.0,1.0,"[64, 70]"
96,3.0,1.0,"[131, 158, 159]"
637,2.0,1.0,"[158, 174]"
424,2.0,1.0,"[117, 155]"
220,1.0,1.0,[93]
104,1.0,1.0,[39]
304,3.0,1.0,"[37, 72, 74]"
370,3.0,1.0,"[182, 183, 184]"
676,1.0,1.0,[13]
382,1.0,1.0,[26]
119,1.0,1.0,[88]
361,2.0,1.0,"[147, 152]"
452,1.0,1.0,[28]
101,2.0,1.0,"[116, 124]"
165,3.0,1.0,"[67, 88, 93]"
684,1.0,1.0,[85]
535,1.0,1.0,[129]
714,1.0,1.0,[154]
63,1.0,1.0,[75]
399,1.0,1.0,[17]
305,1.0,1.0,[77]
544,1.0,1.0,[6]
611,3.0,1.0,"[179, 181, 183]"
460,5.0,1.0,"[25, 38, 39, 47, 48]"
634,1.0,1.0,[36]
281,1.0,1.0,[160]
81,3.0,1.0,"[90, 118, 126]"
50,2.0,1.0,"[92, 112]"
260,1.0,1.0,[169]
216,1.0,1.0,[45]
455,1.0,1.0,[27]
744,2.0,1.0,"[14, 50]"
552,1.0,1.0,[122]
91,1.0,1.0,[116]
317,2.0,1.0,"[163, 167]"
188,1.0,1.0,[68]
757,1.0,1.0,[70]
385,4.0,1.0,"[57, 66, 68, 79]"
709,1.0,1.0,[154]
678,1.0,1.0,[179]
242,1.0,1.0,[110]
747,2.0,1.0,"[98, 123]"
133,5.0,1.0,"[111, 129, 139, 146, 147]"
65,1.0,1.0,[77]
87,2.0,1.0,"[73, 81]"
23,1.0,1.0,[6]
780,1.0,1.0,[60]
522,1.0,1.0,[62]
742,3.0,1.0,"[128, 170, 171]"
465,2.0,1.0,"[121, 137]"
438,1.0,1.0,[85]
75,3.0,1.0,"[115, 137, 140]"
642,2.0,1.0,"[154, 171]"
523,2.0,1.0,"[76, 103]"
596,1.0,1.0,[83]
248,2.0,1.0,"[12, 24]"
566,2.0,1.0,"[53, 72]"
794,1.0,1.0,[5]
88,3.0,1.0,"[114, 129, 131]"
557,1.0,1.0,[44]
61,1.0,1.0,[46]
482,1.0,1.0,[119]
562,2.0,1.0,"[159, 169]"
510,3.0,1.0,"[144, 159, 170]"
551,2.0,1.0,"[65, 71]"
79,1.0,1.0,[51]
148,1.0,1.0,[41]
423,3.0,1.0,"[17, 23, 26]"
497,5.0,1.0,"[110, 134, 144, 150, 151]"
778,1.0,1.0,[38]
277,4.0,1.0,"[88, 94, 113, 117]"
