,used,exhausted,rounds
362,1.0,1.0,[0]
798,1.0,1.0,[0]
97,1.0,1.0,[0]
695,1.0,1.0,[0]
437,1.0,1.0,[0]
679,1.0,1.0,[0]
273,1.0,1.0,[0]
268,1.0,1.0,[0]
610,1.0,1.0,[0]
363,1.0,1.0,[0]
792,1.0,1.0,[0]
748,1.0,1.0,[0]
773,1.0,1.0,[0]
115,1.0,1.0,[0]
239,1.0,1.0,[0]
432,1.0,1.0,[0]
187,1.0,1.0,[0]
285,1.0,1.0,[0]
158,1.0,1.0,[0]
586,1.0,1.0,[0]
435,1.0,1.0,[0]
694,1.0,1.0,[0]
790,1.0,1.0,[0]
779,1.0,1.0,[0]
333,1.0,1.0,[0]
365,1.0,1.0,[0]
428,1.0,1.0,[0]
375,1.0,1.0,[0]
261,1.0,1.0,[0]
193,1.0,1.0,[0]
354,1.0,1.0,[0]
306,1.0,1.0,[0]
579,1.0,1.0,[0]
182,1.0,1.0,[0]
412,1.0,1.0,[0]
192,1.0,1.0,[0]
442,1.0,1.0,[0]
711,1.0,1.0,[0]
706,1.0,1.0,[0]
76,1.0,1.0,[0]
315,1.0,1.0,[38]
753,2.0,1.0,"[174, 175]"
404,1.0,1.0,[23]
223,4.0,1.0,"[70, 73, 74, 75]"
574,2.0,1.0,"[71, 139]"
288,1.0,1.0,[65]
20,2.0,1.0,"[112, 113]"
602,1.0,1.0,[72]
355,4.0,1.0,"[107, 108, 109, 110]"
618,1.0,1.0,[8]
160,1.0,1.0,[80]
776,2.0,1.0,"[177, 178]"
461,1.0,1.0,[96]
617,2.0,1.0,"[63, 78]"
513,4.0,1.0,"[177, 178, 179, 180]"
341,3.0,1.0,"[106, 107, 108]"
109,2.0,1.0,"[66, 82]"
568,1.0,1.0,[141]
614,2.0,1.0,"[181, 182]"
110,6.0,1.0,"[132, 158, 159, 163, 166, 170]"
389,6.0,1.0,"[134, 135, 136, 137, 138, 139]"
613,4.0,1.0,"[42, 44, 45, 46]"
238,2.0,1.0,"[76, 112]"
500,1.0,1.0,[24]
571,2.0,1.0,"[38, 127]"
229,1.0,1.0,[90]
211,4.0,1.0,"[122, 123, 124, 125]"
59,1.0,1.0,[151]
667,2.0,1.0,"[81, 124]"
321,2.0,1.0,"[107, 108]"
631,1.0,1.0,[44]
336,1.0,1.0,[15]
258,2.0,1.0,"[6, 85]"
410,1.0,1.0,[17]
743,2.0,1.0,"[174, 175]"
505,3.0,1.0,"[42, 80, 105]"
796,1.0,1.0,[179]
532,1.0,1.0,[88]
585,1.0,1.0,[119]
594,2.0,1.0,"[62, 80]"
391,1.0,1.0,[41]
758,5.0,1.0,"[9, 24, 43, 45, 50]"
395,1.0,1.0,[109]
630,1.0,1.0,[178]
15,2.0,1.0,"[5, 91]"
11,1.0,1.0,[111]
100,1.0,1.0,[100]
693,1.0,1.0,[64]
369,4.0,1.0,"[34, 55, 57, 58]"
45,1.0,1.0,[131]
689,1.0,1.0,[179]
349,1.0,1.0,[123]
597,4.0,1.0,"[65, 72, 119, 161]"
269,1.0,1.0,[6]
126,1.0,1.0,[11]
418,1.0,1.0,[51]
486,3.0,1.0,"[34, 51, 52]"
309,1.0,1.0,[98]
208,1.0,1.0,[47]
256,1.0,1.0,[24]
619,2.0,1.0,"[20, 46]"
184,4.0,1.0,"[100, 146, 163, 170]"
508,1.0,1.0,[181]
487,1.0,1.0,[68]
493,2.0,1.0,"[171, 172]"
457,1.0,1.0,[36]
427,2.0,1.0,"[97, 149]"
271,1.0,1.0,[29]
683,2.0,1.0,"[184, 185]"
730,1.0,1.0,[17]
414,1.0,1.0,[94]
434,7.0,1.0,"[54, 85, 128, 135, 164, 168, 169]"
114,1.0,1.0,[116]
394,2.0,1.0,"[47, 79]"
173,1.0,1.0,[36]
777,1.0,1.0,[14]
741,1.0,1.0,[184]
16,4.0,1.0,"[4, 45, 64, 84]"
582,1.0,1.0,[82]
67,3.0,1.0,"[88, 148, 165]"
485,2.0,1.0,"[2, 92]"
669,2.0,1.0,"[40, 82]"
149,1.0,1.0,[87]
308,1.0,1.0,[94]
300,4.0,1.0,"[26, 47, 52, 53]"
415,3.0,1.0,"[102, 103, 111]"
289,1.0,1.0,[40]
556,3.0,1.0,"[24, 134, 142]"
290,3.0,1.0,"[7, 73, 104]"
512,4.0,1.0,"[51, 142, 160, 168]"
357,1.0,1.0,[18]
407,1.0,1.0,[7]
279,1.0,1.0,[53]
137,1.0,1.0,[30]
313,2.0,1.0,"[104, 123]"
210,2.0,1.0,"[67, 114]"
19,1.0,1.0,[27]
538,1.0,1.0,[4]
558,1.0,1.0,[11]
727,2.0,1.0,"[176, 177]"
292,1.0,1.0,[76]
725,1.0,1.0,[7]
426,1.0,1.0,[65]
291,3.0,1.0,"[103, 137, 138]"
754,2.0,1.0,"[30, 31]"
26,1.0,1.0,[46]
393,5.0,1.0,"[107, 108, 109, 110, 111]"
332,1.0,1.0,[99]
527,2.0,1.0,"[101, 141]"
765,1.0,1.0,[174]
707,2.0,1.0,"[18, 35]"
587,4.0,1.0,"[10, 171, 176, 177]"
492,3.0,1.0,"[78, 87, 129]"
593,1.0,1.0,[63]
463,3.0,1.0,"[66, 113, 118]"
390,1.0,1.0,[107]
86,1.0,1.0,[142]
672,3.0,1.0,"[5, 63, 64]"
718,1.0,1.0,[151]
82,2.0,1.0,"[82, 119]"
96,3.0,1.0,"[37, 138, 156]"
637,2.0,1.0,"[65, 67]"
424,2.0,1.0,"[1, 82]"
220,1.0,1.0,[122]
104,1.0,1.0,[87]
304,3.0,1.0,"[127, 165, 168]"
370,3.0,1.0,"[109, 114, 116]"
676,1.0,1.0,[24]
382,1.0,1.0,[16]
119,1.0,1.0,[105]
361,2.0,1.0,"[126, 131]"
452,1.0,1.0,[64]
101,2.0,1.0,"[156, 165]"
165,3.0,1.0,"[67, 105, 149]"
684,1.0,1.0,[183]
535,1.0,1.0,[64]
714,1.0,1.0,[174]
63,1.0,1.0,[64]
399,1.0,1.0,[77]
305,1.0,1.0,[134]
544,1.0,1.0,[47]
611,3.0,1.0,"[174, 175, 176]"
460,5.0,1.0,"[4, 33, 35, 37, 38]"
634,1.0,1.0,[42]
281,1.0,1.0,[60]
81,3.0,1.0,"[114, 149, 163]"
50,2.0,1.0,"[45, 145]"
260,1.0,1.0,[27]
216,1.0,1.0,[102]
455,1.0,1.0,[121]
744,2.0,1.0,"[13, 80]"
552,1.0,1.0,[6]
91,1.0,1.0,[164]
317,2.0,1.0,"[104, 107]"
188,1.0,1.0,[121]
757,1.0,1.0,[32]
385,4.0,1.0,"[117, 140, 141, 142]"
709,1.0,1.0,[173]
678,1.0,1.0,[175]
242,1.0,1.0,[159]
747,2.0,1.0,"[177, 178]"
133,5.0,1.0,"[28, 46, 59, 60, 61]"
65,1.0,1.0,[62]
87,2.0,1.0,"[12, 125]"
23,1.0,1.0,[5]
780,1.0,1.0,[176]
522,1.0,1.0,[16]
742,3.0,1.0,"[152, 153, 154]"
465,2.0,1.0,"[100, 101]"
438,1.0,1.0,[7]
75,3.0,1.0,"[96, 133, 148]"
642,2.0,1.0,"[172, 173]"
523,2.0,1.0,"[41, 104]"
596,1.0,1.0,[11]
248,2.0,1.0,"[76, 77]"
566,2.0,1.0,"[4, 77]"
794,1.0,1.0,[56]
88,3.0,1.0,"[96, 143, 148]"
557,1.0,1.0,[58]
61,1.0,1.0,[49]
482,1.0,1.0,[86]
562,2.0,1.0,"[75, 79]"
510,3.0,1.0,"[3, 80, 95]"
551,2.0,1.0,"[46, 103]"
79,1.0,1.0,[83]
148,1.0,1.0,[19]
423,3.0,1.0,"[183, 184, 185]"
497,5.0,1.0,"[72, 105, 130, 157, 169]"
778,1.0,1.0,[73]
277,4.0,1.0,"[20, 21, 22, 23]"
