,used,exhausted,rounds
290,1.0,1.0,[0]
588,1.0,1.0,[0]
392,1.0,1.0,[0]
451,1.0,1.0,[0]
794,1.0,1.0,[0]
16,1.0,1.0,[0]
33,1.0,1.0,[0]
508,1.0,1.0,[0]
62,1.0,1.0,[0]
406,1.0,1.0,[0]
347,1.0,1.0,[0]
535,1.0,1.0,[0]
790,1.0,1.0,[0]
282,1.0,1.0,[0]
740,1.0,1.0,[0]
123,1.0,1.0,[0]
356,1.0,1.0,[0]
509,1.0,1.0,[0]
119,1.0,1.0,[0]
435,1.0,1.0,[0]
317,1.0,1.0,[0]
218,1.0,1.0,[0]
172,1.0,1.0,[0]
555,1.0,1.0,[0]
491,1.0,1.0,[0]
107,1.0,1.0,[0]
46,1.0,1.0,[0]
711,1.0,1.0,[0]
355,1.0,1.0,[0]
448,1.0,1.0,[0]
545,1.0,1.0,[0]
772,1.0,1.0,[0]
122,1.0,1.0,[0]
739,1.0,1.0,[0]
309,1.0,1.0,[0]
467,1.0,1.0,[0]
252,1.0,1.0,[0]
677,1.0,1.0,[0]
176,1.0,1.0,[0]
226,1.0,1.0,[0]
175,1.0,1.0,[57]
178,2.0,1.0,"[142, 180]"
708,1.0,1.0,[77]
376,4.0,1.0,"[75, 152, 164, 165]"
639,2.0,1.0,"[146, 179]"
285,1.0,1.0,[108]
628,2.0,1.0,"[97, 109]"
198,1.0,1.0,[27]
506,4.0,1.0,"[55, 173, 180, 182]"
2,1.0,1.0,[42]
191,1.0,1.0,[98]
609,2.0,1.0,"[60, 108]"
633,1.0,1.0,[117]
69,2.0,1.0,"[46, 58]"
662,4.0,1.0,"[28, 67, 81, 112]"
49,3.0,1.0,"[22, 25, 33]"
655,2.0,1.0,"[110, 171]"
603,1.0,1.0,[122]
777,2.0,1.0,"[9, 118]"
364,6.0,1.0,"[4, 24, 27, 29, 34, 36]"
189,6.0,1.0,"[12, 33, 51, 52, 53, 54]"
264,4.0,1.0,"[11, 42, 99, 100]"
787,2.0,1.0,"[72, 73]"
279,1.0,1.0,[58]
251,2.0,1.0,"[68, 76]"
611,1.0,1.0,[9]
690,4.0,1.0,"[12, 122, 141, 144]"
635,1.0,1.0,[75]
39,2.0,1.0,"[35, 70]"
573,2.0,1.0,"[126, 127]"
365,1.0,1.0,[2]
160,1.0,1.0,[109]
590,2.0,1.0,"[36, 46]"
15,1.0,1.0,[61]
789,2.0,1.0,"[27, 36]"
456,3.0,1.0,"[20, 82, 87]"
785,1.0,1.0,[129]
8,1.0,1.0,[51]
129,1.0,1.0,[20]
