,used,exhausted,rounds
627,1.0,1.0,[0]
666,1.0,1.0,[0]
577,1.0,1.0,[0]
481,1.0,1.0,[0]
389,1.0,1.0,[0]
196,1.0,1.0,[0]
349,1.0,1.0,[0]
214,1.0,1.0,[0]
360,1.0,1.0,[0]
141,1.0,1.0,[0]
410,1.0,1.0,[0]
621,1.0,1.0,[0]
733,1.0,1.0,[0]
471,1.0,1.0,[0]
84,1.0,1.0,[0]
127,1.0,1.0,[0]
239,1.0,1.0,[0]
293,1.0,1.0,[0]
533,1.0,1.0,[0]
634,1.0,1.0,[0]
716,1.0,1.0,[0]
477,1.0,1.0,[0]
100,1.0,1.0,[0]
333,1.0,1.0,[0]
593,1.0,1.0,[0]
374,1.0,1.0,[0]
218,1.0,1.0,[0]
512,1.0,1.0,[0]
309,1.0,1.0,[0]
790,1.0,1.0,[0]
797,1.0,1.0,[0]
211,1.0,1.0,[0]
32,1.0,1.0,[0]
249,1.0,1.0,[0]
359,1.0,1.0,[0]
237,1.0,1.0,[0]
798,1.0,1.0,[0]
565,1.0,1.0,[0]
285,1.0,1.0,[0]
142,1.0,1.0,[0]
326,1.0,1.0,[184]
150,2.0,1.0,"[181, 182]"
324,1.0,1.0,[173]
310,4.0,1.0,"[174, 175, 176, 177]"
98,2.0,1.0,"[178, 179]"
429,1.0,1.0,[159]
317,2.0,1.0,"[160, 161]"
177,1.0,1.0,[162]
67,4.0,1.0,"[163, 164, 165, 166]"
388,1.0,1.0,[167]
134,1.0,1.0,[127]
682,2.0,1.0,"[128, 129]"
226,1.0,1.0,[130]
79,2.0,1.0,"[131, 132]"
619,4.0,1.0,"[133, 134, 135, 136]"
178,3.0,1.0,"[137, 138, 139]"
25,2.0,1.0,"[140, 141]"
304,1.0,1.0,[142]
604,2.0,1.0,"[143, 144]"
658,6.0,1.0,"[145, 146, 147, 148, 149, 150]"
193,6.0,1.0,"[62, 63, 64, 65, 66, 67]"
174,4.0,1.0,"[68, 69, 70, 71]"
735,2.0,1.0,"[72, 73]"
357,1.0,1.0,[74]
24,2.0,1.0,"[75, 76]"
461,1.0,1.0,[77]
455,4.0,1.0,"[78, 79, 80, 81]"
427,1.0,1.0,[82]
246,2.0,1.0,"[83, 84]"
195,2.0,1.0,"[85, 86]"
90,1.0,1.0,[87]
10,1.0,1.0,[88]
753,2.0,1.0,"[89, 90]"
191,1.0,1.0,[91]
709,2.0,1.0,"[92, 93]"
205,3.0,1.0,"[94, 95, 96]"
296,1.0,1.0,[97]
43,1.0,1.0,[98]
392,1.0,1.0,[99]
49,2.0,1.0,"[100, 101]"
580,1.0,1.0,[102]
453,5.0,1.0,"[1, 2, 3, 4, 5]"
369,1.0,1.0,[6]
279,1.0,1.0,[7]
470,2.0,1.0,"[8, 9]"
53,1.0,1.0,[10]
522,1.0,1.0,[11]
338,1.0,1.0,[12]
128,4.0,1.0,"[13, 14, 15, 16]"
680,1.0,1.0,[17]
757,1.0,1.0,[18]
6,1.0,1.0,[19]
479,4.0,1.0,"[20, 21, 22, 23]"
182,1.0,1.0,[24]
514,1.0,1.0,[25]
89,1.0,1.0,[26]
685,3.0,1.0,"[27, 28, 29]"
786,1.0,1.0,[30]
316,1.0,1.0,[31]
729,1.0,1.0,[32]
54,2.0,1.0,"[33, 34]"
586,4.0,1.0,"[35, 36, 37, 38]"
502,1.0,1.0,[39]
130,1.0,1.0,[40]
419,2.0,1.0,"[41, 42]"
83,1.0,1.0,[43]
697,2.0,1.0,"[44, 45]"
454,1.0,1.0,[46]
11,2.0,1.0,"[47, 48]"
608,1.0,1.0,[49]
661,1.0,1.0,[50]
320,7.0,1.0,"[51, 52, 53, 54, 55, 56, 57]"
486,1.0,1.0,[58]
679,2.0,1.0,"[59, 60]"
611,1.0,1.0,[61]
725,1.0,1.0,[103]
458,1.0,1.0,[104]
240,4.0,1.0,"[105, 106, 107, 108]"
759,1.0,1.0,[109]
462,3.0,1.0,"[110, 111, 112]"
474,2.0,1.0,"[113, 114]"
413,2.0,1.0,"[115, 116]"
602,1.0,1.0,[117]
244,1.0,1.0,[118]
96,4.0,1.0,"[119, 120, 121, 122]"
80,3.0,1.0,"[123, 124, 125]"
541,1.0,1.0,[126]
231,3.0,1.0,"[151, 152, 153]"
516,3.0,1.0,"[154, 155, 156]"
704,4.0,1.0,"[157, 158, 168, 169]"
341,1.0,1.0,[170]
152,1.0,1.0,[171]
630,1.0,1.0,[172]
241,1.0,1.0,[180]
737,2.0,1.0,"[183, 185]"
654,2.0,1.0,"[185, 186]"
168,1.0,1.0,[185]
437,1.0,1.0,[183]
190,1.0,1.0,[184]
136,2.0,1.0,"[183, 185]"
594,1.0,1.0,[181]
406,1.0,1.0,[182]
620,1.0,1.0,[182]
524,3.0,1.0,"[180, 183, 184]"
151,2.0,1.0,"[173, 181]"
104,1.0,1.0,[174]
480,5.0,1.0,"[175, 176, 177, 181, 183]"
668,1.0,1.0,[178]
742,2.0,1.0,"[179, 180]"
424,1.0,1.0,[177]
19,2.0,1.0,"[180, 182]"
113,4.0,1.0,"[178, 181, 182, 184]"
81,3.0,1.0,"[159, 172, 173]"
644,1.0,1.0,[160]
595,3.0,1.0,"[161, 179, 181]"
637,1.0,1.0,[162]
44,1.0,1.0,[173]
232,3.0,1.0,"[163, 164, 165]"
583,1.0,1.0,[166]
548,2.0,1.0,"[174, 184]"
532,3.0,1.0,"[167, 175, 176]"
684,2.0,1.0,"[168, 169]"
318,2.0,1.0,"[174, 175]"
754,1.0,1.0,[170]
39,1.0,1.0,[172]
265,3.0,1.0,"[167, 171, 172]"
428,3.0,1.0,"[168, 169, 172]"
711,1.0,1.0,[175]
645,1.0,1.0,[159]
322,1.0,1.0,[170]
691,2.0,1.0,"[160, 176]"
71,1.0,1.0,[161]
758,2.0,1.0,"[159, 173]"
288,3.0,1.0,"[127, 162, 171]"
92,1.0,1.0,[128]
403,1.0,1.0,[129]
553,1.0,1.0,[160]
143,1.0,1.0,[130]
161,1.0,1.0,[176]
531,1.0,1.0,[131]
306,1.0,1.0,[132]
529,3.0,1.0,"[161, 163, 164]"
33,5.0,1.0,"[133, 134, 135, 136, 165]"
650,1.0,1.0,[137]
149,1.0,1.0,[138]
398,3.0,1.0,"[139, 162, 164]"
694,2.0,1.0,"[140, 141]"
472,1.0,1.0,[177]
638,1.0,1.0,[142]
390,1.0,1.0,[163]
674,2.0,1.0,"[143, 144]"
308,1.0,1.0,[164]
507,1.0,1.0,[145]
242,2.0,1.0,"[146, 147]"
34,1.0,1.0,[148]
267,1.0,1.0,[149]
567,4.0,1.0,"[150, 165, 166, 174]"
18,1.0,1.0,[151]
287,1.0,1.0,[152]
358,1.0,1.0,[142]
101,2.0,1.0,"[153, 174]"
387,5.0,1.0,"[154, 155, 156, 165, 166]"
449,1.0,1.0,[143]
17,2.0,1.0,"[144, 157]"
13,1.0,1.0,[158]
228,1.0,1.0,[127]
305,1.0,1.0,[62]
686,3.0,1.0,"[63, 64, 65]"
421,2.0,1.0,"[66, 67]"
460,1.0,1.0,[145]
513,3.0,1.0,"[68, 69, 70]"
408,2.0,1.0,"[71, 128]"
484,2.0,1.0,"[72, 73]"
497,1.0,1.0,[167]
446,2.0,1.0,"[74, 129]"
615,2.0,1.0,"[75, 76]"
215,1.0,1.0,[146]
692,3.0,1.0,"[77, 147, 160]"
82,1.0,1.0,[78]
176,1.0,1.0,[79]
618,1.0,1.0,[80]
63,2.0,1.0,"[81, 130]"
677,3.0,1.0,"[82, 148, 166]"
120,2.0,1.0,"[83, 84]"
440,1.0,1.0,[127]
447,1.0,1.0,[85]
756,3.0,1.0,"[86, 149, 177]"
351,5.0,1.0,"[87, 131, 150, 161, 167]"
223,1.0,1.0,[88]
298,4.0,1.0,"[128, 132, 151, 163]"
506,1.0,1.0,[89]
490,2.0,1.0,"[90, 152]"
515,1.0,1.0,[91]
381,1.0,1.0,[129]
276,2.0,1.0,"[92, 93]"
315,1.0,1.0,[133]
339,2.0,1.0,"[94, 95]"
519,1.0,1.0,[96]
391,2.0,1.0,"[134, 135]"
560,1.0,1.0,[97]
587,3.0,1.0,"[136, 162, 168]"
238,1.0,1.0,[98]
111,1.0,1.0,[130]
623,2.0,1.0,"[99, 137]"
656,1.0,1.0,[100]
799,1.0,1.0,[101]
669,1.0,1.0,[153]
187,1.0,1.0,[102]
781,2.0,1.0,"[138, 164]"
732,1.0,1.0,[103]
343,2.0,1.0,"[131, 135]"
667,4.0,1.0,"[104, 132, 139, 154]"
131,1.0,1.0,[105]
5,1.0,1.0,[106]
3,6.0,1.0,"[107, 108, 136, 140, 141, 155]"
718,4.0,1.0,"[109, 133, 137, 156]"
221,1.0,1.0,[110]
635,3.0,1.0,"[111, 112, 134]"
132,1.0,1.0,[113]
126,1.0,1.0,[95]
60,1.0,1.0,[114]
561,2.0,1.0,"[96, 135]"
598,1.0,1.0,[115]
712,5.0,1.0,"[97, 116, 142, 163, 167]"
537,2.0,1.0,"[117, 138]"
253,5.0,1.0,"[98, 118, 136, 157, 169]"
156,1.0,1.0,[119]
59,2.0,1.0,"[99, 120]"
275,2.0,1.0,"[100, 121]"
97,5.0,1.0,"[101, 122, 137, 139, 158]"
573,1.0,1.0,[123]
632,1.0,1.0,[62]
695,3.0,1.0,"[102, 124, 125]"
135,1.0,1.0,[63]
766,1.0,1.0,[64]
776,1.0,1.0,[65]
651,1.0,1.0,[140]
500,2.0,1.0,"[66, 67]"
245,1.0,1.0,[103]
665,1.0,1.0,[126]
744,1.0,1.0,[68]
693,1.0,1.0,[69]
653,1.0,1.0,[70]
94,2.0,1.0,"[138, 141]"
297,1.0,1.0,[71]
578,1.0,1.0,[104]
780,2.0,1.0,"[72, 73]"
352,1.0,1.0,[143]
234,1.0,1.0,[105]
432,2.0,1.0,"[62, 74]"
575,4.0,1.0,"[128, 139, 164, 168]"
109,4.0,1.0,"[63, 75, 76, 106]"
286,3.0,1.0,"[64, 140, 142]"
469,2.0,1.0,"[65, 77]"
301,2.0,1.0,"[107, 108]"
436,1.0,1.0,[66]
640,4.0,1.0,"[67, 78, 129, 141]"
622,1.0,1.0,[79]
466,1.0,1.0,[109]
422,1.0,1.0,[68]
145,1.0,1.0,[80]
559,1.0,1.0,[69]
596,2.0,1.0,"[144, 165]"
362,1.0,1.0,[70]
562,1.0,1.0,[81]
791,1.0,1.0,[1]
647,1.0,1.0,[2]
648,1.0,1.0,[3]
372,1.0,1.0,[4]
770,5.0,1.0,"[5, 110, 175, 177, 182]"
678,7.0,1.0,"[6, 71, 82, 111, 112, 145, 168]"
763,2.0,1.0,"[7, 83]"
527,1.0,1.0,[8]
714,3.0,1.0,"[9, 72, 73]"
538,1.0,1.0,[10]
74,2.0,1.0,"[84, 113]"
62,1.0,1.0,[11]
450,2.0,1.0,"[130, 142]"
355,3.0,1.0,"[12, 85, 114]"
22,1.0,1.0,[13]
546,1.0,1.0,[14]
499,5.0,1.0,"[15, 16, 74, 86, 133]"
144,1.0,1.0,[17]
509,4.0,1.0,"[87, 143, 165, 166]"
336,1.0,1.0,[18]
554,5.0,1.0,"[75, 76, 88, 115, 134]"
248,2.0,1.0,"[19, 116]"
202,1.0,1.0,[20]
407,3.0,1.0,"[21, 22, 23]"
41,3.0,1.0,"[77, 89, 131]"
386,1.0,1.0,[24]
599,2.0,1.0,"[90, 117]"
713,1.0,1.0,[25]
783,4.0,1.0,"[78, 83, 91, 146]"
778,3.0,1.0,"[26, 79, 84]"
26,1.0,1.0,[27]
642,1.0,1.0,[28]
792,1.0,1.0,[29]
508,2.0,1.0,"[118, 132]"
687,1.0,1.0,[30]
291,4.0,1.0,"[80, 92, 93, 119]"
312,1.0,1.0,[31]
259,1.0,1.0,[85]
755,1.0,1.0,[32]
375,1.0,1.0,[81]
266,2.0,1.0,"[33, 34]"
55,3.0,1.0,"[135, 144, 169]"
584,1.0,1.0,[35]
123,11.0,1.0,"[36, 37, 38, 86, 94, 95, 120, 147, 175, 182, 185]"
789,1.0,1.0,[39]
140,1.0,1.0,[1]
35,2.0,1.0,"[82, 87]"
730,1.0,1.0,[2]
542,1.0,1.0,[40]
748,3.0,1.0,"[3, 83, 121]"
159,6.0,1.0,"[4, 41, 42, 84, 88, 96]"
581,1.0,1.0,[5]
699,1.0,1.0,[43]
175,4.0,1.0,"[6, 133, 143, 145]"
749,5.0,1.0,"[7, 44, 45, 89, 122]"
330,1.0,1.0,[8]
501,1.0,1.0,[46]
703,2.0,1.0,"[9, 85]"
452,2.0,1.0,"[10, 47]"
465,2.0,1.0,"[48, 90]"
158,2.0,1.0,"[11, 49]"
761,1.0,1.0,[97]
