,used,exhausted,rounds
547,1.0,1.0,[0]
440,1.0,1.0,[0]
35,1.0,1.0,[0]
458,1.0,1.0,[0]
365,1.0,1.0,[0]
244,1.0,1.0,[0]
88,1.0,1.0,[0]
329,1.0,1.0,[0]
768,1.0,1.0,[0]
689,1.0,1.0,[0]
263,1.0,1.0,[0]
787,1.0,1.0,[0]
169,1.0,1.0,[0]
100,1.0,1.0,[0]
359,1.0,1.0,[0]
603,1.0,1.0,[0]
644,1.0,1.0,[0]
364,1.0,1.0,[0]
549,1.0,1.0,[0]
47,1.0,1.0,[0]
729,1.0,1.0,[0]
777,1.0,1.0,[0]
710,1.0,1.0,[0]
744,1.0,1.0,[0]
798,1.0,1.0,[0]
95,1.0,1.0,[0]
562,1.0,1.0,[0]
93,1.0,1.0,[0]
185,1.0,1.0,[0]
601,1.0,1.0,[0]
128,1.0,1.0,[0]
119,1.0,1.0,[0]
701,1.0,1.0,[0]
581,1.0,1.0,[0]
679,1.0,1.0,[0]
690,1.0,1.0,[0]
509,1.0,1.0,[0]
262,1.0,1.0,[0]
97,1.0,1.0,[0]
599,1.0,1.0,[0]
110,1.0,1.0,[121]
627,2.0,1.0,"[109, 117]"
192,1.0,1.0,[37]
486,4.0,1.0,"[70, 71, 72, 75]"
753,2.0,1.0,"[115, 170]"
442,1.0,1.0,[79]
589,2.0,1.0,"[115, 122]"
556,1.0,1.0,[141]
629,4.0,1.0,"[36, 37, 38, 59]"
441,1.0,1.0,[139]
447,1.0,1.0,[113]
595,2.0,1.0,"[146, 149]"
730,1.0,1.0,[88]
484,2.0,1.0,"[111, 156]"
388,4.0,1.0,"[139, 143, 147, 148]"
48,3.0,1.0,"[27, 102, 114]"
313,2.0,1.0,"[69, 167]"
402,1.0,1.0,[169]
134,2.0,1.0,"[154, 161]"
772,6.0,1.0,"[130, 133, 140, 141, 145, 146]"
188,6.0,1.0,"[86, 106, 107, 108, 109, 111]"
480,4.0,1.0,"[75, 82, 96, 104]"
759,2.0,1.0,"[41, 43]"
497,1.0,1.0,[112]
312,2.0,1.0,"[151, 169]"
342,1.0,1.0,[78]
580,4.0,1.0,"[124, 130, 136, 140]"
156,1.0,1.0,[1]
77,2.0,1.0,"[134, 141]"
422,2.0,1.0,"[30, 66]"
687,1.0,1.0,[69]
688,1.0,1.0,[51]
22,2.0,1.0,"[161, 164]"
393,1.0,1.0,[131]
40,2.0,1.0,"[40, 62]"
542,3.0,1.0,"[87, 91, 100]"
225,1.0,1.0,[155]
38,1.0,1.0,[60]
75,1.0,1.0,[99]
165,2.0,1.0,"[11, 21]"
307,1.0,1.0,[131]
344,5.0,1.0,"[97, 125, 126, 132, 135]"
294,1.0,1.0,[9]
21,1.0,1.0,[95]
582,2.0,1.0,"[117, 128]"
694,1.0,1.0,[181]
306,1.0,1.0,[2]
218,1.0,1.0,[88]
