,used,exhausted,rounds
220,1.0,1.0,[0]
528,1.0,1.0,[0]
499,1.0,1.0,[0]
308,1.0,1.0,[0]
709,1.0,1.0,[0]
14,1.0,1.0,[0]
346,1.0,1.0,[0]
492,1.0,1.0,[0]
666,1.0,1.0,[0]
426,1.0,1.0,[0]
261,1.0,1.0,[0]
26,1.0,1.0,[0]
75,1.0,1.0,[0]
758,1.0,1.0,[0]
273,1.0,1.0,[0]
311,1.0,1.0,[0]
137,1.0,1.0,[0]
166,1.0,1.0,[0]
310,1.0,1.0,[0]
412,1.0,1.0,[0]
474,1.0,1.0,[0]
609,1.0,1.0,[0]
161,1.0,1.0,[0]
524,1.0,1.0,[0]
764,1.0,1.0,[0]
597,1.0,1.0,[0]
254,1.0,1.0,[0]
796,1.0,1.0,[0]
495,1.0,1.0,[0]
124,1.0,1.0,[0]
496,1.0,1.0,[0]
341,1.0,1.0,[0]
302,1.0,1.0,[0]
100,1.0,1.0,[0]
561,1.0,1.0,[0]
249,1.0,1.0,[0]
214,1.0,1.0,[0]
312,1.0,1.0,[0]
208,1.0,1.0,[0]
103,1.0,1.0,[0]
211,1.0,1.0,[36]
613,2.0,1.0,"[163, 170]"
142,1.0,1.0,[1]
611,4.0,1.0,"[164, 168, 170, 171]"
435,2.0,1.0,"[11, 12]"
338,1.0,1.0,[80]
349,2.0,1.0,"[45, 68]"
386,1.0,1.0,[181]
384,4.0,1.0,"[167, 174, 178, 179]"
219,1.0,1.0,[128]
31,1.0,1.0,[11]
783,2.0,1.0,"[51, 52]"
226,1.0,1.0,[177]
292,2.0,1.0,"[22, 23]"
700,4.0,1.0,"[125, 128, 130, 131]"
376,3.0,1.0,"[145, 150, 151]"
22,2.0,1.0,"[32, 33]"
712,1.0,1.0,[68]
740,2.0,1.0,"[157, 158]"
46,6.0,1.0,"[103, 108, 115, 117, 118, 119]"
456,6.0,1.0,"[27, 36, 37, 40, 41, 42]"
350,4.0,1.0,"[9, 10, 11, 12]"
278,2.0,1.0,"[92, 100]"
5,1.0,1.0,[11]
781,2.0,1.0,"[183, 184]"
135,1.0,1.0,[38]
287,4.0,1.0,"[141, 146, 148, 150]"
588,1.0,1.0,[131]
250,2.0,1.0,"[3, 4]"
757,2.0,1.0,"[29, 57]"
37,1.0,1.0,[26]
678,1.0,1.0,[107]
156,2.0,1.0,"[19, 23]"
455,1.0,1.0,[84]
25,2.0,1.0,"[64, 81]"
388,3.0,1.0,"[152, 158, 159]"
47,1.0,1.0,[40]
577,1.0,1.0,[39]
424,1.0,1.0,[132]
313,2.0,1.0,"[27, 28]"
119,1.0,1.0,[143]
669,5.0,1.0,"[161, 162, 166, 167, 168]"
754,1.0,1.0,[27]
62,1.0,1.0,[133]
600,2.0,1.0,"[133, 138]"
71,1.0,1.0,[86]
515,1.0,1.0,[70]
48,1.0,1.0,[54]
543,4.0,1.0,"[11, 24, 25, 27]"
247,1.0,1.0,[1]
602,1.0,1.0,[163]
451,1.0,1.0,[7]
243,4.0,1.0,"[2, 10, 15, 21]"
650,1.0,1.0,[80]
295,1.0,1.0,[181]
190,1.0,1.0,[97]
228,3.0,1.0,"[58, 59, 61]"
371,1.0,1.0,[124]
235,1.0,1.0,[176]
571,1.0,1.0,[25]
480,2.0,1.0,"[45, 94]"
791,4.0,1.0,"[30, 61, 62, 63]"
658,1.0,1.0,[140]
562,1.0,1.0,[108]
442,2.0,1.0,"[161, 164]"
0,1.0,1.0,[137]
382,2.0,1.0,"[30, 42]"
594,1.0,1.0,[90]
622,2.0,1.0,"[40, 41]"
576,1.0,1.0,[39]
274,1.0,1.0,[51]
44,7.0,1.0,"[108, 122, 124, 128, 132, 133, 136]"
784,1.0,1.0,[11]
307,2.0,1.0,"[21, 76]"
171,1.0,1.0,[60]
746,1.0,1.0,[142]
768,1.0,1.0,[132]
251,4.0,1.0,"[61, 62, 63, 64]"
623,1.0,1.0,[16]
431,3.0,1.0,"[85, 86, 87]"
615,2.0,1.0,"[31, 32]"
106,2.0,1.0,"[145, 150]"
324,1.0,1.0,[24]
739,1.0,1.0,[36]
326,4.0,1.0,"[154, 155, 156, 157]"
293,3.0,1.0,"[174, 177, 178]"
269,1.0,1.0,[34]
730,3.0,1.0,"[24, 129, 130]"
201,3.0,1.0,"[65, 66, 67]"
183,4.0,1.0,"[64, 93, 100, 101]"
39,1.0,1.0,[104]
745,1.0,1.0,[153]
101,1.0,1.0,[164]
491,1.0,1.0,[169]
472,2.0,1.0,"[78, 80]"
422,2.0,1.0,"[102, 126]"
581,1.0,1.0,[2]
521,1.0,1.0,[130]
638,1.0,1.0,[9]
470,2.0,1.0,"[2, 13]"
631,1.0,1.0,[53]
735,1.0,1.0,[111]
680,1.0,1.0,[138]
449,3.0,1.0,"[181, 182, 183]"
69,2.0,1.0,"[184, 185]"
246,1.0,1.0,[8]
107,5.0,1.0,"[3, 37, 56, 58, 59]"
336,1.0,1.0,[30]
687,2.0,1.0,"[1, 6]"
773,1.0,1.0,[2]
396,2.0,1.0,"[71, 74]"
372,4.0,1.0,"[96, 99, 100, 106]"
447,3.0,1.0,"[94, 134, 135]"
741,1.0,1.0,[79]
400,3.0,1.0,"[31, 32, 34]"
714,1.0,1.0,[169]
300,1.0,1.0,[112]
210,3.0,1.0,"[16, 17, 18]"
169,1.0,1.0,[85]
146,2.0,1.0,"[150, 151]"
80,3.0,1.0,"[149, 152, 153]"
359,2.0,1.0,"[65, 66]"
465,2.0,1.0,"[184, 185]"
225,1.0,1.0,[157]
393,1.0,1.0,[167]
704,3.0,1.0,"[138, 140, 141]"
49,3.0,1.0,"[105, 106, 107]"
517,1.0,1.0,[137]
416,1.0,1.0,[17]
726,1.0,1.0,[163]
136,2.0,1.0,"[20, 21]"
662,1.0,1.0,[44]
788,2.0,1.0,"[136, 146]"
546,3.0,1.0,"[57, 69, 81]"
489,1.0,1.0,[9]
56,1.0,1.0,[114]
63,1.0,1.0,[182]
636,1.0,1.0,[135]
282,1.0,1.0,[143]
548,1.0,1.0,[28]
217,1.0,1.0,[124]
394,3.0,1.0,"[37, 43, 44]"
419,5.0,1.0,"[165, 168, 170, 172, 173]"
555,1.0,1.0,[15]
779,1.0,1.0,[48]
380,3.0,1.0,"[5, 109, 110]"
640,2.0,1.0,"[88, 96]"
334,1.0,1.0,[127]
268,1.0,1.0,[87]
258,1.0,1.0,[63]
230,2.0,1.0,"[47, 48]"
722,1.0,1.0,[116]
540,1.0,1.0,[72]
33,2.0,1.0,"[8, 55]"
761,1.0,1.0,[181]
3,1.0,1.0,[21]
325,4.0,1.0,"[121, 136, 144, 147]"
500,1.0,1.0,[47]
710,1.0,1.0,[90]
446,1.0,1.0,[161]
277,2.0,1.0,"[28, 29]"
387,5.0,1.0,"[102, 103, 104, 105, 110]"
259,1.0,1.0,[124]
330,2.0,1.0,"[49, 50]"
395,1.0,1.0,[61]
262,1.0,1.0,[8]
624,1.0,1.0,[6]
355,3.0,1.0,"[126, 143, 147]"
749,2.0,1.0,"[6, 32]"
762,1.0,1.0,[26]
129,3.0,1.0,"[50, 53, 54]"
587,2.0,1.0,"[135, 151]"
266,2.0,1.0,"[159, 160]"
430,1.0,1.0,[57]
318,2.0,1.0,"[111, 118]"
766,2.0,1.0,"[149, 151]"
165,1.0,1.0,[176]
162,3.0,1.0,"[46, 47, 48]"
632,1.0,1.0,[15]
719,1.0,1.0,[93]
51,1.0,1.0,[77]
488,2.0,1.0,"[102, 110]"
20,3.0,1.0,"[23, 25, 27]"
174,2.0,1.0,"[79, 94]"
152,1.0,1.0,[54]
575,1.0,1.0,[24]
549,3.0,1.0,"[175, 179, 180]"
86,5.0,1.0,"[121, 129, 132, 137, 143]"
748,1.0,1.0,[178]
463,4.0,1.0,"[121, 141, 143, 144]"
598,1.0,1.0,[105]
309,2.0,1.0,"[91, 107]"
203,1.0,1.0,[66]
637,1.0,1.0,[5]
276,2.0,1.0,"[13, 14]"
452,1.0,1.0,[162]
178,2.0,1.0,"[82, 91]"
298,1.0,1.0,[118]
102,2.0,1.0,"[94, 95]"
717,1.0,1.0,[3]
91,3.0,1.0,"[131, 135, 142]"
218,1.0,1.0,[156]
432,1.0,1.0,[53]
652,2.0,1.0,"[36, 40]"
128,1.0,1.0,[62]
572,1.0,1.0,[120]
473,1.0,1.0,[144]
363,1.0,1.0,[149]
443,2.0,1.0,"[4, 74]"
173,1.0,1.0,[56]
337,2.0,1.0,"[31, 41]"
511,4.0,1.0,"[83, 89, 91, 94]"
126,1.0,1.0,[48]
715,1.0,1.0,[67]
439,6.0,1.0,"[168, 169, 171, 177, 178, 179]"
477,4.0,1.0,"[7, 110, 112, 120]"
406,1.0,1.0,[22]
65,3.0,1.0,"[180, 182, 183]"
237,1.0,1.0,[160]
461,1.0,1.0,[154]
771,1.0,1.0,[125]
113,2.0,1.0,"[85, 103]"
743,1.0,1.0,[58]
699,5.0,1.0,"[162, 166, 167, 168, 169]"
264,2.0,1.0,"[21, 22]"
509,5.0,1.0,"[183, 184, 185, 186, 187]"
202,1.0,1.0,[57]
537,2.0,1.0,"[118, 134]"
603,2.0,1.0,"[66, 67]"
721,5.0,1.0,"[67, 68, 73, 75, 78]"
87,1.0,1.0,[16]
423,1.0,1.0,[138]
339,3.0,1.0,"[59, 60, 61]"
684,1.0,1.0,[5]
593,1.0,1.0,[177]
688,1.0,1.0,[148]
774,1.0,1.0,[138]
656,2.0,1.0,"[55, 56]"
109,1.0,1.0,[51]
655,1.0,1.0,[79]
681,1.0,1.0,[29]
79,1.0,1.0,[155]
256,1.0,1.0,[177]
236,2.0,1.0,"[50, 51]"
672,1.0,1.0,[23]
407,1.0,1.0,[133]
