,used,exhausted,rounds
106,1.0,1.0,[0]
699,1.0,1.0,[0]
507,1.0,1.0,[0]
269,1.0,1.0,[0]
760,1.0,1.0,[0]
29,1.0,1.0,[0]
255,1.0,1.0,[0]
545,1.0,1.0,[0]
737,1.0,1.0,[0]
617,1.0,1.0,[0]
501,1.0,1.0,[0]
762,1.0,1.0,[0]
266,1.0,1.0,[0]
158,1.0,1.0,[0]
670,1.0,1.0,[0]
212,1.0,1.0,[0]
303,1.0,1.0,[0]
795,1.0,1.0,[0]
594,1.0,1.0,[0]
110,1.0,1.0,[0]
117,1.0,1.0,[0]
494,1.0,1.0,[0]
389,1.0,1.0,[0]
128,1.0,1.0,[0]
532,1.0,1.0,[0]
554,1.0,1.0,[0]
186,1.0,1.0,[0]
147,1.0,1.0,[0]
523,1.0,1.0,[0]
785,1.0,1.0,[0]
298,1.0,1.0,[0]
454,1.0,1.0,[0]
72,1.0,1.0,[0]
402,1.0,1.0,[0]
485,1.0,1.0,[0]
756,1.0,1.0,[0]
302,1.0,1.0,[0]
182,1.0,1.0,[0]
238,1.0,1.0,[0]
286,1.0,1.0,[0]
214,1.0,1.0,[52]
261,2.0,1.0,"[142, 148]"
306,1.0,1.0,[79]
745,4.0,1.0,"[41, 42, 43, 44]"
489,2.0,1.0,"[19, 43]"
118,1.0,1.0,[54]
380,2.0,1.0,"[80, 87]"
230,1.0,1.0,[3]
538,4.0,1.0,"[11, 18, 19, 27]"
7,1.0,1.0,[99]
723,1.0,1.0,[38]
294,2.0,1.0,"[65, 68]"
94,1.0,1.0,[16]
330,2.0,1.0,"[106, 115]"
577,4.0,1.0,"[97, 133, 143, 148]"
211,3.0,1.0,"[147, 159, 162]"
263,2.0,1.0,"[137, 159]"
132,1.0,1.0,[118]
481,2.0,1.0,"[52, 60]"
103,6.0,1.0,"[107, 118, 126, 128, 132, 133]"
355,6.0,1.0,"[100, 131, 134, 135, 136, 137]"
540,4.0,1.0,"[37, 61, 77, 78]"
58,2.0,1.0,"[105, 108]"
54,1.0,1.0,[125]
64,2.0,1.0,"[4, 27]"
660,1.0,1.0,[124]
354,4.0,1.0,"[33, 34, 42, 43]"
316,1.0,1.0,[129]
436,2.0,1.0,"[138, 155]"
490,2.0,1.0,"[176, 178]"
411,1.0,1.0,[152]
131,1.0,1.0,[146]
773,2.0,1.0,"[126, 135]"
578,1.0,1.0,[40]
431,2.0,1.0,"[61, 91]"
682,3.0,1.0,"[85, 109, 113]"
715,1.0,1.0,[72]
43,1.0,1.0,[143]
5,1.0,1.0,[42]
747,2.0,1.0,"[143, 154]"
287,1.0,1.0,[49]
743,5.0,1.0,"[95, 101, 107, 108, 109]"
576,1.0,1.0,[108]
633,1.0,1.0,[4]
602,2.0,1.0,"[29, 30]"
61,1.0,1.0,[70]
704,1.0,1.0,[155]
55,1.0,1.0,[181]
196,4.0,1.0,"[175, 177, 178, 179]"
561,1.0,1.0,[69]
408,1.0,1.0,[66]
725,1.0,1.0,[24]
51,4.0,1.0,"[127, 134, 140, 142]"
754,1.0,1.0,[51]
712,1.0,1.0,[90]
424,1.0,1.0,[125]
222,3.0,1.0,"[71, 88, 97]"
385,1.0,1.0,[29]
406,1.0,1.0,[90]
207,1.0,1.0,[6]
440,2.0,1.0,"[139, 151]"
227,4.0,1.0,"[98, 119, 121, 122]"
69,1.0,1.0,[173]
372,1.0,1.0,[25]
26,2.0,1.0,"[50, 54]"
685,1.0,1.0,[1]
562,2.0,1.0,"[170, 171]"
611,1.0,1.0,[150]
741,2.0,1.0,"[152, 159]"
425,1.0,1.0,[161]
692,1.0,1.0,[76]
608,7.0,1.0,"[55, 92, 93, 103, 104, 108, 109]"
181,1.0,1.0,[135]
746,2.0,1.0,"[58, 62]"
659,1.0,1.0,[73]
81,1.0,1.0,[55]
432,1.0,1.0,[31]
620,4.0,1.0,"[75, 82, 89, 92]"
44,1.0,1.0,[22]
249,3.0,1.0,"[182, 183, 184]"
171,2.0,1.0,"[132, 156]"
591,2.0,1.0,"[93, 110]"
40,1.0,1.0,[31]
798,1.0,1.0,[156]
313,4.0,1.0,"[86, 96, 99, 100]"
671,3.0,1.0,"[43, 58, 66]"
748,1.0,1.0,[161]
586,3.0,1.0,"[93, 102, 110]"
224,3.0,1.0,"[134, 150, 157]"
758,4.0,1.0,"[149, 156, 161, 162]"
665,1.0,1.0,[6]
521,1.0,1.0,[144]
563,1.0,1.0,[171]
796,1.0,1.0,[180]
193,2.0,1.0,"[157, 169]"
228,2.0,1.0,"[22, 23]"
295,1.0,1.0,[88]
241,1.0,1.0,[5]
654,1.0,1.0,[47]
272,2.0,1.0,"[77, 89]"
331,1.0,1.0,[103]
551,1.0,1.0,[166]
452,1.0,1.0,[164]
337,3.0,1.0,"[40, 55, 59]"
206,2.0,1.0,"[121, 128]"
63,1.0,1.0,[156]
399,5.0,1.0,"[5, 13, 14, 15, 16]"
734,1.0,1.0,[78]
514,2.0,1.0,"[125, 129]"
225,1.0,1.0,[111]
414,2.0,1.0,"[86, 113]"
651,4.0,1.0,"[85, 101, 104, 105]"
68,3.0,1.0,"[51, 73, 78]"
428,1.0,1.0,[29]
627,3.0,1.0,"[121, 126, 130]"
708,1.0,1.0,[163]
386,1.0,1.0,[57]
761,3.0,1.0,"[33, 44, 60]"
1,1.0,1.0,[167]
446,2.0,1.0,"[164, 168]"
473,3.0,1.0,"[102, 129, 130]"
265,2.0,1.0,"[172, 179]"
4,2.0,1.0,"[125, 134]"
438,1.0,1.0,[101]
301,1.0,1.0,[161]
12,3.0,1.0,"[117, 122, 125]"
237,3.0,1.0,"[10, 30, 32]"
564,1.0,1.0,[18]
585,1.0,1.0,[12]
271,1.0,1.0,[74]
580,2.0,1.0,"[3, 16]"
57,1.0,1.0,[170]
352,2.0,1.0,"[8, 62]"
257,3.0,1.0,"[17, 18, 19]"
218,1.0,1.0,[112]
508,1.0,1.0,[76]
92,1.0,1.0,[17]
297,1.0,1.0,[91]
323,1.0,1.0,[34]
379,1.0,1.0,[181]
467,1.0,1.0,[5]
599,3.0,1.0,"[2, 45, 48]"
