,used,exhausted,rounds
2812,1.0,1.0,[0]
6051,1.0,1.0,[0]
2231,1.0,1.0,[0]
3511,1.0,1.0,[0]
4051,1.0,1.0,[0]
11249,1.0,1.0,[0]
5922,1.0,1.0,[0]
10,1.0,1.0,[0]
1164,1.0,1.0,[0]
10344,1.0,1.0,[0]
2193,1.0,1.0,[0]
357,1.0,1.0,[0]
7506,1.0,1.0,[0]
11093,1.0,1.0,[0]
7194,1.0,1.0,[0]
1027,1.0,1.0,[0]
6603,1.0,1.0,[0]
5954,1.0,1.0,[0]
2861,1.0,1.0,[0]
3022,1.0,1.0,[0]
7905,1.0,1.0,[0]
4802,1.0,1.0,[0]
4121,1.0,1.0,[0]
4199,1.0,1.0,[0]
4698,1.0,1.0,[0]
906,1.0,1.0,[0]
9812,1.0,1.0,[0]
9918,1.0,1.0,[0]
3951,1.0,1.0,[0]
4780,1.0,1.0,[0]
6971,1.0,1.0,[0]
10913,1.0,1.0,[0]
6976,1.0,1.0,[0]
3121,1.0,1.0,[0]
1089,1.0,1.0,[0]
8483,1.0,1.0,[0]
2771,1.0,1.0,[0]
7045,1.0,1.0,[0]
7589,1.0,1.0,[0]
3966,1.0,1.0,[0]
6726,1.0,1.0,[0]
250,1.0,1.0,[0]
8152,1.0,1.0,[0]
9819,1.0,1.0,[0]
7341,1.0,1.0,[0]
7914,1.0,1.0,[0]
6381,1.0,1.0,[0]
6158,1.0,1.0,[0]
8757,1.0,1.0,[0]
8441,1.0,1.0,[0]
4624,1.0,1.0,[0]
3962,1.0,1.0,[0]
4065,1.0,1.0,[0]
9038,1.0,1.0,[0]
10557,1.0,1.0,[0]
2675,1.0,1.0,[0]
6126,1.0,1.0,[0]
3021,1.0,1.0,[0]
4247,1.0,1.0,[0]
7959,1.0,1.0,[0]
3413,1.0,1.0,[0]
8624,1.0,1.0,[0]
6650,1.0,1.0,[0]
2247,1.0,1.0,[0]
11139,1.0,1.0,[0]
7554,1.0,1.0,[0]
10116,1.0,1.0,[0]
6070,1.0,1.0,[0]
8137,1.0,1.0,[0]
2309,1.0,1.0,[0]
9908,1.0,1.0,[0]
8364,1.0,1.0,[0]
10432,1.0,1.0,[0]
1289,1.0,1.0,[0]
9096,1.0,1.0,[0]
7323,1.0,1.0,[0]
6251,1.0,1.0,[0]
10348,1.0,1.0,[0]
6342,1.0,1.0,[0]
738,1.0,1.0,[0]
7412,1.0,1.0,[0]
1663,1.0,1.0,[0]
9063,1.0,1.0,[0]
1263,1.0,1.0,[0]
10765,1.0,1.0,[0]
9458,1.0,1.0,[0]
7023,1.0,1.0,[0]
9322,1.0,1.0,[0]
10337,1.0,1.0,[0]
10322,1.0,1.0,[0]
440,1.0,1.0,[0]
4099,1.0,1.0,[0]
726,1.0,1.0,[0]
536,1.0,1.0,[0]
649,1.0,1.0,[0]
9645,1.0,1.0,[0]
5322,1.0,1.0,[0]
8607,1.0,1.0,[0]
3841,1.0,1.0,[0]
7444,1.0,1.0,[0]
9852,1.0,1.0,[0]
7997,1.0,1.0,[0]
95,1.0,1.0,[0]
6754,1.0,1.0,[0]
6472,1.0,1.0,[0]
9389,1.0,1.0,[0]
3034,1.0,1.0,[0]
10737,1.0,1.0,[0]
7055,1.0,1.0,[0]
10583,1.0,1.0,[0]
871,1.0,1.0,[0]
624,1.0,1.0,[0]
8157,1.0,1.0,[0]
1895,1.0,1.0,[0]
3127,1.0,1.0,[0]
874,1.0,1.0,[0]
9703,1.0,1.0,[0]
5851,1.0,1.0,[0]
8380,1.0,1.0,[0]
5124,1.0,1.0,[0]
7700,1.0,1.0,[0]
9346,1.0,1.0,[0]
7441,1.0,1.0,[0]
9599,1.0,1.0,[0]
6200,1.0,1.0,[0]
7587,1.0,1.0,[0]
2326,1.0,1.0,[0]
9530,1.0,1.0,[0]
6348,1.0,1.0,[0]
10491,1.0,1.0,[0]
3532,1.0,1.0,[0]
4604,1.0,1.0,[0]
7425,1.0,1.0,[0]
1421,1.0,1.0,[0]
650,1.0,1.0,[0]
923,1.0,1.0,[0]
5567,1.0,1.0,[0]
9971,1.0,1.0,[0]
4521,1.0,1.0,[0]
5474,1.0,1.0,[0]
770,1.0,1.0,[0]
988,1.0,1.0,[0]
4610,1.0,1.0,[0]
7525,1.0,1.0,[0]
1141,1.0,1.0,[0]
9140,1.0,1.0,[0]
9202,1.0,1.0,[0]
2333,1.0,1.0,[0]
7557,1.0,1.0,[0]
3772,1.0,1.0,[0]
7420,1.0,1.0,[0]
2393,1.0,1.0,[0]
4217,1.0,1.0,[0]
7007,1.0,1.0,[0]
855,1.0,1.0,[0]
1350,1.0,1.0,[0]
7875,1.0,1.0,[0]
5864,1.0,1.0,[0]
9132,1.0,1.0,[0]
6518,1.0,1.0,[0]
7518,1.0,1.0,[0]
4669,1.0,1.0,[0]
3595,1.0,1.0,[0]
2084,1.0,1.0,[0]
7069,1.0,1.0,[0]
1080,1.0,1.0,[0]
2321,1.0,1.0,[0]
5717,1.0,1.0,[0]
9627,1.0,1.0,[0]
10859,1.0,1.0,[0]
11419,1.0,1.0,[0]
8315,1.0,1.0,[0]
109,1.0,1.0,[0]
1274,1.0,1.0,[0]
11370,1.0,1.0,[0]
3451,1.0,1.0,[0]
5651,1.0,1.0,[0]
9816,1.0,1.0,[0]
74,1.0,1.0,[0]
11103,1.0,1.0,[0]
3013,1.0,1.0,[0]
