,used,exhausted,rounds
283,1.0,1.0,[0]
324,1.0,1.0,[0]
313,1.0,1.0,[0]
182,1.0,1.0,[0]
108,1.0,1.0,[0]
33,1.0,1.0,[0]
175,1.0,1.0,[0]
86,1.0,1.0,[0]
390,1.0,1.0,[0]
63,1.0,1.0,[0]
380,1.0,1.0,[0]
345,1.0,1.0,[0]
223,1.0,1.0,[0]
282,1.0,1.0,[0]
266,1.0,1.0,[0]
196,1.0,1.0,[0]
292,1.0,1.0,[0]
90,1.0,1.0,[0]
365,1.0,1.0,[0]
221,1.0,1.0,[0]
105,2.0,1.0,"[4, 45]"
144,3.0,1.0,"[53, 61, 76]"
268,1.0,1.0,[59]
200,1.0,1.0,[90]
340,1.0,1.0,[29]
356,2.0,1.0,"[56, 78]"
164,1.0,1.0,[99]
226,1.0,1.0,[27]
350,1.0,1.0,[127]
1,1.0,1.0,[30]
178,1.0,1.0,[115]
76,3.0,1.0,"[62, 72, 76]"
381,2.0,1.0,"[42, 46]"
336,1.0,1.0,[105]
119,1.0,1.0,[11]
209,2.0,1.0,"[135, 169]"
238,3.0,1.0,"[56, 180, 181]"
13,1.0,1.0,[142]
291,1.0,1.0,[29]
293,6.0,1.0,"[22, 71, 78, 152, 159, 161]"
323,1.0,1.0,[139]
38,2.0,1.0,"[51, 100]"
349,1.0,1.0,[148]
374,4.0,1.0,"[9, 31, 32, 34]"
188,2.0,1.0,"[19, 144]"
197,1.0,1.0,[44]
198,2.0,1.0,"[16, 17]"
52,1.0,1.0,[85]
102,4.0,1.0,"[77, 160, 175, 178]"
60,1.0,1.0,[2]
254,1.0,1.0,[100]
369,2.0,1.0,"[137, 179]"
245,1.0,1.0,[38]
383,2.0,1.0,"[24, 27]"
15,4.0,1.0,"[108, 162, 163, 177]"
250,3.0,1.0,"[125, 168, 179]"
246,2.0,1.0,"[10, 142]"
158,1.0,1.0,[24]
103,2.0,1.0,"[4, 64]"
36,6.0,1.0,"[51, 74, 162, 163, 164, 165]"
3,6.0,1.0,"[101, 141, 172, 173, 174, 178]"
179,4.0,1.0,"[51, 63, 67, 92]"
206,2.0,1.0,"[5, 21]"
210,1.0,1.0,[74]
398,2.0,1.0,"[53, 170]"
78,1.0,1.0,[121]
253,4.0,1.0,"[170, 171, 172, 173]"
4,1.0,1.0,[131]
201,2.0,1.0,"[95, 119]"
213,2.0,1.0,"[62, 100]"
150,1.0,1.0,[130]
141,1.0,1.0,[115]
168,2.0,1.0,"[128, 180]"
0,1.0,1.0,[3]
133,2.0,1.0,"[26, 158]"
81,3.0,1.0,"[128, 179, 180]"
315,1.0,1.0,[50]
35,1.0,1.0,[15]
389,1.0,1.0,[9]
363,2.0,1.0,"[125, 181]"
116,1.0,1.0,[58]
388,5.0,1.0,"[82, 147, 150, 164, 168]"
352,1.0,1.0,[141]
392,1.0,1.0,[70]
237,2.0,1.0,"[59, 169]"
84,1.0,1.0,[73]
279,1.0,1.0,[123]
67,1.0,1.0,[78]
121,4.0,1.0,"[37, 105, 108, 110]"
260,1.0,1.0,[53]
207,1.0,1.0,[102]
214,1.0,1.0,[82]
46,4.0,1.0,"[9, 28, 142, 149]"
106,1.0,1.0,[52]
378,1.0,1.0,[7]
56,1.0,1.0,[8]
199,3.0,1.0,"[54, 83, 86]"
49,1.0,1.0,[46]
298,1.0,1.0,[21]
137,1.0,1.0,[25]
64,2.0,1.0,"[73, 179]"
259,4.0,1.0,"[31, 121, 163, 171]"
322,1.0,1.0,[29]
230,1.0,1.0,[15]
23,2.0,1.0,"[5, 11]"
45,1.0,1.0,[159]
262,2.0,1.0,"[116, 175]"
2,1.0,1.0,[99]
373,2.0,1.0,"[73, 113]"
362,1.0,1.0,[58]
330,1.0,1.0,[6]
48,7.0,1.0,"[115, 143, 146, 148, 151, 154, 156]"
12,1.0,1.0,[68]
361,2.0,1.0,"[97, 103]"
71,1.0,1.0,[55]
10,1.0,1.0,[169]
290,1.0,1.0,[128]
310,4.0,1.0,"[19, 46, 122, 137]"
306,1.0,1.0,[97]
249,3.0,1.0,"[55, 69, 70]"
74,2.0,1.0,"[104, 178]"
284,2.0,1.0,"[137, 140]"
224,1.0,1.0,[120]
82,1.0,1.0,[133]
110,4.0,1.0,"[52, 160, 161, 162]"
172,3.0,1.0,"[61, 62, 107]"
180,1.0,1.0,[4]
181,3.0,1.0,"[5, 14, 17]"
375,3.0,1.0,"[45, 89, 98]"
47,4.0,1.0,"[102, 118, 151, 155]"
31,1.0,1.0,[54]
295,1.0,1.0,[101]
151,1.0,1.0,[123]
242,1.0,1.0,[130]
69,2.0,1.0,"[20, 84]"
148,2.0,1.0,"[69, 84]"
228,1.0,1.0,[12]
96,1.0,1.0,[66]
40,1.0,1.0,[126]
100,2.0,1.0,"[1, 16]"
269,1.0,1.0,[119]
364,1.0,1.0,[66]
353,1.0,1.0,[80]
156,3.0,1.0,"[41, 86, 103]"
299,2.0,1.0,"[22, 25]"
288,1.0,1.0,[164]
124,5.0,1.0,"[65, 80, 92, 93, 94]"
347,1.0,1.0,[91]
83,2.0,1.0,"[65, 146]"
256,1.0,1.0,[87]
184,2.0,1.0,"[1, 28]"
328,4.0,1.0,"[60, 162, 172, 173]"
109,3.0,1.0,"[96, 100, 117]"
114,1.0,1.0,[81]
138,3.0,1.0,"[21, 160, 170]"
377,1.0,1.0,[49]
203,1.0,1.0,[55]
72,3.0,1.0,"[104, 123, 131]"
251,1.0,1.0,[81]
154,2.0,1.0,"[2, 3]"
139,3.0,1.0,"[7, 142, 157]"
53,2.0,1.0,"[48, 49]"
399,2.0,1.0,"[98, 99]"
372,1.0,1.0,[58]
25,1.0,1.0,[87]
212,3.0,1.0,"[23, 35, 36]"
107,3.0,1.0,"[113, 176, 177]"
122,1.0,1.0,[16]
153,1.0,1.0,[99]
62,1.0,1.0,[104]
220,2.0,1.0,"[74, 112]"
346,1.0,1.0,[82]
252,2.0,1.0,"[57, 173]"
192,3.0,1.0,"[117, 131, 144]"
400,1.0,1.0,[1]
300,1.0,1.0,[68]
123,1.0,1.0,[2]
342,1.0,1.0,[57]
358,1.0,1.0,[109]
240,1.0,1.0,[13]
28,1.0,1.0,[19]
326,3.0,1.0,"[136, 165, 174]"
255,5.0,1.0,"[90, 118, 147, 148, 149]"
195,1.0,1.0,[37]
37,1.0,1.0,[22]
27,3.0,1.0,"[124, 150, 181]"
39,2.0,1.0,"[41, 140]"
70,1.0,1.0,[85]
329,1.0,1.0,[98]
247,1.0,1.0,[145]
359,2.0,1.0,"[153, 167]"
26,1.0,1.0,[106]
54,1.0,1.0,[7]
308,2.0,1.0,"[103, 167]"
85,1.0,1.0,[121]
208,1.0,1.0,[9]
370,4.0,1.0,"[94, 126, 129, 131]"
88,1.0,1.0,[110]
183,1.0,1.0,[59]
301,1.0,1.0,[42]
367,2.0,1.0,"[11, 12]"
327,5.0,1.0,"[146, 149, 155, 156, 159]"
174,1.0,1.0,[120]
169,2.0,1.0,"[127, 153]"
382,1.0,1.0,[6]
331,1.0,1.0,[79]
320,1.0,1.0,[41]
286,3.0,1.0,"[42, 114, 148]"
186,2.0,1.0,"[51, 170]"
135,1.0,1.0,[64]
104,3.0,1.0,"[39, 48, 146]"
273,2.0,1.0,"[122, 169]"
118,2.0,1.0,"[123, 124]"
173,1.0,1.0,[147]
355,2.0,1.0,"[33, 45]"
79,2.0,1.0,"[129, 130]"
24,1.0,1.0,[39]
11,3.0,1.0,"[96, 132, 138]"
126,1.0,1.0,[114]
267,1.0,1.0,[77]
304,1.0,1.0,[10]
387,2.0,1.0,"[5, 20]"
65,3.0,1.0,"[49, 104, 105]"
294,2.0,1.0,"[43, 143]"
235,1.0,1.0,[158]
248,1.0,1.0,[135]
95,3.0,1.0,"[14, 25, 26]"
