,used,exhausted,rounds
283,1.0,1.0,[0]
324,1.0,1.0,[0]
313,1.0,1.0,[0]
182,1.0,1.0,[0]
108,1.0,1.0,[0]
33,1.0,1.0,[0]
175,1.0,1.0,[0]
86,1.0,1.0,[0]
390,1.0,1.0,[0]
63,1.0,1.0,[0]
380,1.0,1.0,[0]
345,1.0,1.0,[0]
223,1.0,1.0,[0]
282,1.0,1.0,[0]
266,1.0,1.0,[0]
196,1.0,1.0,[0]
292,1.0,1.0,[0]
90,1.0,1.0,[0]
365,1.0,1.0,[0]
221,1.0,1.0,[0]
105,2.0,1.0,"[11, 29]"
144,3.0,1.0,"[38, 73, 74]"
268,1.0,1.0,[91]
200,1.0,1.0,[108]
340,1.0,1.0,[30]
356,2.0,1.0,"[71, 73]"
164,1.0,1.0,[105]
226,1.0,1.0,[24]
350,1.0,1.0,[146]
1,1.0,1.0,[25]
178,1.0,1.0,[111]
76,3.0,1.0,"[63, 76, 79]"
381,2.0,1.0,"[89, 90]"
336,1.0,1.0,[131]
119,1.0,1.0,[12]
209,2.0,1.0,"[98, 158]"
238,3.0,1.0,"[63, 172, 173]"
13,1.0,1.0,[114]
291,1.0,1.0,[14]
293,6.0,1.0,"[37, 75, 76, 78, 79, 80]"
323,1.0,1.0,[178]
38,2.0,1.0,"[50, 126]"
349,1.0,1.0,[151]
374,4.0,1.0,"[10, 18, 26, 27]"
188,2.0,1.0,"[17, 98]"
197,1.0,1.0,[36]
198,2.0,1.0,"[41, 47]"
52,1.0,1.0,[94]
102,4.0,1.0,"[99, 171, 175, 176]"
60,1.0,1.0,[2]
254,1.0,1.0,[155]
369,2.0,1.0,"[150, 163]"
245,1.0,1.0,[47]
383,2.0,1.0,"[18, 19]"
15,4.0,1.0,"[147, 158, 160, 161]"
250,3.0,1.0,"[150, 160, 161]"
246,2.0,1.0,"[77, 150]"
158,1.0,1.0,[57]
103,2.0,1.0,"[5, 48]"
36,6.0,1.0,"[30, 82, 86, 87, 88, 89]"
3,6.0,1.0,"[89, 140, 141, 142, 143, 144]"
179,4.0,1.0,"[57, 65, 66, 67]"
206,2.0,1.0,"[23, 28]"
210,1.0,1.0,[156]
398,2.0,1.0,"[56, 78]"
78,1.0,1.0,[163]
253,4.0,1.0,"[157, 161, 167, 168]"
4,1.0,1.0,[139]
201,2.0,1.0,"[123, 146]"
213,2.0,1.0,"[92, 121]"
150,1.0,1.0,[170]
141,1.0,1.0,[145]
168,2.0,1.0,"[147, 169]"
0,1.0,1.0,[1]
133,2.0,1.0,"[23, 80]"
81,3.0,1.0,"[170, 176, 177]"
315,1.0,1.0,[124]
35,1.0,1.0,[26]
389,1.0,1.0,[7]
363,2.0,1.0,"[152, 153]"
116,1.0,1.0,[43]
388,5.0,1.0,"[59, 118, 119, 145, 146]"
352,1.0,1.0,[146]
392,1.0,1.0,[92]
237,2.0,1.0,"[111, 142]"
84,1.0,1.0,[115]
279,1.0,1.0,[122]
67,1.0,1.0,[81]
121,4.0,1.0,"[121, 140, 141, 142]"
260,1.0,1.0,[117]
207,1.0,1.0,[122]
214,1.0,1.0,[105]
46,4.0,1.0,"[10, 31, 40, 55]"
106,1.0,1.0,[67]
378,1.0,1.0,[6]
56,1.0,1.0,[4]
199,3.0,1.0,"[50, 81, 97]"
49,1.0,1.0,[74]
298,1.0,1.0,[15]
137,1.0,1.0,[20]
64,2.0,1.0,"[177, 181]"
259,4.0,1.0,"[64, 72, 132, 135]"
322,1.0,1.0,[34]
230,1.0,1.0,[18]
23,2.0,1.0,"[5, 8]"
45,1.0,1.0,[178]
262,2.0,1.0,"[175, 181]"
2,1.0,1.0,[141]
373,2.0,1.0,"[81, 94]"
362,1.0,1.0,[25]
330,1.0,1.0,[7]
48,7.0,1.0,"[109, 134, 135, 136, 137, 151, 153]"
12,1.0,1.0,[69]
361,2.0,1.0,"[121, 144]"
71,1.0,1.0,[141]
10,1.0,1.0,[169]
290,1.0,1.0,[168]
310,4.0,1.0,"[38, 52, 74, 75]"
306,1.0,1.0,[1]
249,3.0,1.0,"[62, 63, 66]"
74,2.0,1.0,"[107, 148]"
284,2.0,1.0,"[159, 163]"
224,1.0,1.0,[149]
82,1.0,1.0,[138]
110,4.0,1.0,"[114, 130, 135, 136]"
172,3.0,1.0,"[56, 57, 61]"
180,1.0,1.0,[4]
181,3.0,1.0,"[6, 7, 13]"
375,3.0,1.0,"[65, 67, 68]"
47,4.0,1.0,"[51, 115, 116, 129]"
31,1.0,1.0,[62]
295,1.0,1.0,[157]
151,1.0,1.0,[129]
242,1.0,1.0,[100]
69,2.0,1.0,"[20, 93]"
148,2.0,1.0,"[44, 45]"
228,1.0,1.0,[12]
96,1.0,1.0,[104]
40,1.0,1.0,[165]
100,2.0,1.0,"[10, 16]"
269,1.0,1.0,[157]
364,1.0,1.0,[34]
353,1.0,1.0,[103]
156,3.0,1.0,"[55, 94, 96]"
299,2.0,1.0,"[33, 66]"
288,1.0,1.0,[170]
124,5.0,1.0,"[104, 105, 106, 107, 108]"
347,1.0,1.0,[72]
83,2.0,1.0,"[101, 151]"
256,1.0,1.0,[144]
184,2.0,1.0,"[22, 28]"
328,4.0,1.0,"[48, 101, 112, 145]"
109,3.0,1.0,"[95, 98, 99]"
114,1.0,1.0,[86]
138,3.0,1.0,"[22, 82, 83]"
377,1.0,1.0,[49]
203,1.0,1.0,[124]
72,3.0,1.0,"[127, 148, 149]"
251,1.0,1.0,[13]
154,2.0,1.0,"[5, 9]"
139,3.0,1.0,"[12, 48, 49]"
53,2.0,1.0,"[36, 44]"
399,2.0,1.0,"[108, 122]"
372,1.0,1.0,[39]
25,1.0,1.0,[67]
212,3.0,1.0,"[11, 31, 32]"
107,3.0,1.0,"[106, 112, 127]"
122,1.0,1.0,[1]
153,1.0,1.0,[114]
62,1.0,1.0,[162]
220,2.0,1.0,"[54, 135]"
346,1.0,1.0,[90]
252,2.0,1.0,"[27, 93]"
192,3.0,1.0,"[125, 126, 131]"
400,1.0,1.0,[5]
300,1.0,1.0,[53]
123,1.0,1.0,[19]
342,1.0,1.0,[60]
358,1.0,1.0,[69]
240,1.0,1.0,[41]
28,1.0,1.0,[50]
326,3.0,1.0,"[178, 179, 180]"
255,5.0,1.0,"[166, 167, 169, 171, 174]"
195,1.0,1.0,[83]
37,1.0,1.0,[84]
27,3.0,1.0,"[155, 159, 166]"
39,2.0,1.0,"[29, 56]"
70,1.0,1.0,[137]
329,1.0,1.0,[73]
247,1.0,1.0,[139]
359,2.0,1.0,"[106, 127]"
26,1.0,1.0,[133]
54,1.0,1.0,[15]
308,2.0,1.0,"[130, 149]"
85,1.0,1.0,[123]
208,1.0,1.0,[19]
370,4.0,1.0,"[165, 168, 172, 173]"
88,1.0,1.0,[152]
183,1.0,1.0,[119]
301,1.0,1.0,[77]
367,2.0,1.0,"[8, 11]"
327,5.0,1.0,"[179, 181, 182, 183, 184]"
174,1.0,1.0,[15]
169,2.0,1.0,"[104, 115]"
382,1.0,1.0,[4]
331,1.0,1.0,[58]
320,1.0,1.0,[33]
286,3.0,1.0,"[69, 109, 110]"
186,2.0,1.0,"[59, 149]"
135,1.0,1.0,[125]
104,3.0,1.0,"[2, 51, 53]"
273,2.0,1.0,"[169, 175]"
118,2.0,1.0,"[123, 145]"
173,1.0,1.0,[164]
355,2.0,1.0,"[24, 70]"
79,2.0,1.0,"[154, 160]"
24,1.0,1.0,[46]
11,3.0,1.0,"[74, 91, 99]"
126,1.0,1.0,[147]
267,1.0,1.0,[113]
304,1.0,1.0,[51]
387,2.0,1.0,"[4, 16]"
65,3.0,1.0,"[97, 117, 118]"
294,2.0,1.0,"[108, 109]"
235,1.0,1.0,[125]
248,1.0,1.0,[128]
95,3.0,1.0,"[23, 32, 33]"
