,used,exhausted,rounds
201,1.0,1.0,[0]
153,1.0,1.0,[0]
394,1.0,1.0,[0]
320,1.0,1.0,[0]
309,1.0,1.0,[0]
267,1.0,1.0,[0]
329,1.0,1.0,[0]
190,1.0,1.0,[0]
350,1.0,1.0,[0]
169,1.0,1.0,[0]
398,1.0,1.0,[0]
288,1.0,1.0,[0]
392,1.0,1.0,[0]
317,1.0,1.0,[0]
261,1.0,1.0,[0]
243,1.0,1.0,[0]
172,1.0,1.0,[0]
326,1.0,1.0,[0]
348,1.0,1.0,[0]
237,1.0,1.0,[0]
22,2.0,1.0,"[7, 14]"
9,3.0,1.0,"[24, 45, 46]"
165,1.0,1.0,[159]
193,1.0,1.0,[71]
158,1.0,1.0,[114]
202,2.0,1.0,"[128, 131]"
378,1.0,1.0,[68]
15,1.0,1.0,[97]
262,1.0,1.0,[49]
301,1.0,1.0,[103]
163,1.0,1.0,[157]
250,3.0,1.0,"[56, 57, 58]"
57,2.0,1.0,"[164, 170]"
381,1.0,1.0,[1]
263,1.0,1.0,[19]
397,2.0,1.0,"[9, 139]"
328,3.0,1.0,"[134, 135, 136]"
140,1.0,1.0,[24]
219,1.0,1.0,[56]
242,6.0,1.0,"[66, 67, 68, 69, 70, 71]"
314,1.0,1.0,[130]
272,2.0,1.0,"[3, 160]"
111,1.0,1.0,[151]
235,4.0,1.0,"[52, 53, 54, 55]"
26,2.0,1.0,"[154, 155]"
221,1.0,1.0,[141]
23,2.0,1.0,"[37, 77]"
43,1.0,1.0,[91]
377,4.0,1.0,"[50, 62, 63, 86]"
336,1.0,1.0,[73]
47,1.0,1.0,[78]
96,2.0,1.0,"[52, 53]"
69,1.0,1.0,[127]
354,2.0,1.0,"[107, 108]"
44,4.0,1.0,"[110, 111, 113, 114]"
349,3.0,1.0,"[15, 16, 17]"
204,2.0,1.0,"[138, 152]"
49,1.0,1.0,[33]
98,2.0,1.0,"[65, 66]"
251,6.0,1.0,"[179, 180, 181, 182, 183, 184]"
215,6.0,1.0,"[83, 94, 95, 99, 101, 105]"
28,4.0,1.0,"[55, 60, 61, 63]"
109,2.0,1.0,"[18, 23]"
159,1.0,1.0,[67]
0,2.0,1.0,"[169, 170]"
122,1.0,1.0,[155]
383,4.0,1.0,"[61, 62, 63, 64]"
14,1.0,1.0,[76]
58,2.0,1.0,"[128, 129]"
135,2.0,1.0,"[8, 9]"
181,1.0,1.0,[2]
97,1.0,1.0,[79]
12,2.0,1.0,"[21, 22]"
146,1.0,1.0,[72]
199,2.0,1.0,"[77, 78]"
332,3.0,1.0,"[8, 46, 47]"
254,1.0,1.0,[98]
252,1.0,1.0,[59]
340,1.0,1.0,[121]
82,2.0,1.0,"[5, 6]"
213,1.0,1.0,[154]
86,5.0,1.0,"[88, 89, 90, 91, 92]"
147,1.0,1.0,[177]
94,1.0,1.0,[3]
3,2.0,1.0,"[113, 114]"
270,1.0,1.0,[39]
142,1.0,1.0,[137]
80,1.0,1.0,[35]
290,4.0,1.0,"[160, 162, 164, 165]"
116,1.0,1.0,[115]
118,1.0,1.0,[44]
150,1.0,1.0,[159]
285,4.0,1.0,"[75, 79, 80, 81]"
224,1.0,1.0,[30]
337,1.0,1.0,[7]
108,1.0,1.0,[51]
355,3.0,1.0,"[104, 105, 106]"
151,1.0,1.0,[45]
99,1.0,1.0,[176]
68,1.0,1.0,[81]
227,2.0,1.0,"[134, 137]"
308,4.0,1.0,"[153, 154, 155, 156]"
102,1.0,1.0,[69]
361,1.0,1.0,[17]
281,2.0,1.0,"[166, 167]"
170,1.0,1.0,[107]
307,2.0,1.0,"[13, 18]"
273,1.0,1.0,[182]
248,2.0,1.0,"[129, 130]"
271,1.0,1.0,[73]
38,1.0,1.0,[166]
78,7.0,1.0,"[101, 103, 107, 127, 128, 129, 130]"
7,1.0,1.0,[175]
105,2.0,1.0,"[16, 27]"
110,1.0,1.0,[100]
182,1.0,1.0,[108]
245,1.0,1.0,[171]
88,4.0,1.0,"[48, 91, 151, 152]"
143,1.0,1.0,[101]
10,3.0,1.0,"[178, 179, 180]"
343,2.0,1.0,"[62, 137]"
368,2.0,1.0,"[121, 169]"
306,1.0,1.0,[31]
126,1.0,1.0,[50]
2,4.0,1.0,"[20, 21, 22, 95]"
319,3.0,1.0,"[81, 94, 104]"
35,1.0,1.0,[107]
77,3.0,1.0,"[140, 144, 146]"
222,3.0,1.0,"[171, 173, 174]"
157,4.0,1.0,"[148, 149, 150, 151]"
139,1.0,1.0,[59]
123,1.0,1.0,[35]
334,1.0,1.0,[156]
323,1.0,1.0,[124]
138,2.0,1.0,"[41, 42]"
341,2.0,1.0,"[86, 87]"
115,1.0,1.0,[19]
72,1.0,1.0,[160]
5,1.0,1.0,[111]
70,2.0,1.0,"[117, 161]"
312,1.0,1.0,[21]
256,1.0,1.0,[174]
303,1.0,1.0,[56]
134,3.0,1.0,"[35, 38, 39]"
360,2.0,1.0,"[68, 69]"
36,1.0,1.0,[176]
216,5.0,1.0,"[23, 132, 136, 137, 138]"
203,1.0,1.0,[141]
132,2.0,1.0,"[124, 171]"
179,1.0,1.0,[126]
124,2.0,1.0,"[47, 48]"
283,4.0,1.0,"[117, 118, 119, 120]"
120,3.0,1.0,"[75, 78, 122]"
141,1.0,1.0,[49]
93,3.0,1.0,"[167, 168, 169]"
83,1.0,1.0,[140]
76,1.0,1.0,[171]
225,3.0,1.0,"[129, 130, 143]"
338,1.0,1.0,[58]
287,2.0,1.0,"[95, 96]"
346,3.0,1.0,"[44, 45, 46]"
107,2.0,1.0,"[54, 55]"
239,2.0,1.0,"[84, 85]"
293,1.0,1.0,[13]
359,1.0,1.0,[123]
101,3.0,1.0,"[88, 89, 90]"
380,3.0,1.0,"[74, 75, 76]"
191,1.0,1.0,[84]
144,1.0,1.0,[122]
236,1.0,1.0,[82]
53,2.0,1.0,"[109, 110]"
310,1.0,1.0,[103]
304,2.0,1.0,"[31, 98]"
25,3.0,1.0,"[106, 165, 174]"
399,1.0,1.0,[67]
117,1.0,1.0,[173]
268,1.0,1.0,[147]
387,1.0,1.0,[15]
84,1.0,1.0,[120]
162,1.0,1.0,[119]
29,1.0,1.0,[59]
200,3.0,1.0,"[172, 173, 174]"
260,5.0,1.0,"[41, 44, 82, 83, 85]"
358,1.0,1.0,[116]
390,1.0,1.0,[119]
17,3.0,1.0,"[132, 145, 146]"
31,2.0,1.0,"[26, 29]"
152,1.0,1.0,[82]
175,1.0,1.0,[126]
91,1.0,1.0,[80]
305,2.0,1.0,"[132, 161]"
246,1.0,1.0,[118]
313,1.0,1.0,[162]
19,2.0,1.0,"[172, 173]"
39,1.0,1.0,[164]
321,1.0,1.0,[33]
60,4.0,1.0,"[112, 175, 177, 178]"
382,1.0,1.0,[11]
166,1.0,1.0,[162]
95,1.0,1.0,[177]
75,2.0,1.0,"[152, 175]"
280,5.0,1.0,"[70, 71, 72, 73, 76]"
292,1.0,1.0,[133]
41,2.0,1.0,"[9, 10]"
253,1.0,1.0,[10]
352,1.0,1.0,[125]
393,1.0,1.0,[99]
42,3.0,1.0,"[113, 125, 126]"
247,2.0,1.0,"[138, 147]"
356,1.0,1.0,[131]
4,3.0,1.0,"[115, 154, 168]"
249,2.0,1.0,"[157, 158]"
46,2.0,1.0,"[13, 15]"
16,1.0,1.0,[23]
364,2.0,1.0,"[116, 133]"
311,2.0,1.0,"[31, 32]"
40,1.0,1.0,[20]
373,3.0,1.0,"[163, 164, 165]"
52,1.0,1.0,[29]
396,1.0,1.0,[51]
370,1.0,1.0,[36]
315,2.0,1.0,"[47, 94]"
209,3.0,1.0,"[15, 72, 80]"
185,2.0,1.0,"[7, 11]"
61,1.0,1.0,[161]
189,1.0,1.0,[112]
37,3.0,1.0,"[158, 159, 160]"
255,5.0,1.0,"[10, 11, 12, 13, 14]"
62,1.0,1.0,[128]
376,4.0,1.0,"[119, 121, 122, 123]"
389,1.0,1.0,[176]
79,2.0,1.0,"[148, 149]"
379,1.0,1.0,[74]
295,1.0,1.0,[43]
18,2.0,1.0,"[42, 43]"
384,1.0,1.0,[35]
63,2.0,1.0,"[134, 135]"
277,1.0,1.0,[145]
388,2.0,1.0,"[37, 44]"
322,1.0,1.0,[20]
211,3.0,1.0,"[102, 111, 112]"
33,1.0,1.0,[28]
64,1.0,1.0,[157]
400,2.0,1.0,"[25, 26]"
339,1.0,1.0,[16]
130,1.0,1.0,[30]
300,1.0,1.0,[14]
369,1.0,1.0,[62]
259,2.0,1.0,"[115, 116]"
282,1.0,1.0,[84]
297,2.0,1.0,"[26, 87]"
276,4.0,1.0,"[150, 151, 152, 153]"
386,1.0,1.0,[1]
160,1.0,1.0,[88]
342,6.0,1.0,"[144, 145, 146, 147, 148, 149]"
103,4.0,1.0,"[178, 179, 180, 181]"
345,1.0,1.0,[98]
391,3.0,1.0,"[66, 92, 93]"
195,1.0,1.0,[12]
228,1.0,1.0,[138]
173,1.0,1.0,[170]
66,2.0,1.0,"[63, 70]"
212,1.0,1.0,[150]
145,5.0,1.0,"[150, 153, 156, 158, 159]"
67,2.0,1.0,"[161, 162]"
112,5.0,1.0,"[1, 4, 12, 16, 17]"
51,1.0,1.0,[14]
372,2.0,1.0,"[20, 70]"
318,2.0,1.0,"[2, 6]"
269,5.0,1.0,"[132, 133, 134, 135, 136]"
275,1.0,1.0,[153]
90,1.0,1.0,[22]
230,3.0,1.0,"[105, 109, 110]"
240,1.0,1.0,[143]
24,1.0,1.0,[25]
347,1.0,1.0,[60]
367,1.0,1.0,[123]
363,2.0,1.0,"[96, 157]"
266,1.0,1.0,[43]
234,1.0,1.0,[40]
121,1.0,1.0,[37]
284,1.0,1.0,[125]
11,1.0,1.0,[108]
264,2.0,1.0,"[142, 156]"
71,1.0,1.0,[167]
296,1.0,1.0,[172]
21,2.0,1.0,"[145, 163]"
92,1.0,1.0,[65]
196,1.0,1.0,[34]
186,2.0,1.0,"[143, 175]"
85,4.0,1.0,"[26, 60, 64, 65]"
241,4.0,1.0,"[50, 51, 52, 53]"
385,3.0,1.0,"[93, 99, 100]"
265,2.0,1.0,"[109, 110]"
178,2.0,1.0,"[67, 68]"
89,1.0,1.0,[12]
156,4.0,1.0,"[49, 54, 55, 56]"
278,1.0,1.0,[155]
131,1.0,1.0,[163]
167,1.0,1.0,[18]
133,1.0,1.0,[148]
100,1.0,1.0,[37]
214,2.0,1.0,"[4, 127]"
375,1.0,1.0,[75]
8,1.0,1.0,[170]
176,1.0,1.0,[42]
274,1.0,1.0,[83]
374,1.0,1.0,[179]
56,1.0,1.0,[169]
