,used,exhausted,rounds
201,1.0,1.0,[0]
153,1.0,1.0,[0]
394,1.0,1.0,[0]
320,1.0,1.0,[0]
309,1.0,1.0,[0]
267,1.0,1.0,[0]
329,1.0,1.0,[0]
190,1.0,1.0,[0]
350,1.0,1.0,[0]
169,1.0,1.0,[0]
398,1.0,1.0,[0]
288,1.0,1.0,[0]
392,1.0,1.0,[0]
317,1.0,1.0,[0]
261,1.0,1.0,[0]
243,1.0,1.0,[0]
172,1.0,1.0,[0]
326,1.0,1.0,[0]
348,1.0,1.0,[0]
237,1.0,1.0,[0]
22,2.0,1.0,"[33, 54]"
9,3.0,1.0,"[84, 86, 95]"
165,1.0,1.0,[151]
193,1.0,1.0,[89]
158,1.0,1.0,[29]
202,2.0,1.0,"[108, 150]"
378,1.0,1.0,[33]
15,1.0,1.0,[68]
262,1.0,1.0,[1]
301,1.0,1.0,[15]
163,1.0,1.0,[77]
250,3.0,1.0,"[29, 166, 173]"
57,2.0,1.0,"[63, 95]"
381,1.0,1.0,[6]
263,1.0,1.0,[66]
397,2.0,1.0,"[26, 69]"
328,3.0,1.0,"[132, 165, 174]"
140,1.0,1.0,[35]
219,1.0,1.0,[30]
242,6.0,1.0,"[135, 168, 175, 182, 183, 184]"
314,1.0,1.0,[48]
272,2.0,1.0,"[57, 71]"
111,1.0,1.0,[25]
235,4.0,1.0,"[67, 165, 181, 182]"
26,2.0,1.0,"[25, 160]"
221,1.0,1.0,[21]
23,2.0,1.0,"[68, 132]"
43,1.0,1.0,[104]
377,4.0,1.0,"[129, 130, 136, 137]"
336,1.0,1.0,[109]
47,1.0,1.0,[134]
96,2.0,1.0,"[13, 153]"
69,1.0,1.0,[72]
354,2.0,1.0,"[47, 131]"
44,4.0,1.0,"[37, 161, 164, 167]"
349,3.0,1.0,"[2, 112, 157]"
204,2.0,1.0,"[92, 94]"
49,1.0,1.0,[46]
98,2.0,1.0,"[115, 127]"
251,6.0,1.0,"[6, 141, 162, 169, 170, 171]"
215,6.0,1.0,"[23, 119, 124, 125, 129, 134]"
28,4.0,1.0,"[23, 25, 123, 124]"
109,2.0,1.0,"[65, 151]"
159,1.0,1.0,[30]
0,2.0,1.0,"[65, 168]"
122,1.0,1.0,[99]
383,4.0,1.0,"[23, 148, 163, 164]"
14,1.0,1.0,[36]
58,2.0,1.0,"[38, 154]"
135,2.0,1.0,"[15, 105]"
181,1.0,1.0,[46]
97,1.0,1.0,[61]
12,2.0,1.0,"[37, 157]"
146,1.0,1.0,[72]
199,2.0,1.0,"[38, 39]"
332,3.0,1.0,"[110, 114, 124]"
254,1.0,1.0,[119]
252,1.0,1.0,[96]
340,1.0,1.0,[79]
82,2.0,1.0,"[50, 167]"
213,1.0,1.0,[11]
86,5.0,1.0,"[89, 151, 152, 154, 155]"
147,1.0,1.0,[16]
94,1.0,1.0,[110]
3,2.0,1.0,"[10, 159]"
270,1.0,1.0,[132]
142,1.0,1.0,[1]
80,1.0,1.0,[35]
290,4.0,1.0,"[88, 97, 117, 120]"
116,1.0,1.0,[27]
118,1.0,1.0,[27]
150,1.0,1.0,[18]
285,4.0,1.0,"[145, 153, 169, 176]"
224,1.0,1.0,[2]
337,1.0,1.0,[21]
108,1.0,1.0,[107]
355,3.0,1.0,"[113, 149, 165]"
151,1.0,1.0,[23]
99,1.0,1.0,[98]
68,1.0,1.0,[48]
227,2.0,1.0,"[58, 114]"
308,4.0,1.0,"[8, 143, 167, 171]"
102,1.0,1.0,[117]
361,1.0,1.0,[142]
281,2.0,1.0,"[61, 142]"
170,1.0,1.0,[64]
307,2.0,1.0,"[5, 22]"
273,1.0,1.0,[37]
248,2.0,1.0,"[82, 130]"
271,1.0,1.0,[131]
38,1.0,1.0,[50]
78,7.0,1.0,"[73, 87, 88, 104, 115, 116, 118]"
7,1.0,1.0,[76]
105,2.0,1.0,"[142, 147]"
110,1.0,1.0,[136]
182,1.0,1.0,[29]
245,1.0,1.0,[32]
88,4.0,1.0,"[22, 54, 55, 58]"
143,1.0,1.0,[49]
10,3.0,1.0,"[142, 154, 166]"
343,2.0,1.0,"[19, 47]"
368,2.0,1.0,"[39, 85]"
306,1.0,1.0,[84]
126,1.0,1.0,[9]
2,4.0,1.0,"[91, 124, 126, 127]"
319,3.0,1.0,"[7, 75, 104]"
35,1.0,1.0,[144]
77,3.0,1.0,"[54, 143, 150]"
222,3.0,1.0,"[14, 77, 79]"
157,4.0,1.0,"[107, 149, 162, 164]"
139,1.0,1.0,[65]
123,1.0,1.0,[3]
334,1.0,1.0,[111]
323,1.0,1.0,[17]
138,2.0,1.0,"[34, 139]"
341,2.0,1.0,"[11, 128]"
115,1.0,1.0,[1]
72,1.0,1.0,[89]
5,1.0,1.0,[168]
70,2.0,1.0,"[52, 93]"
312,1.0,1.0,[3]
256,1.0,1.0,[140]
303,1.0,1.0,[52]
134,3.0,1.0,"[10, 156, 169]"
360,2.0,1.0,"[90, 162]"
36,1.0,1.0,[106]
216,5.0,1.0,"[40, 59, 60, 79, 82]"
203,1.0,1.0,[18]
132,2.0,1.0,"[67, 89]"
179,1.0,1.0,[12]
124,2.0,1.0,"[24, 144]"
283,4.0,1.0,"[117, 148, 159, 160]"
120,3.0,1.0,"[73, 80, 81]"
141,1.0,1.0,[36]
93,3.0,1.0,"[58, 158, 164]"
83,1.0,1.0,[96]
76,1.0,1.0,[43]
225,3.0,1.0,"[37, 84, 85]"
338,1.0,1.0,[49]
287,2.0,1.0,"[43, 125]"
346,3.0,1.0,"[73, 123, 141]"
107,2.0,1.0,"[82, 170]"
239,2.0,1.0,"[137, 172]"
293,1.0,1.0,[60]
359,1.0,1.0,[44]
101,3.0,1.0,"[18, 171, 181]"
380,3.0,1.0,"[53, 149, 155]"
191,1.0,1.0,[134]
144,1.0,1.0,[102]
236,1.0,1.0,[25]
53,2.0,1.0,"[32, 155]"
310,1.0,1.0,[83]
304,2.0,1.0,"[106, 109]"
25,3.0,1.0,"[15, 31, 101]"
399,1.0,1.0,[34]
117,1.0,1.0,[24]
268,1.0,1.0,[47]
387,1.0,1.0,[70]
84,1.0,1.0,[44]
162,1.0,1.0,[11]
29,1.0,1.0,[87]
200,3.0,1.0,"[108, 146, 170]"
260,5.0,1.0,"[112, 146, 162, 172, 179]"
358,1.0,1.0,[86]
390,1.0,1.0,[76]
17,3.0,1.0,"[46, 74, 137]"
31,2.0,1.0,"[65, 159]"
152,1.0,1.0,[41]
175,1.0,1.0,[75]
91,1.0,1.0,[51]
305,2.0,1.0,"[76, 92]"
246,1.0,1.0,[78]
313,1.0,1.0,[31]
19,2.0,1.0,"[9, 48]"
39,1.0,1.0,[32]
321,1.0,1.0,[61]
60,4.0,1.0,"[22, 43, 96, 97]"
382,1.0,1.0,[59]
166,1.0,1.0,[34]
95,1.0,1.0,[46]
75,2.0,1.0,"[28, 55]"
280,5.0,1.0,"[77, 80, 81, 85, 99]"
292,1.0,1.0,[49]
41,2.0,1.0,"[45, 148]"
253,1.0,1.0,[138]
352,1.0,1.0,[133]
393,1.0,1.0,[98]
42,3.0,1.0,"[17, 110, 119]"
247,2.0,1.0,"[129, 143]"
356,1.0,1.0,[4]
4,3.0,1.0,"[57, 114, 128]"
249,2.0,1.0,"[63, 71]"
46,2.0,1.0,"[99, 101]"
16,1.0,1.0,[101]
364,2.0,1.0,"[30, 42]"
311,2.0,1.0,"[9, 144]"
40,1.0,1.0,[69]
373,3.0,1.0,"[149, 163, 172]"
52,1.0,1.0,[93]
396,1.0,1.0,[90]
370,1.0,1.0,[51]
315,2.0,1.0,"[34, 67]"
209,3.0,1.0,"[53, 54, 90]"
185,2.0,1.0,"[111, 115]"
61,1.0,1.0,[111]
189,1.0,1.0,[127]
37,3.0,1.0,"[81, 141, 143]"
255,5.0,1.0,"[8, 147, 169, 180, 181]"
62,1.0,1.0,[12]
376,4.0,1.0,"[68, 107, 126, 127]"
389,1.0,1.0,[92]
79,2.0,1.0,"[40, 156]"
379,1.0,1.0,[94]
295,1.0,1.0,[71]
18,2.0,1.0,"[40, 145]"
384,1.0,1.0,[45]
63,2.0,1.0,"[80, 139]"
277,1.0,1.0,[44]
388,2.0,1.0,"[66, 72]"
322,1.0,1.0,[14]
211,3.0,1.0,"[21, 139, 158]"
33,1.0,1.0,[5]
64,1.0,1.0,[61]
400,2.0,1.0,"[6, 26]"
339,1.0,1.0,[42]
130,1.0,1.0,[10]
300,1.0,1.0,[55]
369,1.0,1.0,[40]
259,2.0,1.0,"[51, 74]"
282,1.0,1.0,[102]
297,2.0,1.0,"[53, 64]"
276,4.0,1.0,"[116, 160, 173, 176]"
386,1.0,1.0,[6]
160,1.0,1.0,[70]
342,6.0,1.0,"[4, 161, 168, 174, 175, 176]"
103,4.0,1.0,"[71, 78, 82, 95]"
345,1.0,1.0,[50]
391,3.0,1.0,"[10, 146, 156]"
195,1.0,1.0,[62]
228,1.0,1.0,[8]
173,1.0,1.0,[147]
66,2.0,1.0,"[74, 83]"
212,1.0,1.0,[7]
145,5.0,1.0,"[98, 100, 121, 123, 125]"
67,2.0,1.0,"[98, 157]"
112,5.0,1.0,"[35, 42, 64, 70, 87]"
51,1.0,1.0,[118]
372,2.0,1.0,"[51, 72]"
318,2.0,1.0,"[33, 113]"
269,5.0,1.0,"[84, 136, 153, 156, 157]"
275,1.0,1.0,[100]
90,1.0,1.0,[26]
230,3.0,1.0,"[66, 140, 163]"
240,1.0,1.0,[73]
24,1.0,1.0,[5]
347,1.0,1.0,[105]
367,1.0,1.0,[113]
363,2.0,1.0,"[83, 120]"
266,1.0,1.0,[103]
234,1.0,1.0,[48]
121,1.0,1.0,[3]
284,1.0,1.0,[145]
11,1.0,1.0,[69]
264,2.0,1.0,"[80, 133]"
71,1.0,1.0,[103]
296,1.0,1.0,[2]
21,2.0,1.0,"[31, 45]"
92,1.0,1.0,[60]
196,1.0,1.0,[91]
186,2.0,1.0,"[13, 93]"
85,4.0,1.0,"[116, 117, 120, 122]"
241,4.0,1.0,"[13, 158, 173, 180]"
385,3.0,1.0,"[16, 103, 105]"
265,2.0,1.0,"[122, 166]"
178,2.0,1.0,"[96, 159]"
89,1.0,1.0,[4]
156,4.0,1.0,"[12, 152, 178, 179]"
278,1.0,1.0,[52]
131,1.0,1.0,[67]
167,1.0,1.0,[36]
133,1.0,1.0,[101]
100,1.0,1.0,[140]
214,2.0,1.0,"[24, 30]"
375,1.0,1.0,[108]
8,1.0,1.0,[78]
176,1.0,1.0,[128]
274,1.0,1.0,[91]
374,1.0,1.0,[119]
56,1.0,1.0,[121]
