,used,exhausted,rounds
220,1.0,1.0,[0]
291,1.0,1.0,[0]
109,1.0,1.0,[0]
180,1.0,1.0,[0]
38,1.0,1.0,[0]
397,1.0,1.0,[0]
328,1.0,1.0,[0]
154,1.0,1.0,[0]
286,1.0,1.0,[0]
47,1.0,1.0,[0]
84,1.0,1.0,[0]
7,1.0,1.0,[0]
345,1.0,1.0,[0]
308,1.0,1.0,[0]
179,1.0,1.0,[0]
278,1.0,1.0,[0]
3,1.0,1.0,[0]
169,1.0,1.0,[0]
203,1.0,1.0,[0]
95,1.0,1.0,[0]
260,2.0,1.0,"[176, 178]"
147,3.0,1.0,"[172, 173, 174]"
315,1.0,1.0,[158]
70,1.0,1.0,[159]
152,1.0,1.0,[160]
207,2.0,1.0,"[134, 135]"
293,1.0,1.0,[136]
333,1.0,1.0,[137]
35,1.0,1.0,[138]
305,1.0,1.0,[139]
79,1.0,1.0,[84]
396,3.0,1.0,"[85, 86, 87]"
226,2.0,1.0,"[88, 89]"
206,1.0,1.0,[90]
110,1.0,1.0,[91]
331,2.0,1.0,"[92, 93]"
335,3.0,1.0,"[94, 95, 96]"
363,1.0,1.0,[97]
172,1.0,1.0,[98]
301,6.0,1.0,"[99, 100, 101, 102, 103, 104]"
50,1.0,1.0,[1]
222,2.0,1.0,"[2, 3]"
42,1.0,1.0,[4]
113,4.0,1.0,"[5, 6, 7, 8]"
236,2.0,1.0,"[9, 10]"
12,1.0,1.0,[11]
348,2.0,1.0,"[12, 13]"
215,1.0,1.0,[14]
64,4.0,1.0,"[15, 16, 17, 18]"
65,1.0,1.0,[19]
81,1.0,1.0,[20]
306,2.0,1.0,"[21, 22]"
219,1.0,1.0,[23]
358,2.0,1.0,"[24, 25]"
69,4.0,1.0,"[26, 27, 28, 29]"
26,3.0,1.0,"[30, 31, 32]"
136,2.0,1.0,"[33, 34]"
294,1.0,1.0,[35]
371,2.0,1.0,"[36, 37]"
373,6.0,1.0,"[38, 39, 40, 41, 42, 43]"
196,6.0,1.0,"[44, 45, 46, 47, 48, 49]"
284,4.0,1.0,"[50, 51, 52, 53]"
238,2.0,1.0,"[54, 55]"
93,1.0,1.0,[56]
143,2.0,1.0,"[57, 58]"
276,1.0,1.0,[59]
400,4.0,1.0,"[60, 61, 62, 63]"
393,1.0,1.0,[64]
272,2.0,1.0,"[105, 106]"
228,2.0,1.0,"[107, 108]"
275,1.0,1.0,[109]
62,1.0,1.0,[110]
181,2.0,1.0,"[111, 112]"
365,1.0,1.0,[113]
395,2.0,1.0,"[114, 115]"
0,3.0,1.0,"[116, 117, 118]"
162,1.0,1.0,[119]
43,1.0,1.0,[120]
268,1.0,1.0,[121]
382,2.0,1.0,"[122, 123]"
188,1.0,1.0,[124]
141,5.0,1.0,"[140, 141, 142, 143, 144]"
277,1.0,1.0,[145]
131,1.0,1.0,[146]
45,2.0,1.0,"[147, 148]"
159,1.0,1.0,[149]
119,1.0,1.0,[150]
171,1.0,1.0,[151]
248,4.0,1.0,"[152, 153, 161, 162]"
187,1.0,1.0,[163]
197,1.0,1.0,[164]
209,1.0,1.0,[165]
359,4.0,1.0,"[166, 167, 168, 169]"
117,1.0,1.0,[175]
114,1.0,1.0,[179]
177,1.0,1.0,[180]
5,3.0,1.0,"[181, 182, 183]"
146,1.0,1.0,[176]
49,1.0,1.0,[180]
341,1.0,1.0,[174]
135,2.0,1.0,"[179, 181]"
378,4.0,1.0,"[175, 177, 178, 182]"
90,1.0,1.0,[162]
150,1.0,1.0,[179]
374,2.0,1.0,"[163, 170]"
199,1.0,1.0,[164]
364,2.0,1.0,"[171, 172]"
289,1.0,1.0,[138]
225,2.0,1.0,"[154, 155]"
19,1.0,1.0,[139]
149,1.0,1.0,[156]
310,7.0,1.0,"[140, 141, 142, 143, 144, 157, 158]"
355,1.0,1.0,[145]
132,2.0,1.0,"[165, 171]"
256,1.0,1.0,[146]
