,used,exhausted,rounds
220,1.0,1.0,[0]
291,1.0,1.0,[0]
109,1.0,1.0,[0]
180,1.0,1.0,[0]
38,1.0,1.0,[0]
397,1.0,1.0,[0]
328,1.0,1.0,[0]
154,1.0,1.0,[0]
286,1.0,1.0,[0]
47,1.0,1.0,[0]
84,1.0,1.0,[0]
7,1.0,1.0,[0]
345,1.0,1.0,[0]
308,1.0,1.0,[0]
179,1.0,1.0,[0]
278,1.0,1.0,[0]
3,1.0,1.0,[0]
169,1.0,1.0,[0]
203,1.0,1.0,[0]
95,1.0,1.0,[0]
260,2.0,1.0,"[87, 165]"
147,3.0,1.0,"[19, 35, 49]"
315,1.0,1.0,[153]
70,1.0,1.0,[62]
152,1.0,1.0,[5]
207,2.0,1.0,"[80, 164]"
293,1.0,1.0,[12]
333,1.0,1.0,[28]
35,1.0,1.0,[35]
305,1.0,1.0,[100]
79,1.0,1.0,[15]
396,3.0,1.0,"[100, 103, 105]"
226,2.0,1.0,"[52, 122]"
206,1.0,1.0,[62]
110,1.0,1.0,[149]
331,2.0,1.0,"[6, 154]"
335,3.0,1.0,"[81, 90, 91]"
363,1.0,1.0,[81]
172,1.0,1.0,[120]
301,6.0,1.0,"[63, 155, 162, 168, 170, 171]"
50,1.0,1.0,[73]
222,2.0,1.0,"[29, 152]"
42,1.0,1.0,[74]
113,4.0,1.0,"[55, 146, 147, 148]"
236,2.0,1.0,"[108, 174]"
12,1.0,1.0,[165]
348,2.0,1.0,"[105, 130]"
215,1.0,1.0,[68]
64,4.0,1.0,"[120, 142, 143, 151]"
65,1.0,1.0,[122]
81,1.0,1.0,[80]
306,2.0,1.0,"[46, 154]"
219,1.0,1.0,[71]
358,2.0,1.0,"[101, 170]"
69,4.0,1.0,"[36, 128, 146, 147]"
26,3.0,1.0,"[87, 88, 92]"
136,2.0,1.0,"[7, 166]"
294,1.0,1.0,[2]
371,2.0,1.0,"[48, 54]"
373,6.0,1.0,"[34, 159, 181, 182, 183, 184]"
196,6.0,1.0,"[74, 98, 108, 118, 144, 154]"
284,4.0,1.0,"[111, 117, 121, 128]"
238,2.0,1.0,"[116, 131]"
93,1.0,1.0,[11]
143,2.0,1.0,"[23, 147]"
276,1.0,1.0,[14]
400,4.0,1.0,"[42, 64, 65, 80]"
393,1.0,1.0,[20]
272,2.0,1.0,"[40, 155]"
228,2.0,1.0,"[71, 92]"
275,1.0,1.0,[63]
62,1.0,1.0,[11]
181,2.0,1.0,"[18, 165]"
365,1.0,1.0,[38]
395,2.0,1.0,"[57, 166]"
0,3.0,1.0,"[9, 171, 179]"
162,1.0,1.0,[90]
43,1.0,1.0,[140]
268,1.0,1.0,[57]
382,2.0,1.0,"[50, 138]"
188,1.0,1.0,[98]
141,5.0,1.0,"[54, 79, 80, 96, 97]"
277,1.0,1.0,[30]
131,1.0,1.0,[34]
45,2.0,1.0,"[5, 31]"
159,1.0,1.0,[93]
119,1.0,1.0,[75]
171,1.0,1.0,[79]
248,4.0,1.0,"[47, 50, 115, 122]"
187,1.0,1.0,[95]
197,1.0,1.0,[25]
209,1.0,1.0,[26]
359,4.0,1.0,"[38, 44, 48, 60]"
117,1.0,1.0,[28]
114,1.0,1.0,[16]
177,1.0,1.0,[106]
5,3.0,1.0,"[101, 115, 131]"
146,1.0,1.0,[1]
49,1.0,1.0,[156]
341,1.0,1.0,[138]
135,2.0,1.0,"[50, 108]"
378,4.0,1.0,"[45, 55, 86, 132]"
90,1.0,1.0,[41]
150,1.0,1.0,[153]
374,2.0,1.0,"[77, 124]"
199,1.0,1.0,[135]
364,2.0,1.0,"[83, 88]"
289,1.0,1.0,[41]
225,2.0,1.0,"[29, 109]"
19,1.0,1.0,[88]
149,1.0,1.0,[118]
310,7.0,1.0,"[33, 96, 109, 129, 136, 137, 138]"
355,1.0,1.0,[139]
132,2.0,1.0,"[3, 127]"
256,1.0,1.0,[160]
