,used,exhausted,rounds
1168,1.0,1.0,[0]
2205,1.0,1.0,[0]
1824,1.0,1.0,[0]
305,1.0,1.0,[0]
859,1.0,1.0,[0]
1772,1.0,1.0,[0]
362,1.0,1.0,[0]
1393,1.0,1.0,[0]
246,1.0,1.0,[0]
92,1.0,1.0,[0]
1017,1.0,1.0,[0]
1284,1.0,1.0,[0]
2308,1.0,1.0,[0]
1518,1.0,1.0,[0]
1280,1.0,1.0,[0]
1811,1.0,1.0,[0]
1437,1.0,1.0,[0]
316,1.0,1.0,[0]
1098,1.0,1.0,[0]
504,1.0,1.0,[0]
2015,1.0,1.0,[0]
2327,1.0,1.0,[0]
1073,1.0,1.0,[0]
795,1.0,1.0,[0]
573,1.0,1.0,[0]
693,1.0,1.0,[0]
2057,1.0,1.0,[0]
286,1.0,1.0,[0]
1775,1.0,1.0,[0]
338,1.0,1.0,[0]
1737,1.0,1.0,[0]
1487,1.0,1.0,[0]
135,1.0,1.0,[0]
1654,1.0,1.0,[0]
249,1.0,1.0,[0]
1356,1.0,1.0,[0]
2062,1.0,1.0,[0]
2217,1.0,1.0,[0]
157,1.0,1.0,[0]
178,1.0,1.0,[0]
156,1.0,1.0,[0]
1216,1.0,1.0,[0]
475,1.0,1.0,[0]
2359,1.0,1.0,[0]
827,1.0,1.0,[0]
1400,1.0,1.0,[0]
1150,1.0,1.0,[0]
224,1.0,1.0,[0]
586,1.0,1.0,[0]
1175,1.0,1.0,[0]
534,1.0,1.0,[0]
545,1.0,1.0,[0]
554,1.0,1.0,[0]
334,1.0,1.0,[0]
204,1.0,1.0,[0]
1830,1.0,1.0,[0]
1817,1.0,1.0,[0]
1266,1.0,1.0,[0]
32,1.0,1.0,[0]
2170,1.0,1.0,[0]
1923,1.0,1.0,[0]
1794,1.0,1.0,[0]
2161,1.0,1.0,[0]
1967,1.0,1.0,[0]
521,1.0,1.0,[0]
2089,1.0,1.0,[0]
1496,1.0,1.0,[0]
1540,1.0,1.0,[0]
918,1.0,1.0,[0]
226,1.0,1.0,[0]
238,1.0,1.0,[0]
1345,1.0,1.0,[0]
1713,1.0,1.0,[0]
1937,1.0,1.0,[0]
637,1.0,1.0,[0]
663,1.0,1.0,[0]
1874,1.0,1.0,[0]
2222,1.0,1.0,[0]
1555,1.0,1.0,[0]
1316,1.0,1.0,[0]
902,1.0,1.0,[0]
1726,1.0,1.0,[0]
1123,1.0,1.0,[0]
1057,1.0,1.0,[0]
463,1.0,1.0,[0]
1386,1.0,1.0,[0]
57,1.0,1.0,[0]
1933,1.0,1.0,[0]
365,1.0,1.0,[0]
2102,1.0,1.0,[0]
1482,1.0,1.0,[0]
763,1.0,1.0,[0]
358,1.0,1.0,[0]
233,1.0,1.0,[0]
1136,1.0,1.0,[0]
1554,1.0,1.0,[0]
2283,1.0,1.0,[0]
1224,1.0,1.0,[0]
117,1.0,1.0,[0]
2302,1.0,1.0,[0]
1757,1.0,1.0,[0]
721,1.0,1.0,[0]
1883,1.0,1.0,[0]
212,1.0,1.0,[0]
2244,1.0,1.0,[0]
35,1.0,1.0,[0]
2076,1.0,1.0,[0]
2007,1.0,1.0,[0]
652,1.0,1.0,[0]
2275,1.0,1.0,[0]
2055,1.0,1.0,[0]
1895,1.0,1.0,[0]
2311,1.0,1.0,[0]
622,1.0,1.0,[0]
555,1.0,1.0,[0]
287,1.0,1.0,[0]
724,1.0,1.0,[0]
2371,1.0,1.0,[0]
169,1.0,1.0,[0]
1872,0.0,0.0,[]
916,0.0,0.0,[]
1931,0.0,0.0,[]
673,0.0,0.0,[]
1536,0.0,0.0,[]
1001,0.0,0.0,[]
130,0.0,0.0,[]
2074,0.0,0.0,[]
1512,0.0,0.0,[]
145,0.0,0.0,[]
1113,0.0,0.0,[]
1782,0.0,0.0,[]
170,0.0,0.0,[]
1859,0.0,0.0,[]
1577,0.0,0.0,[]
779,0.0,0.0,[]
122,0.0,0.0,[]
2247,0.0,0.0,[]
1984,0.0,0.0,[]
2260,0.0,0.0,[]
1299,0.0,0.0,[]
2052,0.0,0.0,[]
1341,0.0,0.0,[]
256,0.0,0.0,[]
1420,0.0,0.0,[]
2137,0.0,0.0,[]
640,0.0,0.0,[]
999,0.0,0.0,[]
585,0.0,0.0,[]
1238,0.0,0.0,[]
1402,0.0,0.0,[]
1249,0.0,0.0,[]
1226,0.0,0.0,[]
1745,0.0,0.0,[]
2026,0.0,0.0,[]
1903,0.0,0.0,[]
1947,0.0,0.0,[]
967,0.0,0.0,[]
577,0.0,0.0,[]
1505,0.0,0.0,[]
2323,0.0,0.0,[]
569,3.0,1.0,"[128, 129, 130]"
955,2.0,1.0,"[131, 132]"
426,2.0,1.0,"[133, 134]"
1525,1.0,1.0,[135]
2365,1.0,1.0,[136]
1784,3.0,1.0,"[137, 138, 139]"
248,2.0,0.0,"[140, 141]"
79,0.0,0.0,[]
1790,0.0,0.0,[]
1958,0.0,0.0,[]
94,0.0,0.0,[]
962,0.0,0.0,[]
2098,0.0,0.0,[]
1495,0.0,0.0,[]
1121,0.0,0.0,[]
1196,0.0,0.0,[]
1880,0.0,0.0,[]
1374,0.0,0.0,[]
1690,0.0,0.0,[]
2230,0.0,0.0,[]
2050,0.0,0.0,[]
1095,0.0,0.0,[]
814,0.0,0.0,[]
471,0.0,0.0,[]
639,0.0,0.0,[]
991,0.0,0.0,[]
1377,0.0,0.0,[]
1228,0.0,0.0,[]
846,0.0,0.0,[]
656,0.0,0.0,[]
730,0.0,0.0,[]
441,0.0,0.0,[]
624,0.0,0.0,[]
1849,0.0,0.0,[]
1082,0.0,0.0,[]
2119,0.0,0.0,[]
36,0.0,0.0,[]
903,0.0,0.0,[]
2362,0.0,0.0,[]
1978,0.0,0.0,[]
2118,0.0,0.0,[]
1853,5.0,1.0,"[23, 24, 25, 26, 27]"
1579,1.0,1.0,[28]
2084,2.0,1.0,"[29, 30]"
1551,1.0,1.0,[31]
423,1.0,1.0,[32]
602,1.0,1.0,[33]
507,3.0,1.0,"[34, 35, 36]"
1286,2.0,1.0,"[37, 38]"
1390,1.0,1.0,[39]
339,3.0,1.0,"[40, 41, 42]"
1364,2.0,1.0,"[43, 44]"
202,2.0,1.0,"[45, 46]"
1629,1.0,1.0,[47]
1506,2.0,1.0,"[48, 49]"
23,2.0,1.0,"[50, 51]"
757,1.0,1.0,[52]
1998,3.0,1.0,"[53, 54, 55]"
1929,1.0,1.0,[56]
1052,1.0,1.0,[57]
155,1.0,1.0,[58]
299,2.0,1.0,"[59, 60]"
377,3.0,1.0,"[61, 62, 63]"
1021,2.0,1.0,"[64, 65]"
2273,1.0,1.0,[66]
1160,1.0,1.0,[67]
1878,3.0,1.0,"[68, 69, 70]"
1949,5.0,1.0,"[71, 72, 73, 74, 75]"
