,used,exhausted,rounds
1168,1.0,1.0,[0]
2205,1.0,1.0,[0]
1824,1.0,1.0,[0]
305,1.0,1.0,[0]
859,1.0,1.0,[0]
1772,1.0,1.0,[0]
362,1.0,1.0,[0]
1393,1.0,1.0,[0]
246,1.0,1.0,[0]
92,1.0,1.0,[0]
1017,1.0,1.0,[0]
1284,1.0,1.0,[0]
2308,1.0,1.0,[0]
1518,1.0,1.0,[0]
1280,1.0,1.0,[0]
1811,1.0,1.0,[0]
1437,1.0,1.0,[0]
316,1.0,1.0,[0]
1098,1.0,1.0,[0]
504,1.0,1.0,[0]
2015,1.0,1.0,[0]
2327,1.0,1.0,[0]
1073,1.0,1.0,[0]
795,1.0,1.0,[0]
573,1.0,1.0,[0]
693,1.0,1.0,[0]
2057,1.0,1.0,[0]
286,1.0,1.0,[0]
1775,1.0,1.0,[0]
338,1.0,1.0,[0]
1737,1.0,1.0,[0]
1487,1.0,1.0,[0]
135,1.0,1.0,[0]
1654,1.0,1.0,[0]
249,1.0,1.0,[0]
1356,1.0,1.0,[0]
2062,1.0,1.0,[0]
2217,1.0,1.0,[0]
157,1.0,1.0,[0]
178,1.0,1.0,[0]
156,1.0,1.0,[0]
1216,1.0,1.0,[0]
475,1.0,1.0,[0]
2359,1.0,1.0,[0]
827,1.0,1.0,[0]
1400,1.0,1.0,[0]
1150,1.0,1.0,[0]
224,1.0,1.0,[0]
586,1.0,1.0,[0]
1175,1.0,1.0,[0]
534,1.0,1.0,[0]
545,1.0,1.0,[0]
554,1.0,1.0,[0]
334,1.0,1.0,[0]
204,1.0,1.0,[0]
1830,1.0,1.0,[0]
1817,1.0,1.0,[0]
1266,1.0,1.0,[0]
32,1.0,1.0,[0]
2170,1.0,1.0,[0]
1923,1.0,1.0,[0]
1794,1.0,1.0,[0]
2161,1.0,1.0,[0]
1967,1.0,1.0,[0]
521,1.0,1.0,[0]
2089,1.0,1.0,[0]
1496,1.0,1.0,[0]
1540,1.0,1.0,[0]
918,1.0,1.0,[0]
226,1.0,1.0,[0]
238,1.0,1.0,[0]
1345,1.0,1.0,[0]
1713,1.0,1.0,[0]
1937,1.0,1.0,[0]
637,1.0,1.0,[0]
663,1.0,1.0,[0]
1874,1.0,1.0,[0]
2222,1.0,1.0,[0]
1555,1.0,1.0,[0]
1316,1.0,1.0,[0]
902,1.0,1.0,[0]
1726,1.0,1.0,[0]
1123,1.0,1.0,[0]
1057,1.0,1.0,[0]
463,1.0,1.0,[0]
1386,1.0,1.0,[0]
57,1.0,1.0,[0]
1933,1.0,1.0,[0]
365,1.0,1.0,[0]
2102,1.0,1.0,[0]
1482,1.0,1.0,[0]
763,1.0,1.0,[0]
358,1.0,1.0,[0]
233,1.0,1.0,[0]
1136,1.0,1.0,[0]
1554,1.0,1.0,[0]
2283,1.0,1.0,[0]
1224,1.0,1.0,[0]
117,1.0,1.0,[0]
2302,1.0,1.0,[0]
1757,1.0,1.0,[0]
721,1.0,1.0,[0]
1883,1.0,1.0,[0]
212,1.0,1.0,[0]
2244,1.0,1.0,[0]
35,1.0,1.0,[0]
2076,1.0,1.0,[0]
2007,1.0,1.0,[0]
652,1.0,1.0,[0]
2275,1.0,1.0,[0]
2055,1.0,1.0,[0]
1895,1.0,1.0,[0]
2311,1.0,1.0,[0]
622,1.0,1.0,[0]
555,1.0,1.0,[0]
287,1.0,1.0,[0]
724,1.0,1.0,[0]
2371,1.0,1.0,[0]
169,1.0,1.0,[0]
1872,3.0,1.0,"[66, 68, 69]"
916,1.0,0.0,[95]
1931,2.0,1.0,"[36, 47]"
673,1.0,1.0,[130]
1536,1.0,1.0,[19]
1001,0.0,0.0,[]
130,0.0,0.0,[]
2074,1.0,1.0,[68]
1512,2.0,0.0,"[97, 136]"
145,0.0,0.0,[]
1113,4.0,1.0,"[18, 19, 25, 59]"
1782,1.0,1.0,[2]
170,1.0,1.0,[55]
1859,1.0,1.0,[9]
1577,1.0,1.0,[92]
779,2.0,1.0,"[118, 119]"
122,0.0,0.0,[]
2247,1.0,1.0,[22]
1984,1.0,1.0,[16]
2260,1.0,1.0,[19]
1299,1.0,0.0,[12]
2052,0.0,0.0,[]
1341,1.0,1.0,[84]
256,1.0,1.0,[89]
1420,2.0,0.0,"[54, 141]"
2137,2.0,1.0,"[120, 121]"
640,0.0,0.0,[]
999,0.0,0.0,[]
585,1.0,1.0,[120]
1238,2.0,1.0,"[58, 74]"
1402,1.0,1.0,[17]
1249,2.0,1.0,"[72, 90]"
1226,1.0,0.0,[111]
1745,3.0,1.0,"[36, 56, 106]"
2026,1.0,1.0,[3]
1903,1.0,0.0,[18]
1947,1.0,1.0,[30]
967,0.0,0.0,[]
577,2.0,0.0,"[91, 110]"
1505,1.0,1.0,[17]
2323,0.0,0.0,[]
569,3.0,1.0,"[67, 127, 135]"
955,1.0,0.0,[112]
426,1.0,0.0,[65]
1525,1.0,1.0,[70]
2365,1.0,1.0,[55]
1784,3.0,1.0,"[49, 77, 78]"
248,1.0,0.0,[71]
79,1.0,1.0,[63]
1790,1.0,1.0,[26]
1958,1.0,1.0,[23]
94,0.0,0.0,[]
962,1.0,1.0,[65]
2098,2.0,1.0,"[23, 85]"
1495,2.0,0.0,"[117, 122]"
1121,0.0,0.0,[]
1196,0.0,0.0,[]
1880,1.0,1.0,[84]
1374,1.0,1.0,[56]
1690,1.0,1.0,[19]
2230,1.0,1.0,[89]
2050,1.0,1.0,[47]
1095,1.0,0.0,[9]
814,1.0,0.0,[72]
471,1.0,1.0,[101]
639,0.0,0.0,[]
991,1.0,0.0,[135]
1377,2.0,1.0,"[32, 143]"
1228,1.0,1.0,[6]
846,1.0,1.0,[117]
656,1.0,1.0,[110]
730,2.0,1.0,"[67, 109]"
441,1.0,1.0,[11]
624,1.0,1.0,[121]
1849,2.0,1.0,"[70, 85]"
1082,1.0,1.0,[64]
2119,1.0,1.0,[84]
36,0.0,0.0,[]
903,1.0,1.0,[124]
2362,0.0,0.0,[]
1978,1.0,1.0,[143]
2118,2.0,1.0,"[18, 113]"
1853,5.0,1.0,"[19, 21, 22, 23, 24]"
1579,1.0,1.0,[47]
2084,2.0,1.0,"[131, 137]"
1551,1.0,1.0,[10]
423,1.0,1.0,[98]
602,1.0,1.0,[134]
507,2.0,0.0,"[140, 142]"
1286,1.0,0.0,[70]
1390,0.0,0.0,[]
339,1.0,0.0,[73]
1364,2.0,1.0,"[87, 89]"
202,0.0,0.0,[]
1629,1.0,1.0,[92]
1506,2.0,1.0,"[30, 77]"
23,1.0,0.0,[82]
757,1.0,1.0,[73]
1998,1.0,0.0,[31]
1929,1.0,1.0,[58]
1052,1.0,1.0,[103]
155,1.0,1.0,[119]
299,1.0,0.0,[31]
377,0.0,0.0,[]
