,used,exhausted,rounds
245,1.0,1.0,[0]
2133,1.0,1.0,[0]
1751,1.0,1.0,[0]
2232,1.0,1.0,[0]
938,1.0,1.0,[0]
1721,1.0,1.0,[0]
736,1.0,1.0,[0]
1336,1.0,1.0,[0]
1023,1.0,1.0,[0]
3,1.0,1.0,[0]
1625,1.0,1.0,[0]
1066,1.0,1.0,[0]
2122,1.0,1.0,[0]
170,1.0,1.0,[0]
2220,1.0,1.0,[0]
328,1.0,1.0,[0]
311,1.0,1.0,[0]
1146,1.0,1.0,[0]
1321,1.0,1.0,[0]
424,1.0,1.0,[0]
2279,1.0,1.0,[0]
960,1.0,1.0,[0]
2002,1.0,1.0,[0]
2192,1.0,1.0,[0]
366,1.0,1.0,[0]
1722,1.0,1.0,[0]
95,1.0,1.0,[0]
2382,1.0,1.0,[0]
608,1.0,1.0,[0]
1333,1.0,1.0,[0]
1551,1.0,1.0,[0]
1124,1.0,1.0,[0]
2219,1.0,1.0,[0]
1255,1.0,1.0,[0]
1776,1.0,1.0,[0]
1962,1.0,1.0,[0]
1996,1.0,1.0,[0]
2009,1.0,1.0,[0]
40,1.0,1.0,[0]
557,1.0,1.0,[0]
1694,1.0,1.0,[0]
414,1.0,1.0,[0]
1381,1.0,1.0,[0]
558,1.0,1.0,[0]
2329,1.0,1.0,[0]
750,1.0,1.0,[0]
1406,1.0,1.0,[0]
1799,1.0,1.0,[0]
1830,1.0,1.0,[0]
2284,1.0,1.0,[0]
1482,1.0,1.0,[0]
252,1.0,1.0,[0]
1213,1.0,1.0,[0]
1177,1.0,1.0,[0]
1778,1.0,1.0,[0]
2338,1.0,1.0,[0]
814,1.0,1.0,[0]
508,1.0,1.0,[0]
239,1.0,1.0,[0]
1679,1.0,1.0,[0]
1074,1.0,1.0,[0]
693,1.0,1.0,[0]
20,1.0,1.0,[0]
343,1.0,1.0,[0]
638,1.0,1.0,[0]
585,1.0,1.0,[0]
331,1.0,1.0,[0]
1842,1.0,1.0,[0]
1599,1.0,1.0,[0]
181,1.0,1.0,[0]
360,1.0,1.0,[0]
1439,1.0,1.0,[0]
665,1.0,1.0,[0]
1823,1.0,1.0,[0]
2069,1.0,1.0,[0]
1351,1.0,1.0,[0]
1628,1.0,1.0,[0]
1499,1.0,1.0,[0]
703,1.0,1.0,[0]
189,1.0,1.0,[0]
1567,1.0,1.0,[0]
2322,1.0,1.0,[0]
386,1.0,1.0,[0]
2158,1.0,1.0,[0]
2301,1.0,1.0,[0]
2361,1.0,1.0,[0]
1946,1.0,1.0,[0]
2029,1.0,1.0,[0]
581,1.0,1.0,[0]
1011,1.0,1.0,[0]
1287,1.0,1.0,[0]
590,1.0,1.0,[0]
1592,1.0,1.0,[0]
371,1.0,1.0,[0]
454,1.0,1.0,[0]
1974,1.0,1.0,[0]
257,1.0,1.0,[0]
654,1.0,1.0,[0]
956,1.0,1.0,[0]
51,1.0,1.0,[0]
494,1.0,1.0,[0]
920,1.0,1.0,[0]
63,1.0,1.0,[0]
1226,1.0,1.0,[0]
2100,1.0,1.0,[0]
377,1.0,1.0,[0]
738,1.0,1.0,[0]
548,1.0,1.0,[0]
1282,1.0,1.0,[0]
865,1.0,1.0,[0]
84,1.0,1.0,[0]
214,1.0,1.0,[0]
1407,1.0,1.0,[0]
2320,1.0,1.0,[0]
2136,1.0,1.0,[0]
242,1.0,1.0,[0]
639,1.0,1.0,[0]
1630,1.0,1.0,[0]
1676,1.0,1.0,[0]
1900,3.0,1.0,"[152, 158, 165]"
637,2.0,1.0,"[4, 5]"
1392,2.0,1.0,"[145, 148]"
612,1.0,1.0,[158]
932,1.0,1.0,[31]
505,4.0,1.0,"[25, 28, 29, 30]"
416,3.0,1.0,"[68, 74, 75]"
1133,1.0,1.0,[58]
2010,3.0,1.0,"[61, 80, 84]"
2274,3.0,1.0,"[33, 53, 63]"
406,0.0,0.0,[]
1179,1.0,1.0,[30]
1201,1.0,1.0,[115]
1270,0.0,0.0,[]
1189,0.0,0.0,[]
644,0.0,0.0,[]
1979,2.0,1.0,"[86, 111]"
1534,1.0,1.0,[60]
1304,0.0,0.0,[]
2308,1.0,1.0,[2]
1696,2.0,1.0,"[176, 182]"
1936,1.0,1.0,[50]
2360,1.0,1.0,[51]
389,1.0,1.0,[104]
1767,3.0,1.0,"[158, 161, 172]"
67,2.0,1.0,"[126, 127]"
2270,1.0,1.0,[133]
235,5.0,1.0,"[70, 72, 73, 78, 81]"
133,1.0,1.0,[107]
935,2.0,1.0,"[83, 99]"
2383,1.0,1.0,[91]
2236,2.0,1.0,"[1, 2]"
747,4.0,1.0,"[114, 128, 129, 131]"
2295,3.0,1.0,"[74, 93, 102]"
2182,1.0,1.0,[63]
1271,3.0,1.0,"[178, 179, 181]"
886,1.0,1.0,[140]
207,1.0,1.0,[69]
434,3.0,1.0,"[102, 115, 117]"
5,1.0,1.0,[38]
327,2.0,1.0,"[134, 168]"
860,0.0,0.0,[]
2251,2.0,1.0,"[3, 38]"
2349,2.0,1.0,"[4, 50]"
298,1.0,1.0,[105]
1029,0.0,0.0,[]
2168,3.0,1.0,"[23, 38, 40]"
835,0.0,0.0,[]
1698,1.0,1.0,[19]
1618,1.0,1.0,[141]
2207,1.0,1.0,[33]
2244,2.0,1.0,"[3, 7]"
2298,1.0,1.0,[66]
1919,2.0,1.0,"[14, 15]"
1466,3.0,1.0,"[66, 78, 99]"
484,0.0,0.0,[]
683,1.0,1.0,[53]
2174,1.0,1.0,[134]
433,1.0,1.0,[182]
2172,0.0,0.0,[]
1311,1.0,1.0,[114]
1608,1.0,1.0,[73]
2353,3.0,1.0,"[1, 2, 6]"
310,4.0,0.0,"[170, 177, 184, 185]"
25,1.0,1.0,[22]
2085,1.0,1.0,[69]
2249,3.0,1.0,"[8, 11, 20]"
658,2.0,1.0,"[147, 148]"
1326,1.0,1.0,[71]
1902,1.0,1.0,[165]
1809,1.0,1.0,[3]
1914,2.0,1.0,"[67, 74]"
1015,1.0,1.0,[17]
564,0.0,0.0,[]
1811,2.0,1.0,"[123, 129]"
836,1.0,1.0,[65]
994,1.0,1.0,[171]
896,4.0,1.0,"[145, 153, 154, 155]"
1465,1.0,1.0,[85]
1861,1.0,1.0,[48]
1053,0.0,0.0,[]
1274,2.0,1.0,"[146, 152]"
999,0.0,0.0,[]
1207,1.0,1.0,[56]
1040,2.0,1.0,"[159, 171]"
2086,0.0,0.0,[]
781,1.0,1.0,[178]
1726,1.0,1.0,[112]
363,3.0,1.0,"[138, 155, 168]"
1644,2.0,1.0,"[92, 95]"
2194,1.0,1.0,[84]
1453,3.0,1.0,"[169, 175, 176]"
259,1.0,0.0,[177]
487,2.0,1.0,"[86, 108]"
102,1.0,1.0,[149]
35,2.0,1.0,"[100, 101]"
1312,2.0,1.0,"[123, 131]"
607,0.0,0.0,[]
702,0.0,0.0,[]
764,1.0,1.0,[66]
1041,0.0,0.0,[]
1692,1.0,1.0,[25]
2178,2.0,1.0,"[8, 20]"
2292,3.0,1.0,"[126, 158, 160]"
241,0.0,0.0,[]
2283,1.0,1.0,[91]
931,1.0,1.0,[159]
2073,3.0,1.0,"[126, 136, 160]"
2164,5.0,1.0,"[81, 93, 94, 98, 99]"
422,1.0,1.0,[125]
989,4.0,1.0,"[132, 136, 145, 146]"
2114,1.0,1.0,[19]
