,used,exhausted,rounds
245,1.0,1.0,[0]
2133,1.0,1.0,[0]
1751,1.0,1.0,[0]
2232,1.0,1.0,[0]
938,1.0,1.0,[0]
1721,1.0,1.0,[0]
736,1.0,1.0,[0]
1336,1.0,1.0,[0]
1023,1.0,1.0,[0]
3,1.0,1.0,[0]
1625,1.0,1.0,[0]
1066,1.0,1.0,[0]
2122,1.0,1.0,[0]
170,1.0,1.0,[0]
2220,1.0,1.0,[0]
328,1.0,1.0,[0]
311,1.0,1.0,[0]
1146,1.0,1.0,[0]
1321,1.0,1.0,[0]
424,1.0,1.0,[0]
2279,1.0,1.0,[0]
960,1.0,1.0,[0]
2002,1.0,1.0,[0]
2192,1.0,1.0,[0]
366,1.0,1.0,[0]
1722,1.0,1.0,[0]
95,1.0,1.0,[0]
2382,1.0,1.0,[0]
608,1.0,1.0,[0]
1333,1.0,1.0,[0]
1551,1.0,1.0,[0]
1124,1.0,1.0,[0]
2219,1.0,1.0,[0]
1255,1.0,1.0,[0]
1776,1.0,1.0,[0]
1962,1.0,1.0,[0]
1996,1.0,1.0,[0]
2009,1.0,1.0,[0]
40,1.0,1.0,[0]
557,1.0,1.0,[0]
1694,1.0,1.0,[0]
414,1.0,1.0,[0]
1381,1.0,1.0,[0]
558,1.0,1.0,[0]
2329,1.0,1.0,[0]
750,1.0,1.0,[0]
1406,1.0,1.0,[0]
1799,1.0,1.0,[0]
1830,1.0,1.0,[0]
2284,1.0,1.0,[0]
1482,1.0,1.0,[0]
252,1.0,1.0,[0]
1213,1.0,1.0,[0]
1177,1.0,1.0,[0]
1778,1.0,1.0,[0]
2338,1.0,1.0,[0]
814,1.0,1.0,[0]
508,1.0,1.0,[0]
239,1.0,1.0,[0]
1679,1.0,1.0,[0]
1074,1.0,1.0,[0]
693,1.0,1.0,[0]
20,1.0,1.0,[0]
343,1.0,1.0,[0]
638,1.0,1.0,[0]
585,1.0,1.0,[0]
331,1.0,1.0,[0]
1842,1.0,1.0,[0]
1599,1.0,1.0,[0]
181,1.0,1.0,[0]
360,1.0,1.0,[0]
1439,1.0,1.0,[0]
665,1.0,1.0,[0]
1823,1.0,1.0,[0]
2069,1.0,1.0,[0]
1351,1.0,1.0,[0]
1628,1.0,1.0,[0]
1499,1.0,1.0,[0]
703,1.0,1.0,[0]
189,1.0,1.0,[0]
1567,1.0,1.0,[0]
2322,1.0,1.0,[0]
386,1.0,1.0,[0]
2158,1.0,1.0,[0]
2301,1.0,1.0,[0]
2361,1.0,1.0,[0]
1946,1.0,1.0,[0]
2029,1.0,1.0,[0]
581,1.0,1.0,[0]
1011,1.0,1.0,[0]
1287,1.0,1.0,[0]
590,1.0,1.0,[0]
1592,1.0,1.0,[0]
371,1.0,1.0,[0]
454,1.0,1.0,[0]
1974,1.0,1.0,[0]
257,1.0,1.0,[0]
654,1.0,1.0,[0]
956,1.0,1.0,[0]
51,1.0,1.0,[0]
494,1.0,1.0,[0]
920,1.0,1.0,[0]
63,1.0,1.0,[0]
1226,1.0,1.0,[0]
2100,1.0,1.0,[0]
377,1.0,1.0,[0]
738,1.0,1.0,[0]
548,1.0,1.0,[0]
1282,1.0,1.0,[0]
865,1.0,1.0,[0]
84,1.0,1.0,[0]
214,1.0,1.0,[0]
1407,1.0,1.0,[0]
2320,1.0,1.0,[0]
2136,1.0,1.0,[0]
242,1.0,1.0,[0]
639,1.0,1.0,[0]
1630,1.0,1.0,[0]
1676,1.0,1.0,[0]
1900,3.0,1.0,"[96, 99, 103]"
637,2.0,1.0,"[15, 31]"
1392,1.0,0.0,[125]
612,1.0,1.0,[134]
932,1.0,1.0,[10]
505,4.0,1.0,"[13, 42, 48, 50]"
416,3.0,1.0,"[37, 38, 67]"
1133,1.0,1.0,[51]
2010,3.0,1.0,"[42, 48, 78]"
2274,3.0,1.0,"[42, 45, 56]"
406,0.0,0.0,[]
1179,1.0,1.0,[55]
1201,1.0,1.0,[99]
1270,1.0,1.0,[135]
1189,0.0,0.0,[]
644,0.0,0.0,[]
1979,2.0,1.0,"[58, 85]"
1534,1.0,1.0,[37]
1304,0.0,0.0,[]
2308,1.0,1.0,[39]
1696,2.0,1.0,"[133, 134]"
1936,1.0,1.0,[9]
2360,1.0,1.0,[28]
389,1.0,1.0,[70]
1767,2.0,0.0,"[131, 136]"
67,0.0,0.0,[]
2270,1.0,1.0,[87]
235,2.0,0.0,"[35, 105]"
133,1.0,1.0,[22]
935,2.0,1.0,"[72, 159]"
2383,1.0,1.0,[110]
2236,2.0,1.0,"[9, 10]"
747,0.0,0.0,[]
2295,3.0,1.0,"[120, 121, 122]"
2182,1.0,1.0,[56]
1271,1.0,0.0,[130]
886,1.0,1.0,[83]
207,1.0,1.0,[73]
434,1.0,0.0,[80]
5,1.0,1.0,[135]
327,2.0,1.0,"[126, 127]"
860,0.0,0.0,[]
2251,2.0,1.0,"[18, 30]"
2349,2.0,1.0,"[27, 30]"
298,1.0,1.0,[121]
1029,0.0,0.0,[]
2168,3.0,1.0,"[13, 18, 25]"
835,0.0,0.0,[]
1698,1.0,1.0,[8]
1618,1.0,1.0,[111]
2207,1.0,1.0,[38]
2244,2.0,1.0,"[4, 7]"
2298,1.0,1.0,[50]
1919,2.0,1.0,"[2, 29]"
1466,3.0,1.0,"[76, 91, 102]"
484,0.0,0.0,[]
683,1.0,1.0,[79]
2174,1.0,1.0,[47]
433,1.0,1.0,[101]
2172,0.0,0.0,[]
1311,1.0,1.0,[91]
1608,1.0,1.0,[54]
2353,3.0,1.0,"[122, 123, 128]"
310,0.0,0.0,[]
25,1.0,1.0,[47]
2085,1.0,1.0,[75]
2249,3.0,1.0,"[4, 7, 9]"
658,1.0,0.0,[155]
1326,1.0,1.0,[41]
1902,1.0,1.0,[131]
1809,1.0,1.0,[7]
1914,2.0,1.0,"[13, 19]"
1015,1.0,1.0,[19]
564,0.0,0.0,[]
1811,2.0,1.0,"[88, 105]"
836,1.0,1.0,[32]
994,1.0,1.0,[122]
896,1.0,0.0,[137]
1465,1.0,1.0,[35]
1861,1.0,1.0,[18]
1053,1.0,1.0,[143]
1274,2.0,1.0,"[91, 158]"
999,0.0,0.0,[]
1207,1.0,1.0,[39]
1040,2.0,1.0,"[132, 148]"
2086,1.0,1.0,[124]
781,1.0,1.0,[99]
1726,1.0,1.0,[88]
363,0.0,0.0,[]
1644,2.0,1.0,"[61, 123]"
2194,1.0,1.0,[43]
1453,3.0,1.0,"[133, 146, 152]"
259,0.0,0.0,[]
487,1.0,0.0,[94]
102,1.0,1.0,[148]
35,1.0,0.0,[125]
1312,1.0,0.0,[118]
607,1.0,1.0,[156]
702,0.0,0.0,[]
764,1.0,1.0,[55]
1041,0.0,0.0,[]
1692,1.0,1.0,[2]
2178,2.0,1.0,"[29, 30]"
2292,3.0,1.0,"[120, 128, 133]"
241,0.0,0.0,[]
2283,1.0,1.0,[44]
931,1.0,1.0,[153]
2073,3.0,1.0,"[141, 154, 158]"
2164,5.0,1.0,"[61, 72, 93, 110, 112]"
422,1.0,1.0,[77]
989,1.0,0.0,[122]
2114,1.0,1.0,[7]
42,0.0,0.0,[]
330,1.0,1.0,[49]
1405,1.0,1.0,[141]
924,1.0,0.0,[123]
1268,1.0,1.0,[40]
578,1.0,0.0,[104]
1093,1.0,1.0,[47]
119,1.0,0.0,[155]
1,1.0,1.0,[26]
